id,title,materials,kind,classification,location,available,allocated_bytes,complete_binary_records,potential_ids,missing_metadata,integrity_issues
.al_liquid_source_70304_mpa_seed12345_500K.generation-2b3c58f003ec,.al liquid source 70304 mpa seed12345 500K.generation-2b3c58f003ec,Al,raw_dynamics,review_required,/store/PERSO/vmorozov/projects/PointCloudMaterials-20260913T174741Z/output/synthetic_data/.al_liquid_source_70304_mpa_seed12345_500K.generation-2b3c58f003ec,True,47128576,0,mace-mpa-0-medium,temperature_K;ensemble,
.al_liquid_source_70304_mpa_seed12346_500K.generation-6d03498342ff,.al liquid source 70304 mpa seed12346 500K.generation-6d03498342ff,Al,raw_dynamics,review_required,/store/PERSO/vmorozov/projects/PointCloudMaterials-20260913T174741Z/output/synthetic_data/.al_liquid_source_70304_mpa_seed12346_500K.generation-6d03498342ff,True,47128576,0,mace-mpa-0-medium,temperature_K;ensemble,
.al_phase_context_70304x1.generation-5016671fb856,.al phase context 70304x1.generation-5016671fb856,Al,raw_dynamics,review_required,/store/PERSO/vmorozov/projects/PointCloudMaterials-20260913T174741Z/output/synthetic_data/.al_phase_context_70304x1.generation-5016671fb856,True,121217024,0,mace-mpa-0-medium,temperature_K;ensemble,
.al_phase_context_70304x1_seed_12346.generation-559b40e8ef01,.al phase context 70304x1 seed 12346.generation-559b40e8ef01,Al,raw_dynamics,review_required,/store/PERSO/vmorozov/projects/PointCloudMaterials-20260913T174741Z/output/synthetic_data/.al_phase_context_70304x1_seed_12346.generation-559b40e8ef01,True,121290752,0,mace-mpa-0-medium,temperature_K;ensemble,
Al,Al static structures,Al,static_structures,research,/work/PERSO/vmorozov/datasets/Al,True,75746304,0,,generating potential identity,
Al50Ni50,Al–Ni alloy static structures,Al;Ni,static_structures,research,/work/PERSO/vmorozov/datasets/Al50Ni50,True,74293760,0,,generating potential identity,
Mg,Mg static structures,Mg,static_structures,research,/work/PERSO/vmorozov/datasets/Mg,True,75761664,0,,generating potential identity,
Ta,Ta static structures,Ta,static_structures,research,/work/PERSO/vmorozov/datasets/Ta,True,2222199296,0,,generating potential identity,
Zr,Zr static structures,Zr,static_structures,research,/work/PERSO/vmorozov/datasets/Zr,True,73963008,0,,generating potential identity,
al-eam-six-24ps,Al: six 24 ps EAM continuations,Al,raw_dynamics,research,/work/PERSO/vmorozov/datasets/zr_al_mg_initial_6x24ps/branches/Al,True,9132785664,6,al-mendelev2008-eam,ensemble,
al_520K_remaining24_20260913T204114Z,Al · completed 520 K source extension,Al,raw_dynamics,research,/store/PERSO/vmorozov/simulations/al_520K_remaining24_20260913T204114Z,True,22554279936,24,al-lee2003-meam,ensemble,
al_homogeneous_campaign_16384_compiled_mpa_110ps_multiseed_20260717,al homogeneous campaign 16384 compiled mpa 110ps multiseed 20260717,Al,raw_dynamics,review_required,/store/PERSO/vmorozov/projects/PointCloudMaterials-20260913T174741Z/output/synthetic_data/al_homogeneous_campaign_16384_compiled_mpa_110ps_multiseed_20260717,True,52879360,0,mace-mpa-0-medium,ensemble,
al_homogeneous_campaign_16384_compiled_mpa_test_4h_20260715,al homogeneous campaign 16384 compiled mpa test 4h 20260715,Al,raw_dynamics,review_required,/store/PERSO/vmorozov/projects/PointCloudMaterials-20260913T174741Z/output/synthetic_data/al_homogeneous_campaign_16384_compiled_mpa_test_4h_20260715,True,490487808,0,mace-mpa-0-medium,ensemble,
al_homogeneous_campaign_70304_mpa_110ps_source12345_seed35803_20260718,al homogeneous campaign 70304 mpa 110ps source12345 seed35803 20260718,Al,raw_dynamics,review_required,/store/PERSO/vmorozov/projects/PointCloudMaterials-20260913T174741Z/output/synthetic_data/al_homogeneous_campaign_70304_mpa_110ps_source12345_seed35803_20260718,True,431898624,0,mace-mpa-0-medium,ensemble,
al_homogeneous_campaign_70304_mpa_110ps_source12346_seed35831_20260718,al homogeneous campaign 70304 mpa 110ps source12346 seed35831 20260718,Al,raw_dynamics,review_required,/store/PERSO/vmorozov/projects/PointCloudMaterials-20260913T174741Z/output/synthetic_data/al_homogeneous_campaign_70304_mpa_110ps_source12346_seed35831_20260718,True,227540992,0,mace-mpa-0-medium,ensemble,
al_homogeneous_campaign_70304_mpa_130ps_source12345_seed35803_20260720,al homogeneous campaign 70304 mpa 130ps source12345 seed35803 20260720,Al,raw_dynamics,review_required,/store/PERSO/vmorozov/projects/PointCloudMaterials-20260913T174741Z/output/synthetic_data/al_homogeneous_campaign_70304_mpa_130ps_source12345_seed35803_20260720,True,1146003456,0,mace-mpa-0-medium,ensemble,
al_homogeneous_campaign_70304_mpa_130ps_source12346_seed35831_20260720,al homogeneous campaign 70304 mpa 130ps source12346 seed35831 20260720,Al,raw_dynamics,review_required,/store/PERSO/vmorozov/projects/PointCloudMaterials-20260913T174741Z/output/synthetic_data/al_homogeneous_campaign_70304_mpa_130ps_source12346_seed35831_20260720,True,1146290176,0,mace-mpa-0-medium,ensemble,
al_homogeneous_campaign_70304_mpa_bf16_130ps_source12345_seed35803_20260724,al homogeneous campaign 70304 mpa bf16 130ps source12345 seed35803 20260724,Al,raw_dynamics,review_required,/store/PERSO/vmorozov/projects/PointCloudMaterials-20260913T174741Z/output/synthetic_data/al_homogeneous_campaign_70304_mpa_bf16_130ps_source12345_seed35803_20260724,True,1412890624,0,mace-mpa-0-medium,ensemble,
al_homogeneous_campaign_70304_mpa_bf16_130ps_source12346_seed35831_20260724,al homogeneous campaign 70304 mpa bf16 130ps source12346 seed35831 20260724,Al,raw_dynamics,review_required,/store/PERSO/vmorozov/projects/PointCloudMaterials-20260913T174741Z/output/synthetic_data/al_homogeneous_campaign_70304_mpa_bf16_130ps_source12346_seed35831_20260724,True,1412890624,0,mace-mpa-0-medium,ensemble,
al_homogeneous_campaign_70304_mpa_bf16_comparison_20260724,al homogeneous campaign 70304 mpa bf16 comparison 20260724,Al,raw_dynamics,review_required,/store/PERSO/vmorozov/projects/PointCloudMaterials-20260913T174741Z/output/synthetic_data/al_homogeneous_campaign_70304_mpa_bf16_comparison_20260724,True,10854400,0,,generating potential identity;temperature_K;timestep_fs;ensemble,
al_homogeneous_lammps_eam_70304_110ps_4seeds_20260826,al homogeneous lammps eam 70304 110ps 4seeds 20260826,Al,raw_dynamics,review_required,/store/PERSO/vmorozov/projects/PointCloudMaterials-20260913T174741Z/output/synthetic_data/al_homogeneous_lammps_eam_70304_110ps_4seeds_20260826,True,1077534720,4,al-mishin1999-eam,,
al_homogeneous_unseeded_2nn_meam_70304_12temps_390-500K_600ps_1ps_positions_velocities_6seeds_20260830,al homogeneous unseeded 2nn meam 70304 12temps 390-500K 600ps 1ps positions velocities 6seeds 20260830,Al,raw_dynamics,review_required,/work/PERSO/vmorozov/simulations/al_homogeneous_unseeded_2nn_meam_70304_12temps_390-500K_600ps_1ps_positions_velocities_6seeds_20260830,True,90297344,0,al-lee2003-meam,ensemble,
al_homogeneous_unseeded_2nn_meam_70304_400-500K_600ps_9independent_runs_20260901,al homogeneous unseeded 2nn meam 70304 400-500K 600ps 9independent runs 20260901,Al,raw_dynamics,review_required,/work/PERSO/vmorozov/simulations/al_homogeneous_unseeded_2nn_meam_70304_400-500K_600ps_9independent_runs_20260901,True,12806043136,9,al-lee2003-meam,,
al_homogeneous_unseeded_2nn_meam_70304_4temps_400-600K_600ps_6seeds_20260828,al homogeneous unseeded 2nn meam 70304 4temps 400-600K 600ps 6seeds 20260828,Al,raw_dynamics,review_required,/store/PERSO/vmorozov/projects/PointCloudMaterials-20260913T174741Z/output/synthetic_data/al_homogeneous_unseeded_2nn_meam_70304_4temps_400-600K_600ps_6seeds_20260828,True,8223932416,18,al-lee2003-meam,ensemble,
al_homogeneous_unseeded_2nn_meam_70304_4temps_510-540K_600ps_1ps_positions_velocities_6seeds_20260830,al homogeneous unseeded 2nn meam 70304 4temps 510-540K 600ps 1ps positions velocities 6seeds 20260830,Al,raw_dynamics,review_required,/store/PERSO/vmorozov/projects/PointCloudMaterials-20260913T174741Z/output/synthetic_data/al_homogeneous_unseeded_2nn_meam_70304_4temps_510-540K_600ps_1ps_positions_velocities_6seeds_20260830,True,10730373120,0,al-lee2003-meam,ensemble,
al_homogeneous_unseeded_2nn_meam_70304_500K_600ps_7velocityseeds_20260827,al homogeneous unseeded 2nn meam 70304 500K 600ps 7velocityseeds 20260827,Al,raw_dynamics,review_required,/store/PERSO/vmorozov/projects/PointCloudMaterials-20260913T174741Z/output/synthetic_data/al_homogeneous_unseeded_2nn_meam_70304_500K_600ps_7velocityseeds_20260827,True,3196878848,7,al-lee2003-meam,ensemble,
al_homogeneous_unseeded_2nn_meam_70304_500K_999ps_velocity35803_20260827,al homogeneous unseeded 2nn meam 70304 500K 999ps velocity35803 20260827,Al,raw_dynamics,review_required,/store/PERSO/vmorozov/projects/PointCloudMaterials-20260913T174741Z/output/synthetic_data/al_homogeneous_unseeded_2nn_meam_70304_500K_999ps_velocity35803_20260827,True,782147584,1,al-lee2003-meam,temperature_K;ensemble,
al_independent_sources_recovery_20260909T203221Z,al independent sources recovery 20260909T203221Z,Al,raw_dynamics,review_required,/work/PERSO/vmorozov/simulations/al_independent_sources_recovery_20260909T203221Z,True,62464,0,,generating potential identity;temperature_K;timestep_fs;ensemble,
al_liquid_source_70304_mpa_seed12345_500K,al liquid source 70304 mpa seed12345 500K,Al,raw_dynamics,review_required,/store/PERSO/vmorozov/projects/PointCloudMaterials-20260913T174741Z/output/synthetic_data/al_liquid_source_70304_mpa_seed12345_500K,True,54796288,0,mace-mpa-0-medium,,
al_liquid_source_70304_mpa_seed12346_500K,al liquid source 70304 mpa seed12346 500K,Al,raw_dynamics,review_required,/store/PERSO/vmorozov/projects/PointCloudMaterials-20260913T174741Z/output/synthetic_data/al_liquid_source_70304_mpa_seed12346_500K,True,54796288,0,mace-mpa-0-medium,,
al_meam_1m_450K_400ps_20260913T205149Z,al meam 1m 450K 400ps 20260913T205149Z,Al,raw_dynamics,incomplete_or_rejected,/scratch/PERSO/vmorozov/PointCloudMaterials/simulations/al_meam_1m_450K_400ps_20260913T205149Z,True,24576,0,al-lee2003-meam,ensemble,
al_meam_1m_450K_400ps_with_melt_20260913T205405Z,Al · million-atom source and melt history,Al,raw_dynamics,review_required,/store/PERSO/vmorozov/simulations/al_meam_1m_450K_400ps_with_melt_20260913T205405Z,True,74643685376,2,al-lee2003-meam,ensemble,
al_meam_crystallization_100k_450K_20260911,"Al · stopped 100,000-atom crystallization source",Al,raw_dynamics,review_required,/work/PERSO/vmorozov/simulations/al_meam_crystallization_100k_450K_20260911,True,25660343808,0,al-lee2003-meam,ensemble,
al_meam_crystallization_1m_450K_20260913T203458Z,al meam crystallization 1m 450K 20260913T203458Z,Al,raw_dynamics,incomplete_or_rejected,/scratch/PERSO/vmorozov/PointCloudMaterials/simulations/al_meam_crystallization_1m_450K_20260913T203458Z,True,29184,0,al-lee2003-meam,ensemble,
al_meam_crystallization_1m_source_only_450K_20260913T203616Z,al meam crystallization 1m source only 450K 20260913T203616Z,Al,raw_dynamics,incomplete_or_rejected,/scratch/PERSO/vmorozov/PointCloudMaterials/simulations/al_meam_crystallization_1m_source_only_450K_20260913T203616Z,True,32256,0,al-lee2003-meam,ensemble,
al_meam_independent_sources_70304_400-500K_30perT_float16_20260902,"Al · independent melts, 400–500 K",Al,raw_dynamics,research,/work/PERSO/vmorozov/simulations/al_meam_independent_sources_70304_400-500K_30perT_float16_20260902,True,63989364736,90,al-lee2003-meam,ensemble,
al_meam_independent_sources_70304_510-520K_30perT_float16_20260903,"Al · independent melts, 510–520 K",Al,raw_dynamics,research,/work/PERSO/vmorozov/simulations/al_meam_independent_sources_70304_510-520K_30perT_float16_20260903,True,32110435840,36,al-lee2003-meam,ensemble,
al_meam_independent_sources_70304_510-520K_30perT_float16_20260903_prepared_before_manifest_checksum,al meam independent sources 70304 510-520K 30perT float16 20260903 prepared before manifest checksum,Al,raw_dynamics,prepared,/work/PERSO/vmorozov/simulations/al_meam_independent_sources_70304_510-520K_30perT_float16_20260903_prepared_before_manifest_checksum,True,2565120,0,al-lee2003-meam,ensemble,
al_meam_nested_shooting_pilot_70304_400-500K_20260902,Al · event-stopped nested shooting,Al,raw_dynamics,review_required,/work/PERSO/vmorozov/simulations/al_meam_nested_shooting_pilot_70304_400-500K_20260902,True,21359598592,146,al-lee2003-meam,ensemble,
al_meam_nested_shooting_pilot_70304_400-500K_20260902_fixed24ps_float16_compatible,Al · fixed-24 ps nested continuations,Al,raw_dynamics,review_required,/work/PERSO/vmorozov/simulations/al_meam_nested_shooting_pilot_70304_400-500K_20260902_fixed24ps_float16_compatible,True,10377702400,144,al-lee2003-meam,,
al_meam_position_shooting_70304_400-500K_15ps_4shot_topup_to16_20260904,Al · accepted 15 ps shooting top-up,Al,raw_dynamics,research,/work/PERSO/vmorozov/simulations/al_meam_position_shooting_70304_400-500K_15ps_4shot_topup_to16_20260904,True,14723868160,160,al-lee2003-meam,,
al_meam_position_shooting_70304_400-500K_48ps_1shot_local_20260831,"Al · 48 ps shooting, one-shot supplement",Al,raw_dynamics,research,/work/PERSO/vmorozov/simulations/al_meam_position_shooting_70304_400-500K_48ps_1shot_local_20260831,True,11218233856,40,al-lee2003-meam,,
al_meam_position_shooting_70304_400-500K_48ps_2shots_local_followup_20260831,"Al · 48 ps shooting, two-shot supplement",Al,raw_dynamics,research,/work/PERSO/vmorozov/simulations/al_meam_position_shooting_70304_400-500K_48ps_2shots_local_followup_20260831,True,22290891264,80,al-lee2003-meam,,
al_meam_position_shooting_70304_400-500K_48ps_40branches_local_20260901,"Al · 48 ps shooting, 40-branch supplement",Al,raw_dynamics,research,/work/PERSO/vmorozov/simulations/al_meam_position_shooting_70304_400-500K_48ps_40branches_local_20260901,True,11218233856,40,al-lee2003-meam,,
al_meam_position_shooting_70304_400-500K_48ps_4shot_topup_to16_20260903,Al · partially completed 48 ps top-up,Al,raw_dynamics,review_required,/work/PERSO/vmorozov/simulations/al_meam_position_shooting_70304_400-500K_48ps_4shot_topup_to16_20260903,True,11221080576,40,al-lee2003-meam,,
al_meam_position_shooting_70304_400-500K_48ps_4shot_topup_to16_20260903_prepared_protocol_flag_correction,al meam position shooting 70304 400-500K 48ps 4shot topup to16 20260903 prepared protocol flag correction,Al,raw_dynamics,prepared,/work/PERSO/vmorozov/simulations/al_meam_position_shooting_70304_400-500K_48ps_4shot_topup_to16_20260903_prepared_protocol_flag_correction,True,2884608,0,al-lee2003-meam,,
al_meam_position_shooting_70304_400-500K_48ps_4shot_topup_to16_20260903_prepared_without_legacy_window_spec,al meam position shooting 70304 400-500K 48ps 4shot topup to16 20260903 prepared without legacy window spec,Al,raw_dynamics,prepared,/work/PERSO/vmorozov/simulations/al_meam_position_shooting_70304_400-500K_48ps_4shot_topup_to16_20260903_prepared_without_legacy_window_spec,True,2884608,0,al-lee2003-meam,,
al_meam_position_shooting_70304_400-500K_48ps_8shots_20260830,"Al · original 48 ps shooting, eight shots per parent",Al,raw_dynamics,research,/work/PERSO/vmorozov/simulations/al_meam_position_shooting_70304_400-500K_48ps_8shots_20260830,True,88732579328,320,al-lee2003-meam,,
al_meam_predictive_dynamics_fixed15_smoke_1parent_16branches_float32_20260904,al meam predictive dynamics fixed15 smoke 1parent 16branches float32 20260904,Al,raw_dynamics,fixture,/work/PERSO/vmorozov/simulations/al_meam_predictive_dynamics_fixed15_smoke_1parent_16branches_float32_20260904,True,2870339584,21,al-lee2003-meam,,
