dataset_id,kind,location,available,observed_at
.al_liquid_source_70304_mpa_seed12345_500K.generation-2b3c58f003ec,simulation,/store/PERSO/vmorozov/projects/PointCloudMaterials-20260913T174741Z/output/synthetic_data/.al_liquid_source_70304_mpa_seed12345_500K.generation-2b3c58f003ec,True,2026-09-13T18:33:21.413127+00:00
.al_liquid_source_70304_mpa_seed12346_500K.generation-6d03498342ff,simulation,/store/PERSO/vmorozov/projects/PointCloudMaterials-20260913T174741Z/output/synthetic_data/.al_liquid_source_70304_mpa_seed12346_500K.generation-6d03498342ff,True,2026-09-13T18:33:21.413127+00:00
.al_phase_context_70304x1.generation-5016671fb856,simulation,/store/PERSO/vmorozov/projects/PointCloudMaterials-20260913T174741Z/output/synthetic_data/.al_phase_context_70304x1.generation-5016671fb856,True,2026-09-13T18:33:21.413127+00:00
.al_phase_context_70304x1_seed_12346.generation-559b40e8ef01,simulation,/store/PERSO/vmorozov/projects/PointCloudMaterials-20260913T174741Z/output/synthetic_data/.al_phase_context_70304x1_seed_12346.generation-559b40e8ef01,True,2026-09-13T18:33:21.413127+00:00
al_homogeneous_campaign_16384_compiled_mpa_110ps_multiseed_20260717,simulation,/store/PERSO/vmorozov/projects/PointCloudMaterials-20260913T174741Z/output/synthetic_data/al_homogeneous_campaign_16384_compiled_mpa_110ps_multiseed_20260717,True,2026-09-13T18:33:21.413127+00:00
al_homogeneous_campaign_16384_compiled_mpa_test_4h_20260715,simulation,/store/PERSO/vmorozov/projects/PointCloudMaterials-20260913T174741Z/output/synthetic_data/al_homogeneous_campaign_16384_compiled_mpa_test_4h_20260715,True,2026-09-13T18:33:21.413127+00:00
al_homogeneous_campaign_70304_mpa_110ps_source12345_seed35803_20260718,simulation,/store/PERSO/vmorozov/projects/PointCloudMaterials-20260913T174741Z/output/synthetic_data/al_homogeneous_campaign_70304_mpa_110ps_source12345_seed35803_20260718,True,2026-09-13T18:33:21.413127+00:00
al_homogeneous_campaign_70304_mpa_110ps_source12346_seed35831_20260718,simulation,/store/PERSO/vmorozov/projects/PointCloudMaterials-20260913T174741Z/output/synthetic_data/al_homogeneous_campaign_70304_mpa_110ps_source12346_seed35831_20260718,True,2026-09-13T18:33:21.413127+00:00
al_homogeneous_campaign_70304_mpa_130ps_source12345_seed35803_20260720,simulation,/store/PERSO/vmorozov/projects/PointCloudMaterials-20260913T174741Z/output/synthetic_data/al_homogeneous_campaign_70304_mpa_130ps_source12345_seed35803_20260720,True,2026-09-13T18:33:21.413127+00:00
al_homogeneous_campaign_70304_mpa_130ps_source12346_seed35831_20260720,simulation,/store/PERSO/vmorozov/projects/PointCloudMaterials-20260913T174741Z/output/synthetic_data/al_homogeneous_campaign_70304_mpa_130ps_source12346_seed35831_20260720,True,2026-09-13T18:33:21.413127+00:00
al_homogeneous_campaign_70304_mpa_bf16_130ps_source12345_seed35803_20260724,simulation,/store/PERSO/vmorozov/projects/PointCloudMaterials-20260913T174741Z/output/synthetic_data/al_homogeneous_campaign_70304_mpa_bf16_130ps_source12345_seed35803_20260724,True,2026-09-13T18:33:21.413127+00:00
al_homogeneous_campaign_70304_mpa_bf16_130ps_source12346_seed35831_20260724,simulation,/store/PERSO/vmorozov/projects/PointCloudMaterials-20260913T174741Z/output/synthetic_data/al_homogeneous_campaign_70304_mpa_bf16_130ps_source12346_seed35831_20260724,True,2026-09-13T18:33:21.413127+00:00
al_homogeneous_campaign_70304_mpa_bf16_comparison_20260724,simulation,/store/PERSO/vmorozov/projects/PointCloudMaterials-20260913T174741Z/output/synthetic_data/al_homogeneous_campaign_70304_mpa_bf16_comparison_20260724,True,2026-09-13T18:33:21.413127+00:00
al_homogeneous_lammps_eam_70304_110ps_4seeds_20260826,simulation,/store/PERSO/vmorozov/projects/PointCloudMaterials-20260913T174741Z/output/synthetic_data/al_homogeneous_lammps_eam_70304_110ps_4seeds_20260826,True,2026-09-13T18:33:21.413127+00:00
al_homogeneous_unseeded_2nn_meam_70304_12temps_390-500K_600ps_1ps_positions_velocities_6seeds_20260830,simulation,/work/PERSO/vmorozov/simulations/al_homogeneous_unseeded_2nn_meam_70304_12temps_390-500K_600ps_1ps_positions_velocities_6seeds_20260830,True,2026-09-13T18:33:21.413127+00:00
al_homogeneous_unseeded_2nn_meam_70304_400-500K_600ps_9independent_runs_20260901,simulation,/work/PERSO/vmorozov/simulations/al_homogeneous_unseeded_2nn_meam_70304_400-500K_600ps_9independent_runs_20260901,True,2026-09-13T18:33:21.413127+00:00
al_homogeneous_unseeded_2nn_meam_70304_4temps_400-600K_600ps_6seeds_20260828,simulation,/store/PERSO/vmorozov/projects/PointCloudMaterials-20260913T174741Z/output/synthetic_data/al_homogeneous_unseeded_2nn_meam_70304_4temps_400-600K_600ps_6seeds_20260828,True,2026-09-13T18:33:21.413127+00:00
al_homogeneous_unseeded_2nn_meam_70304_4temps_510-540K_600ps_1ps_positions_velocities_6seeds_20260830,simulation,/store/PERSO/vmorozov/projects/PointCloudMaterials-20260913T174741Z/output/synthetic_data/al_homogeneous_unseeded_2nn_meam_70304_4temps_510-540K_600ps_1ps_positions_velocities_6seeds_20260830,True,2026-09-13T18:33:21.413127+00:00
