domain,step,input_domain,target_domain,representation,family,selected_step,ridge_tuning_mse,selected_tuning_mse,probe,target_group,standardized_rmse
pilot,0,melt,melt,exported,angular,300,0.9345540606810547,0.9340243139317609,ridge,q4,0.9464869377486959
pilot,0,melt,melt,exported,angular,300,0.9345540606810547,0.9340243139317609,ridge,w4,1.026797101410859
pilot,0,melt,melt,exported,angular,300,0.9345540606810547,0.9340243139317609,ridge,q6,0.8905268674608136
pilot,0,melt,melt,exported,angular,300,0.9345540606810547,0.9340243139317609,ridge,w6,1.0088865169569403
pilot,0,melt,melt,exported,angular,300,0.9345540606810547,0.9340243139317609,residual,q4,0.9454038308755226
pilot,0,melt,melt,exported,angular,300,0.9345540606810547,0.9340243139317609,residual,w4,1.0268411036899434
pilot,0,melt,melt,exported,angular,300,0.9345540606810547,0.9340243139317609,residual,q6,0.8915847779131542
pilot,0,melt,melt,exported,angular,300,0.9345540606810547,0.9340243139317609,residual,w6,1.0094801495984815
pilot,0,melt,melt,exported,radial,1100,0.10847885204178445,0.10717022375872631,ridge,radial_bin_00,0.1368379541992656
pilot,0,melt,melt,exported,radial,1100,0.10847885204178445,0.10717022375872631,ridge,radial_bin_01,0.0854316535879623
pilot,0,melt,melt,exported,radial,1100,0.10847885204178445,0.10717022375872631,ridge,radial_bin_02,0.021547911865245045
pilot,0,melt,melt,exported,radial,1100,0.10847885204178445,0.10717022375872631,ridge,radial_bin_03,0.0030451468388764816
pilot,0,melt,melt,exported,radial,1100,0.10847885204178445,0.10717022375872631,ridge,radial_bin_04,0.0051595412629839845
pilot,0,melt,melt,exported,radial,1100,0.10847885204178445,0.10717022375872631,ridge,radial_bin_05,0.05028912819735351
pilot,0,melt,melt,exported,radial,1100,0.10847885204178445,0.10717022375872631,ridge,radial_bin_06,0.385772534634142
pilot,0,melt,melt,exported,radial,1100,0.10847885204178445,0.10717022375872631,ridge,radial_bin_07,0.5439280901009891
pilot,0,melt,melt,exported,radial,1100,0.10847885204178445,0.10717022375872631,ridge,radial_bin_08,0.6043027948025917
pilot,0,melt,melt,exported,radial,1100,0.10847885204178445,0.10717022375872631,ridge,radial_bin_09,0.43350865940162475
pilot,0,melt,melt,exported,radial,1100,0.10847885204178445,0.10717022375872631,ridge,radial_bin_10,0.425910902407655
pilot,0,melt,melt,exported,radial,1100,0.10847885204178445,0.10717022375872631,ridge,radial_bin_11,0.5526474426630392
pilot,0,melt,melt,exported,radial,1100,0.10847885204178445,0.10717022375872631,ridge,nearest_distance,0.2903925472589101
pilot,0,melt,melt,exported,radial,1100,0.10847885204178445,0.10717022375872631,ridge,weighted_radius,0.32258025326851525
pilot,0,melt,melt,exported,radial,1100,0.10847885204178445,0.10717022375872631,ridge,weighted_radius_squared,0.3575265422432229
pilot,0,melt,melt,exported,radial,1100,0.10847885204178445,0.10717022375872631,ridge,weighted_count,0.19831828824263487
pilot,0,melt,melt,exported,radial,1100,0.10847885204178445,0.10717022375872631,ridge,weighted_density,0.1983182882422805
pilot,0,melt,melt,exported,radial,1100,0.10847885204178445,0.10717022375872631,residual,radial_bin_00,0.13755612182012972
pilot,0,melt,melt,exported,radial,1100,0.10847885204178445,0.10717022375872631,residual,radial_bin_01,0.08573065981571164
pilot,0,melt,melt,exported,radial,1100,0.10847885204178445,0.10717022375872631,residual,radial_bin_02,0.02159008579591454
pilot,0,melt,melt,exported,radial,1100,0.10847885204178445,0.10717022375872631,residual,radial_bin_03,0.0033246931236165112
pilot,0,melt,melt,exported,radial,1100,0.10847885204178445,0.10717022375872631,residual,radial_bin_04,0.005341267021796548
pilot,0,melt,melt,exported,radial,1100,0.10847885204178445,0.10717022375872631,residual,radial_bin_05,0.05053201603746536
pilot,0,melt,melt,exported,radial,1100,0.10847885204178445,0.10717022375872631,residual,radial_bin_06,0.38345325580688694
pilot,0,melt,melt,exported,radial,1100,0.10847885204178445,0.10717022375872631,residual,radial_bin_07,0.5417349005058306
pilot,0,melt,melt,exported,radial,1100,0.10847885204178445,0.10717022375872631,residual,radial_bin_08,0.6032747773869219
pilot,0,melt,melt,exported,radial,1100,0.10847885204178445,0.10717022375872631,residual,radial_bin_09,0.43196990657220474
pilot,0,melt,melt,exported,radial,1100,0.10847885204178445,0.10717022375872631,residual,radial_bin_10,0.42511106596351006
pilot,0,melt,melt,exported,radial,1100,0.10847885204178445,0.10717022375872631,residual,radial_bin_11,0.5542810262837976
pilot,0,melt,melt,exported,radial,1100,0.10847885204178445,0.10717022375872631,residual,nearest_distance,0.2521976627858096
pilot,0,melt,melt,exported,radial,1100,0.10847885204178445,0.10717022375872631,residual,weighted_radius,0.3218261485475466
pilot,0,melt,melt,exported,radial,1100,0.10847885204178445,0.10717022375872631,residual,weighted_radius_squared,0.35644969357983586
pilot,0,melt,melt,exported,radial,1100,0.10847885204178445,0.10717022375872631,residual,weighted_count,0.19844588998927193
pilot,0,melt,melt,exported,radial,1100,0.10847885204178445,0.10717022375872631,residual,weighted_density,0.19844588993165146
pilot,0,melt,melt,exported,rich,1600,0.5164743919134446,0.516368743191522,ridge,l0,0.24893131717966777
pilot,0,melt,melt,exported,rich,1600,0.5164743919134446,0.516368743191522,ridge,l2,0.792167829763163
pilot,0,melt,melt,exported,rich,1600,0.5164743919134446,0.516368743191522,ridge,l4,0.7903341179809028
pilot,0,melt,melt,exported,rich,1600,0.5164743919134446,0.516368743191522,ridge,l6,0.8106146090391954
pilot,0,melt,melt,exported,rich,1600,0.5164743919134446,0.516368743191522,residual,l0,0.24883257549507753
pilot,0,melt,melt,exported,rich,1600,0.5164743919134446,0.516368743191522,residual,l2,0.7922100867740499
pilot,0,melt,melt,exported,rich,1600,0.5164743919134446,0.516368743191522,residual,l4,0.7901469781841487
pilot,0,melt,melt,exported,rich,1600,0.5164743919134446,0.516368743191522,residual,l6,0.8109900760123238
pilot,0,melt,melt,pooled,angular,0,0.9211946466685924,0.9211946466685924,ridge,q4,0.9288924638553615
pilot,0,melt,melt,pooled,angular,0,0.9211946466685924,0.9211946466685924,ridge,w4,1.017026389624559
pilot,0,melt,melt,pooled,angular,0,0.9211946466685924,0.9211946466685924,ridge,q6,0.8888169764500714
pilot,0,melt,melt,pooled,angular,0,0.9211946466685924,0.9211946466685924,ridge,w6,0.998249202133142
pilot,0,melt,melt,pooled,angular,0,0.9211946466685924,0.9211946466685924,residual,q4,0.9288924638553615
pilot,0,melt,melt,pooled,angular,0,0.9211946466685924,0.9211946466685924,residual,w4,1.017026389624559
pilot,0,melt,melt,pooled,angular,0,0.9211946466685924,0.9211946466685924,residual,q6,0.8888169764500714
pilot,0,melt,melt,pooled,angular,0,0.9211946466685924,0.9211946466685924,residual,w6,0.998249202133142
pilot,0,melt,melt,pooled,radial,500,0.10750845373938185,0.103314411607861,ridge,radial_bin_00,0.16069397664916968
pilot,0,melt,melt,pooled,radial,500,0.10750845373938185,0.103314411607861,ridge,radial_bin_01,0.11063145613641627
pilot,0,melt,melt,pooled,radial,500,0.10750845373938185,0.103314411607861,ridge,radial_bin_02,0.03098767269151992
pilot,0,melt,melt,pooled,radial,500,0.10750845373938185,0.103314411607861,ridge,radial_bin_03,0.0035096879815689776
pilot,0,melt,melt,pooled,radial,500,0.10750845373938185,0.103314411607861,ridge,radial_bin_04,0.0071089756814907284
pilot,0,melt,melt,pooled,radial,500,0.10750845373938185,0.103314411607861,ridge,radial_bin_05,0.05090843655100604
pilot,0,melt,melt,pooled,radial,500,0.10750845373938185,0.103314411607861,ridge,radial_bin_06,0.38736612955911576
