domain,step,input_domain,target_domain,representation,family,selected_step,ridge_tuning_mse,selected_tuning_mse,probe,population,standardized_rmse
pilot,0,melt,melt,exported,angular,300,0.9345540606810547,0.9340243139317609,ridge,all,0.9696700362187287
pilot,0,melt,melt,exported,angular,300,0.9345540606810547,0.9340243139317609,ridge,liquid,0.9696700362187287
pilot,0,melt,melt,exported,angular,300,0.9345540606810547,0.9340243139317609,residual,all,0.9698150138429901
pilot,0,melt,melt,exported,angular,300,0.9345540606810547,0.9340243139317609,residual,liquid,0.9698150138429901
pilot,0,melt,melt,exported,radial,1100,0.10847885204178445,0.10717022375872631,ridge,all,0.335062144929137
pilot,0,melt,melt,exported,radial,1100,0.10847885204178445,0.10717022375872631,ridge,liquid,0.335062144929137
pilot,0,melt,melt,exported,radial,1100,0.10847885204178445,0.10717022375872631,residual,all,0.3326650605713578
pilot,0,melt,melt,exported,radial,1100,0.10847885204178445,0.10717022375872631,residual,liquid,0.3326650605713578
pilot,0,melt,melt,exported,rich,1600,0.5164743919134446,0.516368743191522,ridge,all,0.7020008428799966
pilot,0,melt,melt,exported,rich,1600,0.5164743919134446,0.516368743191522,ridge,liquid,0.7020008428799966
pilot,0,melt,melt,exported,rich,1600,0.5164743919134446,0.516368743191522,residual,all,0.7020597593399862
pilot,0,melt,melt,exported,rich,1600,0.5164743919134446,0.516368743191522,residual,liquid,0.7020597593399862
pilot,0,melt,melt,pooled,angular,0,0.9211946466685924,0.9211946466685924,ridge,all,0.9596458948207603
pilot,0,melt,melt,pooled,angular,0,0.9211946466685924,0.9211946466685924,ridge,liquid,0.9596458948207603
pilot,0,melt,melt,pooled,angular,0,0.9211946466685924,0.9211946466685924,residual,all,0.9596458948207603
pilot,0,melt,melt,pooled,angular,0,0.9211946466685924,0.9211946466685924,residual,liquid,0.9596458948207603
pilot,0,melt,melt,pooled,radial,500,0.10750845373938185,0.103314411607861,ridge,all,0.3341813308452569
pilot,0,melt,melt,pooled,radial,500,0.10750845373938185,0.103314411607861,ridge,liquid,0.3341813308452569
pilot,0,melt,melt,pooled,radial,500,0.10750845373938185,0.103314411607861,residual,all,0.3260900752829054
pilot,0,melt,melt,pooled,radial,500,0.10750845373938185,0.103314411607861,residual,liquid,0.3260900752829054
pilot,0,melt,melt,pooled,rich,0,0.5113722422018817,0.5113722422018817,ridge,all,0.6977309166865928
pilot,0,melt,melt,pooled,rich,0,0.5113722422018817,0.5113722422018817,ridge,liquid,0.6977309166865928
pilot,0,melt,melt,pooled,rich,0,0.5113722422018817,0.5113722422018817,residual,all,0.6977309166865928
