metric,value
classification.0.75.n,44385
classification.0.75.sources,30
classification.0.75.prevalence,0.0024611272127941872
classification.0.75.log_loss,0.014307448242120708
classification.0.75.brier,0.0024209018841386855
classification.0.75.average_precision,0.029923949660693568
classification.0.75.threshold,0.014735161326825619
classification.0.75.recall,0.49791880115290643
classification.0.75.false_positive_rate,0.04076027790091919
classification.0.75.precision,0.029257006454578488
classification.0.75.auroc,0.9279962753166289
classification.0.75.f1,0.055266624033070415
classification.0.75.balanced_accuracy,0.7285792616259936
classification.0.75.horizon_ps,0.75
classification.0.75.ece_10bin,0.001396827614444087
classification.3.0.n,44385
classification.3.0.sources,30
classification.3.0.prevalence,0.00884508151496356
classification.3.0.log_loss,0.04449802566678591
classification.3.0.brier,0.00858467815011188
classification.3.0.average_precision,0.05570153618687061
classification.3.0.threshold,0.048118773847818375
classification.3.0.recall,0.347693430012168
classification.3.0.false_positive_rate,0.04053827746033526
classification.3.0.precision,0.0710986092804849
classification.3.0.auroc,0.8493422647061404
classification.3.0.f1,0.11805630007475856
classification.3.0.balanced_accuracy,0.6535775762759164
classification.3.0.horizon_ps,3.0
classification.3.0.ece_10bin,0.005388074070482519
classification.9.0.n,44385
classification.9.0.sources,30
classification.9.0.prevalence,0.031243024276521245
classification.9.0.log_loss,0.13209771597361974
classification.9.0.brier,0.02966161059920653
classification.9.0.average_precision,0.09022656110349736
classification.9.0.threshold,0.0995856523513794
classification.9.0.recall,0.1826739873088246
classification.9.0.false_positive_rate,0.040589450775723845
classification.9.0.precision,0.1267480588501115
classification.9.0.auroc,0.7257778021600133
classification.9.0.f1,0.14965690765234277
classification.9.0.balanced_accuracy,0.5710422682665504
classification.9.0.horizon_ps,9.0
classification.9.0.ece_10bin,0.01340488618962936
classification.24.0.n,44385
classification.24.0.sources,30
classification.24.0.prevalence,0.09117904843080059
classification.24.0.log_loss,0.3056389365792394
classification.24.0.brier,0.08298950357987839
classification.24.0.average_precision,0.13794402480158152
classification.24.0.threshold,0.18578122556209564
classification.24.0.recall,0.10632042922399099
classification.24.0.false_positive_rate,0.041266754736273344
classification.24.0.precision,0.2053929540172642
classification.24.0.auroc,0.6092863312571621
classification.24.0.f1,0.14011247642708718
classification.24.0.balanced_accuracy,0.5325268372438589
classification.24.0.horizon_ps,24.0
classification.24.0.ece_10bin,0.03597448393560565
classification.48.0.n,44385
classification.48.0.sources,30
classification.48.0.prevalence,0.18840006848320312
classification.48.0.log_loss,0.4935597477356811
classification.48.0.brier,0.15673430559151655
classification.48.0.average_precision,0.2147287062623951
classification.48.0.threshold,0.3303607404232025
classification.48.0.recall,0.05809333706936839
classification.48.0.false_positive_rate,0.04211784921156212
classification.48.0.precision,0.2425296463463705
classification.48.0.auroc,0.5571531894885811
classification.48.0.f1,0.09373439338821206
classification.48.0.balanced_accuracy,0.5079877439289031
classification.48.0.horizon_ps,48.0
classification.48.0.ece_10bin,0.06834399534620343
classification.96.0.n,44385
classification.96.0.sources,30
classification.96.0.prevalence,0.36752480433082874
classification.96.0.log_loss,0.6798316453749466
classification.96.0.brier,0.2435580540988827
classification.96.0.average_precision,0.3853115591076291
classification.96.0.threshold,0.590797483921051
classification.96.0.recall,0.04967988354651901
classification.96.0.false_positive_rate,0.051362609218510775
classification.96.0.precision,0.35981652656019925
classification.96.0.auroc,0.550944704308513
classification.96.0.f1,0.08730549375495192
classification.96.0.balanced_accuracy,0.49915863716400416
classification.96.0.horizon_ps,96.0
classification.96.0.ece_10bin,0.11091751415077672
timing.0.75.horizon_ps,0.75
timing.0.75.true_events,68
timing.0.75.missed_windows,33
timing.0.75.detected_window_timing_mae_ps,0.375
timing.0.75.detected_window_timing_bias_ps,-0.375
timing.0.75.timed_within_3ps_recall,0.5147058823529411
timing.0.75.alarm_episodes,503
timing.0.75.false_alarm_episodes,478
timing.0.75.observable_event_centers,68
timing.0.75.detected_event_centers,25
timing.0.75.missed_event_centers,43
timing.0.75.event_recall,0.36764705882352944
timing.0.75.false_alarms_per_sampled_center_ns,3.5898013593180877
timing.0.75.mean_detected_lead_ps,0.75
timing.3.0.horizon_ps,3.0
timing.3.0.true_events,274
timing.3.0.missed_windows,176
timing.3.0.detected_window_timing_mae_ps,0.800228288871454
timing.3.0.detected_window_timing_bias_ps,-0.3946446480922485
timing.3.0.timed_within_3ps_recall,0.35766423357664234
timing.3.0.alarm_episodes,403
timing.3.0.false_alarm_episodes,338
timing.3.0.observable_event_centers,274
timing.3.0.detected_event_centers,65
timing.3.0.missed_event_centers,209
timing.3.0.event_recall,0.23722627737226276
timing.3.0.false_alarms_per_sampled_center_ns,2.5383951034508656
timing.3.0.mean_detected_lead_ps,1.7307692307692308
timing.9.0.horizon_ps,9.0
timing.9.0.true_events,974
timing.9.0.missed_windows,788
timing.9.0.detected_window_timing_mae_ps,2.090704060124109
timing.9.0.detected_window_timing_bias_ps,-0.451563200729125
timing.9.0.timed_within_3ps_recall,0.14989733059548255
timing.9.0.alarm_episodes,457
timing.9.0.false_alarm_episodes,338
timing.9.0.observable_event_centers,378
timing.9.0.detected_event_centers,119
timing.9.0.missed_event_centers,259
timing.9.0.event_recall,0.3148148148148148
timing.9.0.false_alarms_per_sampled_center_ns,2.5383951034508656
timing.9.0.mean_detected_lead_ps,3.8004201680672267
timing.24.0.horizon_ps,24.0
timing.24.0.true_events,2883
timing.24.0.missed_windows,2581
timing.24.0.detected_window_timing_mae_ps,5.720824044957445
timing.24.0.detected_window_timing_bias_ps,0.09387736198635793
timing.24.0.timed_within_3ps_recall,0.022892819979188347
timing.24.0.alarm_episodes,846
timing.24.0.false_alarm_episodes,661
timing.24.0.observable_event_centers,397
timing.24.0.detected_event_centers,159
timing.24.0.missed_event_centers,238
timing.24.0.event_recall,0.4005037783375315
timing.24.0.false_alarms_per_sampled_center_ns,4.964139536630243
timing.24.0.mean_detected_lead_ps,9.056603773584905
timing.48.0.horizon_ps,48.0
timing.48.0.true_events,6014
timing.48.0.missed_windows,5683
timing.48.0.detected_window_timing_mae_ps,10.874188314631327
timing.48.0.detected_window_timing_bias_ps,-0.12745624857891788
timing.48.0.timed_within_3ps_recall,0.006651147322913203
timing.48.0.alarm_episodes,1443
timing.48.0.false_alarm_episodes,1185
timing.48.0.observable_event_centers,402
timing.48.0.detected_event_centers,174
timing.48.0.missed_event_centers,228
timing.48.0.event_recall,0.43283582089552236
timing.48.0.false_alarms_per_sampled_center_ns,8.899402951447561
timing.48.0.mean_detected_lead_ps,26.219827586206897
timing.96.0.horizon_ps,96.0
timing.96.0.true_events,12127
timing.96.0.missed_windows,11592
timing.96.0.detected_window_timing_mae_ps,24.72552966526313
timing.96.0.detected_window_timing_bias_ps,-5.537411755419951
timing.96.0.timed_within_3ps_recall,0.0019790550012369094
timing.96.0.alarm_episodes,1563
timing.96.0.false_alarm_episodes,1145
timing.96.0.observable_event_centers,409
timing.96.0.detected_event_centers,186
timing.96.0.missed_event_centers,223
timing.96.0.event_recall,0.4547677261613692
timing.96.0.false_alarms_per_sampled_center_ns,8.599001164056926
timing.96.0.mean_detected_lead_ps,65.125
spatial.0.75.horizon_ps,0.75
spatial.0.75.sampled_center_fraction_mae,0.009117240133137547
spatial.0.75.sampled_center_jaccard,0.02412670219064535
spatial.0.75.nearby_pair_difference_rmse,0.039919423244734756
spatial.0.75.nearby_pairs,16736
spatial.3.0.horizon_ps,3.0
spatial.3.0.sampled_center_fraction_mae,0.03125932772574509
spatial.3.0.sampled_center_jaccard,0.06027568922305765
spatial.3.0.nearby_pair_difference_rmse,0.08465233088039824
spatial.3.0.nearby_pairs,16736
spatial.9.0.horizon_ps,9.0
spatial.9.0.sampled_center_fraction_mae,0.07754291158533119
spatial.9.0.sampled_center_jaccard,0.07605521332420716
spatial.9.0.nearby_pair_difference_rmse,0.15149508362123
spatial.9.0.nearby_pairs,16736
spatial.24.0.horizon_ps,24.0
spatial.24.0.sampled_center_fraction_mae,0.16553357711055733
spatial.24.0.sampled_center_jaccard,0.06589026000790706
spatial.24.0.nearby_pair_difference_rmse,0.23759837194689232
spatial.24.0.nearby_pairs,16736
spatial.48.0.horizon_ps,48.0
spatial.48.0.sampled_center_fraction_mae,0.2649759445439705
spatial.48.0.sampled_center_jaccard,0.03424343052875414
spatial.48.0.nearby_pair_difference_rmse,0.3017486083871257
spatial.48.0.nearby_pairs,16736
spatial.96.0.horizon_ps,96.0
spatial.96.0.sampled_center_fraction_mae,0.36442452816326265
spatial.96.0.sampled_center_jaccard,0.02576472729398261
spatial.96.0.nearby_pair_difference_rmse,0.36786256998655226
spatial.96.0.nearby_pairs,16736
test_event_nll,1.1335922222959516
best_selection_nll,1.117590129631526
