metric,value
classification.0.75.n,44385
classification.0.75.sources,30
classification.0.75.prevalence,0.0024611272127941872
classification.0.75.log_loss,0.011444353390136757
classification.0.75.brier,0.0023203081621023846
classification.0.75.average_precision,0.10451666281207134
classification.0.75.threshold,0.011370898224413395
classification.0.75.recall,0.7230050772747987
classification.0.75.false_positive_rate,0.039293782767853704
classification.0.75.precision,0.04342508995287362
classification.0.75.auroc,0.9614829809569623
classification.0.75.f1,0.0819293442757087
classification.0.75.balanced_accuracy,0.8418556472534726
classification.0.75.horizon_ps,0.75
classification.0.75.ece_10bin,0.0002730557575993054
classification.3.0.n,44385
classification.3.0.sources,30
classification.3.0.prevalence,0.00884508151496356
classification.3.0.log_loss,0.03651280989562153
classification.3.0.brier,0.007988181363615844
classification.3.0.average_precision,0.15896315151537677
classification.3.0.threshold,0.04072396457195282
classification.3.0.recall,0.6121097546246873
classification.3.0.false_positive_rate,0.04583156235885711
classification.3.0.precision,0.10649340205931229
classification.3.0.auroc,0.9115209755858521
classification.3.0.f1,0.1814232225320956
classification.3.0.balanced_accuracy,0.7831390961329151
classification.3.0.horizon_ps,3.0
classification.3.0.ece_10bin,0.0021528515703134387
classification.9.0.n,44385
classification.9.0.sources,30
classification.9.0.prevalence,0.031243024276521245
classification.9.0.log_loss,0.11635763206661907
classification.9.0.brier,0.027208737579152927
classification.9.0.average_precision,0.2210880625570265
classification.9.0.threshold,0.09659113734960556
classification.9.0.recall,0.46005869966117424
classification.9.0.false_positive_rate,0.057053182604876795
classification.9.0.precision,0.20638625717302314
classification.9.0.auroc,0.8000225545649565
classification.9.0.f1,0.2849441416857475
classification.9.0.balanced_accuracy,0.7015027585281487
classification.9.0.horizon_ps,9.0
classification.9.0.ece_10bin,0.012626961677645883
classification.24.0.n,44385
classification.24.0.sources,30
classification.24.0.prevalence,0.09117904843080059
classification.24.0.log_loss,0.2869279160014401
classification.24.0.brier,0.0792156147986189
classification.24.0.average_precision,0.24031251552107413
classification.24.0.threshold,0.21703536808490753
classification.24.0.recall,0.3208658476786556
classification.24.0.false_positive_rate,0.09636191253911346
classification.24.0.precision,0.2504129925884097
classification.24.0.auroc,0.6915324958919177
classification.24.0.f1,0.28129512760902153
classification.24.0.balanced_accuracy,0.6122519675697711
classification.24.0.horizon_ps,24.0
classification.24.0.ece_10bin,0.03886842133608998
classification.48.0.n,44385
classification.48.0.sources,30
classification.48.0.prevalence,0.18840006848320312
classification.48.0.log_loss,0.4761045082185488
classification.48.0.brier,0.15374157876265965
classification.48.0.average_precision,0.32178477479190326
classification.48.0.threshold,0.39950641989707947
classification.48.0.recall,0.2823968451377648
classification.48.0.false_positive_rate,0.12195764449310344
classification.48.0.precision,0.3495994639073829
classification.48.0.auroc,0.6495114188374205
classification.48.0.f1,0.31242519697135174
classification.48.0.balanced_accuracy,0.5802196003223304
classification.48.0.horizon_ps,48.0
classification.48.0.ece_10bin,0.09385006941837379
classification.96.0.n,44385
classification.96.0.sources,30
classification.96.0.prevalence,0.36752480433082874
classification.96.0.log_loss,0.6715951826338104
classification.96.0.brier,0.24298580198599393
classification.96.0.average_precision,0.4811947633866662
classification.96.0.threshold,0.6934847235679626
classification.96.0.recall,0.15927914784144456
classification.96.0.false_positive_rate,0.07668213099011531
classification.96.0.precision,0.546896602696093
classification.96.0.auroc,0.6278906570191809
classification.96.0.f1,0.2467069274709806
classification.96.0.balanced_accuracy,0.5412985084256647
classification.96.0.horizon_ps,96.0
classification.96.0.ece_10bin,0.161764570547327
timing.0.75.horizon_ps,0.75
timing.0.75.true_events,68
timing.0.75.missed_windows,23
timing.0.75.detected_window_timing_mae_ps,0.375
timing.0.75.detected_window_timing_bias_ps,-0.375
timing.0.75.timed_within_3ps_recall,0.6617647058823529
timing.0.75.alarm_episodes,486
timing.0.75.false_alarm_episodes,464
timing.0.75.observable_event_centers,68
timing.0.75.detected_event_centers,22
timing.0.75.missed_event_centers,46
timing.0.75.event_recall,0.3235294117647059
timing.0.75.false_alarms_per_sampled_center_ns,3.4846607337313658
timing.0.75.mean_detected_lead_ps,0.75
timing.3.0.horizon_ps,3.0
timing.3.0.true_events,274
timing.3.0.missed_windows,118
timing.3.0.detected_window_timing_mae_ps,0.7423781165941662
timing.3.0.detected_window_timing_bias_ps,-0.28972119101722227
timing.3.0.timed_within_3ps_recall,0.5693430656934306
timing.3.0.alarm_episodes,599
timing.3.0.false_alarm_episodes,520
timing.3.0.observable_event_centers,274
timing.3.0.detected_event_centers,79
timing.3.0.missed_event_centers,195
timing.3.0.event_recall,0.28832116788321166
timing.3.0.false_alarms_per_sampled_center_ns,3.9052232360782546
timing.3.0.mean_detected_lead_ps,1.7848101265822784
timing.9.0.horizon_ps,9.0
timing.9.0.true_events,974
timing.9.0.missed_windows,539
timing.9.0.detected_window_timing_mae_ps,1.9931268839922915
timing.9.0.detected_window_timing_bias_ps,-0.15076833943042264
timing.9.0.timed_within_3ps_recall,0.3470225872689938
timing.9.0.alarm_episodes,1053
timing.9.0.false_alarm_episodes,868
timing.9.0.observable_event_centers,378
timing.9.0.detected_event_centers,185
timing.9.0.missed_event_centers,193
timing.9.0.event_recall,0.4894179894179894
timing.9.0.false_alarms_per_sampled_center_ns,6.518718786376779
timing.9.0.mean_detected_lead_ps,4.167567567567567
timing.24.0.horizon_ps,24.0
timing.24.0.true_events,2883
timing.24.0.missed_windows,1865
timing.24.0.detected_window_timing_mae_ps,5.385742034854931
timing.24.0.detected_window_timing_bias_ps,0.07589400378983549
timing.24.0.timed_within_3ps_recall,0.09781477627471384
timing.24.0.alarm_episodes,1973
timing.24.0.false_alarm_episodes,1667
timing.24.0.observable_event_centers,397
timing.24.0.detected_event_centers,248
timing.24.0.missed_event_centers,149
timing.24.0.event_recall,0.6246851385390428
timing.24.0.false_alarms_per_sampled_center_ns,12.519244489504713
timing.24.0.mean_detected_lead_ps,10.71774193548387
timing.48.0.horizon_ps,48.0
timing.48.0.true_events,6014
timing.48.0.missed_windows,4013
timing.48.0.detected_window_timing_mae_ps,11.092131368067678
timing.48.0.detected_window_timing_bias_ps,-0.6760058174124484
timing.48.0.timed_within_3ps_recall,0.04456268706351846
timing.48.0.alarm_episodes,2101
timing.48.0.false_alarm_episodes,1601
timing.48.0.observable_event_centers,402
timing.48.0.detected_event_centers,265
timing.48.0.missed_event_centers,137
timing.48.0.event_recall,0.6592039800995025
timing.48.0.false_alarms_per_sampled_center_ns,12.023581540310165
timing.48.0.mean_detected_lead_ps,25.95566037735849
timing.96.0.horizon_ps,96.0
timing.96.0.true_events,12127
timing.96.0.missed_windows,10176
timing.96.0.detected_window_timing_mae_ps,21.683578125734446
timing.96.0.detected_window_timing_bias_ps,-2.717855976649469
timing.96.0.timed_within_3ps_recall,0.012286633132679145
timing.96.0.alarm_episodes,2071
timing.96.0.false_alarm_episodes,1269
timing.96.0.observable_event_centers,409
timing.96.0.detected_event_centers,233
timing.96.0.missed_event_centers,176
timing.96.0.event_recall,0.5696821515892421
timing.96.0.false_alarms_per_sampled_center_ns,9.530246704967894
timing.96.0.mean_detected_lead_ps,60.37660944206009
spatial.0.75.horizon_ps,0.75
spatial.0.75.sampled_center_fraction_mae,0.007039005985543054
spatial.0.75.sampled_center_jaccard,0.03925463488460083
spatial.0.75.nearby_pair_difference_rmse,0.039355721034905984
spatial.0.75.nearby_pairs,16736
spatial.3.0.horizon_ps,3.0
spatial.3.0.sampled_center_fraction_mae,0.02659069508196845
spatial.3.0.sampled_center_jaccard,0.08252482269503546
spatial.3.0.nearby_pair_difference_rmse,0.08360434673985813
spatial.3.0.nearby_pairs,16736
spatial.9.0.horizon_ps,9.0
spatial.9.0.sampled_center_fraction_mae,0.07267181747570044
spatial.9.0.sampled_center_jaccard,0.11789828528958962
spatial.9.0.nearby_pair_difference_rmse,0.14966513818628294
spatial.9.0.nearby_pairs,16736
spatial.24.0.horizon_ps,24.0
spatial.24.0.sampled_center_fraction_mae,0.15772268455733054
spatial.24.0.sampled_center_jaccard,0.1312660926030491
spatial.24.0.nearby_pair_difference_rmse,0.23884191114044642
spatial.24.0.nearby_pairs,16736
spatial.48.0.horizon_ps,48.0
spatial.48.0.sampled_center_fraction_mae,0.2479802704754634
spatial.48.0.sampled_center_jaccard,0.17062878339506155
spatial.48.0.nearby_pair_difference_rmse,0.3012792232406436
spatial.48.0.nearby_pairs,16736
spatial.96.0.horizon_ps,96.0
spatial.96.0.sampled_center_fraction_mae,0.33173555261882065
spatial.96.0.sampled_center_jaccard,0.13779206085544116
spatial.96.0.nearby_pair_difference_rmse,0.36314216316887865
spatial.96.0.nearby_pairs,16736
test_event_nll,1.113609785636996
best_selection_nll,1.0528885378697141
