metric,value
physical,0.3318577706813812
tda,0.1337481290102005
geometry,0.753783106803894
future_physical,0.644048273563385
physical_persistence,0.9473561644554138
condition_mean,0.9509602189064026
geometry_ridge,0.605879545211792
mean_reversion,0.7156953811645508
selection_score,0.47983888164162636
windows,480
sources,15
noncrystalline.physical,0.3896043598651886
noncrystalline.tda,0.16137878596782684
noncrystalline.geometry,0.8997003436088562
noncrystalline.future_physical,0.7459069490432739
noncrystalline.physical_persistence,1.111281156539917
noncrystalline.condition_mean,1.1132285594940186
noncrystalline.geometry_ridge,0.7198279500007629
noncrystalline.mean_reversion,0.8363919854164124
noncrystalline.windows,336
noncrystalline.sources,15
noncrystalline.order,0.5734752416610718
crystalline.physical,0.20376084744930267
crystalline.tda,0.08001192659139633
crystalline.geometry,0.4405851364135742
crystalline.future_physical,0.41244661808013916
crystalline.physical_persistence,0.587999701499939
crystalline.condition_mean,0.6258633136749268
crystalline.geometry_ridge,0.35983169078826904
crystalline.mean_reversion,0.4481770694255829
crystalline.windows,144
crystalline.sources,12
crystalline.order,0.24690715968608856
per_degree_geometry.1,0.9260339140892029
per_degree_geometry.2,0.9738509058952332
per_degree_geometry.4,0.41899293661117554
per_degree_geometry.6,0.696254551410675
invariant_covariance_trace,6.8854937339617965
invariant_effective_rank,1.4383272347484948
projected_covariance_trace,6.8854937339617965
projected_effective_rank,1.4383272347484948
order,0.45817631483078003
order_components.q4,0.952776312828064
order_components.q6,0.23335953056812286
order_components.w4,0.7928647398948669
order_components.w6,1.278324842453003
order_components.qbar6,0.060826655477285385
order_components.mean_q6_coherence,0.11828296631574631
order_components.density_r12,0.15865710377693176
order_components.smooth_coordination,0.07031810283660889
all_invariant_rank_by_temperature.400,3.6790625857269794
all_invariant_rank_by_temperature.450,1.3425553864307334
all_invariant_rank_by_temperature.500,1.42271157684384
all_invariant_rank_by_temperature.510,1.3192955065325669
all_invariant_rank_by_temperature.520,1.4241734285420895
all_projected_rank_by_temperature.400,3.6790625857269794
all_projected_rank_by_temperature.450,1.3425553864307334
all_projected_rank_by_temperature.500,1.42271157684384
all_projected_rank_by_temperature.510,1.3192955065325669
all_projected_rank_by_temperature.520,1.4241734285420895
noncrystalline_invariant_rank_by_temperature.400,3.703077136117701
noncrystalline_invariant_rank_by_temperature.450,2.7380679832635058
noncrystalline_invariant_rank_by_temperature.500,3.0279407135838543
noncrystalline_invariant_rank_by_temperature.510,2.3050758555579107
noncrystalline_invariant_rank_by_temperature.520,3.8492116330924575
noncrystalline_projected_rank_by_temperature.400,3.703077136117701
noncrystalline_projected_rank_by_temperature.450,2.7380679832635058
noncrystalline_projected_rank_by_temperature.500,3.0279407135838543
noncrystalline_projected_rank_by_temperature.510,2.3050758555579107
noncrystalline_projected_rank_by_temperature.520,3.8492116330924575
linear_order,1.142781376838684
linear_angular,1.025927186012268
step,1024
total_updates,1024
anchor_draws,524288
