metric,value
classification.0.75.n,44385
classification.0.75.sources,30
classification.0.75.prevalence,0.0024611272127941872
classification.0.75.log_loss,0.00981418303111727
classification.0.75.brier,0.002191268826783297
classification.0.75.average_precision,0.21048812706736303
classification.0.75.threshold,0.0020497690420597787
classification.0.75.recall,0.9150821946752439
classification.0.75.false_positive_rate,0.04569977584319122
classification.0.75.precision,0.04707692758557939
classification.0.75.auroc,0.9805212482492954
classification.0.75.f1,0.08954705561041605
classification.0.75.balanced_accuracy,0.9346912094160265
classification.0.75.horizon_ps,0.75
classification.0.75.ece_10bin,0.0010971574264798762
classification.3.0.n,44385
classification.3.0.sources,30
classification.3.0.prevalence,0.00884508151496356
classification.3.0.log_loss,0.026523237936373407
classification.3.0.brier,0.006788845053208273
classification.3.0.average_precision,0.38071410237918996
classification.3.0.threshold,0.023807495832443227
classification.3.0.recall,0.8147322308801868
classification.3.0.false_positive_rate,0.04167965490677262
classification.3.0.precision,0.14853182063479112
classification.3.0.auroc,0.9713871519091042
classification.3.0.f1,0.2512575059603945
classification.3.0.balanced_accuracy,0.8865262879867071
classification.3.0.horizon_ps,3.0
classification.3.0.ece_10bin,0.0021274463711000407
classification.9.0.n,44385
classification.9.0.sources,30
classification.9.0.prevalence,0.031243024276521245
classification.9.0.log_loss,0.07182867616492532
classification.9.0.brier,0.020427034401434
classification.9.0.average_precision,0.5240030789484649
classification.9.0.threshold,0.13640499114990234
classification.9.0.recall,0.7566132519034794
classification.9.0.false_positive_rate,0.040876051359439114
classification.9.0.precision,0.3738091610979287
classification.9.0.auroc,0.9629204731975431
classification.9.0.f1,0.5003951827506151
classification.9.0.balanced_accuracy,0.8578686002720202
classification.9.0.horizon_ps,9.0
classification.9.0.ece_10bin,0.0074877427108654155
classification.24.0.n,44385
classification.24.0.sources,30
classification.24.0.prevalence,0.09117904843080059
classification.24.0.log_loss,0.1809976044253226
classification.24.0.brier,0.05061176435926243
classification.24.0.average_precision,0.621744084836981
classification.24.0.threshold,0.3551632165908814
classification.24.0.recall,0.6255591955771925
classification.24.0.false_positive_rate,0.042083667813760196
classification.24.0.precision,0.5986067548807704
classification.24.0.auroc,0.9084767172635726
classification.24.0.f1,0.6117862695171365
classification.24.0.balanced_accuracy,0.7917377638817162
classification.24.0.horizon_ps,24.0
classification.24.0.ece_10bin,0.011148443414138797
classification.48.0.n,44385
classification.48.0.sources,30
classification.48.0.prevalence,0.18840006848320312
classification.48.0.log_loss,0.36726472832757573
classification.48.0.brier,0.1101960960369348
classification.48.0.average_precision,0.5961771907060541
classification.48.0.threshold,0.4223690629005432
classification.48.0.recall,0.49287702250349186
classification.48.0.false_positive_rate,0.05456523236643649
classification.48.0.precision,0.6770883450677586
classification.48.0.auroc,0.8003399220955145
classification.48.0.f1,0.5704806257326931
classification.48.0.balanced_accuracy,0.7191558950685275
classification.48.0.horizon_ps,48.0
classification.48.0.ece_10bin,0.03394663360117938
classification.96.0.n,44385
classification.96.0.sources,30
classification.96.0.prevalence,0.36752480433082874
classification.96.0.log_loss,0.5880957955243061
classification.96.0.brier,0.20279125928275732
classification.96.0.average_precision,0.6355737499498354
classification.96.0.threshold,0.6865150332450867
classification.96.0.recall,0.3299803364230502
classification.96.0.false_positive_rate,0.061013149820538626
classification.96.0.precision,0.7586135769571581
classification.96.0.auroc,0.7146829018982198
classification.96.0.f1,0.4599099081164643
classification.96.0.balanced_accuracy,0.6344835933012563
classification.96.0.horizon_ps,96.0
classification.96.0.ece_10bin,0.09798435382093793
timing.0.75.horizon_ps,0.75
timing.0.75.true_events,68
timing.0.75.missed_windows,5
timing.0.75.detected_window_timing_mae_ps,0.375
timing.0.75.detected_window_timing_bias_ps,-0.375
timing.0.75.timed_within_3ps_recall,0.9264705882352942
timing.0.75.alarm_episodes,627
timing.0.75.false_alarm_episodes,607
timing.0.75.observable_event_centers,68
timing.0.75.detected_event_centers,20
timing.0.75.missed_event_centers,48
timing.0.75.event_recall,0.29411764705882354
timing.0.75.false_alarms_per_sampled_center_ns,4.558597123652886
timing.0.75.mean_detected_lead_ps,0.75
timing.3.0.horizon_ps,3.0
timing.3.0.true_events,274
timing.3.0.missed_windows,51
timing.3.0.detected_window_timing_mae_ps,0.7594064017208711
timing.3.0.detected_window_timing_bias_ps,-0.36899834890237654
timing.3.0.timed_within_3ps_recall,0.8138686131386861
timing.3.0.alarm_episodes,639
timing.3.0.false_alarm_episodes,572
timing.3.0.observable_event_centers,274
timing.3.0.detected_event_centers,67
timing.3.0.missed_event_centers,207
timing.3.0.event_recall,0.24452554744525548
timing.3.0.false_alarms_per_sampled_center_ns,4.29574555968608
timing.3.0.mean_detected_lead_ps,1.9701492537313432
timing.9.0.horizon_ps,9.0
timing.9.0.true_events,974
timing.9.0.missed_windows,253
timing.9.0.detected_window_timing_mae_ps,1.8980525598264857
timing.9.0.detected_window_timing_bias_ps,-0.11880369311994761
timing.9.0.timed_within_3ps_recall,0.5831622176591376
timing.9.0.alarm_episodes,710
timing.9.0.false_alarm_episodes,536
timing.9.0.observable_event_centers,378
timing.9.0.detected_event_centers,174
timing.9.0.missed_event_centers,204
timing.9.0.event_recall,0.4603174603174603
timing.9.0.false_alarms_per_sampled_center_ns,4.025383951034509
timing.9.0.mean_detected_lead_ps,5.637931034482759
timing.24.0.horizon_ps,24.0
timing.24.0.true_events,2883
timing.24.0.missed_windows,1075
timing.24.0.detected_window_timing_mae_ps,4.515601876547245
timing.24.0.detected_window_timing_bias_ps,0.43823406777808616
timing.24.0.timed_within_3ps_recall,0.23829344432882413
timing.24.0.alarm_episodes,846
timing.24.0.false_alarm_episodes,462
timing.24.0.observable_event_centers,397
timing.24.0.detected_event_centers,322
timing.24.0.missed_event_centers,75
timing.24.0.event_recall,0.8110831234256927
timing.24.0.false_alarms_per_sampled_center_ns,3.4696406443618337
timing.24.0.mean_detected_lead_ps,14.932453416149068
timing.48.0.horizon_ps,48.0
timing.48.0.true_events,6014
timing.48.0.missed_windows,2986
timing.48.0.detected_window_timing_mae_ps,8.613770766389859
timing.48.0.detected_window_timing_bias_ps,0.8528155533412167
timing.48.0.timed_within_3ps_recall,0.11190555370801464
timing.48.0.alarm_episodes,1085
timing.48.0.false_alarm_episodes,500
timing.48.0.observable_event_centers,402
timing.48.0.detected_event_centers,372
timing.48.0.missed_event_centers,30
timing.48.0.event_recall,0.9253731343283582
timing.48.0.false_alarms_per_sampled_center_ns,3.755022342382937
timing.48.0.mean_detected_lead_ps,26.848790322580644
timing.96.0.horizon_ps,96.0
timing.96.0.true_events,12127
timing.96.0.missed_windows,8119
timing.96.0.detected_window_timing_mae_ps,15.845862264023133
timing.96.0.detected_window_timing_bias_ps,1.1841566095373162
timing.96.0.timed_within_3ps_recall,0.04197245815123279
timing.96.0.alarm_episodes,1547
timing.96.0.false_alarm_episodes,678
timing.96.0.observable_event_centers,409
timing.96.0.detected_event_centers,390
timing.96.0.missed_event_centers,19
timing.96.0.event_recall,0.9535452322738386
timing.96.0.false_alarms_per_sampled_center_ns,5.091810296271262
timing.96.0.mean_detected_lead_ps,43.37692307692308
spatial.0.75.horizon_ps,0.75
spatial.0.75.sampled_center_fraction_mae,0.004622809702450148
spatial.0.75.sampled_center_jaccard,0.034295190713101165
spatial.0.75.nearby_pair_difference_rmse,0.039245931029371205
spatial.0.75.nearby_pairs,16736
spatial.3.0.horizon_ps,3.0
spatial.3.0.sampled_center_fraction_mae,0.0138897842988194
spatial.3.0.sampled_center_jaccard,0.11957743226600984
spatial.3.0.nearby_pair_difference_rmse,0.07774726512152857
spatial.3.0.nearby_pairs,16736
spatial.9.0.horizon_ps,9.0
spatial.9.0.sampled_center_fraction_mae,0.03827409422556053
spatial.9.0.sampled_center_jaccard,0.26571604612270044
spatial.9.0.nearby_pair_difference_rmse,0.1377554511989578
spatial.9.0.nearby_pairs,16736
spatial.24.0.horizon_ps,24.0
spatial.24.0.sampled_center_fraction_mae,0.08326246695742735
spatial.24.0.sampled_center_jaccard,0.33889332579060044
spatial.24.0.nearby_pair_difference_rmse,0.2315965637410681
spatial.24.0.nearby_pairs,16736
spatial.48.0.horizon_ps,48.0
spatial.48.0.sampled_center_fraction_mae,0.15683754640715686
spatial.48.0.sampled_center_jaccard,0.31558969815303645
spatial.48.0.nearby_pair_difference_rmse,0.318915877774193
spatial.48.0.nearby_pairs,16736
spatial.96.0.horizon_ps,96.0
spatial.96.0.sampled_center_fraction_mae,0.2601996656518644
spatial.96.0.sampled_center_jaccard,0.2742380187234556
spatial.96.0.nearby_pair_difference_rmse,0.38715567375915283
spatial.96.0.nearby_pairs,16736
fine_timing.0.75.detected_window_timing_mae_ps,0.0
fine_timing.0.75.detected_window_timing_bias_ps,0.0
fine_timing.0.75.missed_windows,5
fine_timing.0.75.positive_windows,68
fine_timing.0.75.timed_within_3ps_recall,0.9264705882352942
fine_timing.0.75.all_positive_window_conditional_timing_mae_ps,0.0
fine_timing.3.0.detected_window_timing_mae_ps,0.6988982501996294
fine_timing.3.0.detected_window_timing_bias_ps,0.039915963693355046
fine_timing.3.0.missed_windows,51
fine_timing.3.0.positive_windows,274
fine_timing.3.0.timed_within_3ps_recall,0.8138686131386861
fine_timing.3.0.all_positive_window_conditional_timing_mae_ps,0.7003472872728143
fine_timing.9.0.detected_window_timing_mae_ps,1.8699631491462632
fine_timing.9.0.detected_window_timing_bias_ps,0.16912717207843542
fine_timing.9.0.missed_windows,253
fine_timing.9.0.positive_windows,974
