metric,value
classification.0.75.n,44385
classification.0.75.sources,30
classification.0.75.prevalence,0.0024611272127941872
classification.0.75.log_loss,0.009678673275049614
classification.0.75.brier,0.0021444525917540735
classification.0.75.average_precision,0.23114295189719258
classification.0.75.threshold,0.0074668815359473254
classification.0.75.recall,0.8564859794723096
classification.0.75.false_positive_rate,0.043000023910656195
classification.0.75.precision,0.04684048491970296
classification.0.75.auroc,0.9657581499675754
classification.0.75.f1,0.08882329963046408
classification.0.75.balanced_accuracy,0.9067429777808268
classification.0.75.horizon_ps,0.75
classification.0.75.ece_10bin,0.0003411432633396687
classification.3.0.n,44385
classification.3.0.sources,30
classification.3.0.prevalence,0.00884508151496356
classification.3.0.log_loss,0.026428964581779166
classification.3.0.brier,0.0067516143777279535
classification.3.0.average_precision,0.3762505620322935
classification.3.0.threshold,0.047766808420419714
classification.3.0.recall,0.8124758127737823
classification.3.0.false_positive_rate,0.03954027593078697
classification.3.0.precision,0.1549565939607369
classification.3.0.auroc,0.9657654833802659
classification.3.0.f1,0.2602734490730276
classification.3.0.balanced_accuracy,0.8864677684214977
classification.3.0.horizon_ps,3.0
classification.3.0.ece_10bin,0.00108942460028805
classification.9.0.n,44385
classification.9.0.sources,30
classification.9.0.prevalence,0.031243024276521245
classification.9.0.log_loss,0.07116806616388802
classification.9.0.brier,0.01998034341267529
classification.9.0.average_precision,0.5300472461718462
classification.9.0.threshold,0.19893911480903625
classification.9.0.recall,0.7170456814512749
classification.9.0.false_positive_rate,0.037913688186313924
classification.9.0.precision,0.37885986824873047
classification.9.0.auroc,0.9527092757800545
classification.9.0.f1,0.4957723454860059
classification.9.0.balanced_accuracy,0.8395659966324804
classification.9.0.horizon_ps,9.0
classification.9.0.ece_10bin,0.003082051016120493
classification.24.0.n,44385
classification.24.0.sources,30
classification.24.0.prevalence,0.09117904843080059
classification.24.0.log_loss,0.18643137474785434
classification.24.0.brier,0.051113010288273
classification.24.0.average_precision,0.6133448302243208
classification.24.0.threshold,0.3901827931404114
classification.24.0.recall,0.6264686824845493
classification.24.0.false_positive_rate,0.04016056888955448
classification.24.0.precision,0.6101374886278681
classification.24.0.auroc,0.893291793220063
classification.24.0.f1,0.6181952469010997
classification.24.0.balanced_accuracy,0.7931540567974975
classification.24.0.horizon_ps,24.0
classification.24.0.ece_10bin,0.01889093519498232
classification.48.0.n,44385
classification.48.0.sources,30
classification.48.0.prevalence,0.18840006848320312
classification.48.0.log_loss,0.37257611912074595
classification.48.0.brier,0.11305734702248373
classification.48.0.average_precision,0.5942704089080184
classification.48.0.threshold,0.46997007727622986
classification.48.0.recall,0.4836706883624164
classification.48.0.false_positive_rate,0.05103279463961163
classification.48.0.precision,0.6875083063761355
classification.48.0.auroc,0.7978204121962669
classification.48.0.f1,0.5678510582817551
classification.48.0.balanced_accuracy,0.7163189468614022
classification.48.0.horizon_ps,48.0
classification.48.0.ece_10bin,0.050032631278614015
classification.96.0.n,44385
classification.96.0.sources,30
classification.96.0.prevalence,0.36752480433082874
classification.96.0.log_loss,0.5899972409493031
classification.96.0.brier,0.20702202342885312
classification.96.0.average_precision,0.636686549784844
classification.96.0.threshold,0.7168180346488953
classification.96.0.recall,0.32194152607299104
classification.96.0.false_positive_rate,0.04916258678530984
classification.96.0.precision,0.7918951302529814
classification.96.0.auroc,0.7158210749456285
classification.96.0.f1,0.4577761474727477
classification.96.0.balanced_accuracy,0.636389469643841
classification.96.0.horizon_ps,96.0
classification.96.0.ece_10bin,0.10925917297413731
timing.0.75.horizon_ps,0.75
timing.0.75.true_events,68
timing.0.75.missed_windows,10
timing.0.75.detected_window_timing_mae_ps,0.375
timing.0.75.detected_window_timing_bias_ps,-0.375
timing.0.75.timed_within_3ps_recall,0.8529411764705882
timing.0.75.alarm_episodes,601
timing.0.75.false_alarm_episodes,590
timing.0.75.observable_event_centers,68
timing.0.75.detected_event_centers,11
timing.0.75.missed_event_centers,57
timing.0.75.event_recall,0.16176470588235295
timing.0.75.false_alarms_per_sampled_center_ns,4.4309263640118655
timing.0.75.mean_detected_lead_ps,0.75
timing.3.0.horizon_ps,3.0
timing.3.0.true_events,274
timing.3.0.missed_windows,53
timing.3.0.detected_window_timing_mae_ps,0.7451465357022576
timing.3.0.detected_window_timing_bias_ps,-0.36531578632401657
timing.3.0.timed_within_3ps_recall,0.8065693430656934
timing.3.0.alarm_episodes,615
timing.3.0.false_alarm_episodes,548
timing.3.0.observable_event_centers,274
timing.3.0.detected_event_centers,67
timing.3.0.missed_event_centers,207
timing.3.0.event_recall,0.24452554744525548
timing.3.0.false_alarms_per_sampled_center_ns,4.115504487251699
timing.3.0.mean_detected_lead_ps,2.037313432835821
timing.9.0.horizon_ps,9.0
timing.9.0.true_events,974
timing.9.0.missed_windows,287
timing.9.0.detected_window_timing_mae_ps,1.9070843160161697
timing.9.0.detected_window_timing_bias_ps,-0.43280206569331114
timing.9.0.timed_within_3ps_recall,0.5646817248459959
timing.9.0.alarm_episodes,677
timing.9.0.false_alarm_episodes,512
timing.9.0.observable_event_centers,378
timing.9.0.detected_event_centers,165
timing.9.0.missed_event_centers,213
timing.9.0.event_recall,0.4365079365079365
timing.9.0.false_alarms_per_sampled_center_ns,3.845142878600128
timing.9.0.mean_detected_lead_ps,5.540909090909091
timing.24.0.horizon_ps,24.0
timing.24.0.true_events,2883
timing.24.0.missed_windows,1080
timing.24.0.detected_window_timing_mae_ps,4.481158358010619
timing.24.0.detected_window_timing_bias_ps,-0.258994657320989
timing.24.0.timed_within_3ps_recall,0.23655913978494625
timing.24.0.alarm_episodes,827
timing.24.0.false_alarm_episodes,459
timing.24.0.observable_event_centers,397
timing.24.0.detected_event_centers,307
timing.24.0.missed_event_centers,90
timing.24.0.event_recall,0.7732997481108312
timing.24.0.false_alarms_per_sampled_center_ns,3.447110510307536
timing.24.0.mean_detected_lead_ps,15.327361563517915
timing.48.0.horizon_ps,48.0
timing.48.0.true_events,6014
timing.48.0.missed_windows,3054
timing.48.0.detected_window_timing_mae_ps,8.470500426482285
timing.48.0.detected_window_timing_bias_ps,-0.03726214095873794
timing.48.0.timed_within_3ps_recall,0.10492184901895577
timing.48.0.alarm_episodes,1094
timing.48.0.false_alarm_episodes,507
timing.48.0.observable_event_centers,402
timing.48.0.detected_event_centers,369
timing.48.0.missed_event_centers,33
timing.48.0.event_recall,0.917910447761194
timing.48.0.false_alarms_per_sampled_center_ns,3.807592655176298
timing.48.0.mean_detected_lead_ps,26.73780487804878
timing.96.0.horizon_ps,96.0
timing.96.0.true_events,12127
timing.96.0.missed_windows,8355
timing.96.0.detected_window_timing_mae_ps,15.344416841750842
timing.96.0.detected_window_timing_bias_ps,-0.19311127112268395
timing.96.0.timed_within_3ps_recall,0.037354663148346665
timing.96.0.alarm_episodes,1355
timing.96.0.false_alarm_episodes,541
timing.96.0.observable_event_centers,409
timing.96.0.detected_event_centers,385
timing.96.0.missed_event_centers,24
timing.96.0.event_recall,0.941320293398533
timing.96.0.false_alarms_per_sampled_center_ns,4.062934174458338
timing.96.0.mean_detected_lead_ps,41.16428571428571
spatial.0.75.horizon_ps,0.75
spatial.0.75.sampled_center_fraction_mae,0.004911469358640857
spatial.0.75.sampled_center_jaccard,0.03241353936718175
spatial.0.75.nearby_pair_difference_rmse,0.038503181920202675
spatial.0.75.nearby_pairs,16736
spatial.3.0.horizon_ps,3.0
spatial.3.0.sampled_center_fraction_mae,0.015874064510957415
spatial.3.0.sampled_center_jaccard,0.12556184189847555
spatial.3.0.nearby_pair_difference_rmse,0.07773495514001587
spatial.3.0.nearby_pairs,16736
spatial.9.0.horizon_ps,9.0
spatial.9.0.sampled_center_fraction_mae,0.04028570886331128
spatial.9.0.sampled_center_jaccard,0.269780487804878
spatial.9.0.nearby_pair_difference_rmse,0.1359466831276801
spatial.9.0.nearby_pairs,16736
spatial.24.0.horizon_ps,24.0
spatial.24.0.sampled_center_fraction_mae,0.09248188433247721
spatial.24.0.sampled_center_jaccard,0.3371523960655955
spatial.24.0.nearby_pair_difference_rmse,0.22838993582123343
spatial.24.0.nearby_pairs,16736
spatial.48.0.horizon_ps,48.0
spatial.48.0.sampled_center_fraction_mae,0.17280687890805807
spatial.48.0.sampled_center_jaccard,0.29564004526459214
spatial.48.0.nearby_pair_difference_rmse,0.31282750887025895
spatial.48.0.nearby_pairs,16736
spatial.96.0.horizon_ps,96.0
spatial.96.0.sampled_center_fraction_mae,0.2727723469156782
spatial.96.0.sampled_center_jaccard,0.2402248183688965
spatial.96.0.nearby_pair_difference_rmse,0.37914317793172375
spatial.96.0.nearby_pairs,16736
fine_timing.0.75.detected_window_timing_mae_ps,0.0
fine_timing.0.75.detected_window_timing_bias_ps,0.0
fine_timing.0.75.missed_windows,10
fine_timing.0.75.positive_windows,68
fine_timing.0.75.timed_within_3ps_recall,0.8529411764705882
fine_timing.0.75.all_positive_window_conditional_timing_mae_ps,0.0
fine_timing.3.0.detected_window_timing_mae_ps,0.6876963892526013
fine_timing.3.0.detected_window_timing_bias_ps,0.016496624193598444
fine_timing.3.0.missed_windows,53
fine_timing.3.0.positive_windows,274
fine_timing.3.0.timed_within_3ps_recall,0.8065693430656934
fine_timing.3.0.all_positive_window_conditional_timing_mae_ps,0.7024325667564656
fine_timing.9.0.detected_window_timing_mae_ps,1.8648799088864412
fine_timing.9.0.detected_window_timing_bias_ps,-0.18385549437109566
fine_timing.9.0.missed_windows,287
fine_timing.9.0.positive_windows,974
