metric,value
classification.0.75.n,44385
classification.0.75.sources,30
classification.0.75.prevalence,0.0024611272127941872
classification.0.75.log_loss,0.008805904009437858
classification.0.75.brier,0.0020794033187581536
classification.0.75.average_precision,0.3109155054812482
classification.0.75.threshold,0.005545779131352899
classification.0.75.recall,0.8944917522900878
classification.0.75.false_positive_rate,0.037522945754045786
classification.0.75.precision,0.055547409614281104
classification.0.75.auroc,0.9804241728720026
classification.0.75.f1,0.10459926654277235
classification.0.75.balanced_accuracy,0.9284844032680212
classification.0.75.horizon_ps,0.75
classification.0.75.ece_10bin,0.0006090221569645202
classification.3.0.n,44385
classification.3.0.sources,30
classification.3.0.prevalence,0.00884508151496356
classification.3.0.log_loss,0.02613270974633084
classification.3.0.brier,0.00674329333481019
classification.3.0.average_precision,0.36039953354476567
classification.3.0.threshold,0.031159138306975365
classification.3.0.recall,0.797929402094418
classification.3.0.false_positive_rate,0.036972385916645034
classification.3.0.precision,0.16149308733268133
classification.3.0.auroc,0.972286478857614
classification.3.0.f1,0.26862010019109384
classification.3.0.balanced_accuracy,0.8804785080888865
classification.3.0.horizon_ps,3.0
classification.3.0.ece_10bin,0.0014501178780640962
classification.9.0.n,44385
classification.9.0.sources,30
classification.9.0.prevalence,0.031243024276521245
classification.9.0.log_loss,0.07539825141761351
classification.9.0.brier,0.020437269185551794
classification.9.0.average_precision,0.5135958718642949
classification.9.0.threshold,0.1287281513214112
classification.9.0.recall,0.6952346216463904
classification.9.0.false_positive_rate,0.03968011849553642
classification.9.0.precision,0.36104797057163845
classification.9.0.auroc,0.9483809976565977
classification.9.0.f1,0.4752763153835223
classification.9.0.balanced_accuracy,0.8277772515754269
classification.9.0.horizon_ps,9.0
classification.9.0.ece_10bin,0.0025664059894342315
classification.24.0.n,44385
classification.24.0.sources,30
classification.24.0.prevalence,0.09117904843080059
classification.24.0.log_loss,0.21533537628621424
classification.24.0.brier,0.06014756190896536
classification.24.0.average_precision,0.513535692639785
classification.24.0.threshold,0.2971884310245514
classification.24.0.recall,0.5192119424007537
classification.24.0.false_positive_rate,0.05075400156520911
classification.24.0.precision,0.5064993189221593
classification.24.0.auroc,0.8630861624658942
classification.24.0.f1,0.5127768507933774
classification.24.0.balanced_accuracy,0.7342289704177724
classification.24.0.horizon_ps,24.0
classification.24.0.ece_10bin,0.018129002277190484
classification.48.0.n,44385
classification.48.0.sources,30
classification.48.0.prevalence,0.18840006848320312
classification.48.0.log_loss,0.40665218869499103
classification.48.0.brier,0.12707286797988612
classification.48.0.average_precision,0.5100185533444834
classification.48.0.threshold,0.462735652923584
classification.48.0.recall,0.3763438056178144
classification.48.0.false_positive_rate,0.06190554673409218
classification.48.0.precision,0.5852719290942922
classification.48.0.auroc,0.7644547282220692
classification.48.0.f1,0.45811119174868553
classification.48.0.balanced_accuracy,0.657219129441861
classification.48.0.horizon_ps,48.0
classification.48.0.ece_10bin,0.05045417181669323
classification.96.0.n,44385
classification.96.0.sources,30
classification.96.0.prevalence,0.36752480433082874
classification.96.0.log_loss,0.6052510748463147
classification.96.0.brier,0.21390889394860793
classification.96.0.average_precision,0.6013382443855163
classification.96.0.threshold,0.7020833492279053
classification.96.0.recall,0.28279971045921504
classification.96.0.false_positive_rate,0.06364480118612972
classification.96.0.precision,0.7208277187490055
classification.96.0.auroc,0.6954620515480622
classification.96.0.f1,0.40622618358291845
classification.96.0.balanced_accuracy,0.609577454636543
classification.96.0.horizon_ps,96.0
classification.96.0.ece_10bin,0.10356105250925032
timing.0.75.horizon_ps,0.75
timing.0.75.true_events,68
timing.0.75.missed_windows,9
timing.0.75.detected_window_timing_mae_ps,0.375
timing.0.75.detected_window_timing_bias_ps,-0.375
timing.0.75.timed_within_3ps_recall,0.8676470588235294
timing.0.75.alarm_episodes,530
timing.0.75.false_alarm_episodes,511
timing.0.75.observable_event_centers,68
timing.0.75.detected_event_centers,19
timing.0.75.missed_event_centers,49
timing.0.75.event_recall,0.27941176470588236
timing.0.75.false_alarms_per_sampled_center_ns,3.837632833915362
timing.0.75.mean_detected_lead_ps,0.75
timing.3.0.horizon_ps,3.0
timing.3.0.true_events,274
timing.3.0.missed_windows,57
timing.3.0.detected_window_timing_mae_ps,0.7073040544426289
timing.3.0.detected_window_timing_bias_ps,-0.2896472754001767
timing.3.0.timed_within_3ps_recall,0.791970802919708
timing.3.0.alarm_episodes,551
timing.3.0.false_alarm_episodes,467
timing.3.0.observable_event_centers,274
timing.3.0.detected_event_centers,84
timing.3.0.missed_event_centers,190
timing.3.0.event_recall,0.30656934306569344
timing.3.0.false_alarms_per_sampled_center_ns,3.5071908677856634
timing.3.0.mean_detected_lead_ps,1.9017857142857142
timing.9.0.horizon_ps,9.0
timing.9.0.true_events,974
timing.9.0.missed_windows,323
timing.9.0.detected_window_timing_mae_ps,1.9288681721202623
timing.9.0.detected_window_timing_bias_ps,-0.04475177111143126
timing.9.0.timed_within_3ps_recall,0.5359342915811088
timing.9.0.alarm_episodes,733
timing.9.0.false_alarm_episodes,537
timing.9.0.observable_event_centers,378
timing.9.0.detected_event_centers,196
timing.9.0.missed_event_centers,182
timing.9.0.event_recall,0.5185185185185185
timing.9.0.false_alarms_per_sampled_center_ns,4.032893995719275
timing.9.0.mean_detected_lead_ps,5.165816326530612
timing.24.0.horizon_ps,24.0
timing.24.0.true_events,2883
timing.24.0.missed_windows,1454
timing.24.0.detected_window_timing_mae_ps,4.774929736810743
timing.24.0.detected_window_timing_bias_ps,1.0082284161261554
timing.24.0.timed_within_3ps_recall,0.1678806798473812
timing.24.0.alarm_episodes,1186
timing.24.0.false_alarm_episodes,814
timing.24.0.observable_event_centers,397
timing.24.0.detected_event_centers,316
timing.24.0.missed_event_centers,81
timing.24.0.event_recall,0.7959697732997482
timing.24.0.false_alarms_per_sampled_center_ns,6.113176373399422
timing.24.0.mean_detected_lead_ps,12.5625
timing.48.0.horizon_ps,48.0
timing.48.0.true_events,6014
timing.48.0.missed_windows,3837
timing.48.0.detected_window_timing_mae_ps,9.220946500094023
timing.48.0.detected_window_timing_bias_ps,1.3488543348703002
timing.48.0.timed_within_3ps_recall,0.06601263717991354
timing.48.0.alarm_episodes,1597
timing.48.0.false_alarm_episodes,1031
timing.48.0.observable_event_centers,402
timing.48.0.detected_event_centers,353
timing.48.0.missed_event_centers,49
timing.48.0.event_recall,0.8781094527363185
timing.48.0.false_alarms_per_sampled_center_ns,7.742856069993616
timing.48.0.mean_detected_lead_ps,23.475212464589234
timing.96.0.horizon_ps,96.0
timing.96.0.true_events,12127
timing.96.0.missed_windows,9139
timing.96.0.detected_window_timing_mae_ps,17.99531399783337
timing.96.0.detected_window_timing_bias_ps,-0.03801762447883716
timing.96.0.timed_within_3ps_recall,0.0235012781396883
timing.96.0.alarm_episodes,1686
timing.96.0.false_alarm_episodes,901
timing.96.0.observable_event_centers,409
timing.96.0.detected_event_centers,359
timing.96.0.missed_event_centers,50
timing.96.0.event_recall,0.8777506112469438
timing.96.0.false_alarms_per_sampled_center_ns,6.766550260974053
timing.96.0.mean_detected_lead_ps,43.31197771587744
spatial.0.75.horizon_ps,0.75
spatial.0.75.sampled_center_fraction_mae,0.00437308242780501
spatial.0.75.sampled_center_jaccard,0.04081140350877193
spatial.0.75.nearby_pair_difference_rmse,0.036740486651424716
spatial.0.75.nearby_pairs,16736
spatial.3.0.horizon_ps,3.0
spatial.3.0.sampled_center_fraction_mae,0.014846574147842503
spatial.3.0.sampled_center_jaccard,0.14251207729468598
spatial.3.0.nearby_pair_difference_rmse,0.07773704108550687
spatial.3.0.nearby_pairs,16736
spatial.9.0.horizon_ps,9.0
spatial.9.0.sampled_center_fraction_mae,0.04062299542965954
spatial.9.0.sampled_center_jaccard,0.26033998283998283
spatial.9.0.nearby_pair_difference_rmse,0.138780631452177
spatial.9.0.nearby_pairs,16736
spatial.24.0.horizon_ps,24.0
spatial.24.0.sampled_center_fraction_mae,0.10363075050539323
spatial.24.0.sampled_center_jaccard,0.23594791960176573
spatial.24.0.nearby_pair_difference_rmse,0.23839907099408936
spatial.24.0.nearby_pairs,16736
spatial.48.0.horizon_ps,48.0
spatial.48.0.sampled_center_fraction_mae,0.18970746716533954
spatial.48.0.sampled_center_jaccard,0.20457611184126687
spatial.48.0.nearby_pair_difference_rmse,0.31685894152762967
spatial.48.0.nearby_pairs,16736
spatial.96.0.horizon_ps,96.0
spatial.96.0.sampled_center_fraction_mae,0.2848904152404151
spatial.96.0.sampled_center_jaccard,0.17522910907211647
spatial.96.0.nearby_pair_difference_rmse,0.3756661422226441
spatial.96.0.nearby_pairs,16736
fine_timing.0.75.detected_window_timing_mae_ps,0.0
fine_timing.0.75.detected_window_timing_bias_ps,0.0
fine_timing.0.75.missed_windows,9
fine_timing.0.75.positive_windows,68
fine_timing.0.75.timed_within_3ps_recall,0.8676470588235294
fine_timing.0.75.all_positive_window_conditional_timing_mae_ps,0.0
fine_timing.3.0.detected_window_timing_mae_ps,0.6928996586141115
fine_timing.3.0.detected_window_timing_bias_ps,0.11122814282632583
fine_timing.3.0.missed_windows,57
fine_timing.3.0.positive_windows,274
fine_timing.3.0.timed_within_3ps_recall,0.791970802919708
fine_timing.3.0.all_positive_window_conditional_timing_mae_ps,0.6942319957659296
fine_timing.9.0.detected_window_timing_mae_ps,1.9264837061683737
fine_timing.9.0.detected_window_timing_bias_ps,0.2203511208397919
fine_timing.9.0.missed_windows,323
fine_timing.9.0.positive_windows,974
fine_timing.9.0.timed_within_3ps_recall,0.5420944558521561
