metric,value
classification.0.75.n,44385
classification.0.75.sources,30
classification.0.75.prevalence,0.0024611272127941872
classification.0.75.log_loss,0.009068852460205378
classification.0.75.brier,0.0020992909373904003
classification.0.75.average_precision,0.2520388234933554
classification.0.75.threshold,0.005686818156391385
classification.0.75.recall,0.8760170214441212
classification.0.75.false_positive_rate,0.04101539848434949
classification.0.75.precision,0.050057281631389464
classification.0.75.auroc,0.9727397339710284
classification.0.75.f1,0.0947030505234606
classification.0.75.balanced_accuracy,0.9175008114798859
classification.0.75.horizon_ps,0.75
classification.0.75.ece_10bin,0.00045129551716550844
classification.3.0.n,44385
classification.3.0.sources,30
classification.3.0.prevalence,0.00884508151496356
classification.3.0.log_loss,0.025496934788854883
classification.3.0.brier,0.006572784380079519
classification.3.0.average_precision,0.38562463385701445
classification.3.0.threshold,0.034668702632188804
classification.3.0.recall,0.8163593800921943
classification.3.0.false_positive_rate,0.041577411853639626
classification.3.0.precision,0.14909565178124168
classification.3.0.auroc,0.968308948437444
classification.3.0.f1,0.2521414873697238
classification.3.0.balanced_accuracy,0.8873909841192773
classification.3.0.horizon_ps,3.0
classification.3.0.ece_10bin,0.0008184690669282422
classification.9.0.n,44385
classification.9.0.sources,30
classification.9.0.prevalence,0.031243024276521245
classification.9.0.log_loss,0.06994040879189252
classification.9.0.brier,0.01956433424680689
classification.9.0.average_precision,0.5467367476368791
classification.9.0.threshold,0.18176047503948212
classification.9.0.recall,0.7418679124143289
classification.9.0.false_positive_rate,0.03779265695892683
classification.9.0.precision,0.3876594663772667
classification.9.0.auroc,0.95401942484276
classification.9.0.f1,0.5092255831047333
classification.9.0.balanced_accuracy,0.852037627727701
classification.9.0.horizon_ps,9.0
classification.9.0.ece_10bin,0.0031226193490206558
classification.24.0.n,44385
classification.24.0.sources,30
classification.24.0.prevalence,0.09117904843080059
classification.24.0.log_loss,0.18599751844458523
classification.24.0.brier,0.05083184940223402
classification.24.0.average_precision,0.6206923647611541
classification.24.0.threshold,0.3880848586559296
classification.24.0.recall,0.6324264650841558
classification.24.0.false_positive_rate,0.039482806082732934
classification.24.0.precision,0.6164189020365999
classification.24.0.auroc,0.8920421739295946
classification.24.0.f1,0.6243200919659868
classification.24.0.balanced_accuracy,0.7964718295007114
classification.24.0.horizon_ps,24.0
classification.24.0.ece_10bin,0.0183487472465027
classification.48.0.n,44385
classification.48.0.sources,30
classification.48.0.prevalence,0.18840006848320312
classification.48.0.log_loss,0.37491903777687846
classification.48.0.brier,0.11384771661738745
classification.48.0.average_precision,0.5908764853131065
classification.48.0.threshold,0.4686878323554993
classification.48.0.recall,0.4845926473041343
classification.48.0.false_positive_rate,0.052114743263877786
classification.48.0.precision,0.683395620021224
classification.48.0.auroc,0.7941603613534051
classification.48.0.f1,0.5670750330745982
classification.48.0.balanced_accuracy,0.7162389520201281
classification.48.0.horizon_ps,48.0
classification.48.0.ece_10bin,0.051637275662818255
classification.96.0.n,44385
classification.96.0.sources,30
classification.96.0.prevalence,0.36752480433082874
classification.96.0.log_loss,0.5931686112555432
classification.96.0.brier,0.20831089573045727
classification.96.0.average_precision,0.6323235344760734
classification.96.0.threshold,0.715991735458374
classification.96.0.recall,0.31987857476033915
classification.96.0.false_positive_rate,0.05080988916986031
classification.96.0.precision,0.7853297010751437
classification.96.0.auroc,0.7139268227737322
classification.96.0.f1,0.45459331239078565
classification.96.0.balanced_accuracy,0.6345343427952399
classification.96.0.horizon_ps,96.0
classification.96.0.ece_10bin,0.11091135931016605
timing.0.75.horizon_ps,0.75
timing.0.75.true_events,68
timing.0.75.missed_windows,8
timing.0.75.detected_window_timing_mae_ps,0.375
timing.0.75.detected_window_timing_bias_ps,-0.375
timing.0.75.timed_within_3ps_recall,0.8823529411764706
timing.0.75.alarm_episodes,588
timing.0.75.false_alarm_episodes,574
timing.0.75.observable_event_centers,68
timing.0.75.detected_event_centers,14
timing.0.75.missed_event_centers,54
timing.0.75.event_recall,0.20588235294117646
timing.0.75.false_alarms_per_sampled_center_ns,4.310765649055612
timing.0.75.mean_detected_lead_ps,0.75
timing.3.0.horizon_ps,3.0
timing.3.0.true_events,274
timing.3.0.missed_windows,47
timing.3.0.detected_window_timing_mae_ps,0.723528582666447
timing.3.0.detected_window_timing_bias_ps,-0.3310075249721341
timing.3.0.timed_within_3ps_recall,0.8284671532846716
timing.3.0.alarm_episodes,638
timing.3.0.false_alarm_episodes,571
timing.3.0.observable_event_centers,274
timing.3.0.detected_event_centers,67
timing.3.0.missed_event_centers,207
timing.3.0.event_recall,0.24452554744525548
timing.3.0.false_alarms_per_sampled_center_ns,4.288235515001314
timing.3.0.mean_detected_lead_ps,1.9477611940298507
timing.9.0.horizon_ps,9.0
timing.9.0.true_events,974
timing.9.0.missed_windows,271
timing.9.0.detected_window_timing_mae_ps,1.8787493870639025
timing.9.0.detected_window_timing_bias_ps,-0.3144814385664388
timing.9.0.timed_within_3ps_recall,0.5882956878850103
timing.9.0.alarm_episodes,691
timing.9.0.false_alarm_episodes,511
timing.9.0.observable_event_centers,378
timing.9.0.detected_event_centers,180
timing.9.0.missed_event_centers,198
timing.9.0.event_recall,0.47619047619047616
timing.9.0.false_alarms_per_sampled_center_ns,3.837632833915362
timing.9.0.mean_detected_lead_ps,5.504166666666666
timing.24.0.horizon_ps,24.0
timing.24.0.true_events,2883
timing.24.0.missed_windows,1083
timing.24.0.detected_window_timing_mae_ps,4.4549909549215725
timing.24.0.detected_window_timing_bias_ps,-0.10827914325960185
timing.24.0.timed_within_3ps_recall,0.2407214706902532
timing.24.0.alarm_episodes,864
timing.24.0.false_alarm_episodes,470
timing.24.0.observable_event_centers,397
timing.24.0.detected_event_centers,318
timing.24.0.missed_event_centers,79
timing.24.0.event_recall,0.801007556675063
timing.24.0.false_alarms_per_sampled_center_ns,3.529721001839961
timing.24.0.mean_detected_lead_ps,15.497641509433961
timing.48.0.horizon_ps,48.0
timing.48.0.true_events,6014
timing.48.0.missed_windows,3052
timing.48.0.detected_window_timing_mae_ps,8.380807886292581
timing.48.0.detected_window_timing_bias_ps,0.11487123818933756
timing.48.0.timed_within_3ps_recall,0.10808114399733953
timing.48.0.alarm_episodes,1141
timing.48.0.false_alarm_episodes,539
timing.48.0.observable_event_centers,402
timing.48.0.detected_event_centers,371
timing.48.0.missed_event_centers,31
timing.48.0.event_recall,0.9228855721393034
timing.48.0.false_alarms_per_sampled_center_ns,4.047914085088807
timing.48.0.mean_detected_lead_ps,27.28301886792453
timing.96.0.horizon_ps,96.0
timing.96.0.true_events,12127
timing.96.0.missed_windows,8386
timing.96.0.detected_window_timing_mae_ps,15.096973813367741
timing.96.0.detected_window_timing_bias_ps,-0.0572940218211866
timing.96.0.timed_within_3ps_recall,0.03949863939968665
timing.96.0.alarm_episodes,1432
timing.96.0.false_alarm_episodes,568
timing.96.0.observable_event_centers,409
timing.96.0.detected_event_centers,386
timing.96.0.missed_event_centers,23
timing.96.0.event_recall,0.9437652811735942
timing.96.0.false_alarms_per_sampled_center_ns,4.265705380947017
timing.96.0.mean_detected_lead_ps,41.82318652849741
spatial.0.75.horizon_ps,0.75
spatial.0.75.sampled_center_fraction_mae,0.004611849353071999
spatial.0.75.sampled_center_jaccard,0.03651600753295668
spatial.0.75.nearby_pair_difference_rmse,0.03827652210078471
spatial.0.75.nearby_pairs,16736
spatial.3.0.horizon_ps,3.0
spatial.3.0.sampled_center_fraction_mae,0.014734883048427048
spatial.3.0.sampled_center_jaccard,0.12395534771458741
spatial.3.0.nearby_pair_difference_rmse,0.076772621445911
spatial.3.0.nearby_pairs,16736
spatial.9.0.horizon_ps,9.0
spatial.9.0.sampled_center_fraction_mae,0.03863931404106001
spatial.9.0.sampled_center_jaccard,0.2748495997038271
spatial.9.0.nearby_pair_difference_rmse,0.13585981370135444
spatial.9.0.nearby_pairs,16736
spatial.24.0.horizon_ps,24.0
spatial.24.0.sampled_center_fraction_mae,0.09146034229074694
spatial.24.0.sampled_center_jaccard,0.34403759387560684
spatial.24.0.nearby_pair_difference_rmse,0.22758431082115999
spatial.24.0.nearby_pairs,16736
spatial.48.0.horizon_ps,48.0
spatial.48.0.sampled_center_fraction_mae,0.17319492314563706
spatial.48.0.sampled_center_jaccard,0.2952496380536401
spatial.48.0.nearby_pair_difference_rmse,0.31369560927042467
spatial.48.0.nearby_pairs,16736
spatial.96.0.horizon_ps,96.0
spatial.96.0.sampled_center_fraction_mae,0.2726503678708473
spatial.96.0.sampled_center_jaccard,0.23562849047356946
spatial.96.0.nearby_pair_difference_rmse,0.38018420685272303
spatial.96.0.nearby_pairs,16736
fine_timing.0.75.detected_window_timing_mae_ps,0.0
fine_timing.0.75.detected_window_timing_bias_ps,0.0
fine_timing.0.75.missed_windows,8
fine_timing.0.75.positive_windows,68
fine_timing.0.75.timed_within_3ps_recall,0.8823529411764706
fine_timing.0.75.all_positive_window_conditional_timing_mae_ps,0.0
fine_timing.3.0.detected_window_timing_mae_ps,0.6766615240460522
fine_timing.3.0.detected_window_timing_bias_ps,0.04979686351358634
fine_timing.3.0.missed_windows,47
fine_timing.3.0.positive_windows,274
fine_timing.3.0.timed_within_3ps_recall,0.8284671532846716
fine_timing.3.0.all_positive_window_conditional_timing_mae_ps,0.68209028119221
fine_timing.9.0.detected_window_timing_mae_ps,1.8620081721274693
fine_timing.9.0.detected_window_timing_bias_ps,-0.050533890511379624
fine_timing.9.0.missed_windows,271
fine_timing.9.0.positive_windows,974
