metric,value
classification.0.75.n,44385
classification.0.75.sources,30
classification.0.75.prevalence,0.0024611272127941872
classification.0.75.log_loss,0.0089847319665791
classification.0.75.brier,0.002070108985367394
classification.0.75.average_precision,0.27621801618413083
classification.0.75.threshold,0.007840346544981006
classification.0.75.recall,0.8929041946762183
classification.0.75.false_positive_rate,0.04445954613711354
classification.0.75.precision,0.047210752163079635
classification.0.75.auroc,0.9837289855679421
classification.0.75.f1,0.08967983921957369
classification.0.75.balanced_accuracy,0.9242223242695524
classification.0.75.horizon_ps,0.75
classification.0.75.ece_10bin,0.0009706918590614607
classification.3.0.n,44385
classification.3.0.sources,30
classification.3.0.prevalence,0.00884508151496356
classification.3.0.log_loss,0.026730055298761695
classification.3.0.brier,0.006939836592904748
classification.3.0.average_precision,0.40590170513545215
classification.3.0.threshold,0.06225878000259399
classification.3.0.recall,0.8560790038681763
classification.3.0.false_positive_rate,0.03873495526029731
classification.3.0.precision,0.16473800660904664
classification.3.0.auroc,0.9724199746206911
classification.3.0.f1,0.2763056397956613
classification.3.0.balanced_accuracy,0.9086720243039395
classification.3.0.horizon_ps,3.0
classification.3.0.ece_10bin,0.004600233217483588
classification.9.0.n,44385
classification.9.0.sources,30
classification.9.0.prevalence,0.031243024276521245
classification.9.0.log_loss,0.07075833987089479
classification.9.0.brier,0.020079254286087936
classification.9.0.average_precision,0.5487592556376755
classification.9.0.threshold,0.1953417807817459
classification.9.0.recall,0.7425846665556729
classification.9.0.false_positive_rate,0.03926591715919111
classification.9.0.precision,0.37884872819323423
classification.9.0.auroc,0.9574155114832564
classification.9.0.f1,0.5017279810245061
classification.9.0.balanced_accuracy,0.8516593746982408
classification.9.0.horizon_ps,9.0
classification.9.0.ece_10bin,0.0063997836288717325
classification.24.0.n,44385
classification.24.0.sources,30
classification.24.0.prevalence,0.09117904843080059
classification.24.0.log_loss,0.18733133855276424
classification.24.0.brier,0.05142106633927768
classification.24.0.average_precision,0.6129248814258914
classification.24.0.threshold,0.3835909366607666
classification.24.0.recall,0.6214409421221134
classification.24.0.false_positive_rate,0.040081837075474094
classification.24.0.precision,0.6086865713795477
classification.24.0.auroc,0.8872575093495101
classification.24.0.f1,0.6149976359742227
classification.24.0.balanced_accuracy,0.7906795525233197
classification.24.0.horizon_ps,24.0
classification.24.0.ece_10bin,0.012379270585184704
classification.48.0.n,44385
classification.48.0.sources,30
classification.48.0.prevalence,0.18840006848320312
classification.48.0.log_loss,0.3816615568303445
classification.48.0.brier,0.11522200363344623
classification.48.0.average_precision,0.579440187495847
classification.48.0.threshold,0.4789350628852844
classification.48.0.recall,0.46477552478122264
classification.48.0.false_positive_rate,0.05171490785382117
classification.48.0.precision,0.6759822797035036
classification.48.0.auroc,0.7787320883424582
classification.48.0.f1,0.5508268583512629
classification.48.0.balanced_accuracy,0.7065303084637006
classification.48.0.horizon_ps,48.0
classification.48.0.ece_10bin,0.050716775663878444
classification.96.0.n,44385
classification.96.0.sources,30
classification.96.0.prevalence,0.36752480433082874
classification.96.0.log_loss,0.6070238094240377
classification.96.0.brier,0.21264585591096516
classification.96.0.average_precision,0.6231546912716592
classification.96.0.threshold,0.697685718536377
classification.96.0.recall,0.30822571406057603
classification.96.0.false_positive_rate,0.06109418724666739
classification.96.0.precision,0.7456538658502465
classification.96.0.auroc,0.7032903938363604
classification.96.0.f1,0.43615931008582465
classification.96.0.balanced_accuracy,0.6235657634069547
classification.96.0.horizon_ps,96.0
classification.96.0.ece_10bin,0.11570500705429985
timing.0.75.horizon_ps,0.75
timing.0.75.true_events,68
timing.0.75.missed_windows,6
timing.0.75.detected_window_timing_mae_ps,0.375
timing.0.75.detected_window_timing_bias_ps,-0.375
timing.0.75.timed_within_3ps_recall,0.9117647058823529
timing.0.75.alarm_episodes,627
timing.0.75.false_alarm_episodes,611
timing.0.75.observable_event_centers,68
timing.0.75.detected_event_centers,16
timing.0.75.missed_event_centers,52
timing.0.75.event_recall,0.23529411764705882
timing.0.75.false_alarms_per_sampled_center_ns,4.588637302391949
timing.0.75.mean_detected_lead_ps,0.75
timing.3.0.horizon_ps,3.0
timing.3.0.true_events,274
timing.3.0.missed_windows,41
timing.3.0.detected_window_timing_mae_ps,0.740310518999965
timing.3.0.detected_window_timing_bias_ps,-0.3955872234712804
timing.3.0.timed_within_3ps_recall,0.8503649635036497
timing.3.0.alarm_episodes,638
timing.3.0.false_alarm_episodes,559
timing.3.0.observable_event_centers,274
timing.3.0.detected_event_centers,79
timing.3.0.missed_event_centers,195
timing.3.0.event_recall,0.28832116788321166
timing.3.0.false_alarms_per_sampled_center_ns,4.198114978784123
timing.3.0.mean_detected_lead_ps,1.9936708860759493
timing.9.0.horizon_ps,9.0
timing.9.0.true_events,974
timing.9.0.missed_windows,268
timing.9.0.detected_window_timing_mae_ps,1.9225157237589579
timing.9.0.detected_window_timing_bias_ps,-0.7727110028241589
timing.9.0.timed_within_3ps_recall,0.5626283367556468
timing.9.0.alarm_episodes,707
timing.9.0.false_alarm_episodes,533
timing.9.0.observable_event_centers,378
timing.9.0.detected_event_centers,174
timing.9.0.missed_event_centers,204
timing.9.0.event_recall,0.4603174603174603
timing.9.0.false_alarms_per_sampled_center_ns,4.002853816980211
timing.9.0.mean_detected_lead_ps,5.327586206896552
timing.24.0.horizon_ps,24.0
timing.24.0.true_events,2883
timing.24.0.missed_windows,1100
timing.24.0.detected_window_timing_mae_ps,4.413018454511478
timing.24.0.detected_window_timing_bias_ps,-0.7076353397037899
timing.24.0.timed_within_3ps_recall,0.24939299340964274
timing.24.0.alarm_episodes,858
timing.24.0.false_alarm_episodes,475
timing.24.0.observable_event_centers,397
timing.24.0.detected_event_centers,319
timing.24.0.missed_event_centers,78
timing.24.0.event_recall,0.8035264483627204
timing.24.0.false_alarms_per_sampled_center_ns,3.56727122526379
timing.24.0.mean_detected_lead_ps,15.373824451410659
timing.48.0.horizon_ps,48.0
timing.48.0.true_events,6014
timing.48.0.missed_windows,3159
timing.48.0.detected_window_timing_mae_ps,8.0942706664779
timing.48.0.detected_window_timing_bias_ps,-0.22724953685275318
timing.48.0.timed_within_3ps_recall,0.11772530761556368
timing.48.0.alarm_episodes,1091
timing.48.0.false_alarm_episodes,506
timing.48.0.observable_event_centers,402
timing.48.0.detected_event_centers,370
timing.48.0.missed_event_centers,32
timing.48.0.event_recall,0.9203980099502488
timing.48.0.false_alarms_per_sampled_center_ns,3.800082610491532
timing.48.0.mean_detected_lead_ps,26.35135135135135
timing.96.0.horizon_ps,96.0
timing.96.0.true_events,12127
timing.96.0.missed_windows,8438
timing.96.0.detected_window_timing_mae_ps,15.213177839018794
timing.96.0.detected_window_timing_bias_ps,-1.0150013847522732
timing.96.0.timed_within_3ps_recall,0.04436381627772738
timing.96.0.alarm_episodes,1677
timing.96.0.false_alarm_episodes,770
timing.96.0.observable_event_centers,409
timing.96.0.detected_event_centers,395
timing.96.0.missed_event_centers,14
timing.96.0.event_recall,0.9657701711491442
timing.96.0.false_alarms_per_sampled_center_ns,5.782734407269723
timing.96.0.mean_detected_lead_ps,44.95822784810127
spatial.0.75.horizon_ps,0.75
spatial.0.75.sampled_center_fraction_mae,0.005933037302223602
spatial.0.75.sampled_center_jaccard,0.03721294363256785
spatial.0.75.nearby_pair_difference_rmse,0.0380883469769009
spatial.0.75.nearby_pairs,16736
spatial.3.0.horizon_ps,3.0
spatial.3.0.sampled_center_fraction_mae,0.019160638272598157
spatial.3.0.sampled_center_jaccard,0.1424473493100944
spatial.3.0.nearby_pair_difference_rmse,0.07551662193098298
spatial.3.0.nearby_pairs,16736
spatial.9.0.horizon_ps,9.0
spatial.9.0.sampled_center_fraction_mae,0.043959435210523055
spatial.9.0.sampled_center_jaccard,0.2812560964795602
spatial.9.0.nearby_pair_difference_rmse,0.13510988439947014
spatial.9.0.nearby_pairs,16736
spatial.24.0.horizon_ps,24.0
spatial.24.0.sampled_center_fraction_mae,0.09253967203117525
spatial.24.0.sampled_center_jaccard,0.34797124437167415
spatial.24.0.nearby_pair_difference_rmse,0.23030978092437887
spatial.24.0.nearby_pairs,16736
spatial.48.0.horizon_ps,48.0
spatial.48.0.sampled_center_fraction_mae,0.1748914413493737
spatial.48.0.sampled_center_jaccard,0.28730569967211184
spatial.48.0.nearby_pair_difference_rmse,0.3213955407735241
spatial.48.0.nearby_pairs,16736
spatial.96.0.horizon_ps,96.0
spatial.96.0.sampled_center_fraction_mae,0.277818445221274
spatial.96.0.sampled_center_jaccard,0.2320008800938537
spatial.96.0.nearby_pair_difference_rmse,0.385648531960818
spatial.96.0.nearby_pairs,16736
fine_timing.0.75.detected_window_timing_mae_ps,0.0
fine_timing.0.75.detected_window_timing_bias_ps,0.0
fine_timing.0.75.missed_windows,6
fine_timing.0.75.positive_windows,68
fine_timing.0.75.timed_within_3ps_recall,0.9117647058823529
fine_timing.0.75.all_positive_window_conditional_timing_mae_ps,0.0
fine_timing.3.0.detected_window_timing_mae_ps,0.6598179755970888
fine_timing.3.0.detected_window_timing_bias_ps,0.010690552277200059
fine_timing.3.0.missed_windows,41
fine_timing.3.0.positive_windows,274
fine_timing.3.0.timed_within_3ps_recall,0.8503649635036497
fine_timing.3.0.all_positive_window_conditional_timing_mae_ps,0.6700341279403759
fine_timing.9.0.detected_window_timing_mae_ps,1.8799130477413537
fine_timing.9.0.detected_window_timing_bias_ps,-0.596779084706144
fine_timing.9.0.missed_windows,268
fine_timing.9.0.positive_windows,974
