metric,value
event_nll,0.1648615407870157
classification.0.75.n,44385
classification.0.75.sources,30
classification.0.75.prevalence,0.0024611272127941872
classification.0.75.log_loss,0.009750791982618827
classification.0.75.brier,0.002188873057358629
classification.0.75.average_precision,0.1664229940579693
classification.0.75.threshold,0.010503681376576424
classification.0.75.recall,0.8546609764184515
classification.0.75.false_positive_rate,0.04455863747104459
classification.0.75.precision,0.045184121100568124
classification.0.75.auroc,0.9771908291275343
classification.3.0.n,44385
classification.3.0.sources,30
classification.3.0.prevalence,0.00884508151496356
classification.3.0.log_loss,0.02845199169441218
classification.3.0.brier,0.007023028213981382
classification.3.0.average_precision,0.3326114393716616
classification.3.0.threshold,0.0477418377995491
classification.3.0.recall,0.7623895084923519
classification.3.0.false_positive_rate,0.04566310275960955
classification.3.0.precision,0.12967421896808878
classification.3.0.auroc,0.9617504495083093
classification.6.0.n,44385
classification.6.0.sources,30
classification.6.0.prevalence,0.01976765853638479
classification.6.0.log_loss,0.05331331811693354
classification.6.0.brier,0.014144261132532936
classification.6.0.average_precision,0.43034544519702733
classification.6.0.threshold,0.11637824028730392
classification.6.0.recall,0.7272638731196044
classification.6.0.false_positive_rate,0.04150654620011406
classification.6.0.precision,0.26109130008941417
classification.6.0.auroc,0.9551161243489482
classification.9.0.n,44385
classification.9.0.sources,30
classification.9.0.prevalence,0.031243024276521245
classification.9.0.log_loss,0.07930424138011744
classification.9.0.brier,0.02158651033022432
classification.9.0.average_precision,0.46137326294525105
classification.9.0.threshold,0.18311810493469238
classification.9.0.recall,0.6798974462405505
classification.9.0.false_positive_rate,0.03895874672621701
classification.9.0.precision,0.36013483053109696
classification.9.0.auroc,0.9443730016681666
classification.12.0.n,44385
classification.12.0.sources,30
classification.12.0.prevalence,0.04314713801559441
classification.12.0.log_loss,0.10631387308735044
classification.12.0.brier,0.029137356141401536
classification.12.0.average_precision,0.4805461494960689
classification.12.0.threshold,0.22861874103546143
classification.12.0.recall,0.6240396165748839
classification.12.0.false_positive_rate,0.03955183700618164
classification.12.0.precision,0.41570458473280547
classification.12.0.auroc,0.9307506021991281
timing.0.75.event_windows,68
timing.0.75.missed_windows,10
timing.0.75.detected_timing_mae_ps,0.375
timing.0.75.timed_within_3ps_recall,0.8529411764705882
timing.3.0.event_windows,274
timing.3.0.missed_windows,64
timing.3.0.detected_timing_mae_ps,0.7373063397165148
timing.3.0.timed_within_3ps_recall,0.7664233576642335
timing.6.0.event_windows,615
timing.6.0.missed_windows,186
timing.6.0.detected_timing_mae_ps,1.370813157496607
timing.6.0.timed_within_3ps_recall,0.6552845528455284
timing.9.0.event_windows,974
timing.9.0.missed_windows,345
timing.9.0.detected_timing_mae_ps,1.849566272743002
timing.9.0.timed_within_3ps_recall,0.5318275154004107
timing.12.0.event_windows,1349
timing.12.0.missed_windows,540
timing.12.0.detected_timing_mae_ps,2.3745261435654568
timing.12.0.timed_within_3ps_recall,0.4010378057820608
per_source.881.temperature_K,520.0
per_source.881.event_nll,0.0986412912607193
per_source.881.0.75.log_loss,0.005780474261756598
per_source.881.0.75.brier,0.001162890924399971
per_source.881.3.0.log_loss,0.011880310082651316
per_source.881.3.0.brier,0.00332051431651626
per_source.881.6.0.log_loss,0.024599147843530563
per_source.881.6.0.brier,0.0061519910977769505
per_source.881.9.0.log_loss,0.04408767925126869
per_source.881.9.0.brier,0.011304007033014355
per_source.881.12.0.log_loss,0.06483794227055474
per_source.881.12.0.brier,0.01679934564251578
per_source.882.temperature_K,520.0
per_source.882.event_nll,0.340091347694397
per_source.882.0.75.log_loss,0.022818314002913592
per_source.882.0.75.brier,0.007145012693976026
per_source.882.3.0.log_loss,0.053725841547417164
per_source.882.3.0.brier,0.015004826932369292
per_source.882.6.0.log_loss,0.09139360587468277
per_source.882.6.0.brier,0.02905537944861975
per_source.882.9.0.log_loss,0.15093087213551337
per_source.882.9.0.brier,0.045190190813563035
per_source.882.12.0.log_loss,0.2139276906446816
per_source.882.12.0.brier,0.06356254035656124
per_source.883.temperature_K,520.0
per_source.883.event_nll,0.14158841967582703
per_source.883.0.75.log_loss,0.00542155065860425
per_source.883.0.75.brier,0.000985185810908858
per_source.883.3.0.log_loss,0.023075433960712034
per_source.883.3.0.brier,0.005964265228927576
per_source.883.6.0.log_loss,0.046772623747996345
per_source.883.6.0.brier,0.013657754406364927
per_source.883.9.0.log_loss,0.07349527605969737
per_source.883.9.0.brier,0.020403274833551983
per_source.883.12.0.log_loss,0.09288450605600035
per_source.883.12.0.brier,0.026030339171576565
per_source.908.temperature_K,400.0
per_source.908.event_nll,0.07433786988258362
per_source.908.0.75.log_loss,0.003913733258179763
per_source.908.0.75.brier,0.0006260944118180246
per_source.908.3.0.log_loss,0.014365714536168037
per_source.908.3.0.brier,0.003437075842636403
per_source.908.6.0.log_loss,0.02719017008613699
per_source.908.6.0.brier,0.007087942978542484
per_source.908.9.0.log_loss,0.04023834265342526
per_source.908.9.0.brier,0.010562146437697425
per_source.908.12.0.log_loss,0.05334941209210793
per_source.908.12.0.brier,0.014180502142067338
per_source.909.temperature_K,400.0
per_source.909.event_nll,0.10301114618778229
per_source.909.0.75.log_loss,0.0017490136278885207
per_source.909.0.75.brier,0.00038992963321028413
per_source.909.3.0.log_loss,0.012381578453745481
per_source.909.3.0.brier,0.0028598245833069296
per_source.909.6.0.log_loss,0.031212809177477072
per_source.909.6.0.brier,0.008377606076386315
per_source.909.9.0.log_loss,0.0477294539530241
per_source.909.9.0.brier,0.013538883968724429
per_source.909.12.0.log_loss,0.06756598521703452
per_source.909.12.0.brier,0.019329385711446906
per_source.910.temperature_K,400.0
per_source.910.event_nll,0.007604381535202265
per_source.910.0.75.log_loss,0.0003771931732861134
per_source.910.0.75.brier,3.4962528308398895e-05
per_source.910.3.0.log_loss,0.0012302142370521165
per_source.910.3.0.brier,0.00017756950493083988
per_source.910.6.0.log_loss,0.0026561459392072913
per_source.910.6.0.brier,0.00032399512045667555
per_source.910.9.0.log_loss,0.004611244146919027
per_source.910.9.0.brier,0.00044022237182660725
per_source.910.12.0.log_loss,0.007604381737738193
per_source.910.12.0.brier,0.000597437934371125
per_source.911.temperature_K,400.0
per_source.911.event_nll,0.10995034873485565
per_source.911.0.75.log_loss,0.0013218744868827852
per_source.911.0.75.brier,0.00012978521870269942
per_source.911.3.0.log_loss,0.01957369673782061
per_source.911.3.0.brier,0.0046547925039629335
per_source.911.6.0.log_loss,0.03861650464770336
per_source.911.6.0.brier,0.00937788310463989
per_source.911.9.0.log_loss,0.056591445156570865
per_source.911.9.0.brier,0.014377114504556752
