metric,value
event_nll,0.21599934535328186
classification.0.75.n,44385
classification.0.75.sources,30
classification.0.75.prevalence,0.0024611272127941872
classification.0.75.log_loss,0.0112580748077406
classification.0.75.brier,0.0023251458544700336
classification.0.75.average_precision,0.09106959249271271
classification.0.75.threshold,0.011844594962894917
classification.0.75.recall,0.788465556473825
classification.0.75.false_positive_rate,0.0488778237977626
classification.0.75.precision,0.03827591582139791
classification.0.75.auroc,0.9612456946890476
classification.3.0.n,44385
classification.3.0.sources,30
classification.3.0.prevalence,0.00884508151496356
classification.3.0.log_loss,0.03649632476489651
classification.3.0.brier,0.008076290020634067
classification.3.0.average_precision,0.14432450425516605
classification.3.0.threshold,0.04464969038963318
classification.3.0.recall,0.6432133535042333
classification.3.0.false_positive_rate,0.051275102001563114
classification.3.0.precision,0.10067580187628537
classification.3.0.auroc,0.904796042519952
classification.6.0.n,44385
classification.6.0.sources,30
classification.6.0.prevalence,0.01976765853638479
classification.6.0.log_loss,0.07610059575498228
classification.6.0.brier,0.017588476873869704
classification.6.0.average_precision,0.17628805606732265
classification.6.0.threshold,0.07665625959634781
classification.6.0.recall,0.5463823949035211
classification.6.0.false_positive_rate,0.05453820533411468
classification.6.0.precision,0.168076002366274
classification.6.0.auroc,0.8517092146452981
classification.9.0.n,44385
classification.9.0.sources,30
classification.9.0.prevalence,0.031243024276521245
classification.9.0.log_loss,0.11672026066029231
classification.9.0.brier,0.027470486523291617
classification.9.0.average_precision,0.19728859365647508
classification.9.0.threshold,0.10172157734632492
classification.9.0.recall,0.4602678459019244
classification.9.0.false_positive_rate,0.056740655997050075
classification.9.0.precision,0.20736208457902242
classification.9.0.auroc,0.7947013593889805
classification.12.0.n,44385
classification.12.0.sources,30
classification.12.0.prevalence,0.04314713801559441
classification.12.0.log_loss,0.15587031830432593
classification.12.0.brier,0.037981978756651616
classification.12.0.average_precision,0.20191371512699557
classification.12.0.threshold,0.12748798727989197
classification.12.0.recall,0.3911222268900306
classification.12.0.false_positive_rate,0.05797718734507746
classification.12.0.precision,0.2332476611039174
classification.12.0.auroc,0.7581873339203942
timing.0.75.event_windows,68
timing.0.75.missed_windows,14
timing.0.75.detected_timing_mae_ps,0.375
timing.0.75.timed_within_3ps_recall,0.7941176470588235
timing.3.0.event_windows,274
timing.3.0.missed_windows,95
timing.3.0.detected_timing_mae_ps,0.7438543182832748
timing.3.0.timed_within_3ps_recall,0.6532846715328468
timing.6.0.event_windows,615
timing.6.0.missed_windows,279
timing.6.0.detected_timing_mae_ps,1.4369182659180089
timing.6.0.timed_within_3ps_recall,0.5040650406504065
timing.9.0.event_windows,974
timing.9.0.missed_windows,520
timing.9.0.detected_timing_mae_ps,2.0514124343353686
timing.9.0.timed_within_3ps_recall,0.3675564681724846
timing.12.0.event_windows,1349
timing.12.0.missed_windows,810
timing.12.0.detected_timing_mae_ps,2.6744058728331463
timing.12.0.timed_within_3ps_recall,0.24610822831727205
per_source.881.temperature_K,520.0
per_source.881.event_nll,0.13648904860019684
per_source.881.0.75.log_loss,0.004648310794648312
per_source.881.0.75.brier,0.0009666125136790914
per_source.881.3.0.log_loss,0.017812889301443258
per_source.881.3.0.brier,0.004366126557609559
per_source.881.6.0.log_loss,0.0415219456686564
per_source.881.6.0.brier,0.009029061582974758
per_source.881.9.0.log_loss,0.07204014534818202
per_source.881.9.0.brier,0.014982897446394833
per_source.881.12.0.log_loss,0.10056072757640441
per_source.881.12.0.brier,0.02139830917015419
per_source.882.temperature_K,520.0
per_source.882.event_nll,0.48989182710647583
per_source.882.0.75.log_loss,0.032554303992580344
per_source.882.0.75.brier,0.008687813076159479
per_source.882.3.0.log_loss,0.08580200900346864
per_source.882.3.0.brier,0.02056077402880185
per_source.882.6.0.log_loss,0.17893649752372412
per_source.882.6.0.brier,0.0460186063234864
per_source.882.9.0.log_loss,0.26982764316533336
per_source.882.9.0.brier,0.07099394879525645
per_source.882.12.0.log_loss,0.3503684784977066
per_source.882.12.0.brier,0.09700718672537736
per_source.883.temperature_K,520.0
per_source.883.event_nll,0.1750771850347519
per_source.883.0.75.log_loss,0.004529501196729286
per_source.883.0.75.brier,0.0007925999451648151
per_source.883.3.0.log_loss,0.026828007022936237
per_source.883.3.0.brier,0.005912672443446257
per_source.883.6.0.log_loss,0.06071214914376264
per_source.883.6.0.brier,0.013426057679789534
per_source.883.9.0.log_loss,0.09639422536577577
per_source.883.9.0.brier,0.021577920070479532
per_source.883.12.0.log_loss,0.12621586002438354
per_source.883.12.0.brier,0.02931641531274618
per_source.908.temperature_K,400.0
per_source.908.event_nll,0.07883969694375992
per_source.908.0.75.log_loss,0.0029799268149246325
per_source.908.0.75.brier,0.0004607581079193773
per_source.908.3.0.log_loss,0.012995526394841288
per_source.908.3.0.brier,0.0026802754728564066
per_source.908.6.0.log_loss,0.027326345219764354
per_source.908.6.0.brier,0.006162256506815907
per_source.908.9.0.log_loss,0.042255402958850476
per_source.908.9.0.brier,0.009360353527288118
per_source.908.12.0.log_loss,0.05803678829298658
per_source.908.12.0.brier,0.012991197163822462
per_source.909.temperature_K,400.0
per_source.909.event_nll,0.13125979900360107
per_source.909.0.75.log_loss,0.002309064024925707
per_source.909.0.75.brier,0.000484120348133666
per_source.909.3.0.log_loss,0.01702379040530096
per_source.909.3.0.brier,0.0034242816033357632
per_source.909.6.0.log_loss,0.04308953690334757
per_source.909.6.0.brier,0.009133918893369081
per_source.909.9.0.log_loss,0.0681525189037906
per_source.909.9.0.brier,0.01522550997605518
per_source.909.12.0.log_loss,0.09428889077641234
per_source.909.12.0.brier,0.022072941718503204
per_source.910.temperature_K,400.0
per_source.910.event_nll,0.013284508138895035
per_source.910.0.75.log_loss,0.00027496217170785173
per_source.910.0.75.brier,1.4612529967129875e-06
per_source.910.3.0.log_loss,0.001627241269044396
per_source.910.3.0.brier,1.8869370121918552e-05
per_source.910.6.0.log_loss,0.005058255320098879
per_source.910.6.0.brier,7.599609063407819e-05
per_source.910.9.0.log_loss,0.008729018052723254
per_source.910.9.0.brier,0.00015744352573083783
per_source.910.12.0.log_loss,0.013284508386122969
per_source.910.12.0.brier,0.00029043853491194537
per_source.911.temperature_K,400.0
per_source.911.event_nll,0.12725895643234253
per_source.911.0.75.log_loss,0.0005334296985548657
per_source.911.0.75.brier,7.2018791115303576e-06
per_source.911.3.0.log_loss,0.023749515256277005
per_source.911.3.0.brier,0.005079162217230397
per_source.911.6.0.log_loss,0.048060822501261834
per_source.911.6.0.brier,0.010662267377085267
per_source.911.9.0.log_loss,0.07173370154962495
per_source.911.9.0.brier,0.01644085701940066
per_source.911.12.0.log_loss,0.09363886365321354
per_source.911.12.0.brier,0.02203222440207452
per_source.912.temperature_K,400.0
per_source.912.event_nll,0.17794829607009888
per_source.912.0.75.log_loss,0.01400356687780551
per_source.912.0.75.brier,0.0028930487682980377
per_source.912.3.0.log_loss,0.02918268263265484
per_source.912.3.0.brier,0.007130188808615676
per_source.912.6.0.log_loss,0.06670125254508474
per_source.912.6.0.brier,0.01486740857180222
per_source.912.9.0.log_loss,0.09943626413539587
per_source.912.9.0.brier,0.022658808850657793
per_source.912.12.0.log_loss,0.13229809899728606
