metric,value
event_nll,0.23006556282947874
classification.0.75.n,44385
classification.0.75.sources,30
classification.0.75.prevalence,0.0024611272127941872
classification.0.75.log_loss,0.013731280869769701
classification.0.75.brier,0.0023940188526677592
classification.0.75.average_precision,0.06310405543000151
classification.0.75.threshold,0.016264189034700394
classification.0.75.recall,0.7250635297811511
classification.0.75.false_positive_rate,0.04175227248488621
classification.0.75.precision,0.041084727635365706
classification.0.75.auroc,0.9423930737430749
classification.3.0.n,44385
classification.3.0.sources,30
classification.3.0.prevalence,0.00884508151496356
classification.3.0.log_loss,0.04268050829643259
classification.3.0.brier,0.008370559924075736
classification.3.0.average_precision,0.09921503681281782
classification.3.0.threshold,0.05026515945792198
classification.3.0.recall,0.5237431040161761
classification.3.0.false_positive_rate,0.04322683179611946
classification.3.0.precision,0.09757454766099892
classification.3.0.auroc,0.8650101570831416
classification.6.0.n,44385
classification.6.0.sources,30
classification.6.0.prevalence,0.01976765853638479
classification.6.0.log_loss,0.086369294091473
classification.6.0.brier,0.01845882847398123
classification.6.0.average_precision,0.11755265607218437
classification.6.0.threshold,0.08080393821001053
classification.6.0.recall,0.3949424746379859
classification.6.0.false_positive_rate,0.045317144520639674
classification.6.0.precision,0.14947969285978505
classification.6.0.auroc,0.7985890375725814
classification.9.0.n,44385
classification.9.0.sources,30
classification.9.0.prevalence,0.031243024276521245
classification.9.0.log_loss,0.12903429595755284
classification.9.0.brier,0.02903994084663547
classification.9.0.average_precision,0.12933538712825862
classification.9.0.threshold,0.10023244470357895
classification.9.0.recall,0.32137086674391563
classification.9.0.false_positive_rate,0.045031836716013594
classification.9.0.precision,0.18709593857803145
classification.9.0.auroc,0.7346566082411744
classification.12.0.n,44385
classification.12.0.sources,30
classification.12.0.prevalence,0.04314713801559441
classification.12.0.log_loss,0.16895907256324852
classification.12.0.brier,0.039910161696772806
classification.12.0.average_precision,0.13956899662368852
classification.12.0.threshold,0.11828258633613586
classification.12.0.recall,0.27178116187829443
classification.12.0.false_positive_rate,0.04501632813543852
classification.12.0.precision,0.21398640187427512
classification.12.0.auroc,0.7003986195470077
timing.0.75.event_windows,68
timing.0.75.missed_windows,19
timing.0.75.detected_timing_mae_ps,0.375
timing.0.75.timed_within_3ps_recall,0.7205882352941176
timing.3.0.event_windows,274
timing.3.0.missed_windows,129
timing.3.0.detected_timing_mae_ps,0.7787723865599933
timing.3.0.timed_within_3ps_recall,0.5291970802919708
timing.6.0.event_windows,615
timing.6.0.missed_windows,363
timing.6.0.detected_timing_mae_ps,1.4537707809008107
timing.6.0.timed_within_3ps_recall,0.37398373983739835
