metric,value
event_nll,0.2159021501902225
classification.0.75.n,44385
classification.0.75.sources,30
classification.0.75.prevalence,0.0024611272127941872
classification.0.75.log_loss,0.011269399832759607
classification.0.75.brier,0.002324685628063828
classification.0.75.average_precision,0.08684441147528613
classification.0.75.threshold,0.012326766736805439
classification.0.75.recall,0.788465556473825
classification.0.75.false_positive_rate,0.04787064574851224
classification.0.75.precision,0.03904977769146611
classification.0.75.auroc,0.9615210780562125
classification.3.0.n,44385
classification.3.0.sources,30
classification.3.0.prevalence,0.00884508151496356
classification.3.0.log_loss,0.036493042391273704
classification.3.0.brier,0.00807336511051245
classification.3.0.average_precision,0.14397380233961832
classification.3.0.threshold,0.04489584267139435
classification.3.0.recall,0.6478544529729516
classification.3.0.false_positive_rate,0.05106182154354319
classification.3.0.precision,0.10170881236472921
classification.3.0.auroc,0.9048302078966618
classification.6.0.n,44385
classification.6.0.sources,30
classification.6.0.prevalence,0.01976765853638479
classification.6.0.log_loss,0.07606093825463697
classification.6.0.brier,0.017584203708933092
classification.6.0.average_precision,0.17699058705725043
classification.6.0.threshold,0.07657516002655029
classification.6.0.recall,0.5445007349850091
classification.6.0.false_positive_rate,0.054603544233031535
classification.6.0.precision,0.16742721431853416
classification.6.0.auroc,0.8520212046016624
classification.9.0.n,44385
classification.9.0.sources,30
classification.9.0.prevalence,0.031243024276521245
classification.9.0.log_loss,0.11665157732031384
classification.9.0.brier,0.027459647773206173
classification.9.0.average_precision,0.19764521929967308
classification.9.0.threshold,0.10238576680421829
classification.9.0.recall,0.4588462493934546
classification.9.0.false_positive_rate,0.05654244170465663
classification.9.0.precision,0.20742883139884039
classification.9.0.auroc,0.795035704326241
classification.12.0.n,44385
classification.12.0.sources,30
classification.12.0.prevalence,0.04314713801559441
classification.12.0.log_loss,0.15580758602922687
classification.12.0.brier,0.03796966926958844
classification.12.0.average_precision,0.20175600560388013
classification.12.0.threshold,0.12756316363811493
classification.12.0.recall,0.39470343726109586
classification.12.0.false_positive_rate,0.057610262781607316
classification.12.0.precision,0.23602459592254077
classification.12.0.auroc,0.7584971156426609
timing.0.75.event_windows,68
timing.0.75.missed_windows,14
timing.0.75.detected_timing_mae_ps,0.375
timing.0.75.timed_within_3ps_recall,0.7941176470588235
timing.3.0.event_windows,274
timing.3.0.missed_windows,94
timing.3.0.detected_timing_mae_ps,0.7432306662770546
timing.3.0.timed_within_3ps_recall,0.656934306569343
timing.6.0.event_windows,615
timing.6.0.missed_windows,278
timing.6.0.detected_timing_mae_ps,1.4349269637781799
timing.6.0.timed_within_3ps_recall,0.5073170731707317
timing.9.0.event_windows,974
timing.9.0.missed_windows,521
timing.9.0.detected_timing_mae_ps,2.0551767697873267
timing.9.0.timed_within_3ps_recall,0.3655030800821355
timing.12.0.event_windows,1349
timing.12.0.missed_windows,804
timing.12.0.detected_timing_mae_ps,2.663090626887331
timing.12.0.timed_within_3ps_recall,0.2535211267605634
per_source.881.temperature_K,520.0
per_source.881.event_nll,0.13616487383842468
per_source.881.0.75.log_loss,0.0046471395201935625
per_source.881.0.75.brier,0.000965209182773312
per_source.881.3.0.log_loss,0.01777006231118265
per_source.881.3.0.brier,0.0043603873147485435
per_source.881.6.0.log_loss,0.041553583056349874
per_source.881.6.0.brier,0.00905062937595229
per_source.881.9.0.log_loss,0.07202737843894955
