metric,value
event_nll,0.16491424694573614
classification.0.75.n,44385
classification.0.75.sources,30
classification.0.75.prevalence,0.0024611272127941872
classification.0.75.log_loss,0.010012890879551012
classification.0.75.brier,0.0022317721634252433
classification.0.75.average_precision,0.14161101082527777
classification.0.75.threshold,0.011494710110127926
classification.0.75.recall,0.8163832789194693
classification.0.75.false_positive_rate,0.037472263238656205
classification.0.75.precision,0.05100941182130626
classification.0.75.auroc,0.9754502089909538
classification.3.0.n,44385
classification.3.0.sources,30
classification.3.0.prevalence,0.00884508151496356
classification.3.0.log_loss,0.028644775946331875
classification.3.0.brier,0.007177699221506727
classification.3.0.average_precision,0.2931776164177329
classification.3.0.threshold,0.04541950672864914
classification.3.0.recall,0.7796642922321915
classification.3.0.false_positive_rate,0.042910501848601616
classification.3.0.precision,0.13952239474395245
classification.3.0.auroc,0.9631400100937691
classification.6.0.n,44385
classification.6.0.sources,30
classification.6.0.prevalence,0.01976765853638479
classification.6.0.log_loss,0.0533233771837399
classification.6.0.brier,0.014165328409646958
classification.6.0.average_precision,0.4221019641588988
classification.6.0.threshold,0.10752446949481964
classification.6.0.recall,0.7343804825518851
classification.6.0.false_positive_rate,0.037838714829938926
classification.6.0.precision,0.28129481634977704
classification.6.0.auroc,0.9555126402846195
classification.9.0.n,44385
classification.9.0.sources,30
classification.9.0.prevalence,0.031243024276521245
classification.9.0.log_loss,0.07922887064778844
classification.9.0.brier,0.02147536258490745
classification.9.0.average_precision,0.45768656219918963
classification.9.0.threshold,0.16103790700435638
classification.9.0.recall,0.6747743865406747
classification.9.0.false_positive_rate,0.03819549361382655
classification.9.0.precision,0.36295607198024915
classification.9.0.auroc,0.9441814402864815
classification.12.0.n,44385
classification.12.0.sources,30
classification.12.0.prevalence,0.04314713801559441
classification.12.0.log_loss,0.10624584455827556
classification.12.0.brier,0.028890728156254562
classification.12.0.average_precision,0.4825640881539958
classification.12.0.threshold,0.20251893997192383
classification.12.0.recall,0.6258843697135101
classification.12.0.false_positive_rate,0.03961065291339362
classification.12.0.precision,0.416060670988689
classification.12.0.auroc,0.9299801300173804
timing.0.75.event_windows,68
timing.0.75.missed_windows,13
timing.0.75.detected_timing_mae_ps,0.375
timing.0.75.timed_within_3ps_recall,0.8088235294117647
timing.3.0.event_windows,274
timing.3.0.missed_windows,62
timing.3.0.detected_timing_mae_ps,0.7380097845878487
timing.3.0.timed_within_3ps_recall,0.7737226277372263
timing.6.0.event_windows,615
timing.6.0.missed_windows,183
timing.6.0.detected_timing_mae_ps,1.3720743404147482
timing.6.0.timed_within_3ps_recall,0.6552845528455284
timing.9.0.event_windows,974
timing.9.0.missed_windows,351
timing.9.0.detected_timing_mae_ps,1.853153997548661
timing.9.0.timed_within_3ps_recall,0.5277207392197125
timing.12.0.event_windows,1349
timing.12.0.missed_windows,541
timing.12.0.detected_timing_mae_ps,2.412772377546796
timing.12.0.timed_within_3ps_recall,0.40252038547071906
per_source.881.temperature_K,520.0
per_source.881.event_nll,0.09954419732093811
per_source.881.0.75.log_loss,0.005953581541932074
per_source.881.0.75.brier,0.0011448451028980777
per_source.881.3.0.log_loss,0.012655678065627769
per_source.881.3.0.brier,0.003630980857198018
per_source.881.6.0.log_loss,0.02520090030636274
per_source.881.6.0.brier,0.0063753448109052
per_source.881.9.0.log_loss,0.044443057708735446
per_source.881.9.0.brier,0.011509870461809011
per_source.881.12.0.log_loss,0.06583101239562868
per_source.881.12.0.brier,0.017332942353142314
per_source.882.temperature_K,520.0
per_source.882.event_nll,0.338481068611145
per_source.882.0.75.log_loss,0.024979636825671097
per_source.882.0.75.brier,0.007569270716601502
per_source.882.3.0.log_loss,0.053651264945727146
per_source.882.3.0.brier,0.01546316367937866
per_source.882.6.0.log_loss,0.08957897533323438
per_source.882.6.0.brier,0.028418727389618946
per_source.882.9.0.log_loss,0.1472647517154134
per_source.882.9.0.brier,0.04390119307792803
per_source.882.12.0.log_loss,0.2113549725535786
per_source.882.12.0.brier,0.062298181773167316
per_source.883.temperature_K,520.0
per_source.883.event_nll,0.1422700732946396
per_source.883.0.75.log_loss,0.005742195621605606
per_source.883.0.75.brier,0.0010757618565658612
per_source.883.3.0.log_loss,0.024452888454936712
per_source.883.3.0.brier,0.006609449859340739
per_source.883.6.0.log_loss,0.047050705817735565
per_source.883.6.0.brier,0.013802676607429112
per_source.883.9.0.log_loss,0.07390201171180488
per_source.883.9.0.brier,0.020282136186233247
per_source.883.12.0.log_loss,0.09305222789326213
per_source.883.12.0.brier,0.025636594182228998
per_source.908.temperature_K,400.0
per_source.908.event_nll,0.07523059099912643
per_source.908.0.75.log_loss,0.003829313457973044
per_source.908.0.75.brier,0.0005764822870979036
per_source.908.3.0.log_loss,0.014030161730659012
per_source.908.3.0.brier,0.00319362616774435
per_source.908.6.0.log_loss,0.02796941807290144
per_source.908.6.0.brier,0.006987385794810369
per_source.908.9.0.log_loss,0.041312465466597365
per_source.908.9.0.brier,0.010487207357240168
per_source.908.12.0.log_loss,0.05442767670076969
per_source.908.12.0.brier,0.014041941916786633
per_source.909.temperature_K,400.0
per_source.909.event_nll,0.10220693796873093
per_source.909.0.75.log_loss,0.0018306114357363225
per_source.909.0.75.brier,0.00043440930067488405
per_source.909.3.0.log_loss,0.01243256550648093
per_source.909.3.0.brier,0.0029969659068411394
per_source.909.6.0.log_loss,0.030719328726916316
per_source.909.6.0.brier,0.0083918440415999
per_source.909.9.0.log_loss,0.04689711367982475
per_source.909.9.0.brier,0.013477047997703965
per_source.909.12.0.log_loss,0.06742368747063293
per_source.909.12.0.brier,0.019436289207498084
per_source.910.temperature_K,400.0
per_source.910.event_nll,0.008061126805841923
per_source.910.0.75.log_loss,0.0003132910135351064
per_source.910.0.75.brier,1.8400730995116346e-05
per_source.910.3.0.log_loss,0.0011573334133201173
per_source.910.3.0.brier,0.00012838727787446933
per_source.910.6.0.log_loss,0.002711801118355096
per_source.910.6.0.brier,0.0002769591124979847
per_source.910.9.0.log_loss,0.004802396377535298
per_source.910.9.0.brier,0.0004068605499670665
per_source.910.12.0.log_loss,0.008061127370760346
per_source.910.12.0.brier,0.000588574025222487
per_source.911.temperature_K,400.0
per_source.911.event_nll,0.11124856770038605
per_source.911.0.75.log_loss,0.0011428247817475456
per_source.911.0.75.brier,7.887165821911109e-05
per_source.911.3.0.log_loss,0.01999261946580179
per_source.911.3.0.brier,0.004776165520545184
per_source.911.6.0.log_loss,0.03977458673694616
per_source.911.6.0.brier,0.009721599456032917
per_source.911.9.0.log_loss,0.057742833840855275
per_source.911.9.0.brier,0.01474591661552825
per_source.911.12.0.log_loss,0.07755321756322321
per_source.911.12.0.brier,0.019756133962379033
per_source.912.temperature_K,400.0
per_source.912.event_nll,0.13816940784454346
per_source.912.0.75.log_loss,0.01019306465964926
per_source.912.0.75.brier,0.0025545279487664578
per_source.912.3.0.log_loss,0.02165057785022017
per_source.912.3.0.brier,0.006098267605410045
per_source.912.6.0.log_loss,0.04661437156431059
per_source.912.6.0.brier,0.012710402078659878
per_source.912.9.0.log_loss,0.0709170681303076
per_source.912.9.0.brier,0.01873676590674673
per_source.912.12.0.log_loss,0.09310080428014249
per_source.912.12.0.brier,0.025191434885055417
per_source.913.temperature_K,400.0
per_source.913.event_nll,0.053665418177843094
per_source.913.0.75.log_loss,0.003241440401820478
per_source.913.0.75.brier,0.0007550818009115
per_source.913.3.0.log_loss,0.007955748321185346
per_source.913.3.0.brier,0.0020997223136180005
per_source.913.6.0.log_loss,0.015924198748196054
per_source.913.6.0.brier,0.004291998140808886
per_source.913.9.0.log_loss,0.025456699182605787
per_source.913.9.0.brier,0.006665496969567671
per_source.913.12.0.log_loss,0.03743895207839181
per_source.913.12.0.brier,0.009370758066339444
per_source.938.temperature_K,450.0
per_source.938.event_nll,0.25801217555999756
per_source.938.0.75.log_loss,0.006701187943973685
per_source.938.0.75.brier,0.0012400453451927797
per_source.938.3.0.log_loss,0.052125954875803425
per_source.938.3.0.brier,0.011205916842480635
per_source.938.6.0.log_loss,0.09574100749179192
per_source.938.6.0.brier,0.023191057354551053
per_source.938.9.0.log_loss,0.12910426697372984
per_source.938.9.0.brier,0.03302686198108959
per_source.938.12.0.log_loss,0.16130283174569507
per_source.938.12.0.brier,0.043153679890688745
per_source.939.temperature_K,450.0
per_source.939.event_nll,0.2996436357498169
per_source.939.0.75.log_loss,0.018359799798895418
per_source.939.0.75.brier,0.002888557355245945
per_source.939.3.0.log_loss,0.05134791493378625
per_source.939.3.0.brier,0.011921020056601636
per_source.939.6.0.log_loss,0.10026078412118432
per_source.939.6.0.brier,0.02677412910992131
per_source.939.9.0.log_loss,0.14062172683108728
per_source.939.9.0.brier,0.03862045530708796
per_source.939.12.0.log_loss,0.17599959295310144
per_source.939.12.0.brier,0.0493184473397147
per_source.940.temperature_K,450.0
per_source.940.event_nll,0.27105772495269775
per_source.940.0.75.log_loss,0.015310049977714306
per_source.940.0.75.brier,0.002729410978347369
per_source.940.3.0.log_loss,0.0604809054707939
per_source.940.3.0.brier,0.016400288136998044
per_source.940.6.0.log_loss,0.10420617332036172
per_source.940.6.0.brier,0.031324910756720864
per_source.940.9.0.log_loss,0.1356707858122651
per_source.940.9.0.brier,0.041458367182857496
per_source.940.12.0.log_loss,0.1739850512347963
per_source.940.12.0.brier,0.05319727801398357
per_source.941.temperature_K,450.0
per_source.941.event_nll,0.19352225959300995
per_source.941.0.75.log_loss,0.018801271722375907
per_source.941.0.75.brier,0.003867995651268024
per_source.941.3.0.log_loss,0.03752654865546804
per_source.941.3.0.brier,0.010038507171680467
per_source.941.6.0.log_loss,0.061209132903798626
per_source.941.6.0.brier,0.017017495818113005
per_source.941.9.0.log_loss,0.0899070254133098
per_source.941.9.0.brier,0.024268014266169497
per_source.941.12.0.log_loss,0.12107245924947463
per_source.941.12.0.brier,0.032923530635308805
per_source.942.temperature_K,450.0
per_source.942.event_nll,0.25215792655944824
per_source.942.0.75.log_loss,0.017632936111038937
per_source.942.0.75.brier,0.005037087399607258
per_source.942.3.0.log_loss,0.04203628480297404
per_source.942.3.0.brier,0.012764326357981694
per_source.942.6.0.log_loss,0.07937156439138356
per_source.942.6.0.brier,0.023603415218960398
per_source.942.9.0.log_loss,0.11643295939057352
per_source.942.9.0.brier,0.035126655589932644
per_source.942.12.0.log_loss,0.15777020147492257
per_source.942.12.0.brier,0.046932418594826567
per_source.943.temperature_K,450.0
per_source.943.event_nll,0.26004758477211
per_source.943.0.75.log_loss,0.018547763557014634
per_source.943.0.75.brier,0.0027834125033201654
per_source.943.3.0.log_loss,0.052232199396999815
per_source.943.3.0.brier,0.011595703822717839
per_source.943.6.0.log_loss,0.09888349974538549
per_source.943.6.0.brier,0.025621572489979087
per_source.943.9.0.log_loss,0.13246666133610957
per_source.943.9.0.brier,0.03610110994141649
per_source.943.12.0.log_loss,0.16888084137392742
per_source.943.12.0.brier,0.0471960401902145
per_source.968.temperature_K,500.0
per_source.968.event_nll,0.06633097678422928
per_source.968.0.75.log_loss,0.0025751824628506385
per_source.968.0.75.brier,0.0007616962743321573
per_source.968.3.0.log_loss,0.008008855274000038
per_source.968.3.0.brier,0.0022022857987862945
per_source.968.6.0.log_loss,0.020690465248866616
per_source.968.6.0.brier,0.005025161355570728
per_source.968.9.0.log_loss,0.031947700366630256
per_source.968.9.0.brier,0.007343229467152267
per_source.968.12.0.log_loss,0.04304125021305279
per_source.968.12.0.brier,0.009566351837974142
per_source.969.temperature_K,500.0
per_source.969.event_nll,0.1272680163383484
per_source.969.0.75.log_loss,0.0009519071418006505
per_source.969.0.75.brier,8.525988795192117e-05
per_source.969.3.0.log_loss,0.021830833317107588
per_source.969.3.0.brier,0.005700288040689872
per_source.969.6.0.log_loss,0.04200548726276904
per_source.969.6.0.brier,0.011841311456354583
per_source.969.9.0.log_loss,0.06001668116491921
per_source.969.9.0.brier,0.01713406444152859
per_source.969.12.0.log_loss,0.0820641401002049
per_source.969.12.0.brier,0.022504832326623952
per_source.970.temperature_K,500.0
per_source.970.event_nll,0.2557021677494049
per_source.970.0.75.log_loss,0.010059758692445582
per_source.970.0.75.brier,0.0025831433013470658
per_source.970.3.0.log_loss,0.036912827444303346
per_source.970.3.0.brier,0.008354050317275558
per_source.970.6.0.log_loss,0.08640858992920052
per_source.970.6.0.brier,0.02155693448354524
per_source.970.9.0.log_loss,0.1271951021647408
per_source.970.9.0.brier,0.03317969158023412
per_source.970.12.0.log_loss,0.162498464852873
per_source.970.12.0.brier,0.043502106540434377
per_source.971.temperature_K,500.0
per_source.971.event_nll,0.17685528099536896
per_source.971.0.75.log_loss,0.007636430810029372
per_source.971.0.75.brier,0.0010615873507057
per_source.971.3.0.log_loss,0.03305244476330409
per_source.971.3.0.brier,0.006671312080089967
per_source.971.6.0.log_loss,0.06304706759434604
per_source.971.6.0.brier,0.014271024330941568
per_source.971.9.0.log_loss,0.10049959604680098
per_source.971.9.0.brier,0.02525670267260244
per_source.971.12.0.log_loss,0.13012417017967143
per_source.971.12.0.brier,0.0343700204103152
per_source.972.temperature_K,500.0
per_source.972.event_nll,0.10643848031759262
per_source.972.0.75.log_loss,0.001613754016919859
per_source.972.0.75.brier,6.24024658741487e-05
per_source.972.3.0.log_loss,0.018358403099682286
per_source.972.3.0.brier,0.0034244356509781364
per_source.972.6.0.log_loss,0.03743867224105527
per_source.972.6.0.brier,0.007869044648728854
per_source.972.9.0.log_loss,0.05647476532298791
per_source.972.9.0.brier,0.01275856884737578
per_source.972.12.0.log_loss,0.07319185691784089
per_source.972.12.0.brier,0.016239753667450098
per_source.973.temperature_K,500.0
per_source.973.event_nll,0.022609246894717216
per_source.973.0.75.log_loss,0.00011192389813310395
per_source.973.0.75.brier,2.817371378982207e-07
per_source.973.3.0.log_loss,0.004214227682218211
per_source.973.3.0.brier,0.0004264741997422465
per_source.973.6.0.log_loss,0.005700440911649564
per_source.973.6.0.brier,0.00048413703822210955
per_source.973.9.0.log_loss,0.011250325455497161
per_source.973.9.0.brier,0.0010851292385932135
per_source.973.12.0.log_loss,0.020384712490587913
per_source.973.12.0.brier,0.0019780021497647652
per_source.998.temperature_K,510.0
per_source.998.event_nll,0.1254768967628479
per_source.998.0.75.log_loss,0.010834017792936291
per_source.998.0.75.brier,0.0023002605880975634
per_source.998.3.0.log_loss,0.024317531437861903
per_source.998.3.0.brier,0.006338674524692757
per_source.998.6.0.log_loss,0.04452410182467811
per_source.998.6.0.brier,0.011617146290680197
per_source.998.9.0.log_loss,0.06549366963242256
per_source.998.9.0.brier,0.01727788755457821
per_source.998.12.0.log_loss,0.08796522585722354
per_source.998.12.0.brier,0.023279970517431678
per_source.999.temperature_K,510.0
per_source.999.event_nll,0.11640249192714691
per_source.999.0.75.log_loss,0.008411577408241477
per_source.999.0.75.brier,0.0019839099800468937
per_source.999.3.0.log_loss,0.016532331514977135
per_source.999.3.0.brier,0.004505029806154746
per_source.999.6.0.log_loss,0.03342760269079928
per_source.999.6.0.brier,0.009226322120282501
per_source.999.9.0.log_loss,0.050831796715306694
per_source.999.9.0.brier,0.014179298124543119
per_source.999.12.0.log_loss,0.07460132040158199
per_source.999.12.0.brier,0.019753280763902526
per_source.1000.temperature_K,510.0
per_source.1000.event_nll,0.07740610837936401
per_source.1000.0.75.log_loss,0.0010143600082056787
