metric,value
event_nll,0.2175540992641432
classification.0.75.n,44385
classification.0.75.sources,30
classification.0.75.prevalence,0.0024611272127941872
classification.0.75.log_loss,0.011420709541101028
classification.0.75.brier,0.002332572108430781
classification.0.75.average_precision,0.08216740387734317
classification.0.75.threshold,0.016530146822333336
classification.0.75.recall,0.7662302832535136
classification.0.75.false_positive_rate,0.037154148867955594
classification.0.75.precision,0.048417533385497404
classification.0.75.auroc,0.9593364653059752
classification.3.0.n,44385
classification.3.0.sources,30
classification.3.0.prevalence,0.00884508151496356
classification.3.0.log_loss,0.03687321232549897
classification.3.0.brier,0.008074547340412812
classification.3.0.average_precision,0.144709032612427
classification.3.0.threshold,0.054878927767276764
classification.3.0.recall,0.5860883531225854
classification.3.0.false_positive_rate,0.04303725720746587
classification.3.0.precision,0.10835985571678568
classification.3.0.auroc,0.9044914202346197
classification.6.0.n,44385
classification.6.0.sources,30
classification.6.0.prevalence,0.01976765853638479
classification.6.0.log_loss,0.07697876500682431
classification.6.0.brier,0.017617467170159804
classification.6.0.average_precision,0.1715291398597204
classification.6.0.threshold,0.09260032325983047
classification.6.0.recall,0.48033366548089834
classification.6.0.false_positive_rate,0.04456341935462871
classification.6.0.precision,0.17855405337427188
classification.6.0.auroc,0.8485150867790148
classification.9.0.n,44385
classification.9.0.sources,30
classification.9.0.prevalence,0.031243024276521245
classification.9.0.log_loss,0.11806943085271172
classification.9.0.brier,0.02765489540085808
classification.9.0.average_precision,0.1848972668301279
classification.9.0.threshold,0.11810130625963211
classification.9.0.recall,0.3984030952598307
classification.9.0.false_positive_rate,0.047461017602575706
classification.9.0.precision,0.213045939920185
classification.9.0.auroc,0.7892609757750537
classification.12.0.n,44385
classification.12.0.sources,30
classification.12.0.prevalence,0.04314713801559441
classification.12.0.log_loss,0.15735064077805
classification.12.0.brier,0.038171659393348475
classification.12.0.average_precision,0.1900899609873533
classification.12.0.threshold,0.14323022961616516
classification.12.0.recall,0.3436507062936087
classification.12.0.false_positive_rate,0.04800319476067166
classification.12.0.precision,0.24403648809608425
classification.12.0.auroc,0.7488150772967812
timing.0.75.event_windows,68
timing.0.75.missed_windows,17
timing.0.75.detected_timing_mae_ps,0.375
timing.0.75.timed_within_3ps_recall,0.75
timing.3.0.event_windows,274
timing.3.0.missed_windows,116
timing.3.0.detected_timing_mae_ps,0.7840465053243499
timing.3.0.timed_within_3ps_recall,0.5766423357664233
timing.6.0.event_windows,615
timing.6.0.missed_windows,324
timing.6.0.detected_timing_mae_ps,1.4609962476767169
timing.6.0.timed_within_3ps_recall,0.4373983739837398
timing.9.0.event_windows,974
timing.9.0.missed_windows,591
timing.9.0.detected_timing_mae_ps,2.018049144385446
timing.9.0.timed_within_3ps_recall,0.30903490759753593
timing.12.0.event_windows,1349
timing.12.0.missed_windows,889
timing.12.0.detected_timing_mae_ps,2.627910611149602
timing.12.0.timed_within_3ps_recall,0.22090437361008153
per_source.881.temperature_K,520.0
per_source.881.event_nll,0.13991740345954895
per_source.881.0.75.log_loss,0.004707173091520571
per_source.881.0.75.brier,0.0009815313499407635
per_source.881.3.0.log_loss,0.018981902037337153
per_source.881.3.0.brier,0.004509171144158567
per_source.881.6.0.log_loss,0.04277935664534764
per_source.881.6.0.brier,0.00918394018115332
per_source.881.9.0.log_loss,0.07405236169468545
per_source.881.9.0.brier,0.015433224709663816
per_source.881.12.0.log_loss,0.10364584873814844
per_source.881.12.0.brier,0.022105762838937403
per_source.882.temperature_K,520.0
per_source.882.event_nll,0.47461944818496704
per_source.882.0.75.log_loss,0.031116572840003413
per_source.882.0.75.brier,0.008549361799177832
per_source.882.3.0.log_loss,0.08200218622002857
per_source.882.3.0.brier,0.019445452945372362
per_source.882.6.0.log_loss,0.16982092828600062
per_source.882.6.0.brier,0.04373062658162546
per_source.882.9.0.log_loss,0.2572934977404002
per_source.882.9.0.brier,0.06786339889743277
per_source.882.12.0.log_loss,0.33794781972384186
per_source.882.12.0.brier,0.09341704459328806
per_source.883.temperature_K,520.0
per_source.883.event_nll,0.1807982176542282
per_source.883.0.75.log_loss,0.004673420045304708
per_source.883.0.75.brier,0.0007823206021791385
per_source.883.3.0.log_loss,0.027283829438697005
per_source.883.3.0.brier,0.005850828007215016
per_source.883.6.0.log_loss,0.06258114203684996
per_source.883.6.0.brier,0.013528739729806692
per_source.883.9.0.log_loss,0.10033270903821362
per_source.883.9.0.brier,0.02207672385085783
per_source.883.12.0.log_loss,0.13234135573405614
per_source.883.12.0.brier,0.030317328555418212
per_source.908.temperature_K,400.0
per_source.908.event_nll,0.08065831661224365
per_source.908.0.75.log_loss,0.003141780430357256
per_source.908.0.75.brier,0.0004556012421066166
per_source.908.3.0.log_loss,0.012916660509634328
per_source.908.3.0.brier,0.0025997983020624366
per_source.908.6.0.log_loss,0.02826661977129209
per_source.908.6.0.brier,0.006176417675599429
per_source.908.9.0.log_loss,0.04346294839394892
per_source.908.9.0.brier,0.009379589180123249
per_source.908.12.0.log_loss,0.06004116709220107
per_source.908.12.0.brier,0.013082252148012766
per_source.909.temperature_K,400.0
per_source.909.event_nll,0.1320396363735199
per_source.909.0.75.log_loss,0.0022955576615450923
per_source.909.0.75.brier,0.0004935509479495746
per_source.909.3.0.log_loss,0.017651595993488915
per_source.909.3.0.brier,0.003481520728725321
per_source.909.6.0.log_loss,0.04346896794688195
per_source.909.6.0.brier,0.009278572459656468
per_source.909.9.0.log_loss,0.06943098031566919
per_source.909.9.0.brier,0.015495457858991146
per_source.909.12.0.log_loss,0.0959742462877322
per_source.909.12.0.brier,0.022571004334775546
per_source.910.temperature_K,400.0
per_source.910.event_nll,0.013705517165362835
per_source.910.0.75.log_loss,0.0002658139434907412
per_source.910.0.75.brier,5.942246603417319e-07
per_source.910.3.0.log_loss,0.0016168260605193493
per_source.910.3.0.brier,9.110740367821303e-06
per_source.910.6.0.log_loss,0.004984067457977245
per_source.910.6.0.brier,4.601848344359144e-05
per_source.910.9.0.log_loss,0.008954039870616073
per_source.910.9.0.brier,0.00011711141455169166
per_source.910.12.0.log_loss,0.01370551694645628
per_source.910.12.0.brier,0.0002422788189930117
per_source.911.temperature_K,400.0
per_source.911.event_nll,0.13090550899505615
per_source.911.0.75.log_loss,0.0004356703419563972
per_source.911.0.75.brier,2.313987492208642e-06
per_source.911.3.0.log_loss,0.024388905578195938
per_source.911.3.0.brier,0.005158316439770674
per_source.911.6.0.log_loss,0.05004413782007491
per_source.911.6.0.brier,0.010950929042685584
per_source.911.9.0.log_loss,0.07444884755619975
per_source.911.9.0.brier,0.01684871560036564
per_source.911.12.0.log_loss,0.09733411349654342
per_source.911.12.0.brier,0.02265818006221303
per_source.912.temperature_K,400.0
per_source.912.event_nll,0.1823178380727768
per_source.912.0.75.log_loss,0.015666686840445754
per_source.912.0.75.brier,0.002968340653027907
per_source.912.3.0.log_loss,0.03267348465427448
per_source.912.3.0.brier,0.0074655581514799126
per_source.912.6.0.log_loss,0.07140763178420954
per_source.912.6.0.brier,0.015476812177684257
per_source.912.9.0.log_loss,0.10408003729944619
per_source.912.9.0.brier,0.02338292697741348
per_source.912.12.0.log_loss,0.13601163121689266
per_source.912.12.0.brier,0.0313396739452522
per_source.913.temperature_K,400.0
per_source.913.event_nll,0.07230046391487122
per_source.913.0.75.log_loss,0.004061685513951868
per_source.913.0.75.brier,0.0008301358338701275
per_source.913.3.0.log_loss,0.011103594420542234
per_source.913.3.0.brier,0.0023954187317314054
per_source.913.6.0.log_loss,0.02528144089716272
per_source.913.6.0.brier,0.005119602168651507
per_source.913.9.0.log_loss,0.04063837780082562
per_source.913.9.0.brier,0.008249735445338063
per_source.913.12.0.log_loss,0.05552214203186711
per_source.913.12.0.brier,0.011418988124916487
per_source.938.temperature_K,450.0
per_source.938.event_nll,0.2996562421321869
per_source.938.0.75.log_loss,0.00789475401367835
per_source.938.0.75.brier,0.0012275407980047147
per_source.938.3.0.log_loss,0.06329993154021851
per_source.938.3.0.brier,0.01181523004291841
per_source.938.6.0.log_loss,0.11667649950977158
per_source.938.6.0.brier,0.026033205438398842
per_source.938.9.0.log_loss,0.1623991656401403
per_source.938.9.0.brier,0.03955901565182112
per_source.938.12.0.log_loss,0.20279157516594853
per_source.938.12.0.brier,0.05178215578917876
per_source.939.temperature_K,450.0
per_source.939.event_nll,0.4145644009113312
per_source.939.0.75.log_loss,0.01793966897728441
per_source.939.0.75.brier,0.003184449336020988
per_source.939.3.0.log_loss,0.06959559370024962
per_source.939.3.0.brier,0.016159593759755453
per_source.939.6.0.log_loss,0.14996424537021136
per_source.939.6.0.brier,0.036937809234456276
per_source.939.9.0.log_loss,0.22597328247051207
per_source.939.9.0.brier,0.058561989033109337
per_source.939.12.0.log_loss,0.2863097389422406
per_source.939.12.0.brier,0.07787303954692987
per_source.940.temperature_K,450.0
per_source.940.event_nll,0.29673242568969727
per_source.940.0.75.log_loss,0.016752831367017
per_source.940.0.75.brier,0.002352178025020862
per_source.940.3.0.log_loss,0.059509275178301714
per_source.940.3.0.brier,0.012992379032262464
per_source.940.6.0.log_loss,0.10976765145105921
per_source.940.6.0.brier,0.028489423349693604
per_source.940.9.0.log_loss,0.15256342587107694
per_source.940.9.0.brier,0.04066496709344118
per_source.940.12.0.log_loss,0.20096061734046236
per_source.940.12.0.brier,0.054758054300088815
per_source.941.temperature_K,450.0
per_source.941.event_nll,0.23120830953121185
per_source.941.0.75.log_loss,0.018889748507584476
per_source.941.0.75.brier,0.004363891660396122
per_source.941.3.0.log_loss,0.04183135987868563
per_source.941.3.0.brier,0.011515338874461205
per_source.941.6.0.log_loss,0.08107546078429677
per_source.941.6.0.brier,0.021271530288461852
per_source.941.9.0.log_loss,0.11427480229720992
per_source.941.9.0.brier,0.029288999652422164
per_source.941.12.0.log_loss,0.1546471694636169
per_source.941.12.0.brier,0.039303615007907744
per_source.942.temperature_K,450.0
per_source.942.event_nll,0.32817134261131287
per_source.942.0.75.log_loss,0.02044789962352117
per_source.942.0.75.brier,0.005515076413043522
per_source.942.3.0.log_loss,0.050320390979931115
per_source.942.3.0.brier,0.013872508451394368
per_source.942.6.0.log_loss,0.11013150768459846
per_source.942.6.0.brier,0.028323207097744284
per_source.942.9.0.log_loss,0.17610649123685412
per_source.942.9.0.brier,0.04524862452187582
per_source.942.12.0.log_loss,0.23103496196103593
per_source.942.12.0.brier,0.061364024629768095
per_source.943.temperature_K,450.0
per_source.943.event_nll,0.3020515739917755
per_source.943.0.75.log_loss,0.02403388989298009
per_source.943.0.75.brier,0.0026589774039216503
per_source.943.3.0.log_loss,0.062355338354885076
per_source.943.3.0.brier,0.01196376964390127
