metric,value
event_nll,0.20646036821590247
classification.0.75.n,44385
classification.0.75.sources,30
classification.0.75.prevalence,0.002461127212794187
classification.0.75.log_loss,0.011273056401746279
classification.0.75.brier,0.0021613017871806093
classification.0.75.average_precision,0.2129049932975519
classification.0.75.threshold,0.010364361107349396
classification.0.75.recall,0.8629018372055001
classification.0.75.false_positive_rate,0.04336614934064577
classification.0.75.precision,0.046795167064991414
classification.0.75.auroc,0.9550674200999948
classification.3.0.n,44385
classification.3.0.sources,30
classification.3.0.prevalence,0.00884508151496356
classification.3.0.log_loss,0.034801320680492395
classification.3.0.brier,0.00726700950035917
classification.3.0.average_precision,0.30448788012918837
classification.3.0.threshold,0.03856935724616051
classification.3.0.recall,0.7506442205306658
classification.3.0.false_positive_rate,0.04381059535886049
classification.3.0.precision,0.132624150522898
classification.3.0.auroc,0.9381426113072483
classification.6.0.n,44385
classification.6.0.sources,30
classification.6.0.prevalence,0.01976765853638479
classification.6.0.log_loss,0.07146586263405305
classification.6.0.brier,0.015553738990514173
classification.6.0.average_precision,0.3454471498822486
classification.6.0.threshold,0.07565883547067642
classification.6.0.recall,0.6249975021092273
classification.6.0.false_positive_rate,0.04652697911538322
classification.6.0.precision,0.21315241024799916
classification.6.0.auroc,0.895761541651508
classification.9.0.n,44385
classification.9.0.sources,30
classification.9.0.prevalence,0.031243024276521248
classification.9.0.log_loss,0.1087619949725602
classification.9.0.brier,0.024702741218629497
classification.9.0.average_precision,0.35166133973077635
classification.9.0.threshold,0.10766174644231796
classification.9.0.recall,0.5410112688368266
classification.9.0.false_positive_rate,0.048251676858860594
classification.9.0.precision,0.2655715804318482
classification.9.0.auroc,0.8534833520835347
classification.12.0.n,44385
classification.12.0.sources,30
classification.12.0.prevalence,0.043147138015594416
classification.12.0.log_loss,0.14590543097383235
classification.12.0.brier,0.03443748151314387
classification.12.0.average_precision,0.3470663592046315
classification.12.0.threshold,0.13696208596229553
classification.12.0.recall,0.47450009832355594
classification.12.0.false_positive_rate,0.04750038572365917
classification.12.0.precision,0.31055850265565865
classification.12.0.auroc,0.8187289460476255
timing.0.75.event_windows,68
timing.0.75.missed_windows,9
timing.0.75.detected_timing_mae_ps,0.375
timing.0.75.timed_within_3ps_recall,0.8676470588235294
timing.3.0.event_windows,274
timing.3.0.missed_windows,69
timing.3.0.detected_timing_mae_ps,0.7296509487731727
timing.3.0.timed_within_3ps_recall,0.7481751824817519
timing.6.0.event_windows,615
timing.6.0.missed_windows,229
timing.6.0.detected_timing_mae_ps,1.3358969174289346
timing.6.0.timed_within_3ps_recall,0.5983739837398374
timing.9.0.event_windows,974
timing.9.0.missed_windows,439
timing.9.0.detected_timing_mae_ps,1.9393721621744342
timing.9.0.timed_within_3ps_recall,0.43737166324435317
timing.12.0.event_windows,1349
timing.12.0.missed_windows,702
timing.12.0.detected_timing_mae_ps,2.5196843150109354
timing.12.0.timed_within_3ps_recall,0.3143068939955523
per_source.881.temperature_K,520.0
per_source.881.event_nll,0.13681022822856903
per_source.881.0.75.log_loss,0.008956303946786136
per_source.881.0.75.brier,0.0013194150553354
per_source.881.3.0.log_loss,0.020130189495774033
per_source.881.3.0.brier,0.0034386556489042065
per_source.881.6.0.log_loss,0.042481688793089015
per_source.881.6.0.brier,0.007855935669372089
per_source.881.9.0.log_loss,0.07197396451591996
per_source.881.9.0.brier,0.013727731468994787
per_source.881.12.0.log_loss,0.10112670009771321
per_source.881.12.0.brier,0.02021689878718143
per_source.882.temperature_K,520.0
per_source.882.event_nll,0.4263928532600403
per_source.882.0.75.log_loss,0.02642206498166037
per_source.882.0.75.brier,0.007508376812398604
per_source.882.3.0.log_loss,0.061685428201150735
per_source.882.3.0.brier,0.015357035917108757
per_source.882.6.0.log_loss,0.13088398448410557
per_source.882.6.0.brier,0.033008033540742394
per_source.882.9.0.log_loss,0.20560545599412644
per_source.882.9.0.brier,0.05412939043403489
per_source.882.12.0.log_loss,0.28685282025590736
per_source.882.12.0.brier,0.0787693222890619
per_source.883.temperature_K,520.0
per_source.883.event_nll,0.18147286772727966
per_source.883.0.75.log_loss,0.007283779139452457
per_source.883.0.75.brier,0.0012973776356870201
per_source.883.3.0.log_loss,0.02989501522597726
per_source.883.3.0.brier,0.006635842881956009
per_source.883.6.0.log_loss,0.06605303893344651
per_source.883.6.0.brier,0.014479330141805885
per_source.883.9.0.log_loss,0.10349109566527565
per_source.883.9.0.brier,0.023128814711685205
per_source.883.12.0.log_loss,0.1335635711756842
per_source.883.12.0.brier,0.030651119601421594
per_source.908.temperature_K,400.0
per_source.908.event_nll,0.1012103483080864
per_source.908.0.75.log_loss,0.003891555624085334
per_source.908.0.75.brier,0.0004148592285507522
per_source.908.3.0.log_loss,0.01803303955730462
per_source.908.3.0.brier,0.0025598191722428815
per_source.908.6.0.log_loss,0.03980877434193631
per_source.908.6.0.brier,0.006492708238592943
per_source.908.9.0.log_loss,0.0592382194228101
per_source.908.9.0.brier,0.010056077584120155
per_source.908.12.0.log_loss,0.08189898156270158
per_source.908.12.0.brier,0.014496926249717271
per_source.909.temperature_K,400.0
per_source.909.event_nll,0.13069401681423187
per_source.909.0.75.log_loss,0.004334595148856593
per_source.909.0.75.brier,0.0005656642768478637
per_source.909.3.0.log_loss,0.021758223713187485
per_source.909.3.0.brier,0.0036139671781844703
per_source.909.6.0.log_loss,0.04842235157293804
per_source.909.6.0.brier,0.009106022112987604
per_source.909.9.0.log_loss,0.06889589412321051
per_source.909.9.0.brier,0.013253880668815866
per_source.909.12.0.log_loss,0.09049692498911173
per_source.909.12.0.brier,0.017916794448165567
per_source.910.temperature_K,400.0
per_source.910.event_nll,0.03973138704895973
per_source.910.0.75.log_loss,0.002010664570430981
per_source.910.0.75.brier,6.660859768144583e-06
per_source.910.3.0.log_loss,0.007766773397197664
per_source.910.3.0.brier,9.216609572067359e-05
per_source.910.6.0.log_loss,0.01698336113075381
per_source.910.6.0.brier,0.0004049207719579292
per_source.910.9.0.log_loss,0.027511148922585472
per_source.910.9.0.brier,0.0009792927607915427
per_source.910.12.0.log_loss,0.03973138914134807
per_source.910.12.0.brier,0.0018977568717503193
per_source.911.temperature_K,400.0
per_source.911.event_nll,0.13600477576255798
per_source.911.0.75.log_loss,0.003118178494270745
per_source.911.0.75.brier,0.00013149089944133823
per_source.911.3.0.log_loss,0.024075941472135518
per_source.911.3.0.brier,0.0038538312898853426
per_source.911.6.0.log_loss,0.04850441346333736
per_source.911.6.0.brier,0.009082587750221898
per_source.911.9.0.log_loss,0.07609475333225878
per_source.911.9.0.brier,0.01506118013083032
per_source.911.12.0.log_loss,0.10212479338640516
per_source.911.12.0.brier,0.02082606341187502
per_source.912.temperature_K,400.0
per_source.912.event_nll,0.17115169763565063
per_source.912.0.75.log_loss,0.012711218333418664
per_source.912.0.75.brier,0.002877262963109496
per_source.912.3.0.log_loss,0.02914853663287597
per_source.912.3.0.brier,0.006218169626335264
per_source.912.6.0.log_loss,0.06392725585635704
per_source.912.6.0.brier,0.013424331346804826
per_source.912.9.0.log_loss,0.09250831596031109
per_source.912.9.0.brier,0.019777042207730414
