metric,value
event_nll,0.20035273581572904
classification.0.75.n,44385
classification.0.75.sources,30
classification.0.75.prevalence,0.002461127212794187
classification.0.75.log_loss,0.010095781799078631
classification.0.75.brier,0.0022454133176066037
classification.0.75.average_precision,0.16900445759994934
classification.0.75.threshold,0.013588041998445988
classification.0.75.recall,0.8682370019013751
classification.0.75.false_positive_rate,0.048831799973100255
classification.0.75.precision,0.04202372491009387
classification.0.75.auroc,0.9787858889287058
classification.3.0.n,44385
classification.3.0.sources,30
classification.3.0.prevalence,0.00884508151496356
classification.3.0.log_loss,0.032182234658156776
classification.3.0.brier,0.007822273973281536
classification.3.0.average_precision,0.20169813997630076
classification.3.0.threshold,0.04204799607396126
classification.3.0.recall,0.796606747612551
classification.3.0.false_positive_rate,0.05366726381415306
classification.3.0.precision,0.11696899991024584
classification.3.0.auroc,0.948017679194675
classification.6.0.n,44385
classification.6.0.sources,30
classification.6.0.prevalence,0.01976765853638479
classification.6.0.log_loss,0.06718922031700737
classification.6.0.brier,0.016779920707934912
classification.6.0.average_precision,0.2460018116947759
classification.6.0.threshold,0.07753049582242966
classification.6.0.recall,0.6776332971892011
classification.6.0.false_positive_rate,0.055792428186178286
classification.6.0.precision,0.1967433302551835
classification.6.0.auroc,0.9116496735190298
classification.9.0.n,44385
classification.9.0.sources,30
classification.9.0.prevalence,0.031243024276521248
classification.9.0.log_loss,0.1041307549004362
classification.9.0.brier,0.025966243659802227
classification.9.0.average_precision,0.27062661421767875
classification.9.0.threshold,0.11458397656679153
classification.9.0.recall,0.5741507719562821
classification.9.0.false_positive_rate,0.06107929465945678
classification.9.0.precision,0.2326338060057156
classification.9.0.auroc,0.8661490120791446
classification.12.0.n,44385
classification.12.0.sources,30
classification.12.0.prevalence,0.043147138015594416
classification.12.0.log_loss,0.1414605524820579
classification.12.0.brier,0.03565811971347216
classification.12.0.average_precision,0.28180032423081697
classification.12.0.threshold,0.14837278425693512
classification.12.0.recall,0.5117810576463911
classification.12.0.false_positive_rate,0.06217607853403684
classification.12.0.precision,0.27069348660163006
classification.12.0.auroc,0.8279675987583716
timing.0.75.event_windows,68
timing.0.75.missed_windows,7
timing.0.75.detected_timing_mae_ps,0.375
timing.0.75.timed_within_3ps_recall,0.8970588235294118
timing.3.0.event_windows,274
timing.3.0.missed_windows,53
timing.3.0.detected_timing_mae_ps,0.7231751786269075
timing.3.0.timed_within_3ps_recall,0.8065693430656934
timing.6.0.event_windows,615
timing.6.0.missed_windows,196
timing.6.0.detected_timing_mae_ps,1.3849569214712423
timing.6.0.timed_within_3ps_recall,0.640650406504065
timing.9.0.event_windows,974
timing.9.0.missed_windows,406
timing.9.0.detected_timing_mae_ps,1.9835347354456716
