metric,value
event_nll,0.16727971158774657
classification.0.75.n,44385
classification.0.75.sources,30
classification.0.75.prevalence,0.002461127212794187
classification.0.75.log_loss,0.008848453344553784
classification.0.75.brier,0.0021202372333607527
classification.0.75.average_precision,0.22395483671941227
classification.0.75.threshold,0.003602596465498209
classification.0.75.recall,0.9446722604886475
classification.0.75.false_positive_rate,0.04592729092277556
classification.0.75.precision,0.04829656090136181
classification.0.75.auroc,0.9863108616900276
classification.3.0.n,44385
classification.3.0.sources,30
classification.3.0.prevalence,0.00884508151496356
classification.3.0.log_loss,0.025908905158410794
classification.3.0.brier,0.006721225192253016
classification.3.0.average_precision,0.38742199410818146
classification.3.0.threshold,0.02428985759615898
classification.3.0.recall,0.8478840048535804
classification.3.0.false_positive_rate,0.04253388468863481
classification.3.0.precision,0.15102728791813436
classification.3.0.auroc,0.9741036544670232
classification.6.0.n,44385
classification.6.0.sources,30
classification.6.0.prevalence,0.01976765853638479
classification.6.0.log_loss,0.05198691920256372
classification.6.0.brier,0.01382724425268874
classification.6.0.average_precision,0.47007241746808937
classification.6.0.threshold,0.07991395890712738
classification.6.0.recall,0.7471131066345528
classification.6.0.false_positive_rate,0.03979685294452656
classification.6.0.precision,0.2746187351824931
classification.6.0.auroc,0.9591660733431734
classification.9.0.n,44385
classification.9.0.sources,30
classification.9.0.prevalence,0.031243024276521248
classification.9.0.log_loss,0.07999727048004125
classification.9.0.brier,0.02157547424455322
classification.9.0.average_precision,0.48433887012127835
classification.9.0.threshold,0.13653771579265594
classification.9.0.recall,0.6907236632867112
classification.9.0.false_positive_rate,0.04103900555912055
classification.9.0.precision,0.3518309385848309
classification.9.0.auroc,0.9425590290631628
classification.12.0.n,44385
classification.12.0.sources,30
classification.12.0.prevalence,0.043147138015594416
classification.12.0.log_loss,0.10717586430850098
classification.12.0.brier,0.029090920274612103
classification.12.0.average_precision,0.5020704248376581
classification.12.0.threshold,0.1890934705734253
classification.12.0.recall,0.6375321302047566
classification.12.0.false_positive_rate,0.0418266706929902
classification.12.0.precision,0.4073423187602233
classification.12.0.auroc,0.9264498404762922
timing.0.75.event_windows,68
timing.0.75.missed_windows,3
timing.0.75.detected_timing_mae_ps,0.375
timing.0.75.timed_within_3ps_recall,0.9558823529411765
timing.3.0.event_windows,274
timing.3.0.missed_windows,41
timing.3.0.detected_timing_mae_ps,0.7165216236377406
timing.3.0.timed_within_3ps_recall,0.8503649635036497
timing.6.0.event_windows,615
timing.6.0.missed_windows,166
timing.6.0.detected_timing_mae_ps,1.32548148205425
timing.6.0.timed_within_3ps_recall,0.7008130081300813
timing.9.0.event_windows,974
timing.9.0.missed_windows,315
timing.9.0.detected_timing_mae_ps,1.8498456573250417
timing.9.0.timed_within_3ps_recall,0.5626283367556468
timing.12.0.event_windows,1349
timing.12.0.missed_windows,505
timing.12.0.detected_timing_mae_ps,2.4797108926123688
timing.12.0.timed_within_3ps_recall,0.4128984432913269
per_source.881.temperature_K,520.0
per_source.881.event_nll,0.09892614185810089
per_source.881.0.75.log_loss,0.005867703445902423
per_source.881.0.75.brier,0.001322155770028073
per_source.881.3.0.log_loss,0.010796052225191874
per_source.881.3.0.brier,0.003227085483098577
per_source.881.6.0.log_loss,0.020519188671071727
per_source.881.6.0.brier,0.00528586906240912
per_source.881.9.0.log_loss,0.041219834082139306
per_source.881.9.0.brier,0.011203346515881426
per_source.881.12.0.log_loss,0.06613427554971234
per_source.881.12.0.brier,0.017265552825530415
per_source.882.temperature_K,520.0
per_source.882.event_nll,0.3551904559135437
per_source.882.0.75.log_loss,0.021567477638371725
per_source.882.0.75.brier,0.0067979987509275445
per_source.882.3.0.log_loss,0.050067890001875635
per_source.882.3.0.brier,0.014178958147046544
per_source.882.6.0.log_loss,0.0936555423904755
per_source.882.6.0.brier,0.027876069850727964
per_source.882.9.0.log_loss,0.1656630868012776
per_source.882.9.0.brier,0.045618384700334094
per_source.882.12.0.log_loss,0.22778727302004953
per_source.882.12.0.brier,0.06502151026583941
per_source.883.temperature_K,520.0
per_source.883.event_nll,0.13858181238174438
per_source.883.0.75.log_loss,0.0032781479127866543
per_source.883.0.75.brier,0.0005351839620949118
per_source.883.3.0.log_loss,0.020436723545199938
per_source.883.3.0.brier,0.006358740766282632
per_source.883.6.0.log_loss,0.044154900635240975
per_source.883.6.0.brier,0.014128689556142434
per_source.883.9.0.log_loss,0.0757244522173058
per_source.883.9.0.brier,0.022408782020868944
per_source.883.12.0.log_loss,0.0931353642450941
per_source.883.12.0.brier,0.02634833464435732
per_source.908.temperature_K,400.0
per_source.908.event_nll,0.07189856469631195
per_source.908.0.75.log_loss,0.0019416962096475013
per_source.908.0.75.brier,0.00044337509418270604
per_source.908.3.0.log_loss,0.011106320982651094
per_source.908.3.0.brier,0.002706981711623973
per_source.908.6.0.log_loss,0.02488740751931344
per_source.908.6.0.brier,0.006043392382236838
per_source.908.9.0.log_loss,0.0381014614281446
per_source.908.9.0.brier,0.009389282820306424
per_source.908.12.0.log_loss,0.05274240942409865
per_source.908.12.0.brier,0.013015509866063427
per_source.909.temperature_K,400.0
per_source.909.event_nll,0.0969853550195694
per_source.909.0.75.log_loss,0.001817310384563831
per_source.909.0.75.brier,0.00038816931506185416
per_source.909.3.0.log_loss,0.015217436818709282
per_source.909.3.0.brier,0.0036090647105630363
per_source.909.6.0.log_loss,0.0342758355692872
per_source.909.6.0.brier,0.009324942296488942
per_source.909.9.0.log_loss,0.043435225490609644
per_source.909.9.0.brier,0.012583492176523551
per_source.909.12.0.log_loss,0.058955871085496034
per_source.909.12.0.brier,0.016688655296510833
per_source.910.temperature_K,400.0
per_source.910.event_nll,0.004258511122316122
per_source.910.0.75.log_loss,3.295973344491604e-05
per_source.910.0.75.brier,2.872378875189921e-07
per_source.910.3.0.log_loss,0.00022177685547516466
per_source.910.3.0.brier,1.1019707141562788e-05
per_source.910.6.0.log_loss,0.0008379433651938988
per_source.910.6.0.brier,6.881138473162602e-05
per_source.910.9.0.log_loss,0.0019311662277695242
per_source.910.9.0.brier,0.00015931267850100757
per_source.910.12.0.log_loss,0.004258510996468307
per_source.910.12.0.brier,0.0003537887013585997
per_source.911.temperature_K,400.0
per_source.911.event_nll,0.10866773128509521
per_source.911.0.75.log_loss,0.001091222118700311
per_source.911.0.75.brier,0.0001476766881343131
per_source.911.3.0.log_loss,0.017807585358271167
per_source.911.3.0.brier,0.003925399068613659
per_source.911.6.0.log_loss,0.03316036311843041
per_source.911.6.0.brier,0.007925760531277996
per_source.911.9.0.log_loss,0.05555956797607503
per_source.911.9.0.brier,0.013427589055177663
per_source.911.12.0.log_loss,0.07600410797167594
per_source.911.12.0.brier,0.018957783814310018
per_source.912.temperature_K,400.0
per_source.912.event_nll,0.1351047307252884
per_source.912.0.75.log_loss,0.00926882164356251
per_source.912.0.75.brier,0.002407949142456447
per_source.912.3.0.log_loss,0.01892127621596709
per_source.912.3.0.brier,0.005344092351811224
per_source.912.6.0.log_loss,0.043360359078110755
per_source.912.6.0.brier,0.011325433928014871
per_source.912.9.0.log_loss,0.06968016425071631
per_source.912.9.0.brier,0.016721898508885447
per_source.912.12.0.log_loss,0.08966703370530608
per_source.912.12.0.brier,0.02339420877412461
per_source.913.temperature_K,400.0
per_source.913.event_nll,0.047219667583703995
per_source.913.0.75.log_loss,0.0024679581614693823
per_source.913.0.75.brier,0.0007814713949773964
per_source.913.3.0.log_loss,0.004630759537512302
per_source.913.3.0.brier,0.001383687796303401
per_source.913.6.0.log_loss,0.012494281425528692
per_source.913.6.0.brier,0.0035602241213884165
per_source.913.9.0.log_loss,0.021918170260202152
per_source.913.9.0.brier,0.0060110901931047876
per_source.913.12.0.log_loss,0.03170017377412884
per_source.913.12.0.brier,0.008290018689523077
per_source.938.temperature_K,450.0
per_source.938.event_nll,0.27751046419143677
per_source.938.0.75.log_loss,0.006120676671922733
per_source.938.0.75.brier,0.0013271271174915401
per_source.938.3.0.log_loss,0.06327782093539956
per_source.938.3.0.brier,0.012299803863569513
per_source.938.6.0.log_loss,0.1069816525153529
per_source.938.6.0.brier,0.025594809200172403
per_source.938.9.0.log_loss,0.14596161679968045
per_source.938.9.0.brier,0.03593702307492777
per_source.938.12.0.log_loss,0.17486429495514821
per_source.938.12.0.brier,0.045510317154259905
per_source.939.temperature_K,450.0
per_source.939.event_nll,0.35122132301330566
per_source.939.0.75.log_loss,0.020651512250808447
per_source.939.0.75.brier,0.0028125360543032906
per_source.939.3.0.log_loss,0.05746698315923514
per_source.939.3.0.brier,0.012768028106746081
per_source.939.6.0.log_loss,0.1239476439390059
per_source.939.6.0.brier,0.02912011861386269
per_source.939.9.0.log_loss,0.18136156146321833
per_source.939.9.0.brier,0.04555313185541922
per_source.939.12.0.log_loss,0.2114124523232885
per_source.939.12.0.brier,0.055745436371929274
per_source.940.temperature_K,450.0
per_source.940.event_nll,0.25023606419563293
per_source.940.0.75.log_loss,0.010384273923710668
per_source.940.0.75.brier,0.0020093292610745615
per_source.940.3.0.log_loss,0.0453159800267554
per_source.940.3.0.brier,0.01192515238575794
per_source.940.6.0.log_loss,0.08950300160053003
per_source.940.6.0.brier,0.024943443901230978
per_source.940.9.0.log_loss,0.12140950752439975
per_source.940.9.0.brier,0.03567372457801817
per_source.940.12.0.log_loss,0.1570221609794168
per_source.940.12.0.brier,0.0462852676717532
per_source.941.temperature_K,450.0
per_source.941.event_nll,0.18947045505046844
per_source.941.0.75.log_loss,0.016126862775123093
per_source.941.0.75.brier,0.004012261262110382
per_source.941.3.0.log_loss,0.040533592716848005
per_source.941.3.0.brier,0.011569468580483305
per_source.941.6.0.log_loss,0.06261136493434538
per_source.941.6.0.brier,0.01830685987970217
per_source.941.9.0.log_loss,0.085825075734349
per_source.941.9.0.brier,0.025410002136455237
per_source.941.12.0.log_loss,0.10874299309352473
per_source.941.12.0.brier,0.03056569120490306
per_source.942.temperature_K,450.0
per_source.942.event_nll,0.23470133543014526
per_source.942.0.75.log_loss,0.012951643086592045
per_source.942.0.75.brier,0.004044581593291495
