metric,value
event_nll,0.22228304504611884
classification.0.75.n,44385
classification.0.75.sources,30
classification.0.75.prevalence,0.002461127212794187
classification.0.75.log_loss,0.012928069279937606
classification.0.75.brier,0.002334295706448412
classification.0.75.average_precision,0.11191583857046786
classification.0.75.threshold,0.020181909203529358
classification.0.75.recall,0.7579624236023867
classification.0.75.false_positive_rate,0.0385421029764055
classification.0.75.precision,0.04627431322372569
classification.0.75.auroc,0.9588329020077776
classification.3.0.n,44385
classification.3.0.sources,30
classification.3.0.prevalence,0.00884508151496356
classification.3.0.log_loss,0.04075299024757062
classification.3.0.brier,0.008197213844014912
classification.3.0.average_precision,0.1302350272482717
classification.3.0.threshold,0.06106536090373993
classification.3.0.recall,0.5570009910756967
classification.3.0.false_positive_rate,0.04515681346002178
classification.3.0.precision,0.09916084805382482
classification.3.0.auroc,0.9005476863863536
classification.6.0.n,44385
classification.6.0.sources,30
classification.6.0.prevalence,0.01976765853638479
classification.6.0.log_loss,0.08217056648699317
classification.6.0.brier,0.018058952718757335
classification.6.0.average_precision,0.1489032667629528
classification.6.0.threshold,0.09989453852176666
classification.6.0.recall,0.44720504477032136
classification.6.0.false_positive_rate,0.04874037685502593
classification.6.0.precision,0.1561400730105688
classification.6.0.auroc,0.8489390740689072
classification.9.0.n,44385
classification.9.0.sources,30
classification.9.0.prevalence,0.031243024276521248
classification.9.0.log_loss,0.1227857960589317
classification.9.0.brier,0.028319822832936797
classification.9.0.average_precision,0.16398910776874978
classification.9.0.threshold,0.1267838329076767
classification.9.0.recall,0.38918085502383837
classification.9.0.false_positive_rate,0.052091623835715174
classification.9.0.precision,0.19416391009550954
classification.9.0.auroc,0.799004428551319
classification.12.0.n,44385
classification.12.0.sources,30
classification.12.0.prevalence,0.043147138015594416
classification.12.0.log_loss,0.1612235502645029
classification.12.0.brier,0.038796044066745264
classification.12.0.average_precision,0.17823103357060788
classification.12.0.threshold,0.15112510323524475
classification.12.0.recall,0.3453153717672007
classification.12.0.false_positive_rate,0.052581755357900856
classification.12.0.precision,0.22847458687200242
classification.12.0.auroc,0.7669403236538685
timing.0.75.event_windows,68
timing.0.75.missed_windows,15
timing.0.75.detected_timing_mae_ps,0.375
timing.0.75.timed_within_3ps_recall,0.7794117647058824
timing.3.0.event_windows,274
timing.3.0.missed_windows,116
timing.3.0.detected_timing_mae_ps,0.7666396131040641
timing.3.0.timed_within_3ps_recall,0.5766423357664233
timing.6.0.event_windows,615
timing.6.0.missed_windows,331
timing.6.0.detected_timing_mae_ps,1.3797973023637398
timing.6.0.timed_within_3ps_recall,0.424390243902439
timing.9.0.event_windows,974
timing.9.0.missed_windows,582
timing.9.0.detected_timing_mae_ps,2.018686579248427
timing.9.0.timed_within_3ps_recall,0.32340862422997946
timing.12.0.event_windows,1349
timing.12.0.missed_windows,872
timing.12.0.detected_timing_mae_ps,2.7207680238086
timing.12.0.timed_within_3ps_recall,0.22016308376575242
per_source.881.temperature_K,520.0
per_source.881.event_nll,0.1546088606119156
per_source.881.0.75.log_loss,0.0069817130551465805
per_source.881.0.75.brier,0.0010073375288016098
per_source.881.3.0.log_loss,0.02409230351657625
per_source.881.3.0.brier,0.004470049322360543
per_source.881.6.0.log_loss,0.05231751971073016
per_source.881.6.0.brier,0.010106687865126154
per_source.881.9.0.log_loss,0.08579290294311614
per_source.881.9.0.brier,0.017073255220600315
per_source.881.12.0.log_loss,0.11786104634269831
per_source.881.12.0.brier,0.024443164198045122
per_source.882.temperature_K,520.0
per_source.882.event_nll,0.4577082693576813
per_source.882.0.75.log_loss,0.035521478869800754
per_source.882.0.75.brier,0.008857742999932963
per_source.882.3.0.log_loss,0.0815909211970167
per_source.882.3.0.brier,0.01962734190872348
per_source.882.6.0.log_loss,0.16371637811196665
per_source.882.6.0.brier,0.04294992111553061
per_source.882.9.0.log_loss,0.2434881250048355
per_source.882.9.0.brier,0.0658647755488638
per_source.882.12.0.log_loss,0.31692904566086594
per_source.882.12.0.brier,0.08979691168665095
per_source.883.temperature_K,520.0
per_source.883.event_nll,0.19323141872882843
per_source.883.0.75.log_loss,0.007264323506676824
per_source.883.0.75.brier,0.0008395389359056891
per_source.883.3.0.log_loss,0.03368472228263451
per_source.883.3.0.brier,0.0061320035095937305
per_source.883.6.0.log_loss,0.07001724178385207
per_source.883.6.0.brier,0.014786848089697716
per_source.883.9.0.log_loss,0.10901658381639867
per_source.883.9.0.brier,0.02388211260287532
per_source.883.12.0.log_loss,0.1450069067380865
per_source.883.12.0.brier,0.0329913297013675
per_source.908.temperature_K,400.0
per_source.908.event_nll,0.10060597211122513
per_source.908.0.75.log_loss,0.005256512087084824
per_source.908.0.75.brier,0.0004766071183682335
per_source.908.3.0.log_loss,0.01886254632137756
per_source.908.3.0.brier,0.002594796301018478
per_source.908.6.0.log_loss,0.040137692674461975
per_source.908.6.0.brier,0.006342534490336423
per_source.908.9.0.log_loss,0.058024712033922135
per_source.908.9.0.brier,0.009775834850811642
per_source.908.12.0.log_loss,0.07908142690384928
per_source.908.12.0.brier,0.014041243022445339
per_source.909.temperature_K,400.0
per_source.909.event_nll,0.13478036224842072
per_source.909.0.75.log_loss,0.004421839319385504
per_source.909.0.75.brier,0.000491163717414407
per_source.909.3.0.log_loss,0.02197932092291425
per_source.909.3.0.brier,0.0035445352220807515
per_source.909.6.0.log_loss,0.047751784505182714
per_source.909.6.0.brier,0.00912247897166283
per_source.909.9.0.log_loss,0.0718816929760682
per_source.909.9.0.brier,0.014977174264331476
per_source.909.12.0.log_loss,0.09579369953833265
per_source.909.12.0.brier,0.021104334736237847
per_source.910.temperature_K,400.0
per_source.910.event_nll,0.03551720082759857
per_source.910.0.75.log_loss,0.0023615984060290137
per_source.910.0.75.brier,1.0184437427403724e-05
per_source.910.3.0.log_loss,0.007987752171351432
per_source.910.3.0.brier,0.00010383620085738267
per_source.910.6.0.log_loss,0.01622390870292957
per_source.910.6.0.brier,0.0003777908539125281
per_source.910.9.0.log_loss,0.024861361886447737
per_source.910.9.0.brier,0.0008070554203914124
per_source.910.12.0.log_loss,0.03551720144863217
per_source.910.12.0.brier,0.0015256256135101202
per_source.911.temperature_K,400.0
per_source.911.event_nll,0.1358020007610321
per_source.911.0.75.log_loss,0.0030009790042094934
per_source.911.0.75.brier,2.9293277133716887e-05
per_source.911.3.0.log_loss,0.026062280637192015
per_source.911.3.0.brier,0.004718855331345119
per_source.911.6.0.log_loss,0.05000367715481906
per_source.911.6.0.brier,0.010119851788373125
per_source.911.9.0.log_loss,0.07645610459721508
per_source.911.9.0.brier,0.0159362065543276
per_source.911.12.0.log_loss,0.10165813197683016
per_source.911.12.0.brier,0.02168285472173141
per_source.912.temperature_K,400.0
per_source.912.event_nll,0.17933407425880432
per_source.912.0.75.log_loss,0.015589650862735756
per_source.912.0.75.brier,0.0029040209281369542
per_source.912.3.0.log_loss,0.03576528245499429
per_source.912.3.0.brier,0.007287334553291051
per_source.912.6.0.log_loss,0.07047612763496734
per_source.912.6.0.brier,0.01511424564084049
per_source.912.9.0.log_loss,0.10175770796245494
per_source.912.9.0.brier,0.02277482630390821
per_source.912.12.0.log_loss,0.13080872066176286
per_source.912.12.0.brier,0.03051689800871125
per_source.913.temperature_K,400.0
per_source.913.event_nll,0.08607661724090576
per_source.913.0.75.log_loss,0.005173112829798208
per_source.913.0.75.brier,0.0008094198492159983
per_source.913.3.0.log_loss,0.014480618941584629
per_source.913.3.0.brier,0.002227405747343548
per_source.913.6.0.log_loss,0.03159454828906227
per_source.913.6.0.brier,0.00500598777248268
per_source.913.9.0.log_loss,0.05014421739200371
per_source.913.9.0.brier,0.008345186054569435
per_source.913.12.0.log_loss,0.06963371950854956
per_source.913.12.0.brier,0.011895326800073183
per_source.938.temperature_K,450.0
per_source.938.event_nll,0.30403122305870056
per_source.938.0.75.log_loss,0.00890437404664797
per_source.938.0.75.brier,0.0010776774535704986
per_source.938.3.0.log_loss,0.06138598184436635
per_source.938.3.0.brier,0.01234107898453279
per_source.938.6.0.log_loss,0.11635183603600342
per_source.938.6.0.brier,0.027149541630898243
per_source.938.9.0.log_loss,0.16599166514162086
per_source.938.9.0.brier,0.04151505047599905
per_source.938.12.0.log_loss,0.21110068735477694
per_source.938.12.0.brier,0.05544930450655725
per_source.939.temperature_K,450.0
per_source.939.event_nll,0.4123029112815857
per_source.939.0.75.log_loss,0.01700018829562523
per_source.939.0.75.brier,0.003203160545141846
per_source.939.3.0.log_loss,0.07442338863391025
per_source.939.3.0.brier,0.016545563638080886
per_source.939.6.0.log_loss,0.14924066311658604
per_source.939.6.0.brier,0.03771647480383944
per_source.939.9.0.log_loss,0.22468899762762598
per_source.939.9.0.brier,0.06007154421010153
per_source.939.12.0.log_loss,0.2825465089007878
per_source.939.12.0.brier,0.07891618702304062
per_source.940.temperature_K,450.0
per_source.940.event_nll,0.30029961466789246
per_source.940.0.75.log_loss,0.012823669749637279
per_source.940.0.75.brier,0.0018557128515497205
per_source.940.3.0.log_loss,0.057096862913072026
per_source.940.3.0.brier,0.01160889744640756
per_source.940.6.0.log_loss,0.11746958594463137
per_source.940.6.0.brier,0.02793975765257795
per_source.940.9.0.log_loss,0.16160207568196117
per_source.940.9.0.brier,0.04091402453793987
per_source.940.12.0.log_loss,0.20558413854435745
per_source.940.12.0.brier,0.05465426754477269
per_source.941.temperature_K,450.0
per_source.941.event_nll,0.2406282126903534
per_source.941.0.75.log_loss,0.020871418285825245
per_source.941.0.75.brier,0.004379599315276763
per_source.941.3.0.log_loss,0.05073820288997976
per_source.941.3.0.brier,0.011999636177207333
per_source.941.6.0.log_loss,0.09029607987298924
per_source.941.6.0.brier,0.02178156162922965
per_source.941.9.0.log_loss,0.12179912108546764
per_source.941.9.0.brier,0.030299116048197086
per_source.941.12.0.log_loss,0.15941711503477596
per_source.941.12.0.brier,0.040872542738367955
per_source.942.temperature_K,450.0
per_source.942.event_nll,0.337352991104126
per_source.942.0.75.log_loss,0.022401961296797054
per_source.942.0.75.brier,0.005359772094695598
per_source.942.3.0.log_loss,0.06767239729219275
per_source.942.3.0.brier,0.015855529718122156
per_source.942.6.0.log_loss,0.12378957779248809
per_source.942.6.0.brier,0.030743589354520925
per_source.942.9.0.log_loss,0.1805478014370393
per_source.942.9.0.brier,0.04707196743524708
per_source.942.12.0.log_loss,0.23130857480637004
per_source.942.12.0.brier,0.062342872626213866
per_source.943.temperature_K,450.0
per_source.943.event_nll,0.30029305815696716
per_source.943.0.75.log_loss,0.0171055369009139
per_source.943.0.75.brier,0.0024924623559289065
per_source.943.3.0.log_loss,0.06081250371176112
