metric,value
event_nll,0.2331210117343606
classification.0.75.n,44385
classification.0.75.sources,30
classification.0.75.prevalence,0.002461127212794187
classification.0.75.log_loss,0.014217788007813092
classification.0.75.brier,0.0024180315979788975
classification.0.75.average_precision,0.03573827058781807
classification.0.75.threshold,0.016267240047454834
classification.0.75.recall,0.5658771760429516
classification.0.75.false_positive_rate,0.040089390863940255
classification.0.75.precision,0.033653469599855844
classification.0.75.auroc,0.9302730360434655
classification.3.0.n,44385
classification.3.0.sources,30
classification.3.0.prevalence,0.00884508151496356
classification.3.0.log_loss,0.04424324846837705
classification.3.0.brier,0.00854521877423399
classification.3.0.average_precision,0.0627174388264361
classification.3.0.threshold,0.05084899812936783
classification.3.0.recall,0.37742976996258
classification.3.0.false_positive_rate,0.03926306982642223
classification.3.0.precision,0.0790074954703184
classification.3.0.auroc,0.848891012332993
classification.6.0.n,44385
classification.6.0.sources,30
classification.6.0.prevalence,0.01976765853638479
classification.6.0.log_loss,0.08883855521897069
classification.6.0.brier,0.01884597943080223
classification.6.0.average_precision,0.08300549917868387
classification.6.0.threshold,0.08349598199129105
classification.6.0.recall,0.25310108090549854
classification.6.0.false_positive_rate,0.039385103272790996
classification.6.0.precision,0.1147269522755318
classification.6.0.auroc,0.783823937217562
classification.9.0.n,44385
classification.9.0.sources,30
classification.9.0.prevalence,0.031243024276521248
classification.9.0.log_loss,0.13174870312910142
classification.9.0.brier,0.029565208482247404
classification.9.0.average_precision,0.09542197174737979
classification.9.0.threshold,0.10360157489776611
classification.9.0.recall,0.1974214559030599
classification.9.0.false_positive_rate,0.04002606835403736
classification.9.0.precision,0.13723970924502688
classification.9.0.auroc,0.7227874118510245
classification.12.0.n,44385
classification.12.0.sources,30
classification.12.0.prevalence,0.043147138015594416
classification.12.0.log_loss,0.1717150027418426
classification.12.0.brier,0.04052296891325141
classification.12.0.average_precision,0.10632038757734796
classification.12.0.threshold,0.12354683876037598
classification.12.0.recall,0.16812029619216573
classification.12.0.false_positive_rate,0.03938893188513976
classification.12.0.precision,0.1614012789444968
classification.12.0.auroc,0.6883637972570491
timing.0.75.event_windows,68
timing.0.75.missed_windows,28
timing.0.75.detected_timing_mae_ps,0.375
timing.0.75.timed_within_3ps_recall,0.5882352941176471
timing.3.0.event_windows,274
timing.3.0.missed_windows,168
timing.3.0.detected_timing_mae_ps,0.7975213971729256
timing.3.0.timed_within_3ps_recall,0.38686131386861317
timing.6.0.event_windows,615
timing.6.0.missed_windows,449
timing.6.0.detected_timing_mae_ps,1.4706361133094872
timing.6.0.timed_within_3ps_recall,0.24390243902439024
timing.9.0.event_windows,974
timing.9.0.missed_windows,773
timing.9.0.detected_timing_mae_ps,2.1017534075309903
timing.9.0.timed_within_3ps_recall,0.162217659137577
timing.12.0.event_windows,1349
timing.12.0.missed_windows,1115
timing.12.0.detected_timing_mae_ps,2.7235866388575207
timing.12.0.timed_within_3ps_recall,0.10822831727205337
per_source.881.temperature_K,520.0
per_source.881.event_nll,0.16116540133953094
per_source.881.0.75.log_loss,0.006731412823637446
per_source.881.0.75.brier,0.0009923520016887958
per_source.881.3.0.log_loss,0.025438310699145563
per_source.881.3.0.brier,0.0047230947049812615
per_source.881.6.0.log_loss,0.056518521989597545
per_source.881.6.0.brier,0.010843491775212169
per_source.881.9.0.log_loss,0.09190103301520335
per_source.881.9.0.brier,0.018243835157511604
per_source.881.12.0.log_loss,0.12482895346125521
per_source.881.12.0.brier,0.02583348486465922
per_source.882.temperature_K,520.0
per_source.882.event_nll,0.4827539026737213
per_source.882.0.75.log_loss,0.041633631115352114
per_source.882.0.75.brier,0.009206406951510718
per_source.882.3.0.log_loss,0.08879175192804876
per_source.882.3.0.brier,0.019972286513614004
per_source.882.6.0.log_loss,0.18248593019222306
per_source.882.6.0.brier,0.044752849119995386
per_source.882.9.0.log_loss,0.2664169819879023
per_source.882.9.0.brier,0.06882862606840645
per_source.882.12.0.log_loss,0.33905879128594407
per_source.882.12.0.brier,0.0933678932590033
per_source.883.temperature_K,520.0
per_source.883.event_nll,0.20298124849796295
per_source.883.0.75.log_loss,0.006378527150054943
per_source.883.0.75.brier,0.0007971391892560967
per_source.883.3.0.log_loss,0.03568582830403213
per_source.883.3.0.brier,0.006454559267586139
per_source.883.6.0.log_loss,0.0776336117197807
per_source.883.6.0.brier,0.01572576419813267
per_source.883.9.0.log_loss,0.11771995220064939
per_source.883.9.0.brier,0.02508146903936425
per_source.883.12.0.log_loss,0.15255902228360957
per_source.883.12.0.brier,0.03426385018783065
per_source.908.temperature_K,400.0
per_source.908.event_nll,0.11482107639312744
per_source.908.0.75.log_loss,0.007800591123365531
per_source.908.0.75.brier,0.0007450676678533895
per_source.908.3.0.log_loss,0.02557258674816492
per_source.908.3.0.brier,0.0035275897908592815
per_source.908.6.0.log_loss,0.0489008557617827
per_source.908.6.0.brier,0.007722961503142939
per_source.908.9.0.log_loss,0.06986178276220253
per_source.908.9.0.brier,0.011516968468545183
per_source.908.12.0.log_loss,0.09202391665014414
per_source.908.12.0.brier,0.016017102889473177
per_source.909.temperature_K,400.0
per_source.909.event_nll,0.1535130888223648
per_source.909.0.75.log_loss,0.005822151221098084
per_source.909.0.75.brier,0.0005388407306490875
per_source.909.3.0.log_loss,0.026567993013639855
per_source.909.3.0.brier,0.003716909661103304
per_source.909.6.0.log_loss,0.05598844764930242
per_source.909.6.0.brier,0.009711384356596868
per_source.909.9.0.log_loss,0.08482636001480466
per_source.909.9.0.brier,0.01622142717973357
per_source.909.12.0.log_loss,0.11427142283118855
per_source.909.12.0.brier,0.023654985432263857
per_source.910.temperature_K,400.0
per_source.910.event_nll,0.05244935303926468
per_source.910.0.75.log_loss,0.003742259016472183
per_source.910.0.75.brier,2.5048976777945923e-05
per_source.910.3.0.log_loss,0.01291720046428891
per_source.910.3.0.brier,0.00024217348916786993
per_source.910.6.0.log_loss,0.02582914268474643
per_source.910.6.0.brier,0.0008255196161529868
per_source.910.9.0.log_loss,0.03857498263415601
per_source.910.9.0.brier,0.0016663650190116331
per_source.910.12.0.log_loss,0.05244935339882009
per_source.910.12.0.brier,0.0029121461515664955
per_source.911.temperature_K,400.0
per_source.911.event_nll,0.15444277226924896
per_source.911.0.75.log_loss,0.004037859957088746
per_source.911.0.75.brier,2.9958611337316046e-05
per_source.911.3.0.log_loss,0.03184040462064519
per_source.911.3.0.brier,0.005162645110890639
per_source.911.6.0.log_loss,0.06213566503260645
per_source.911.6.0.brier,0.011291795795045866
per_source.911.9.0.log_loss,0.09162993299013827
per_source.911.9.0.brier,0.01765595932396513
per_source.911.12.0.log_loss,0.1199452432456045
per_source.911.12.0.brier,0.024155018768335618
per_source.912.temperature_K,400.0
per_source.912.event_nll,0.1959412544965744
per_source.912.0.75.log_loss,0.017575475454873618
per_source.912.0.75.brier,0.0029720690667257004
per_source.912.3.0.log_loss,0.042212191020105316
per_source.912.3.0.brier,0.007653467489857527
per_source.912.6.0.log_loss,0.08189192644568286
per_source.912.6.0.brier,0.01591347477505444
per_source.912.9.0.log_loss,0.11597363435755112
per_source.912.9.0.brier,0.024105357583594802
per_source.912.12.0.log_loss,0.1475422781470518
per_source.912.12.0.brier,0.03231934201638705
per_source.913.temperature_K,400.0
per_source.913.event_nll,0.10026847571134567
per_source.913.0.75.log_loss,0.006370801016136902
per_source.913.0.75.brier,0.0008266125684194127
per_source.913.3.0.log_loss,0.019130538349695955
per_source.913.3.0.brier,0.002509160052839214
per_source.913.6.0.log_loss,0.03995007614692666
per_source.913.6.0.brier,0.0056379237152930466
per_source.913.9.0.log_loss,0.061897022300829295
per_source.913.9.0.brier,0.009361127856290372
per_source.913.12.0.log_loss,0.0837025430216
per_source.913.12.0.brier,0.013361030700499432
per_source.938.temperature_K,450.0
per_source.938.event_nll,0.3135327100753784
per_source.938.0.75.log_loss,0.009406912925801047
per_source.938.0.75.brier,0.001167954636739546
per_source.938.3.0.log_loss,0.060750695820222196
per_source.938.3.0.brier,0.012041660617922053
per_source.938.6.0.log_loss,0.11932159564893186
per_source.938.6.0.brier,0.026434499701278855
per_source.938.9.0.log_loss,0.17236563112539918
