metric,value
event_nll,0.2172466116691358
classification.0.75.n,44385
classification.0.75.sources,30
classification.0.75.prevalence,0.002461127212794187
classification.0.75.log_loss,0.011379691540602284
classification.0.75.brier,0.00232184285725564
classification.0.75.average_precision,0.09934927673988672
classification.0.75.threshold,0.014625604264438152
classification.0.75.recall,0.7202382272488713
classification.0.75.false_positive_rate,0.04026968020394476
classification.0.75.precision,0.04226189700029265
classification.0.75.auroc,0.9577675835362714
classification.3.0.n,44385
classification.3.0.sources,30
classification.3.0.prevalence,0.00884508151496356
classification.3.0.log_loss,0.03688629547541112
classification.3.0.brier,0.00807847831519579
classification.3.0.average_precision,0.14054914125479798
classification.3.0.threshold,0.05215204134583473
classification.3.0.recall,0.5861140026848836
classification.3.0.false_positive_rate,0.04394051091804864
classification.3.0.precision,0.1063734746055715
classification.3.0.auroc,0.9022489591480926
classification.6.0.n,44385
classification.6.0.sources,30
classification.6.0.prevalence,0.01976765853638479
classification.6.0.log_loss,0.07692947767690886
classification.6.0.brier,0.017633273459832857
classification.6.0.average_precision,0.16981114089986304
classification.6.0.threshold,0.0887499451637268
classification.6.0.recall,0.4775476666492589
classification.6.0.false_positive_rate,0.04628673206235623
classification.6.0.precision,0.1722258282993901
classification.6.0.auroc,0.8491736276697754
classification.9.0.n,44385
classification.9.0.sources,30
classification.9.0.prevalence,0.031243024276521248
classification.9.0.log_loss,0.1177765116906589
classification.9.0.brier,0.027615014171481628
classification.9.0.average_precision,0.18771506530294851
classification.9.0.threshold,0.11474359780550003
classification.9.0.recall,0.4085974127209279
classification.9.0.false_positive_rate,0.048989379057430636
classification.9.0.precision,0.2119700971026516
classification.9.0.auroc,0.7914734717456822
classification.12.0.n,44385
classification.12.0.sources,30
classification.12.0.prevalence,0.043147138015594416
classification.12.0.log_loss,0.15697489185328806
classification.12.0.brier,0.03814423736716827
classification.12.0.average_precision,0.19188857653590982
classification.12.0.threshold,0.1398163139820099
classification.12.0.recall,0.3519768672472715
classification.12.0.false_positive_rate,0.050684700059709445
classification.12.0.precision,0.23846888751965586
classification.12.0.auroc,0.7529564321736159
timing.0.75.event_windows,68
timing.0.75.missed_windows,18
timing.0.75.detected_timing_mae_ps,0.375
timing.0.75.timed_within_3ps_recall,0.7352941176470589
timing.3.0.event_windows,274
timing.3.0.missed_windows,114
timing.3.0.detected_timing_mae_ps,0.7741093920599283
timing.3.0.timed_within_3ps_recall,0.583941605839416
timing.6.0.event_windows,615
