metric,value
event_nll,0.22238885966382668
classification.0.75.n,44385
classification.0.75.sources,30
classification.0.75.prevalence,0.002461127212794187
classification.0.75.log_loss,0.012955812133926811
classification.0.75.brier,0.0023380141582316706
classification.0.75.average_precision,0.10439707275081274
classification.0.75.threshold,0.020109165459871292
classification.0.75.recall,0.7200632001707031
classification.0.75.false_positive_rate,0.03914709825040409
classification.0.75.precision,0.043411082866802786
classification.0.75.auroc,0.957650757619201
classification.3.0.n,44385
classification.3.0.sources,30
classification.3.0.prevalence,0.00884508151496356
classification.3.0.log_loss,0.04087706230634561
classification.3.0.brier,0.008210371977680457
classification.3.0.average_precision,0.1271620214630545
classification.3.0.threshold,0.06087511032819748
classification.3.0.recall,0.5724579716072492
classification.3.0.false_positive_rate,0.0451576125540274
classification.3.0.precision,0.10163131366901236
classification.3.0.auroc,0.8972648235922134
classification.6.0.n,44385
classification.6.0.sources,30
classification.6.0.prevalence,0.01976765853638479
classification.6.0.log_loss,0.08232895146045102
classification.6.0.brier,0.01806625844492499
classification.6.0.average_precision,0.1484126451868591
classification.6.0.threshold,0.09970720112323761
classification.6.0.recall,0.44762239314245805
classification.6.0.false_positive_rate,0.049184506074983286
classification.6.0.precision,0.1550707955655802
classification.6.0.auroc,0.8472693260450629
classification.9.0.n,44385
classification.9.0.sources,30
classification.9.0.prevalence,0.031243024276521248
classification.9.0.log_loss,0.1229435927998033
classification.9.0.brier,0.028329779677919494
classification.9.0.average_precision,0.16318481865363205
classification.9.0.threshold,0.12612256407737732
classification.9.0.recall,0.38272047239487655
classification.9.0.false_positive_rate,0.05194046351972156
classification.9.0.precision,0.19200865495594927
classification.9.0.auroc,0.7976109684019316
classification.12.0.n,44385
classification.12.0.sources,30
classification.12.0.prevalence,0.043147138015594416
classification.12.0.log_loss,0.16144615550520297
classification.12.0.brier,0.03881549457111619
classification.12.0.average_precision,0.17750878125593234
classification.12.0.threshold,0.15071572363376617
classification.12.0.recall,0.3399605946741265
classification.12.0.false_positive_rate,0.05201576448433518
classification.12.0.precision,0.22762851290478273
classification.12.0.auroc,0.7651354873188125
timing.0.75.event_windows,68
timing.0.75.missed_windows,17
timing.0.75.detected_timing_mae_ps,0.375
timing.0.75.timed_within_3ps_recall,0.75
timing.3.0.event_windows,274
timing.3.0.missed_windows,112
timing.3.0.detected_timing_mae_ps,0.7612788311672575
timing.3.0.timed_within_3ps_recall,0.5912408759124088
timing.6.0.event_windows,615
timing.6.0.missed_windows,330
timing.6.0.detected_timing_mae_ps,1.3614602854520708
timing.6.0.timed_within_3ps_recall,0.4276422764227642
timing.9.0.event_windows,974
timing.9.0.missed_windows,588
timing.9.0.detected_timing_mae_ps,2.000241534676069
timing.9.0.timed_within_3ps_recall,0.3182751540041068
timing.12.0.event_windows,1349
timing.12.0.missed_windows,876
timing.12.0.detected_timing_mae_ps,2.7348121268704464
timing.12.0.timed_within_3ps_recall,0.21719792438843588
per_source.881.temperature_K,520.0
per_source.881.event_nll,0.15364429354667664
per_source.881.0.75.log_loss,0.006744164587730786
per_source.881.0.75.brier,0.0010019831164426684
per_source.881.3.0.log_loss,0.023761125054651392
per_source.881.3.0.brier,0.004426354754354427
per_source.881.6.0.log_loss,0.05158245222100212
per_source.881.6.0.brier,0.009971806030854635
per_source.881.9.0.log_loss,0.08536188293720326
per_source.881.9.0.brier,0.01697615596045524
per_source.881.12.0.log_loss,0.11721361671372474
per_source.881.12.0.brier,0.024270039403993308
per_source.882.temperature_K,520.0
per_source.882.event_nll,0.4581330716609955
per_source.882.0.75.log_loss,0.036050182388557485
per_source.882.0.75.brier,0.008915692705157675
per_source.882.3.0.log_loss,0.08206371530964511
per_source.882.3.0.brier,0.019668576545818075
per_source.882.6.0.log_loss,0.16508438451629984
per_source.882.6.0.brier,0.043018803496603614
per_source.882.9.0.log_loss,0.24486330893240518
per_source.882.9.0.brier,0.06590687453404431
per_source.882.12.0.log_loss,0.31844457516476454
per_source.882.12.0.brier,0.08997052110828674
per_source.883.temperature_K,520.0
per_source.883.event_nll,0.19353151321411133
per_source.883.0.75.log_loss,0.00701776598995356
per_source.883.0.75.brier,0.0008205316297904529
per_source.883.3.0.log_loss,0.033466600010339506
per_source.883.3.0.brier,0.0061068659783260655
per_source.883.6.0.log_loss,0.07006143318916457
per_source.883.6.0.brier,0.01475006402765462
