metric,value
event_nll,0.23316805417214068
classification.0.75.n,44385
classification.0.75.sources,30
classification.0.75.prevalence,0.002461127212794187
classification.0.75.log_loss,0.01427276576973412
classification.0.75.brier,0.0024132695770723725
classification.0.75.average_precision,0.040064289663880405
classification.0.75.threshold,0.015673812478780746
classification.0.75.recall,0.5512446020287355
classification.0.75.false_positive_rate,0.04025236645476547
classification.0.75.precision,0.032683296436868875
classification.0.75.auroc,0.929492356468765
classification.3.0.n,44385
classification.3.0.sources,30
classification.3.0.prevalence,0.00884508151496356
classification.3.0.log_loss,0.04418990312973565
classification.3.0.brier,0.00853693675008469
classification.3.0.average_precision,0.06517445411824875
classification.3.0.threshold,0.04945024102926254
classification.3.0.recall,0.39262285924626206
classification.3.0.false_positive_rate,0.0405079747000401
classification.3.0.precision,0.07960993556941963
classification.3.0.auroc,0.8534409824904494
classification.6.0.n,44385
classification.6.0.sources,30
classification.6.0.prevalence,0.01976765853638479
classification.6.0.log_loss,0.08875040116280786
classification.6.0.brier,0.018858874520256558
classification.6.0.average_precision,0.08286718513247981
classification.6.0.threshold,0.08139824867248535
classification.6.0.recall,0.25404904648488463
classification.6.0.false_positive_rate,0.04145048134812673
classification.6.0.precision,0.11000259591835357
classification.6.0.auroc,0.7879951823091236
classification.9.0.n,44385
classification.9.0.sources,30
classification.9.0.prevalence,0.031243024276521248
classification.9.0.log_loss,0.13174146183326862
classification.9.0.brier,0.02959924330592962
classification.9.0.average_precision,0.09367536944947347
classification.9.0.threshold,0.10285187512636185
classification.9.0.recall,0.1959464950076911
classification.9.0.false_positive_rate,0.04116181824815839
classification.9.0.precision,0.13309259288795391
classification.9.0.auroc,0.7252914269728838
classification.12.0.n,44385
classification.12.0.sources,30
classification.12.0.prevalence,0.043147138015594416
classification.12.0.log_loss,0.17163067867446363
classification.12.0.brier,0.04055981817513597
classification.12.0.average_precision,0.10433843588889084
classification.12.0.threshold,0.122314453125
classification.12.0.recall,0.17566167804077554
classification.12.0.false_positive_rate,0.041699673455461966
classification.12.0.precision,0.15963223432509183
classification.12.0.auroc,0.6913745426723548
timing.0.75.event_windows,68
timing.0.75.missed_windows,30
timing.0.75.detected_timing_mae_ps,0.375
timing.0.75.timed_within_3ps_recall,0.5588235294117647
timing.3.0.event_windows,274
timing.3.0.missed_windows,165
timing.3.0.detected_timing_mae_ps,0.7725799656592613
timing.3.0.timed_within_3ps_recall,0.3978102189781022
timing.6.0.event_windows,615
timing.6.0.missed_windows,452
timing.6.0.detected_timing_mae_ps,1.4067403067716735
timing.6.0.timed_within_3ps_recall,0.24390243902439024
timing.9.0.event_windows,974
timing.9.0.missed_windows,778
timing.9.0.detected_timing_mae_ps,2.130336047425519
timing.9.0.timed_within_3ps_recall,0.15503080082135523
timing.12.0.event_windows,1349
timing.12.0.missed_windows,1107
timing.12.0.detected_timing_mae_ps,2.7375479802763967
timing.12.0.timed_within_3ps_recall,0.1156412157153447
per_source.881.temperature_K,520.0
per_source.881.event_nll,0.16283534467220306
per_source.881.0.75.log_loss,0.0071159551015507775
per_source.881.0.75.brier,0.0009989431394526863
per_source.881.3.0.log_loss,0.026297644678639424
per_source.881.3.0.brier,0.004788864878515364
per_source.881.6.0.log_loss,0.057828629654170835
per_source.881.6.0.brier,0.010994484966684946
per_source.881.9.0.log_loss,0.0928328589319025
per_source.881.9.0.brier,0.018405939248340372
per_source.881.12.0.log_loss,0.12618351177686965
per_source.881.12.0.brier,0.026079402426568286
per_source.882.temperature_K,520.0
per_source.882.event_nll,0.48106810450553894
per_source.882.0.75.log_loss,0.04233984150506476
per_source.882.0.75.brier,0.00922645880084305
per_source.882.3.0.log_loss,0.08852925759831057
per_source.882.3.0.brier,0.02003096189645045
per_source.882.6.0.log_loss,0.18078799307069882
per_source.882.6.0.brier,0.04475183788969676
per_source.882.9.0.log_loss,0.2639133882167387
per_source.882.9.0.brier,0.06878494584680464
per_source.882.12.0.log_loss,0.33620965987927365
per_source.882.12.0.brier,0.09320012137050868
per_source.883.temperature_K,520.0
per_source.883.event_nll,0.20287232100963593
per_source.883.0.75.log_loss,0.006745525143350675
per_source.883.0.75.brier,0.0008171775451918809
per_source.883.3.0.log_loss,0.03601816825134314
per_source.883.3.0.brier,0.006491767518109306
per_source.883.6.0.log_loss,0.07761231029102017
per_source.883.6.0.brier,0.015763994637879104
per_source.883.9.0.log_loss,0.11779698037801974
per_source.883.9.0.brier,0.025114763780961103
per_source.883.12.0.log_loss,0.15315002433820632
per_source.883.12.0.brier,0.03434665362485748
per_source.908.temperature_K,400.0
per_source.908.event_nll,0.11227375268936157
per_source.908.0.75.log_loss,0.007096275359475508
per_source.908.0.75.brier,0.0006070396071732665
per_source.908.3.0.log_loss,0.02408443436793751
per_source.908.3.0.brier,0.003119766513929928
per_source.908.6.0.log_loss,0.046818196102973074
