metric,value
event_nll,0.228184389436185
classification.0.75.n,44385
classification.0.75.sources,30
classification.0.75.prevalence,0.002461127212794187
classification.0.75.log_loss,0.013525887553880126
classification.0.75.brier,0.0023774910201556096
classification.0.75.average_precision,0.0780382232149205
classification.0.75.threshold,0.018076902255415916
classification.0.75.recall,0.6502607561424246
classification.0.75.false_positive_rate,0.03799247522166949
classification.0.75.precision,0.04051648016438833
classification.0.75.auroc,0.9481036519602913
classification.3.0.n,44385
classification.3.0.sources,30
classification.3.0.prevalence,0.00884508151496356
classification.3.0.log_loss,0.042328437896415216
classification.3.0.brier,0.0083387368951987
classification.3.0.average_precision,0.10835554702847537
classification.3.0.threshold,0.05684331804513931
classification.3.0.recall,0.44965527164700136
classification.3.0.false_positive_rate,0.040291699295713496
classification.3.0.precision,0.09057176633453452
classification.3.0.auroc,0.8773239678941638
classification.6.0.n,44385
classification.6.0.sources,30
classification.6.0.prevalence,0.01976765853638479
classification.6.0.log_loss,0.08548163792264576
classification.6.0.brier,0.018401074871069782
classification.6.0.average_precision,0.12138259783795509
classification.6.0.threshold,0.09451012313365936
classification.6.0.recall,0.31410577395643285
classification.6.0.false_positive_rate,0.040450990350251806
classification.6.0.precision,0.13539178708639404
classification.6.0.auroc,0.8128968656472183
classification.9.0.n,44385
classification.9.0.sources,30
classification.9.0.prevalence,0.031243024276521248
classification.9.0.log_loss,0.12742765603303155
classification.9.0.brier,0.028907124437013328
classification.9.0.average_precision,0.13186971498089972
classification.9.0.threshold,0.11717213690280914
classification.9.0.recall,0.27329721150364045
classification.9.0.false_positive_rate,0.04202971554189703
classification.9.0.precision,0.1733548826211506
classification.9.0.auroc,0.7562250522911165
classification.12.0.n,44385
classification.12.0.sources,30
classification.12.0.prevalence,0.043147138015594416
classification.12.0.log_loss,0.1670067173617679
classification.12.0.brier,0.03969299416075707
classification.12.0.average_precision,0.1428135404208025
classification.12.0.threshold,0.13656046986579895
classification.12.0.recall,0.2473289435053054
classification.12.0.false_positive_rate,0.0435820575910112
classification.12.0.precision,0.20375966561772896
classification.12.0.auroc,0.7224926311932259
timing.0.75.event_windows,68
timing.0.75.missed_windows,22
timing.0.75.detected_timing_mae_ps,0.375
timing.0.75.timed_within_3ps_recall,0.6764705882352942
timing.3.0.event_windows,274
timing.3.0.missed_windows,148
timing.3.0.detected_timing_mae_ps,0.7556447490181428
timing.3.0.timed_within_3ps_recall,0.45985401459854014
timing.6.0.event_windows,615
timing.6.0.missed_windows,409
timing.6.0.detected_timing_mae_ps,1.495050503268241
timing.6.0.timed_within_3ps_recall,0.3040650406504065
timing.9.0.event_windows,974
timing.9.0.missed_windows,697
timing.9.0.detected_timing_mae_ps,2.0546573956474052
timing.9.0.timed_within_3ps_recall,0.22895277207392198
timing.12.0.event_windows,1349
timing.12.0.missed_windows,1004
timing.12.0.detected_timing_mae_ps,2.6366063881468187
timing.12.0.timed_within_3ps_recall,0.16308376575240918
per_source.881.temperature_K,520.0
per_source.881.event_nll,0.1577105075120926
per_source.881.0.75.log_loss,0.006569170702551551
per_source.881.0.75.brier,0.000989580503931116
per_source.881.3.0.log_loss,0.024216300959999455
per_source.881.3.0.brier,0.004612910103924677
per_source.881.6.0.log_loss,0.05386969763066162
per_source.881.6.0.brier,0.010492412954614951
per_source.881.9.0.log_loss,0.08857219291701159
per_source.881.9.0.brier,0.017718399751605406
per_source.881.12.0.log_loss,0.1216416219201546
per_source.881.12.0.brier,0.02520227134147117
per_source.882.temperature_K,520.0
per_source.882.event_nll,0.474427729845047
per_source.882.0.75.log_loss,0.038804691344974176
per_source.882.0.75.brier,0.009094884687159
per_source.882.3.0.log_loss,0.08399744982464977
per_source.882.3.0.brier,0.019727060840156307
per_source.882.6.0.log_loss,0.17574068873300808
per_source.882.6.0.brier,0.044074889907964654
per_source.882.9.0.log_loss,0.2586704185730045
per_source.882.9.0.brier,0.06781745683991741
per_source.882.12.0.log_loss,0.3324097617291432
per_source.882.12.0.brier,0.09230268388013826
per_source.883.temperature_K,520.0
per_source.883.event_nll,0.19800975918769836
per_source.883.0.75.log_loss,0.0063768091196021335
per_source.883.0.75.brier,0.0007816047018541644
per_source.883.3.0.log_loss,0.03410893122693649
per_source.883.3.0.brier,0.006274150732118927
per_source.883.6.0.log_loss,0.0738033941003109
per_source.883.6.0.brier,0.015239889715758364
per_source.883.9.0.log_loss,0.11341161625929973
per_source.883.9.0.brier,0.024454865903715487
per_source.883.12.0.log_loss,0.147613553835698
per_source.883.12.0.brier,0.03347252206101113
per_source.908.temperature_K,400.0
per_source.908.event_nll,0.10664501786231995
per_source.908.0.75.log_loss,0.006109412434418844
per_source.908.0.75.brier,0.0005000604156193334
per_source.908.3.0.log_loss,0.0215348862816097
per_source.908.3.0.brier,0.002720343240430598
per_source.908.6.0.log_loss,0.043299419446281004
per_source.908.6.0.brier,0.0065070029986900564
per_source.908.9.0.log_loss,0.06302609691286568
per_source.908.9.0.brier,0.010052102866231271
per_source.908.12.0.log_loss,0.08426040080074458
per_source.908.12.0.brier,0.014331025795758389
per_source.909.temperature_K,400.0
per_source.909.event_nll,0.14574754238128662
per_source.909.0.75.log_loss,0.005523127341199687
per_source.909.0.75.brier,0.0005402633047374212
per_source.909.3.0.log_loss,0.024801081972759164
per_source.909.3.0.brier,0.003646072824304857
per_source.909.6.0.log_loss,0.052511717553765255
per_source.909.6.0.brier,0.00941182620486703
per_source.909.9.0.log_loss,0.07870094603440571
per_source.909.9.0.brier,0.015557055453563602
per_source.909.12.0.log_loss,0.10644315922292222
per_source.909.12.0.brier,0.022603109782262022
per_source.910.temperature_K,400.0
per_source.910.event_nll,0.046853672713041306
per_source.910.0.75.log_loss,0.003232692559443438
per_source.910.0.75.brier,1.7242074807450767e-05
per_source.910.3.0.log_loss,0.01119367939932515
per_source.910.3.0.brier,0.00017463242838830275
per_source.910.6.0.log_loss,0.022599706782135444
per_source.910.6.0.brier,0.0006252277979557501
per_source.910.9.0.log_loss,0.03401496945513311
per_source.910.9.0.brier,0.0012982987453664776
per_source.910.12.0.log_loss,0.04685367373614819
per_source.910.12.0.brier,0.0023428458509021613
per_source.911.temperature_K,400.0
per_source.911.event_nll,0.1470518559217453
per_source.911.0.75.log_loss,0.0037046307692135995
per_source.911.0.75.brier,3.134442445365265e-05
per_source.911.3.0.log_loss,0.02924247195562229
per_source.911.3.0.brier,0.004937636439086697
per_source.911.6.0.log_loss,0.05656542377336449
per_source.911.6.0.brier,0.010693544928211613
per_source.911.9.0.log_loss,0.08531921180818
per_source.911.9.0.brier,0.016844827611493897
per_source.911.12.0.log_loss,0.11252029301324101
per_source.911.12.0.brier,0.023052693611333743
per_source.912.temperature_K,400.0
per_source.912.event_nll,0.18677684664726257
per_source.912.0.75.log_loss,0.01650271589061743
per_source.912.0.75.brier,0.0029202794011048494
per_source.912.3.0.log_loss,0.03879316817344412
per_source.912.3.0.brier,0.007393597522323207
per_source.912.6.0.log_loss,0.07607588827860005
per_source.912.6.0.brier,0.015334464961689874
per_source.912.9.0.log_loss,0.10835587570132323
per_source.912.9.0.brier,0.023158579971018584
per_source.912.12.0.log_loss,0.13832186555805753
per_source.912.12.0.brier,0.03101853855195566
per_source.913.temperature_K,400.0
per_source.913.event_nll,0.09464576840400696
per_source.913.0.75.log_loss,0.005992267734599357
per_source.913.0.75.brier,0.0008247937155368347
per_source.913.3.0.log_loss,0.017072558458540155
per_source.913.3.0.brier,0.002389356273368175
per_source.913.6.0.log_loss,0.03629844619108006
per_source.913.6.0.brier,0.0053479611835370155
per_source.913.9.0.log_loss,0.056999636050167446
per_source.913.9.0.brier,0.008890056081250623
per_source.913.12.0.log_loss,0.07818315786442212
per_source.913.12.0.brier,0.012696605831212302
per_source.938.temperature_K,450.0
per_source.938.event_nll,0.3089125156402588
per_source.938.0.75.log_loss,0.00882175083184948
per_source.938.0.75.brier,0.0010985051493129097
per_source.938.3.0.log_loss,0.05896895551843662
per_source.938.3.0.brier,0.011817497953673383
per_source.938.6.0.log_loss,0.11680785437204237
per_source.938.6.0.brier,0.026209618979738128
per_source.938.9.0.log_loss,0.1694536543210832
per_source.938.9.0.brier,0.04122009447067179
per_source.938.12.0.log_loss,0.21622265525999215
per_source.938.12.0.brier,0.05556868543700428
per_source.939.temperature_K,450.0
per_source.939.event_nll,0.4258492588996887
per_source.939.0.75.log_loss,0.01716429674735114
per_source.939.0.75.brier,0.003225369290878968
per_source.939.3.0.log_loss,0.07947036261504933
per_source.939.3.0.brier,0.016861348376838687
per_source.939.6.0.log_loss,0.1586143462514312
per_source.939.6.0.brier,0.03866770700136974
per_source.939.9.0.log_loss,0.2355389954718307
per_source.939.9.0.brier,0.0613718632868894
per_source.939.12.0.log_loss,0.2949594883370488
per_source.939.12.0.brier,0.08067896833444416
per_source.940.temperature_K,450.0
per_source.940.event_nll,0.30650007724761963
