metric,value
event_nll,0.16583703097358496
classification.0.75.n,44385
classification.0.75.sources,30
classification.0.75.prevalence,0.002461127212794187
classification.0.75.log_loss,0.00991201801044546
classification.0.75.brier,0.002201058240535282
classification.0.75.average_precision,0.15973317356299171
classification.0.75.threshold,0.012144526466727257
classification.0.75.recall,0.8089210588377712
classification.0.75.false_positive_rate,0.0339873287389364
classification.0.75.precision,0.05546408098848651
classification.0.75.auroc,0.974464926727375
classification.3.0.n,44385
classification.3.0.sources,30
classification.3.0.prevalence,0.00884508151496356
classification.3.0.log_loss,0.02881771287382491
classification.3.0.brier,0.007106817273555811
classification.3.0.average_precision,0.30910644630977924
classification.3.0.threshold,0.04828348755836487
classification.3.0.recall,0.7733041639123451
classification.3.0.false_positive_rate,0.03889732125642741
classification.3.0.precision,0.1506819724619108
classification.3.0.auroc,0.961528337730904
classification.6.0.n,44385
classification.6.0.sources,30
classification.6.0.prevalence,0.01976765853638479
classification.6.0.log_loss,0.05378843046726597
classification.6.0.brier,0.014160986327647944
classification.6.0.average_precision,0.4326745941565752
classification.6.0.threshold,0.11017688363790512
classification.6.0.recall,0.7153836958802952
classification.6.0.false_positive_rate,0.03843494898410328
classification.6.0.precision,0.27291349733801223
classification.6.0.auroc,0.9541472373956195
classification.9.0.n,44385
classification.9.0.sources,30
classification.9.0.prevalence,0.031243024276521248
classification.9.0.log_loss,0.08019867803785563
classification.9.0.brier,0.02163179555698405
classification.9.0.average_precision,0.46076235042035785
classification.9.0.threshold,0.16527093946933746
classification.9.0.recall,0.666444217299155
classification.9.0.false_positive_rate,0.03788599491429747
classification.9.0.precision,0.3619656674588252
classification.9.0.auroc,0.9423942941159187
classification.12.0.n,44385
classification.12.0.sources,30
classification.12.0.prevalence,0.043147138015594416
classification.12.0.log_loss,0.1072926852189495
classification.12.0.brier,0.02908543664251454
classification.12.0.average_precision,0.4843449711343398
classification.12.0.threshold,0.2045675367116928
classification.12.0.recall,0.6131517623157711
classification.12.0.false_positive_rate,0.039299476436836456
classification.12.0.precision,0.41298665841363763
classification.12.0.auroc,0.9280505167822938
timing.0.75.event_windows,68
timing.0.75.missed_windows,14
