metric,value
event_nll,0.22669609294677073
classification.0.75.n,44385
classification.0.75.sources,30
classification.0.75.prevalence,0.002461127212794187
classification.0.75.log_loss,0.013687736036137224
classification.0.75.brier,0.00238497921969974
classification.0.75.average_precision,0.06506337666310562
classification.0.75.threshold,0.018440641462802887
classification.0.75.recall,0.610560571460255
classification.0.75.false_positive_rate,0.038174048984550485
classification.0.75.precision,0.03796266471767682
classification.0.75.auroc,0.9422324162354977
classification.3.0.n,44385
classification.3.0.sources,30
classification.3.0.prevalence,0.00884508151496356
classification.3.0.log_loss,0.04257764143967589
classification.3.0.brier,0.008417858259662632
classification.3.0.average_precision,0.08725027568802242
classification.3.0.threshold,0.059727225452661514
classification.3.0.recall,0.43816489835804695
classification.3.0.false_positive_rate,0.0409916928671978
classification.3.0.precision,0.0870829891176296
classification.3.0.auroc,0.8806809186705723
classification.6.0.n,44385
classification.6.0.sources,30
classification.6.0.prevalence,0.01976765853638479
classification.6.0.log_loss,0.08514321712734152
classification.6.0.brier,0.018512322693071265
classification.6.0.average_precision,0.11166076001523861
classification.6.0.threshold,0.10100552439689636
classification.6.0.recall,0.3247236972313654
classification.6.0.false_positive_rate,0.042745968262191576
classification.6.0.precision,0.13284408401375722
classification.6.0.auroc,0.828910995796523
classification.9.0.n,44385
classification.9.0.sources,30
classification.9.0.prevalence,0.031243024276521248
classification.9.0.log_loss,0.12670654186342517
classification.9.0.brier,0.029039096392338554
classification.9.0.average_precision,0.1250908254984944
classification.9.0.threshold,0.1282508373260498
classification.9.0.recall,0.2676493069774698
classification.9.0.false_positive_rate,0.04490813314492011
classification.9.0.precision,0.1612226450992125
classification.9.0.auroc,0.777493964756174
classification.12.0.n,44385
classification.12.0.sources,30
classification.12.0.prevalence,0.043147138015594416
classification.12.0.log_loss,0.16543702325708565
classification.12.0.brier,0.03968659470125104
classification.12.0.average_precision,0.1416606429568545
classification.12.0.threshold,0.1521928608417511
classification.12.0.recall,0.24281059801165375
classification.12.0.false_positive_rate,0.046071918860441985
classification.12.0.precision,0.19201725533459818
classification.12.0.auroc,0.7468297121744626
timing.0.75.event_windows,68
timing.0.75.missed_windows,25
timing.0.75.detected_timing_mae_ps,0.375
timing.0.75.timed_within_3ps_recall,0.6323529411764706
timing.3.0.event_windows,274
timing.3.0.missed_windows,150
timing.3.0.detected_timing_mae_ps,0.7732794929266268
timing.3.0.timed_within_3ps_recall,0.45255474452554745
timing.6.0.event_windows,615
timing.6.0.missed_windows,408
timing.6.0.detected_timing_mae_ps,1.4247183338286664
timing.6.0.timed_within_3ps_recall,0.3056910569105691
timing.9.0.event_windows,974
timing.9.0.missed_windows,704
timing.9.0.detected_timing_mae_ps,2.0326614038209585
timing.9.0.timed_within_3ps_recall,0.22484599589322382
timing.12.0.event_windows,1349
timing.12.0.missed_windows,1008
timing.12.0.detected_timing_mae_ps,2.7694751422758417
timing.12.0.timed_within_3ps_recall,0.15567086730911786
per_source.881.temperature_K,520.0
per_source.881.event_nll,0.156534805893898
per_source.881.0.75.log_loss,0.006816727693918256
per_source.881.0.75.brier,0.0009953994810081228
per_source.881.3.0.log_loss,0.025087580195544225
per_source.881.3.0.brier,0.004603162783807506
per_source.881.6.0.log_loss,0.053662600992312105
per_source.881.6.0.brier,0.010392447368919967
per_source.881.9.0.log_loss,0.08827548372031278
per_source.881.9.0.brier,0.01762927744918498
per_source.881.12.0.log_loss,0.12020590835229518
per_source.881.12.0.brier,0.025027123223720343
per_source.882.temperature_K,520.0
per_source.882.event_nll,0.4623609781265259
per_source.882.0.75.log_loss,0.041717446449868724
per_source.882.0.75.brier,0.009191099549310008
per_source.882.3.0.log_loss,0.08582854361344044
per_source.882.3.0.brier,0.01987947680761622
per_source.882.6.0.log_loss,0.1701545659394772
per_source.882.6.0.brier,0.04359755123275616
per_source.882.9.0.log_loss,0.24890314913793418
per_source.882.9.0.brier,0.06663738550877153
per_source.882.12.0.log_loss,0.3187686778902936
per_source.882.12.0.brier,0.09016910369229064
per_source.883.temperature_K,520.0
per_source.883.event_nll,0.20049317181110382
per_source.883.0.75.log_loss,0.007338867329659918
per_source.883.0.75.brier,0.0008512979962610878
per_source.883.3.0.log_loss,0.03565422925189106
per_source.883.3.0.brier,0.006455278918219995
per_source.883.6.0.log_loss,0.07475426072916193
per_source.883.6.0.brier,0.015688555280628486
per_source.883.9.0.log_loss,0.11559395096330087
per_source.883.9.0.brier,0.025210587943240024
per_source.883.12.0.log_loss,0.15168093856922105
per_source.883.12.0.brier,0.03455402698539123
per_source.908.temperature_K,400.0
per_source.908.event_nll,0.10540509968996048
per_source.908.0.75.log_loss,0.005976597715403215
per_source.908.0.75.brier,0.0004962699688785541
per_source.908.3.0.log_loss,0.02037759075768586
per_source.908.3.0.brier,0.0026508562053261845
per_source.908.6.0.log_loss,0.04294787529670286
per_source.908.6.0.brier,0.00663773249826036
per_source.908.9.0.log_loss,0.06174037297429846
per_source.908.9.0.brier,0.010219522045329285
per_source.908.12.0.log_loss,0.08366241732683757
per_source.908.12.0.brier,0.014624909187360029
per_source.909.temperature_K,400.0
per_source.909.event_nll,0.14119914174079895
per_source.909.0.75.log_loss,0.004777601451071365
per_source.909.0.75.brier,0.0005001847704586989
per_source.909.3.0.log_loss,0.023071421563551988
per_source.909.3.0.brier,0.0035709335082755546
per_source.909.6.0.log_loss,0.05030165425922595
per_source.909.6.0.brier,0.0094053737907389
per_source.909.9.0.log_loss,0.07690409013209265
per_source.909.9.0.brier,0.015703322428567017
per_source.909.12.0.log_loss,0.10256386902241273
per_source.909.12.0.brier,0.022271252039563816
per_source.910.temperature_K,400.0
per_source.910.event_nll,0.03945475071668625
per_source.910.0.75.log_loss,0.0027674662550885615
per_source.910.0.75.brier,1.3879811275060855e-05
per_source.910.3.0.log_loss,0.009192855352047022
per_source.910.3.0.brier,0.00013015257208354316
per_source.910.6.0.log_loss,0.018453224201184764
per_source.910.6.0.brier,0.00046657583229634274
per_source.910.9.0.log_loss,0.02801742396127886
per_source.910.9.0.brier,0.0009820355170249951
per_source.910.12.0.log_loss,0.03945474985061278
per_source.910.12.0.brier,0.0018163765166256032
per_source.911.temperature_K,400.0
per_source.911.event_nll,0.14054463803768158
per_source.911.0.75.log_loss,0.003195050439968802
per_source.911.0.75.brier,2.1787391950295912e-05
per_source.911.3.0.log_loss,0.028274077183102608
per_source.911.3.0.brier,0.004944799010128825
per_source.911.6.0.log_loss,0.05351478699753434
per_source.911.6.0.brier,0.010569363171675505
per_source.911.9.0.log_loss,0.0805893284737831
per_source.911.9.0.brier,0.01652090411677342
per_source.911.12.0.log_loss,0.1066510429314855
per_source.911.12.0.brier,0.022488126313004432
per_source.912.temperature_K,400.0
per_source.912.event_nll,0.18546898663043976
per_source.912.0.75.log_loss,0.016216377339875264
per_source.912.0.75.brier,0.0029436463034613848
per_source.912.3.0.log_loss,0.03813706803304009
per_source.912.3.0.brier,0.00747977441779033
per_source.912.6.0.log_loss,0.07468590872687912
per_source.912.6.0.brier,0.015536638356782666
per_source.912.9.0.log_loss,0.10705793104314863
per_source.912.9.0.brier,0.02342821878903734
per_source.912.12.0.log_loss,0.13745359560266718
per_source.912.12.0.brier,0.03137800166372946
per_source.913.temperature_K,400.0
per_source.913.event_nll,0.09088245034217834
per_source.913.0.75.log_loss,0.005790136728474266
per_source.913.0.75.brier,0.0008220464522933648
per_source.913.3.0.log_loss,0.016394284683227116
per_source.913.3.0.brier,0.002373181329079841
