metric,value
event_nll,0.20557316060899508
classification.0.75.n,44385
classification.0.75.sources,30
classification.0.75.prevalence,0.002461127212794187
classification.0.75.log_loss,0.010484217676071418
classification.0.75.brier,0.002263432951306286
classification.0.75.average_precision,0.16234419366530353
classification.0.75.threshold,0.016116591170430183
classification.0.75.recall,0.8362937720705195
classification.0.75.false_positive_rate,0.048332058952585924
classification.0.75.precision,0.04094232714435042
classification.0.75.auroc,0.9687988759759976
classification.3.0.n,44385
classification.3.0.sources,30
classification.3.0.prevalence,0.00884508151496356
classification.3.0.log_loss,0.03392943729360923
classification.3.0.brier,0.007906253552840681
classification.3.0.average_precision,0.17455828060004588
classification.3.0.threshold,0.04989340901374817
classification.3.0.recall,0.7230339296900298
classification.3.0.false_positive_rate,0.05356728356364385
classification.3.0.precision,0.10750422272171166
classification.3.0.auroc,0.9346934119843873
classification.6.0.n,44385
classification.6.0.sources,30
classification.6.0.prevalence,0.01976765853638479
classification.6.0.log_loss,0.07027594013844518
classification.6.0.brier,0.017182841390185888
classification.6.0.average_precision,0.21127874467168004
classification.6.0.threshold,0.0865563452243805
classification.6.0.recall,0.6095449873055103
classification.6.0.false_positive_rate,0.054950578352618164
classification.6.0.precision,0.18280408161840328
classification.6.0.auroc,0.8989154667099135
classification.9.0.n,44385
classification.9.0.sources,30
classification.9.0.prevalence,0.031243024276521248
classification.9.0.log_loss,0.10857100160777844
classification.9.0.brier,0.026807961569124003
classification.9.0.average_precision,0.23309042500826282
classification.9.0.threshold,0.11916717141866684
classification.9.0.recall,0.5356594341278172
classification.9.0.false_positive_rate,0.060525567706314315
classification.9.0.precision,0.22204563173853903
classification.9.0.auroc,0.8521469852694393
classification.12.0.n,44385
classification.12.0.sources,30
classification.12.0.prevalence,0.043147138015594416
classification.12.0.log_loss,0.14647550950228816
classification.12.0.brier,0.036754125521931934
classification.12.0.average_precision,0.2484231062889192
classification.12.0.threshold,0.15177640318870544
classification.12.0.recall,0.46267169275549186
classification.12.0.false_positive_rate,0.06005657516841527
classification.12.0.precision,0.2578252183234002
classification.12.0.auroc,0.8117443294352585
timing.0.75.event_windows,68
timing.0.75.missed_windows,8
timing.0.75.detected_timing_mae_ps,0.375
timing.0.75.timed_within_3ps_recall,0.8823529411764706
timing.3.0.event_windows,274
timing.3.0.missed_windows,75
timing.3.0.detected_timing_mae_ps,0.7321434088241769
timing.3.0.timed_within_3ps_recall,0.7262773722627737
timing.6.0.event_windows,615
timing.6.0.missed_windows,235
timing.6.0.detected_timing_mae_ps,1.3751296009719145
timing.6.0.timed_within_3ps_recall,0.5756097560975609
timing.9.0.event_windows,974
timing.9.0.missed_windows,443
timing.9.0.detected_timing_mae_ps,1.9485002199476213
timing.9.0.timed_within_3ps_recall,0.4486652977412731
timing.12.0.event_windows,1349
timing.12.0.missed_windows,712
timing.12.0.detected_timing_mae_ps,2.603363362583902
timing.12.0.timed_within_3ps_recall,0.30985915492957744
per_source.881.temperature_K,520.0
per_source.881.event_nll,0.13005389273166656
per_source.881.0.75.log_loss,0.003829416114630841
per_source.881.0.75.brier,0.0009467925355790873
per_source.881.3.0.log_loss,0.01590730012377831
per_source.881.3.0.brier,0.00429229141922336
per_source.881.6.0.log_loss,0.036324984338982194
per_source.881.6.0.brier,0.008835968450729313
per_source.881.9.0.log_loss,0.06675028407371275
per_source.881.9.0.brier,0.014965920815568287
per_source.881.12.0.log_loss,0.09540761673978082
per_source.881.12.0.brier,0.021246413341846914
per_source.882.temperature_K,520.0
per_source.882.event_nll,0.4638739228248596
per_source.882.0.75.log_loss,0.02960233568703081
per_source.882.0.75.brier,0.008214267465544541
per_source.882.3.0.log_loss,0.07705434502159807
per_source.882.3.0.brier,0.019393541064855503
per_source.882.6.0.log_loss,0.16221163193660676
per_source.882.6.0.brier,0.04386732292161806
per_source.882.9.0.log_loss,0.2450201823757004
per_source.882.9.0.brier,0.06686207580146342
per_source.882.12.0.log_loss,0.3296375790161431
per_source.882.12.0.brier,0.09270702161563148
per_source.883.temperature_K,520.0
per_source.883.event_nll,0.16960665583610535
per_source.883.0.75.log_loss,0.005274599394813872
per_source.883.0.75.brier,0.0008856462433167358
per_source.883.3.0.log_loss,0.026013065160771447
per_source.883.3.0.brier,0.006005725604640601
per_source.883.6.0.log_loss,0.05644107516370282
per_source.883.6.0.brier,0.01296652202135722
per_source.883.9.0.log_loss,0.09083164434109935
per_source.883.9.0.brier,0.02123555104373678
per_source.883.12.0.log_loss,0.12187787946015234
per_source.883.12.0.brier,0.02824591904245834
per_source.908.temperature_K,400.0
per_source.908.event_nll,0.07497838884592056
per_source.908.0.75.log_loss,0.002471023246496552
per_source.908.0.75.brier,0.0004511984132315308
per_source.908.3.0.log_loss,0.010698639772533125
per_source.908.3.0.brier,0.002565786665847097
per_source.908.6.0.log_loss,0.026285393214195835
per_source.908.6.0.brier,0.006061750833711075
per_source.908.9.0.log_loss,0.0383340031703848
per_source.908.9.0.brier,0.008971670690264178
per_source.908.12.0.log_loss,0.05531459592933477
per_source.908.12.0.brier,0.0126349549126171
per_source.909.temperature_K,400.0
per_source.909.event_nll,0.1148265153169632
per_source.909.0.75.log_loss,0.0019295506523438685
per_source.909.0.75.brier,0.0004249989022683204
per_source.909.3.0.log_loss,0.015445697530698464
per_source.909.3.0.brier,0.0034113657298381174
per_source.909.6.0.log_loss,0.039822776338821565
per_source.909.6.0.brier,0.00921497418909075
per_source.909.9.0.log_loss,0.058730043592590875
per_source.909.9.0.brier,0.014740685285114543
per_source.909.12.0.log_loss,0.07814596493310673
per_source.909.12.0.brier,0.02014268814796961
per_source.910.temperature_K,400.0
per_source.910.event_nll,0.011760535649955273
per_source.910.0.75.log_loss,0.00014178206351578168
per_source.910.0.75.brier,1.4607443871013767e-06
per_source.910.3.0.log_loss,0.0008048643972194028
per_source.910.3.0.brier,1.9352846127801677e-05
per_source.910.6.0.log_loss,0.003077312636692341
per_source.910.6.0.brier,8.035487019446768e-05
per_source.910.9.0.log_loss,0.006221757785215581
per_source.910.9.0.brier,0.00017700109415068696
per_source.910.12.0.log_loss,0.011760535076051149
per_source.910.12.0.brier,0.00035153294571877987
per_source.911.temperature_K,400.0
per_source.911.event_nll,0.11320266127586365
per_source.911.0.75.log_loss,0.0008988977204228428
per_source.911.0.75.brier,3.2678425817168636e-05
per_source.911.3.0.log_loss,0.02120166294861671
per_source.911.3.0.brier,0.0048448053630949514
per_source.911.6.0.log_loss,0.03744105988261924
per_source.911.6.0.brier,0.009336117961683658
per_source.911.9.0.log_loss,0.05903251187083777
per_source.911.9.0.brier,0.014729935932491623
per_source.911.12.0.log_loss,0.07999762979330621
per_source.911.12.0.brier,0.019803738245284544
per_source.912.temperature_K,400.0
per_source.912.event_nll,0.16112332046031952
per_source.912.0.75.log_loss,0.011826347159805734
per_source.912.0.75.brier,0.002832835207568015
per_source.912.3.0.log_loss,0.025269844002476973
per_source.912.3.0.brier,0.006842502402662755
per_source.912.6.0.log_loss,0.056505588130645254
per_source.912.6.0.brier,0.014266551169238735
per_source.912.9.0.log_loss,0.086825915334275
per_source.912.9.0.brier,0.021560185811892476
per_source.912.12.0.log_loss,0.11588281481128695
per_source.912.12.0.brier,0.028870072930299154
per_source.913.temperature_K,400.0
per_source.913.event_nll,0.06510993838310242
per_source.913.0.75.log_loss,0.0032384851283803985
per_source.913.0.75.brier,0.0007998858826694984
per_source.913.3.0.log_loss,0.00776249955532746
per_source.913.3.0.brier,0.0020515996872793067
per_source.913.6.0.log_loss,0.020814481442082533
per_source.913.6.0.brier,0.00454626940812952
per_source.913.9.0.log_loss,0.03461359750500055
per_source.913.9.0.brier,0.007466690639408427
per_source.913.12.0.log_loss,0.04825041514518314
per_source.913.12.0.brier,0.010322428988013799
per_source.938.temperature_K,450.0
per_source.938.event_nll,0.3049784004688263
per_source.938.0.75.log_loss,0.008452483709178471
per_source.938.0.75.brier,0.0012104307594187382
per_source.938.3.0.log_loss,0.06710733277402331
per_source.938.3.0.brier,0.013189731934417614
per_source.938.6.0.log_loss,0.1193250204955903
per_source.938.6.0.brier,0.029442175053166698
per_source.938.9.0.log_loss,0.16578628455170222
per_source.938.9.0.brier,0.04351400738734493
per_source.938.12.0.log_loss,0.20949732821181558
per_source.938.12.0.brier,0.05677255546130002
per_source.939.temperature_K,450.0
per_source.939.event_nll,0.40030521154403687
per_source.939.0.75.log_loss,0.020090673952209464
per_source.939.0.75.brier,0.0029793563508536663
per_source.939.3.0.log_loss,0.06665183459069707
per_source.939.3.0.brier,0.014584679423464185
per_source.939.6.0.log_loss,0.14184193752572888
per_source.939.6.0.brier,0.03460035938066988
per_source.939.9.0.log_loss,0.21851513374569034
per_source.939.9.0.brier,0.05614255462064456
per_source.939.12.0.log_loss,0.27243621853797334
per_source.939.12.0.brier,0.07384671470389449
per_source.940.temperature_K,450.0
per_source.940.event_nll,0.28827542066574097
per_source.940.0.75.log_loss,0.0167654346205905
per_source.940.0.75.brier,0.002288527753908999
per_source.940.3.0.log_loss,0.05940706269412413
per_source.940.3.0.brier,0.013035396175771506
per_source.940.6.0.log_loss,0.10743904105154607
per_source.940.6.0.brier,0.028932223065446336
per_source.940.9.0.log_loss,0.14575051326175584
per_source.940.9.0.brier,0.04147939470957858
per_source.940.12.0.log_loss,0.19429689681968354
per_source.940.12.0.brier,0.05567037077409569
per_source.941.temperature_K,450.0
per_source.941.event_nll,0.2209562361240387
per_source.941.0.75.log_loss,0.015877787785727064
per_source.941.0.75.brier,0.004206768270907787
per_source.941.3.0.log_loss,0.04394120445403962
per_source.941.3.0.brier,0.011442156060799815
per_source.941.6.0.log_loss,0.07635594174438344
per_source.941.6.0.brier,0.020298648191202813
per_source.941.9.0.log_loss,0.10533529466293313
per_source.941.9.0.brier,0.027715058894171248
per_source.941.12.0.log_loss,0.14447977917604293
per_source.941.12.0.brier,0.03819702567462499
per_source.942.temperature_K,450.0
per_source.942.event_nll,0.30151212215423584
per_source.942.0.75.log_loss,0.01874736697674619
per_source.942.0.75.brier,0.005344298968431859
per_source.942.3.0.log_loss,0.05007567260488584
per_source.942.3.0.brier,0.013853097009217727
per_source.942.6.0.log_loss,0.0976886498751569
per_source.942.6.0.brier,0.026926808767004123
per_source.942.9.0.log_loss,0.14938121225499246
per_source.942.9.0.brier,0.04154349246654195
per_source.942.12.0.log_loss,0.20265060794977027
per_source.942.12.0.brier,0.055682707400767965
per_source.943.temperature_K,450.0
per_source.943.event_nll,0.2935159504413605
per_source.943.0.75.log_loss,0.019936303939556047
per_source.943.0.75.brier,0.0026951302783339687
per_source.943.3.0.log_loss,0.060779153913850796
per_source.943.3.0.brier,0.012953655591557093
per_source.943.6.0.log_loss,0.11827044939470598
per_source.943.6.0.brier,0.0290625612661734
per_source.943.9.0.log_loss,0.1596486314554368
per_source.943.9.0.brier,0.042411940194450035
per_source.943.12.0.log_loss,0.20048803202121046
per_source.943.12.0.brier,0.05451783038321485
