metric,value
event_nll,0.23472284026040216
classification.0.75.n,44385
classification.0.75.sources,30
classification.0.75.prevalence,0.002461127212794187
classification.0.75.log_loss,0.014421790309910244
classification.0.75.brier,0.0024264200815590766
classification.0.75.average_precision,0.028566464899307056
classification.0.75.threshold,0.015939446166157722
classification.0.75.recall,0.5107247541978639
classification.0.75.false_positive_rate,0.039644505441373504
classification.0.75.precision,0.03080486865018143
classification.0.75.auroc,0.9255686850681131
classification.3.0.n,44385
classification.3.0.sources,30
classification.3.0.prevalence,0.00884508151496356
classification.3.0.log_loss,0.04470840777182446
classification.3.0.brier,0.008578259360491936
classification.3.0.average_precision,0.05867057862708189
classification.3.0.threshold,0.050617117434740067
classification.3.0.recall,0.33975469590675
classification.3.0.false_positive_rate,0.038538210120936806
classification.3.0.precision,0.07293631168415791
classification.3.0.auroc,0.8419381278635516
classification.6.0.n,44385
classification.6.0.sources,30
classification.6.0.prevalence,0.01976765853638479
classification.6.0.log_loss,0.08923474880657623
classification.6.0.brier,0.01890564141622171
classification.6.0.average_precision,0.07988396265871481
classification.6.0.threshold,0.08225801587104797
classification.6.0.recall,0.24758153293888294
classification.6.0.false_positive_rate,0.039277362874248906
classification.6.0.precision,0.11278031395797683
classification.6.0.auroc,0.7814139197538862
classification.9.0.n,44385
classification.9.0.sources,30
classification.9.0.prevalence,0.031243024276521248
classification.9.0.log_loss,0.1325830752528369
classification.9.0.brier,0.029703451035363565
classification.9.0.average_precision,0.08926827968410148
classification.9.0.threshold,0.10475415736436844
classification.9.0.recall,0.186539427106855
classification.9.0.false_positive_rate,0.038521923285492095
classification.9.0.precision,0.13507617670079475
classification.9.0.auroc,0.7168674654146812
classification.12.0.n,44385
classification.12.0.sources,30
classification.12.0.prevalence,0.043147138015594416
classification.12.0.log_loss,0.1726370132415235
classification.12.0.brier,0.04070691674640582
classification.12.0.average_precision,0.09956082180226278
classification.12.0.threshold,0.12610378861427307
classification.12.0.recall,0.16024709376756174
classification.12.0.false_positive_rate,0.03890232537692347
classification.12.0.precision,0.15664966043409279
classification.12.0.auroc,0.6822927463016539
timing.0.75.event_windows,68
timing.0.75.missed_windows,31
