metric,value
event_nll,0.23347845353089047
classification.0.75.n,44385
classification.0.75.sources,30
classification.0.75.prevalence,0.002461127212794187
classification.0.75.log_loss,0.014323097987589392
classification.0.75.brier,0.0024188302974962497
classification.0.75.average_precision,0.03281382080395718
classification.0.75.threshold,0.015712495893239975
classification.0.75.recall,0.5610791621957056
classification.0.75.false_positive_rate,0.04071210630370683
classification.0.75.precision,0.0328839070479239
classification.0.75.auroc,0.9278620521569517
classification.3.0.n,44385
classification.3.0.sources,30
classification.3.0.prevalence,0.00884508151496356
classification.3.0.log_loss,0.04441056040873889
classification.3.0.brier,0.008553916263094444
classification.3.0.average_precision,0.060483895198781716
classification.3.0.threshold,0.04961641505360603
classification.3.0.recall,0.37633271614028135
classification.3.0.false_positive_rate,0.040114389922148955
classification.3.0.precision,0.07725289673338454
classification.3.0.auroc,0.8467798345258539
classification.6.0.n,44385
classification.6.0.sources,30
classification.6.0.prevalence,0.01976765853638479
classification.6.0.log_loss,0.08904169721935526
classification.6.0.brier,0.018868837432732852
classification.6.0.average_precision,0.08191125007939336
classification.6.0.threshold,0.08068517595529556
classification.6.0.recall,0.24621784654199447
classification.6.0.false_positive_rate,0.04107958431008545
classification.6.0.precision,0.10783613652994496
classification.6.0.auroc,0.7821652399392097
classification.9.0.n,44385
classification.9.0.sources,30
classification.9.0.prevalence,0.031243024276521248
classification.9.0.log_loss,0.13206078765995283
classification.9.0.brier,0.029615541387009475
classification.9.0.average_precision,0.0933619469521025
classification.9.0.threshold,0.10085886716842651
classification.9.0.recall,0.20029829720720668
classification.9.0.false_positive_rate,0.04116078346997971
classification.9.0.precision,0.1356504552653668
classification.9.0.auroc,0.7203149096445043
classification.12.0.n,44385
classification.12.0.sources,30
classification.12.0.prevalence,0.043147138015594416
classification.12.0.log_loss,0.1720501585471262
classification.12.0.brier,0.04058971616254649
classification.12.0.average_precision,0.10395017063752995
classification.12.0.threshold,0.1214219480752945
classification.12.0.recall,0.16651983970511144
classification.12.0.false_positive_rate,0.04042046553949051
classification.12.0.precision,0.1566648930383259
classification.12.0.auroc,0.6857749116404445
timing.0.75.event_windows,68
timing.0.75.missed_windows,28
timing.0.75.detected_timing_mae_ps,0.375
timing.0.75.timed_within_3ps_recall,0.5882352941176471
timing.3.0.event_windows,274
timing.3.0.missed_windows,167
timing.3.0.detected_timing_mae_ps,0.7849337385389977
timing.3.0.timed_within_3ps_recall,0.3905109489051095
timing.6.0.event_windows,615
timing.6.0.missed_windows,455
timing.6.0.detected_timing_mae_ps,1.4478763095541705
timing.6.0.timed_within_3ps_recall,0.23739837398373984
timing.9.0.event_windows,974
timing.9.0.missed_windows,768
timing.9.0.detected_timing_mae_ps,2.092676819201503
