metric,value
event_nll,0.2054334070284644
classification.0.75.n,44385
classification.0.75.sources,30
classification.0.75.prevalence,0.002461127212794187
classification.0.75.log_loss,0.011063966233345175
classification.0.75.brier,0.002127919642860329
classification.0.75.average_precision,0.22832764001946873
classification.0.75.threshold,0.01069472637027502
classification.0.75.recall,0.8299607579392434
classification.0.75.false_positive_rate,0.04241340015465079
classification.0.75.precision,0.04605553130068399
classification.0.75.auroc,0.9611377385359642
classification.3.0.n,44385
classification.3.0.sources,30
classification.3.0.prevalence,0.00884508151496356
classification.3.0.log_loss,0.034424773558500356
classification.3.0.brier,0.007201134451367922
classification.3.0.average_precision,0.3165441866259135
classification.3.0.threshold,0.038577284663915634
classification.3.0.recall,0.7562224794393586
classification.3.0.false_positive_rate,0.04411942593926443
classification.3.0.precision,0.1326677925563969
classification.3.0.auroc,0.9398151723677497
classification.6.0.n,44385
classification.6.0.sources,30
classification.6.0.prevalence,0.01976765853638479
classification.6.0.log_loss,0.07078490187949239
classification.6.0.brier,0.015441034210859229
classification.6.0.average_precision,0.35444217981184667
classification.6.0.threshold,0.0759732574224472
classification.6.0.recall,0.6281863190775743
classification.6.0.false_positive_rate,0.047111858189878515
classification.6.0.precision,0.2119133871837043
classification.6.0.auroc,0.898565766920628
classification.9.0.n,44385
classification.9.0.sources,30
classification.9.0.prevalence,0.031243024276521248
classification.9.0.log_loss,0.1082008698605234
classification.9.0.brier,0.024635170938149868
classification.9.0.average_precision,0.35541128239041875
classification.9.0.threshold,0.11108213663101196
classification.9.0.recall,0.5370695892981316
classification.9.0.false_positive_rate,0.04813079442822376
classification.9.0.precision,0.26463564011039853
classification.9.0.auroc,0.8581933639576662
classification.12.0.n,44385
classification.12.0.sources,30
classification.12.0.prevalence,0.043147138015594416
classification.12.0.log_loss,0.14502823763081246
classification.12.0.brier,0.03434889694096852
classification.12.0.average_precision,0.3507052379363613
classification.12.0.threshold,0.1424982249736786
classification.12.0.recall,0.46474610146482886
classification.12.0.false_positive_rate,0.0471574187165785
classification.12.0.precision,0.30767027640162076
classification.12.0.auroc,0.826364174410698
timing.0.75.event_windows,68
timing.0.75.missed_windows,11
timing.0.75.detected_timing_mae_ps,0.375
timing.0.75.timed_within_3ps_recall,0.8382352941176471
timing.3.0.event_windows,274
timing.3.0.missed_windows,68
timing.3.0.detected_timing_mae_ps,0.7301767315658474
