metric,value
event_nll,0.16608623667011582
classification.0.75.n,44385
classification.0.75.sources,30
classification.0.75.prevalence,0.002461127212794187
classification.0.75.log_loss,0.008824116965011538
classification.0.75.brier,0.0021070175583775717
classification.0.75.average_precision,0.22350915113836686
classification.0.75.threshold,0.0037914898712188005
classification.0.75.recall,0.9084186316399454
classification.0.75.false_positive_rate,0.04580964029123912
classification.0.75.precision,0.04664325282748704
classification.0.75.auroc,0.9858830074270388
classification.3.0.n,44385
classification.3.0.sources,30
classification.3.0.prevalence,0.00884508151496356
classification.3.0.log_loss,0.025919814499678673
classification.3.0.brier,0.006726856778899252
classification.3.0.average_precision,0.3846360816842795
classification.3.0.threshold,0.02409783937036991
classification.3.0.recall,0.8450140769488035
classification.3.0.false_positive_rate,0.0434469243471758
classification.3.0.precision,0.14789640077642996
classification.3.0.auroc,0.9738536996983493
classification.6.0.n,44385
classification.6.0.sources,30
classification.6.0.prevalence,0.01976765853638479
classification.6.0.log_loss,0.051742622428593066
classification.6.0.brier,0.013791371884078986
classification.6.0.average_precision,0.473477932223769
classification.6.0.threshold,0.0770268514752388
classification.6.0.recall,0.757491936366239
classification.6.0.false_positive_rate,0.03998154975392166
classification.6.0.precision,0.2764484094823491
classification.6.0.auroc,0.959743483922768
classification.9.0.n,44385
classification.9.0.sources,30
classification.9.0.prevalence,0.031243024276521248
classification.9.0.log_loss,0.07939604769826139
classification.9.0.brier,0.02147374464267182
classification.9.0.average_precision,0.48730086465154127
classification.9.0.threshold,0.13190747797489166
classification.9.0.recall,0.6942398840485747
classification.9.0.false_positive_rate,0.04157055042324735
classification.9.0.precision,0.3500562209982556
classification.9.0.auroc,0.9438126651017253
classification.12.0.n,44385
classification.12.0.sources,30
classification.12.0.prevalence,0.043147138015594416
classification.12.0.log_loss,0.10620037734522636
classification.12.0.brier,0.028827209778552257
classification.12.0.average_precision,0.5077030951204088
classification.12.0.threshold,0.18154120445251465
classification.12.0.recall,0.6403330199443069
classification.12.0.false_positive_rate,0.04281674266855346
classification.12.0.precision,0.40276092005379793
classification.12.0.auroc,0.9276945672798452
timing.0.75.event_windows,68
timing.0.75.missed_windows,5
timing.0.75.detected_timing_mae_ps,0.375
timing.0.75.timed_within_3ps_recall,0.9264705882352942
timing.3.0.event_windows,274
timing.3.0.missed_windows,41
timing.3.0.detected_timing_mae_ps,0.7107377943123073
timing.3.0.timed_within_3ps_recall,0.8503649635036497
timing.6.0.event_windows,615
timing.6.0.missed_windows,157
timing.6.0.detected_timing_mae_ps,1.3191508351775298
timing.6.0.timed_within_3ps_recall,0.7105691056910569
timing.9.0.event_windows,974
timing.9.0.missed_windows,309
timing.9.0.detected_timing_mae_ps,1.8596538337093325
timing.9.0.timed_within_3ps_recall,0.5687885010266941
timing.12.0.event_windows,1349
timing.12.0.missed_windows,498
timing.12.0.detected_timing_mae_ps,2.4651929133230577
timing.12.0.timed_within_3ps_recall,0.4240177909562639
per_source.881.temperature_K,520.0
per_source.881.event_nll,0.09836266189813614
per_source.881.0.75.log_loss,0.005777711927495962
per_source.881.0.75.brier,0.0013484432793823698
per_source.881.3.0.log_loss,0.01105999289612619
per_source.881.3.0.brier,0.003374294749912654
per_source.881.6.0.log_loss,0.02098246465608694
per_source.881.6.0.brier,0.0055899791772812315
per_source.881.9.0.log_loss,0.04118840521810434
per_source.881.9.0.brier,0.011235509760938822
per_source.881.12.0.log_loss,0.06544617946323254
