metric,value
event_nll,0.21228444562493926
classification.0.75.n,44385
classification.0.75.sources,30
classification.0.75.prevalence,0.002461127212794187
classification.0.75.log_loss,0.010854581964160543
classification.0.75.brier,0.0022761593897809387
classification.0.75.average_precision,0.14489393868270461
classification.0.75.threshold,0.014339112676680088
classification.0.75.recall,0.7813223719341393
classification.0.75.false_positive_rate,0.04598819341376638
classification.0.75.precision,0.04023046967471411
classification.0.75.auroc,0.9544852554244942
classification.3.0.n,44385
classification.3.0.sources,30
classification.3.0.prevalence,0.00884508151496356
classification.3.0.log_loss,0.034860104475462186
classification.3.0.brier,0.007896327680763794
classification.3.0.average_precision,0.18798963897410492
classification.3.0.threshold,0.047297824174165726
classification.3.0.recall,0.6647045999060078
classification.3.0.false_positive_rate,0.048888170396855155
classification.3.0.precision,0.1082056449576223
classification.3.0.auroc,0.9232422941519854
classification.6.0.n,44385
classification.6.0.sources,30
classification.6.0.prevalence,0.01976765853638479
classification.6.0.log_loss,0.07435571081797082
classification.6.0.brier,0.01732159986402973
classification.6.0.average_precision,0.20529253093408997
classification.6.0.threshold,0.08277454972267151
classification.6.0.recall,0.5305568622425593
classification.6.0.false_positive_rate,0.05124838188420933
classification.6.0.precision,0.17271601159128375
classification.6.0.auroc,0.8648159140909255
classification.9.0.n,44385
classification.9.0.sources,30
classification.9.0.prevalence,0.031243024276521248
classification.9.0.log_loss,0.11377008341324207
classification.9.0.brier,0.027034822427579198
classification.9.0.average_precision,0.22080849334311453
classification.9.0.threshold,0.10601488500833511
classification.9.0.recall,0.4735303442179516
classification.9.0.false_positive_rate,0.05657416467897628
classification.9.0.precision,0.21256147151582713
classification.9.0.auroc,0.8143584376803078
classification.12.0.n,44385
classification.12.0.sources,30
classification.12.0.prevalence,0.043147138015594416
classification.12.0.log_loss,0.1526785890049842
classification.12.0.brier,0.03734017402031696
classification.12.0.average_precision,0.22390600032785857
classification.12.0.threshold,0.13278432190418243
classification.12.0.recall,0.4091803398852537
classification.12.0.false_positive_rate,0.059247556156155616
classification.12.0.precision,0.23746972215576628
classification.12.0.auroc,0.7733408458130406
timing.0.75.event_windows,68
timing.0.75.missed_windows,14
timing.0.75.detected_timing_mae_ps,0.375
timing.0.75.timed_within_3ps_recall,0.7941176470588235
timing.3.0.event_windows,274
timing.3.0.missed_windows,89
timing.3.0.detected_timing_mae_ps,0.7460573141131509
timing.3.0.timed_within_3ps_recall,0.6751824817518248
timing.6.0.event_windows,615
timing.6.0.missed_windows,285
timing.6.0.detected_timing_mae_ps,1.360946290541191
timing.6.0.timed_within_3ps_recall,0.4975609756097561
timing.9.0.event_windows,974
timing.9.0.missed_windows,510
timing.9.0.detected_timing_mae_ps,2.011756563881084
timing.9.0.timed_within_3ps_recall,0.37679671457905545
timing.12.0.event_windows,1349
timing.12.0.missed_windows,793
timing.12.0.detected_timing_mae_ps,2.6569720534162493
timing.12.0.timed_within_3ps_recall,0.2631578947368421
per_source.881.temperature_K,520.0
per_source.881.event_nll,0.13653740286827087
per_source.881.0.75.log_loss,0.004819883560480882
