metric,value
event_nll,0.219744090644335
classification.0.75.n,44385
classification.0.75.sources,30
classification.0.75.prevalence,0.002461127212794187
classification.0.75.log_loss,0.011922962223601041
classification.0.75.brier,0.0023626107068681432
classification.0.75.average_precision,0.07259276869486771
classification.0.75.threshold,0.017428923398256302
classification.0.75.recall,0.7171708515335533
classification.0.75.false_positive_rate,0.039550546459924375
classification.0.75.precision,0.042822012871385325
classification.0.75.auroc,0.9534736969027565
classification.3.0.n,44385
classification.3.0.sources,30
classification.3.0.prevalence,0.00884508151496356
classification.3.0.log_loss,0.037630409166858655
classification.3.0.brier,0.008182330209346271
classification.3.0.average_precision,0.1256158869193993
classification.3.0.threshold,0.05737386643886566
classification.3.0.recall,0.5554463804965339
classification.3.0.false_positive_rate,0.04128178169291207
classification.3.0.precision,0.10720075008871957
classification.3.0.auroc,0.90027204223318
classification.6.0.n,44385
classification.6.0.sources,30
classification.6.0.prevalence,0.01976765853638479
classification.6.0.log_loss,0.07855119678660628
classification.6.0.brier,0.017912454296067228
classification.6.0.average_precision,0.1535742304270782
classification.6.0.threshold,0.0950486809015274
classification.6.0.recall,0.44737535136647677
classification.6.0.false_positive_rate,0.04409718332385026
classification.6.0.precision,0.16984299593580596
classification.6.0.auroc,0.8427555245645962
classification.9.0.n,44385
classification.9.0.sources,30
classification.9.0.prevalence,0.031243024276521248
classification.9.0.log_loss,0.1200370514313381
classification.9.0.brier,0.02808453674165784
classification.9.0.average_precision,0.16761770802276207
classification.9.0.threshold,0.12259058654308319
classification.9.0.recall,0.3798811216960877
classification.9.0.false_positive_rate,0.04636000140688259
classification.9.0.precision,0.20902767241616946
classification.9.0.auroc,0.7807414926648901
classification.12.0.n,44385
classification.12.0.sources,30
classification.12.0.prevalence,0.043147138015594416
classification.12.0.log_loss,0.15926572151496532
classification.12.0.brier,0.03866516076030116
classification.12.0.average_precision,0.17577578560572518
classification.12.0.threshold,0.1472250074148178
classification.12.0.recall,0.32288772004772703
classification.12.0.false_positive_rate,0.04821536320218215
classification.12.0.precision,0.23193688855896766
classification.12.0.auroc,0.7435826902006495
timing.0.75.event_windows,68
timing.0.75.missed_windows,19
timing.0.75.detected_timing_mae_ps,0.375
timing.0.75.timed_within_3ps_recall,0.7205882352941176
timing.3.0.event_windows,274
timing.3.0.missed_windows,120
timing.3.0.detected_timing_mae_ps,0.7930811402102361
timing.3.0.timed_within_3ps_recall,0.5620437956204379
timing.6.0.event_windows,615
timing.6.0.missed_windows,342
timing.6.0.detected_timing_mae_ps,1.4254474793021676
timing.6.0.timed_within_3ps_recall,0.4097560975609756
timing.9.0.event_windows,974
timing.9.0.missed_windows,607
timing.9.0.detected_timing_mae_ps,1.9833495346387486
timing.9.0.timed_within_3ps_recall,0.2997946611909651
timing.12.0.event_windows,1349
timing.12.0.missed_windows,914
timing.12.0.detected_timing_mae_ps,2.5958385929067687
timing.12.0.timed_within_3ps_recall,0.21052631578947367
per_source.881.temperature_K,520.0
per_source.881.event_nll,0.14041480422019958
per_source.881.0.75.log_loss,0.00485503607882806
per_source.881.0.75.brier,0.0009719070309677037
per_source.881.3.0.log_loss,0.018912534491864814
per_source.881.3.0.brier,0.004499191005663821
per_source.881.6.0.log_loss,0.04381005460170075
per_source.881.6.0.brier,0.009584153181977058
per_source.881.9.0.log_loss,0.07530373846843326
per_source.881.9.0.brier,0.016087334618248683
per_source.881.12.0.log_loss,0.10435282879300554
per_source.881.12.0.brier,0.022762214517381682
per_source.882.temperature_K,520.0
per_source.882.event_nll,0.48349323868751526
per_source.882.0.75.log_loss,0.038525951125647745
per_source.882.0.75.brier,0.009228641554182574
per_source.882.3.0.log_loss,0.08844176657663852
per_source.882.3.0.brier,0.0203627920446465
per_source.882.6.0.log_loss,0.17634736664556225
per_source.882.6.0.brier,0.04536353669834599
per_source.882.9.0.log_loss,0.26492416505399335
per_source.882.9.0.brier,0.0697681406323226
per_source.882.12.0.log_loss,0.3407694496253919
per_source.882.12.0.brier,0.09438620639948991
per_source.883.temperature_K,520.0
