metric,value
event_nll,0.16573608878851132
classification.0.75.n,44385
classification.0.75.sources,30
classification.0.75.prevalence,0.002461127212794187
classification.0.75.log_loss,0.010003337250642529
classification.0.75.brier,0.002223670181734325
classification.0.75.average_precision,0.14787829504705463
classification.0.75.threshold,0.012339982204139233
classification.0.75.recall,0.7847791226867588
classification.0.75.false_positive_rate,0.03237556487064934
classification.0.75.precision,0.056429803176785136
classification.0.75.auroc,0.9744630737938926
classification.3.0.n,44385
classification.3.0.sources,30
classification.3.0.prevalence,0.00884508151496356
classification.3.0.log_loss,0.02879581727765245
classification.3.0.brier,0.007164118891356777
classification.3.0.average_precision,0.29702629210175424
classification.3.0.threshold,0.04711472615599632
classification.3.0.recall,0.7609091181344718
classification.3.0.false_positive_rate,0.03744776787714001
classification.3.0.precision,0.1534957317950282
classification.3.0.auroc,0.962065245915875
classification.6.0.n,44385
classification.6.0.sources,30
classification.6.0.prevalence,0.01976765853638479
classification.6.0.log_loss,0.05365821854028147
classification.6.0.brier,0.014172573815693902
classification.6.0.average_precision,0.4271910430785032
classification.6.0.threshold,0.10336941480636597
classification.6.0.recall,0.7304078731174646
classification.6.0.false_positive_rate,0.037487487203248133
classification.6.0.precision,0.28208423200328875
classification.6.0.auroc,0.9546187732228121
classification.9.0.n,44385
classification.9.0.sources,30
classification.9.0.prevalence,0.031243024276521248
classification.9.0.log_loss,0.07993470069148867
classification.9.0.brier,0.02156216582917166
classification.9.0.average_precision,0.45812484239806145
classification.9.0.threshold,0.15261715650558472
classification.9.0.recall,0.6786667168413286
classification.9.0.false_positive_rate,0.03907485113325249
classification.9.0.precision,0.3590323350202249
classification.9.0.auroc,0.9428703556910795
classification.12.0.n,44385
classification.12.0.sources,30
classification.12.0.prevalence,0.043147138015594416
classification.12.0.log_loss,0.10714225309804896
classification.12.0.brier,0.029026257534074708
classification.12.0.average_precision,0.4820934335704967
classification.12.0.threshold,0.1916627287864685
classification.12.0.recall,0.616863414757297
classification.12.0.false_positive_rate,0.04027888326545219
classification.12.0.precision,0.4084894926045264
classification.12.0.auroc,0.9285243075740952
timing.0.75.event_windows,68
timing.0.75.missed_windows,16
timing.0.75.detected_timing_mae_ps,0.375
timing.0.75.timed_within_3ps_recall,0.7647058823529411
timing.3.0.event_windows,274
timing.3.0.missed_windows,69
timing.3.0.detected_timing_mae_ps,0.741655330997507
timing.3.0.timed_within_3ps_recall,0.7481751824817519
timing.6.0.event_windows,615
timing.6.0.missed_windows,187
timing.6.0.detected_timing_mae_ps,1.3872495632843016
timing.6.0.timed_within_3ps_recall,0.6455284552845528
timing.9.0.event_windows,974
timing.9.0.missed_windows,347
timing.9.0.detected_timing_mae_ps,1.8659515015657901
timing.9.0.timed_within_3ps_recall,0.5328542094455853
timing.12.0.event_windows,1349
timing.12.0.missed_windows,552
timing.12.0.detected_timing_mae_ps,2.412720879937348
timing.12.0.timed_within_3ps_recall,0.39584877687175685
per_source.881.temperature_K,520.0
per_source.881.event_nll,0.10042894631624222
per_source.881.0.75.log_loss,0.006146017264001016
per_source.881.0.75.brier,0.0011714340501032402
per_source.881.3.0.log_loss,0.012932774768412564
per_source.881.3.0.brier,0.0037113261118770823
per_source.881.6.0.log_loss,0.025615304936204567
per_source.881.6.0.brier,0.006489287594829929
per_source.881.9.0.log_loss,0.04510011583297951
per_source.881.9.0.brier,0.011701603002158808
per_source.881.12.0.log_loss,0.06642363871780192
per_source.881.12.0.brier,0.017525302080400082
per_source.882.temperature_K,520.0
per_source.882.event_nll,0.3358127772808075
per_source.882.0.75.log_loss,0.024991362396098116
per_source.882.0.75.brier,0.007527994552871053
per_source.882.3.0.log_loss,0.05379831765710337
per_source.882.3.0.brier,0.015490221711849488
per_source.882.6.0.log_loss,0.09033365623816605
per_source.882.6.0.brier,0.02892414628394963
per_source.882.9.0.log_loss,0.14543996388129476
per_source.882.9.0.brier,0.04397667330183067
per_source.882.12.0.log_loss,0.20868052947013252
per_source.882.12.0.brier,0.0620113186038703
per_source.883.temperature_K,520.0
per_source.883.event_nll,0.14470122754573822
per_source.883.0.75.log_loss,0.006036594746460074
per_source.883.0.75.brier,0.0011455627969820272
per_source.883.3.0.log_loss,0.02429667767319683
per_source.883.3.0.brier,0.0066319356814658
per_source.883.6.0.log_loss,0.048264117424164206
per_source.883.6.0.brier,0.014097870156795554
per_source.883.9.0.log_loss,0.07569577475434995
per_source.883.9.0.brier,0.02071672595547048
per_source.883.12.0.log_loss,0.09558111798973273
per_source.883.12.0.brier,0.026301476487356815
per_source.908.temperature_K,400.0
per_source.908.event_nll,0.07605880498886108
per_source.908.0.75.log_loss,0.0037864570395337556
per_source.908.0.75.brier,0.0005518997752186318
per_source.908.3.0.log_loss,0.013952835855847188
per_source.908.3.0.brier,0.003013940446636819
per_source.908.6.0.log_loss,0.028218748908319293
per_source.908.6.0.brier,0.006748453611331761
per_source.908.9.0.log_loss,0.041659053771082116
per_source.908.9.0.brier,0.010173464220939728
per_source.908.12.0.log_loss,0.05513133966692634
per_source.908.12.0.brier,0.013782111775814452
per_source.909.temperature_K,400.0
per_source.909.event_nll,0.10264281928539276
per_source.909.0.75.log_loss,0.0018913981326779856
per_source.909.0.75.brier,0.0004461525965235227
per_source.909.3.0.log_loss,0.01257931782659133
per_source.909.3.0.brier,0.0030422168860604567
per_source.909.6.0.log_loss,0.03106769384650738
per_source.909.6.0.brier,0.008445807460139412
per_source.909.9.0.log_loss,0.04762327232073603
per_source.909.9.0.brier,0.013643945368132395
per_source.909.12.0.log_loss,0.06784208390262261
per_source.909.12.0.brier,0.019567154114276716
per_source.910.temperature_K,400.0
per_source.910.event_nll,0.007792499382048845
per_source.910.0.75.log_loss,0.00031810934833958744
per_source.910.0.75.brier,1.2892985823799885e-05
per_source.910.3.0.log_loss,0.0010982344659583817
per_source.910.3.0.brier,8.476372653279218e-05
per_source.910.6.0.log_loss,0.0025850759784407837
per_source.910.6.0.brier,0.00018374510485354422
per_source.910.9.0.log_loss,0.004645791909025582
per_source.910.9.0.brier,0.0002783595718397221
per_source.910.12.0.log_loss,0.007792498812990127
per_source.910.12.0.brier,0.0004197092791986021
per_source.911.temperature_K,400.0
per_source.911.event_nll,0.11265741288661957
per_source.911.0.75.log_loss,0.0010382558580538774
per_source.911.0.75.brier,4.975346778810998e-05
per_source.911.3.0.log_loss,0.019694381941208716
per_source.911.3.0.brier,0.004675885973145731
per_source.911.6.0.log_loss,0.040016310574072775
per_source.911.6.0.brier,0.00977413196573491
per_source.911.9.0.log_loss,0.05868125064509066
per_source.911.9.0.brier,0.014958639474402792
per_source.911.12.0.log_loss,0.0793071127151738
per_source.911.12.0.brier,0.02014697584092883
per_source.912.temperature_K,400.0
per_source.912.event_nll,0.1405245065689087
per_source.912.0.75.log_loss,0.01037756495152837
per_source.912.0.75.brier,0.0025938279167724773
per_source.912.3.0.log_loss,0.02281272312828737
per_source.912.3.0.brier,0.0062949381288048
per_source.912.6.0.log_loss,0.047927266561026506
per_source.912.6.0.brier,0.013106147000787266
per_source.912.9.0.log_loss,0.07301883636988452
per_source.912.9.0.brier,0.01951744332993443
per_source.912.12.0.log_loss,0.09514416953983032
per_source.912.12.0.brier,0.026014266898784708
per_source.913.temperature_K,400.0
per_source.913.event_nll,0.05409342423081398
per_source.913.0.75.log_loss,0.0032443270745698568
per_source.913.0.75.brier,0.0007722792458480974
per_source.913.3.0.log_loss,0.008159336868493239
per_source.913.3.0.brier,0.0021461680440670768
per_source.913.6.0.log_loss,0.01634368777544313
per_source.913.6.0.brier,0.004411577242734371
per_source.913.9.0.log_loss,0.02574535192465079
per_source.913.9.0.brier,0.00681846539239863
per_source.913.12.0.log_loss,0.03772610846826584
per_source.913.12.0.brier,0.009544931286880692
per_source.938.temperature_K,450.0
per_source.938.event_nll,0.2560272812843323
per_source.938.0.75.log_loss,0.0062363411862136515
per_source.938.0.75.brier,0.001174018130081984
per_source.938.3.0.log_loss,0.049642860575331405
per_source.938.3.0.brier,0.010588438651847214
per_source.938.6.0.log_loss,0.09429293036953415
per_source.938.6.0.brier,0.022946145451618584
per_source.938.9.0.log_loss,0.12885315123857993
per_source.938.9.0.brier,0.032980199161566706
per_source.938.12.0.log_loss,0.16158360938151792
per_source.938.12.0.brier,0.04346430538541131
per_source.939.temperature_K,450.0
per_source.939.event_nll,0.2973878085613251
per_source.939.0.75.log_loss,0.018573918787030075
per_source.939.0.75.brier,0.00292525109483675
per_source.939.3.0.log_loss,0.05146245450985263
per_source.939.3.0.brier,0.01188711625183632
per_source.939.6.0.log_loss,0.09840929454902116
per_source.939.6.0.brier,0.02626236420612629
per_source.939.9.0.log_loss,0.139404790499303
per_source.939.9.0.brier,0.03826985187759499
per_source.939.12.0.log_loss,0.17472749036556648
per_source.939.12.0.brier,0.048788797445996804
per_source.940.temperature_K,450.0
per_source.940.event_nll,0.26823216676712036
per_source.940.0.75.log_loss,0.01455503522634535
per_source.940.0.75.brier,0.002618499084772027
per_source.940.3.0.log_loss,0.05910078967249225
per_source.940.3.0.brier,0.016017836402723
per_source.940.6.0.log_loss,0.10196656629912741
per_source.940.6.0.brier,0.030405787897422158
per_source.940.9.0.log_loss,0.1331653594436657
per_source.940.9.0.brier,0.0402294167986966
per_source.940.12.0.log_loss,0.17184553554724613
per_source.940.12.0.brier,0.05212256270124466
per_source.941.temperature_K,450.0
per_source.941.event_nll,0.1967366635799408
per_source.941.0.75.log_loss,0.01914176626191406
per_source.941.0.75.brier,0.0038078612811763882
per_source.941.3.0.log_loss,0.038201741237371085
per_source.941.3.0.brier,0.009930585110332837
per_source.941.6.0.log_loss,0.06226289544447601
per_source.941.6.0.brier,0.016898488351222995
per_source.941.9.0.log_loss,0.09246649972023221
per_source.941.9.0.brier,0.02450037965446764
per_source.941.12.0.log_loss,0.1246458459027645
per_source.941.12.0.brier,0.0334588083719957
per_source.942.temperature_K,450.0
per_source.942.event_nll,0.2587685286998749
per_source.942.0.75.log_loss,0.017401986824504598
per_source.942.0.75.brier,0.0049224686279761365
per_source.942.3.0.log_loss,0.045577247657773975
per_source.942.3.0.brier,0.013044168378125262
per_source.942.6.0.log_loss,0.08405706002482966
per_source.942.6.0.brier,0.02449932649683384
per_source.942.9.0.log_loss,0.1219882795963147
per_source.942.9.0.brier,0.03631457727440447
per_source.942.12.0.log_loss,0.16373667064967126
per_source.942.12.0.brier,0.04827732797497219
per_source.943.temperature_K,450.0
per_source.943.event_nll,0.26150819659233093
per_source.943.0.75.log_loss,0.018350070619563782
per_source.943.0.75.brier,0.0027655994956149598
per_source.943.3.0.log_loss,0.052872798140538475
per_source.943.3.0.brier,0.011360208731983887
per_source.943.6.0.log_loss,0.09925929007339876
per_source.943.6.0.brier,0.024962988796782375
per_source.943.9.0.log_loss,0.13338806242330745
per_source.943.9.0.brier,0.03548483988160492
per_source.943.12.0.log_loss,0.1709329876028638
per_source.943.12.0.brier,0.047025804743926536
per_source.968.temperature_K,500.0
per_source.968.event_nll,0.06740366667509079
per_source.968.0.75.log_loss,0.002631763331887094
per_source.968.0.75.brier,0.0007617340363370809
per_source.968.3.0.log_loss,0.00817124322366644
per_source.968.3.0.brier,0.0022081237625643417
per_source.968.6.0.log_loss,0.021130923559929644
per_source.968.6.0.brier,0.00512093491282617
per_source.968.9.0.log_loss,0.03258860111467715
per_source.968.9.0.brier,0.00745471616626898
per_source.968.12.0.log_loss,0.04402125290198806
per_source.968.12.0.brier,0.009687819666130509
per_source.969.temperature_K,500.0
per_source.969.event_nll,0.1280054897069931
per_source.969.0.75.log_loss,0.0009218966033296005
per_source.969.0.75.brier,8.56749554898406e-05
per_source.969.3.0.log_loss,0.021893188962604383
per_source.969.3.0.brier,0.005733195466945415
per_source.969.6.0.log_loss,0.04254210993410985
per_source.969.6.0.brier,0.011915684635684093
per_source.969.9.0.log_loss,0.060630383032384216
per_source.969.9.0.brier,0.01728529007616323
per_source.969.12.0.log_loss,0.08304377925407692
per_source.969.12.0.brier,0.022852462523620345
per_source.970.temperature_K,500.0
per_source.970.event_nll,0.26100486516952515
per_source.970.0.75.log_loss,0.01012750409267118
per_source.970.0.75.brier,0.0025692055527483425
per_source.970.3.0.log_loss,0.038258255911980246
per_source.970.3.0.brier,0.008683145849325731
per_source.970.6.0.log_loss,0.08792250879590092
per_source.970.6.0.brier,0.021856249908281566
per_source.970.9.0.log_loss,0.1302862669417411
per_source.970.9.0.brier,0.03387492401293992
per_source.970.12.0.log_loss,0.1670387075818578
per_source.970.12.0.brier,0.0448060666631735
per_source.971.temperature_K,500.0
per_source.971.event_nll,0.17692984640598297
per_source.971.0.75.log_loss,0.0075260826445583805
per_source.971.0.75.brier,0.00107823305345176
per_source.971.3.0.log_loss,0.03327081390433891
per_source.971.3.0.brier,0.0066622228463383325
per_source.971.6.0.log_loss,0.06321939122539628
per_source.971.6.0.brier,0.01408690073963584
per_source.971.9.0.log_loss,0.10086606141936078
per_source.971.9.0.brier,0.02504617846911849
per_source.971.12.0.log_loss,0.13029019819994866
per_source.971.12.0.brier,0.03395039038084104
per_source.972.temperature_K,500.0
per_source.972.event_nll,0.106142558157444
per_source.972.0.75.log_loss,0.0015248261581119558
per_source.972.0.75.brier,5.287573957808025e-05
per_source.972.3.0.log_loss,0.01800101980129778
per_source.972.3.0.brier,0.0033044813134977613
per_source.972.6.0.log_loss,0.0372137039580907
per_source.972.6.0.brier,0.007770396224887564
per_source.972.9.0.log_loss,0.056010703696971136
per_source.972.9.0.brier,0.012527068558866596
per_source.972.12.0.log_loss,0.0728183476776881
per_source.972.12.0.brier,0.015976752867672295
per_source.973.temperature_K,500.0
per_source.973.event_nll,0.023190727457404137
per_source.973.0.75.log_loss,0.00012976186568643025
per_source.973.0.75.brier,3.668827121336979e-07
per_source.973.3.0.log_loss,0.004260629015430488
per_source.973.3.0.brier,0.00042929157114807447
per_source.973.6.0.log_loss,0.00589149413946311
per_source.973.6.0.brier,0.0005004788178084864
per_source.973.9.0.log_loss,0.011607247055652052
per_source.973.9.0.brier,0.0011276703435041668
per_source.973.12.0.log_loss,0.02099591129319071
per_source.973.12.0.brier,0.002062346858539523
per_source.998.temperature_K,510.0
per_source.998.event_nll,0.12644055485725403
per_source.998.0.75.log_loss,0.010980145074606238
per_source.998.0.75.brier,0.002305148137312281
per_source.998.3.0.log_loss,0.024159277800620205
per_source.998.3.0.brier,0.0062500700112807905
per_source.998.6.0.log_loss,0.044586550959895624
per_source.998.6.0.brier,0.011507268662402358
per_source.998.9.0.log_loss,0.0660706943156623
per_source.998.9.0.brier,0.017294371359866046
per_source.998.12.0.log_loss,0.08856215920134818
per_source.998.12.0.brier,0.023239710108631954
per_source.999.temperature_K,510.0
per_source.999.event_nll,0.11714904010295868
