metric,value
event_nll,0.2065869174571123
classification.0.75.n,44385
classification.0.75.sources,30
classification.0.75.prevalence,0.002461127212794187
classification.0.75.log_loss,0.010650829073497289
classification.0.75.brier,0.0022784994252913054
classification.0.75.average_precision,0.1491898531567608
classification.0.75.threshold,0.016249677166342735
classification.0.75.recall,0.8362937720705195
classification.0.75.false_positive_rate,0.047518271329789766
classification.0.75.precision,0.041614317883888564
classification.0.75.auroc,0.9673861851566798
classification.3.0.n,44385
classification.3.0.sources,30
classification.3.0.prevalence,0.00884508151496356
classification.3.0.log_loss,0.034240702727372514
classification.3.0.brier,0.007958404238042659
classification.3.0.average_precision,0.16619976851767856
classification.3.0.threshold,0.05149445682764053
classification.3.0.recall,0.7085711903891677
classification.3.0.false_positive_rate,0.05320243204586636
classification.3.0.precision,0.10622800964602608
classification.3.0.auroc,0.9337462657473545
classification.6.0.n,44385
classification.6.0.sources,30
classification.6.0.prevalence,0.01976765853638479
classification.6.0.log_loss,0.07087052522433018
classification.6.0.brier,0.017325583062196157
classification.6.0.average_precision,0.19896736685035182
classification.6.0.threshold,0.08617942780256271
classification.6.0.recall,0.6182719576327242
classification.6.0.false_positive_rate,0.05626465440255838
classification.6.0.precision,0.18140155716665116
classification.6.0.auroc,0.8970858388497603
classification.9.0.n,44385
classification.9.0.sources,30
classification.9.0.prevalence,0.031243024276521248
classification.9.0.log_loss,0.10947227796855924
classification.9.0.brier,0.027038425058555596
classification.9.0.average_precision,0.21935843371821306
classification.9.0.threshold,0.11953035742044449
classification.9.0.recall,0.5336566952246325
classification.9.0.false_positive_rate,0.060289164189825634
classification.9.0.precision,0.22207459448775135
classification.9.0.auroc,0.8494917869705835
classification.12.0.n,44385
classification.12.0.sources,30
classification.12.0.prevalence,0.043147138015594416
classification.12.0.log_loss,0.1474576578743621
classification.12.0.brier,0.03706027574556795
classification.12.0.average_precision,0.2346086957654191
classification.12.0.threshold,0.1514299362897873
classification.12.0.recall,0.4669499019585148
classification.12.0.false_positive_rate,0.06083862369122713
classification.12.0.precision,0.2571114449850136
classification.12.0.auroc,0.8100440880632185
timing.0.75.event_windows,68
timing.0.75.missed_windows,8
