metric,value
event_nll,0.22511396969650666
classification.0.75.n,44385
classification.0.75.sources,30
classification.0.75.prevalence,0.002461127212794187
classification.0.75.log_loss,0.012349249584542584
classification.0.75.brier,0.0023863147280194165
classification.0.75.average_precision,0.04842274760513966
classification.0.75.threshold,0.017647406086325645
classification.0.75.recall,0.6528594846649198
classification.0.75.false_positive_rate,0.042197118777278615
classification.0.75.precision,0.03676816705243257
classification.0.75.auroc,0.9468815005289484
classification.3.0.n,44385
classification.3.0.sources,30
classification.3.0.prevalence,0.00884508151496356
classification.3.0.log_loss,0.039633186879971
classification.3.0.brier,0.008376709249938948
classification.3.0.average_precision,0.09229249357445023
classification.3.0.threshold,0.06255414336919785
classification.3.0.recall,0.46566163341447164
classification.3.0.false_positive_rate,0.04155754383744651
classification.3.0.precision,0.09090545341370816
classification.3.0.auroc,0.8783590261060158
classification.6.0.n,44385
classification.6.0.sources,30
classification.6.0.prevalence,0.01976765853638479
classification.6.0.log_loss,0.08136451302944224
classification.6.0.brier,0.018309402741090275
classification.6.0.average_precision,0.12414706773163564
classification.6.0.threshold,0.10629923641681671
classification.6.0.recall,0.3662848621761976
classification.6.0.false_positive_rate,0.04232238241334606
classification.6.0.precision,0.14859705858791594
classification.6.0.auroc,0.8194419381131103
classification.9.0.n,44385
classification.9.0.sources,30
classification.9.0.prevalence,0.031243024276521248
classification.9.0.log_loss,0.12399392935780638
classification.9.0.brier,0.028757378656035816
classification.9.0.average_precision,0.13391411646735302
classification.9.0.threshold,0.13527008891105652
classification.9.0.recall,0.3051589794812769
classification.9.0.false_positive_rate,0.043337907024358656
classification.9.0.precision,0.18506330627315865
classification.9.0.auroc,0.7534126261595439
classification.12.0.n,44385
classification.12.0.sources,30
classification.12.0.prevalence,0.043147138015594416
classification.12.0.log_loss,0.1636495725346037
classification.12.0.brier,0.03953164612170934
classification.12.0.average_precision,0.14419499419263437
classification.12.0.threshold,0.1625533550977707
classification.12.0.recall,0.25922761497520297
classification.12.0.false_positive_rate,0.04387196573236772
classification.12.0.precision,0.21038562024456003
classification.12.0.auroc,0.7181551369926182
timing.0.75.event_windows,68
timing.0.75.missed_windows,22
timing.0.75.detected_timing_mae_ps,0.375
timing.0.75.timed_within_3ps_recall,0.6764705882352942
timing.3.0.event_windows,274
timing.3.0.missed_windows,150
timing.3.0.detected_timing_mae_ps,0.7998892911088789
timing.3.0.timed_within_3ps_recall,0.45255474452554745
timing.6.0.event_windows,615
timing.6.0.missed_windows,392
timing.6.0.detected_timing_mae_ps,1.4403017115226395
timing.6.0.timed_within_3ps_recall,0.3333333333333333
timing.9.0.event_windows,974
timing.9.0.missed_windows,681
timing.9.0.detected_timing_mae_ps,2.0675170625765857
timing.9.0.timed_within_3ps_recall,0.23408624229979466
timing.12.0.event_windows,1349
timing.12.0.missed_windows,1001
timing.12.0.detected_timing_mae_ps,2.6803260383136442
timing.12.0.timed_within_3ps_recall,0.16604892512972572
per_source.881.temperature_K,520.0
per_source.881.event_nll,0.1458316445350647
per_source.881.0.75.log_loss,0.003929459494940417
per_source.881.0.75.brier,0.0009287851192727916
per_source.881.3.0.log_loss,0.019426882178385944
per_source.881.3.0.brier,0.0046091504976970565
per_source.881.6.0.log_loss,0.04501358460299476
per_source.881.6.0.brier,0.009711795336004431
per_source.881.9.0.log_loss,0.07847618959828914
per_source.881.9.0.brier,0.016441619784738067
per_source.881.12.0.log_loss,0.10956095157816455
per_source.881.12.0.brier,0.023557946257735527
per_source.882.temperature_K,520.0
per_source.882.event_nll,0.49093103408813477
per_source.882.0.75.log_loss,0.040993842048036515
per_source.882.0.75.brier,0.009181027795926965
