metric,value
event_nll,0.20469321320841694
classification.0.75.n,44385
classification.0.75.sources,30
classification.0.75.prevalence,0.002461127212794187
classification.0.75.log_loss,0.010889054280307633
classification.0.75.brier,0.0021236036341387276
classification.0.75.average_precision,0.23340990674595902
classification.0.75.threshold,0.010222370736300945
classification.0.75.recall,0.8787508500484221
classification.0.75.false_positive_rate,0.04508887308219255
classification.0.75.precision,0.04587800441561898
classification.0.75.auroc,0.9644061242005451
classification.3.0.n,44385
classification.3.0.sources,30
classification.3.0.prevalence,0.00884508151496356
classification.3.0.log_loss,0.03394423594822142
classification.3.0.brier,0.00709404765244416
classification.3.0.average_precision,0.32887090040649847
classification.3.0.threshold,0.03782809525728226
classification.3.0.recall,0.781286766102647
classification.3.0.false_positive_rate,0.04645898760789806
classification.3.0.precision,0.13048957555655144
classification.3.0.auroc,0.9423135132278485
classification.6.0.n,44385
classification.6.0.sources,30
classification.6.0.prevalence,0.01976765853638479
classification.6.0.log_loss,0.07006370025424744
classification.6.0.brier,0.015243357103282954
classification.6.0.average_precision,0.3658166852285894
classification.6.0.threshold,0.07567472010850906
classification.6.0.recall,0.6400689022302583
classification.6.0.false_positive_rate,0.047309147668402086
classification.6.0.precision,0.21435520921926599
classification.6.0.auroc,0.9002440477457125
classification.9.0.n,44385
classification.9.0.sources,30
classification.9.0.prevalence,0.031243024276521248
classification.9.0.log_loss,0.10722619243114936
classification.9.0.brier,0.024341716100855976
classification.9.0.average_precision,0.3674898950272632
classification.9.0.threshold,0.1086709052324295
classification.9.0.recall,0.547426703535741
classification.9.0.false_positive_rate,0.04798772963743867
classification.9.0.precision,0.2689543151710277
classification.9.0.auroc,0.8576064476583651
classification.12.0.n,44385
classification.12.0.sources,30
classification.12.0.prevalence,0.043147138015594416
classification.12.0.log_loss,0.14408365916565752
classification.12.0.brier,0.033991165056677264
classification.12.0.average_precision,0.36086624872877554
classification.12.0.threshold,0.13944029808044434
classification.12.0.recall,0.48499377896647783
classification.12.0.false_positive_rate,0.04817237187463014
classification.12.0.precision,0.312236710185117
classification.12.0.auroc,0.8242701064560672
timing.0.75.event_windows,68
timing.0.75.missed_windows,7
timing.0.75.detected_timing_mae_ps,0.375
timing.0.75.timed_within_3ps_recall,0.8970588235294118
timing.3.0.event_windows,274
timing.3.0.missed_windows,58
timing.3.0.detected_timing_mae_ps,0.7445893610852402
timing.3.0.timed_within_3ps_recall,0.7883211678832117
timing.6.0.event_windows,615
timing.6.0.missed_windows,218
timing.6.0.detected_timing_mae_ps,1.3297072640599887
timing.6.0.timed_within_3ps_recall,0.6113821138211382
timing.9.0.event_windows,974
