metric,value
event_nll,0.2288237664582705
classification.0.75.n,44385
classification.0.75.sources,30
classification.0.75.prevalence,0.002461127212794187
classification.0.75.log_loss,0.01352009473216617
classification.0.75.brier,0.002384548782125821
classification.0.75.average_precision,0.06258743235097475
classification.0.75.threshold,0.014035271480679512
classification.0.75.recall,0.6937855209730637
classification.0.75.false_positive_rate,0.04795256843508657
classification.0.75.precision,0.03446556169892889
classification.0.75.auroc,0.9425226199690556
classification.3.0.n,44385
classification.3.0.sources,30
classification.3.0.prevalence,0.00884508151496356
classification.3.0.log_loss,0.04207102477256712
classification.3.0.brier,0.008313284919576794
classification.3.0.average_precision,0.10861012599177702
classification.3.0.threshold,0.044398438185453415
classification.3.0.recall,0.5636224649687422
classification.3.0.false_positive_rate,0.047036257538575786
classification.3.0.precision,0.09660377666789455
classification.3.0.auroc,0.8673105142814145
classification.6.0.n,44385
classification.6.0.sources,30
classification.6.0.prevalence,0.01976765853638479
classification.6.0.log_loss,0.08549633142296442
classification.6.0.brier,0.018338100823975946
classification.6.0.average_precision,0.12963719513192523
classification.6.0.threshold,0.07379116863012314
classification.6.0.recall,0.42875070330401077
classification.6.0.false_positive_rate,0.04849405890323628
classification.6.0.precision,0.15131708676549677
classification.6.0.auroc,0.8023320297073312
classification.9.0.n,44385
classification.9.0.sources,30
classification.9.0.prevalence,0.031243024276521248
classification.9.0.log_loss,0.12774459435599542
classification.9.0.brier,0.028799382273685108
classification.9.0.average_precision,0.14416792438018805
classification.9.0.threshold,0.09403679519891739
classification.9.0.recall,0.3509437516170001
classification.9.0.false_positive_rate,0.048538738423159755
classification.9.0.precision,0.1890869452337721
classification.9.0.auroc,0.7390747756733976
classification.12.0.n,44385
classification.12.0.sources,30
classification.12.0.prevalence,0.043147138015594416
classification.12.0.log_loss,0.16736394211337968
classification.12.0.brier,0.039521631338485005
classification.12.0.average_precision,0.15692292802913535
classification.12.0.threshold,0.11455564200878143
classification.12.0.recall,0.29625407411994914
classification.12.0.false_positive_rate,0.046657003246517836
classification.12.0.precision,0.2225895209283412
classification.12.0.auroc,0.7045310806299655
timing.0.75.event_windows,68
timing.0.75.missed_windows,19
timing.0.75.detected_timing_mae_ps,0.375
timing.0.75.timed_within_3ps_recall,0.7205882352941176
timing.3.0.event_windows,274
timing.3.0.missed_windows,117
timing.3.0.detected_timing_mae_ps,0.7492714790654746
timing.3.0.timed_within_3ps_recall,0.572992700729927
timing.6.0.event_windows,615
timing.6.0.missed_windows,343
timing.6.0.detected_timing_mae_ps,1.4170414517417516
timing.6.0.timed_within_3ps_recall,0.408130081300813
timing.9.0.event_windows,974
timing.9.0.missed_windows,619
timing.9.0.detected_timing_mae_ps,2.0812069955879817
timing.9.0.timed_within_3ps_recall,0.2813141683778234
timing.12.0.event_windows,1349
timing.12.0.missed_windows,935
timing.12.0.detected_timing_mae_ps,2.7511667060095193
timing.12.0.timed_within_3ps_recall,0.19125277983691624
per_source.881.temperature_K,520.0
per_source.881.event_nll,0.15617381036281586
per_source.881.0.75.log_loss,0.006360925984939687
per_source.881.0.75.brier,0.0009801652332525877
per_source.881.3.0.log_loss,0.023452807711250884
per_source.881.3.0.brier,0.004580508937668823
per_source.881.6.0.log_loss,0.05308749989492631
per_source.881.6.0.brier,0.01038746014711026
per_source.881.9.0.log_loss,0.08750958294526558
per_source.881.9.0.brier,0.01751835524710072
per_source.881.12.0.log_loss,0.11962725350408614
per_source.881.12.0.brier,0.024898264105587535
per_source.882.temperature_K,520.0
per_source.882.event_nll,0.4807356894016266
per_source.882.0.75.log_loss,0.03853046790435843
per_source.882.0.75.brier,0.009005718863610882
per_source.882.3.0.log_loss,0.08616649432961837
per_source.882.3.0.brier,0.01969980886227227
per_source.882.6.0.log_loss,0.180858212329739
per_source.882.6.0.brier,0.044321318777130435
per_source.882.9.0.log_loss,0.2633210944187038
per_source.882.9.0.brier,0.06820314366576681
per_source.882.12.0.log_loss,0.33604390878676266
per_source.882.12.0.brier,0.09266656733803015
per_source.883.temperature_K,520.0
per_source.883.event_nll,0.19676724076271057
per_source.883.0.75.log_loss,0.005758551505154215
per_source.883.0.75.brier,0.0007766397237663705
per_source.883.3.0.log_loss,0.03299937957835833
per_source.883.3.0.brier,0.006210806396046975
per_source.883.6.0.log_loss,0.07325245655426615
per_source.883.6.0.brier,0.015061939959846324
per_source.883.9.0.log_loss,0.11113015853202904
per_source.883.9.0.brier,0.02390032670072813
per_source.883.12.0.log_loss,0.1455812793857643
per_source.883.12.0.brier,0.03284815918418057
per_source.908.temperature_K,400.0
per_source.908.event_nll,0.11492078751325607
per_source.908.0.75.log_loss,0.007103513729619509
per_source.908.0.75.brier,0.0005734114010546643
per_source.908.3.0.log_loss,0.024651356842910234
per_source.908.3.0.brier,0.0030592597558848633
per_source.908.6.0.log_loss,0.048071095741099655
per_source.908.6.0.brier,0.007060632615355992
per_source.908.9.0.log_loss,0.06932565203149695
per_source.908.9.0.brier,0.010831946530754413
per_source.908.12.0.log_loss,0.09197627724048253
per_source.908.12.0.brier,0.015412124358638094
per_source.909.temperature_K,400.0
per_source.909.event_nll,0.15442579984664917
per_source.909.0.75.log_loss,0.006560086433592651
per_source.909.0.75.brier,0.0006109117936255364
per_source.909.3.0.log_loss,0.02680930609855066
per_source.909.3.0.brier,0.0037699366935522362
per_source.909.6.0.log_loss,0.056938320700145845
per_source.909.6.0.brier,0.009587903852064943
per_source.909.9.0.log_loss,0.08533928370334713
per_source.909.9.0.brier,0.016001237709130183
per_source.909.12.0.log_loss,0.11495911676786537
per_source.909.12.0.brier,0.023356963825570558
per_source.910.temperature_K,400.0
per_source.910.event_nll,0.05599982663989067
per_source.910.0.75.log_loss,0.0038779397537820302
per_source.910.0.75.brier,5.0514719836338226e-05
per_source.910.3.0.log_loss,0.013750203346058363
per_source.910.3.0.brier,0.0003685950494524079
per_source.910.6.0.log_loss,0.02776666904413694
per_source.910.6.0.brier,0.0010990804052269515
per_source.910.9.0.log_loss,0.041321933928619346
per_source.910.9.0.brier,0.0020766602027239957
per_source.910.12.0.log_loss,0.05599982820360863
per_source.910.12.0.brier,0.0034888547386015055
per_source.911.temperature_K,400.0
per_source.911.event_nll,0.15328899025917053
per_source.911.0.75.log_loss,0.004230370796469294
per_source.911.0.75.brier,5.339464987361266e-05
per_source.911.3.0.log_loss,0.030930872951489993
per_source.911.3.0.brier,0.004926062621743238
per_source.911.6.0.log_loss,0.061257617185225086
per_source.911.6.0.brier,0.01088762892714098
per_source.911.9.0.log_loss,0.0903649674973984
per_source.911.9.0.brier,0.017193626363228173
per_source.911.12.0.log_loss,0.11857374493654402
per_source.911.12.0.brier,0.023603836559219177
per_source.912.temperature_K,400.0
per_source.912.event_nll,0.19199097156524658
per_source.912.0.75.log_loss,0.014822717621381425
per_source.912.0.75.brier,0.0027661073762405546
per_source.912.3.0.log_loss,0.03843127269070993
per_source.912.3.0.brier,0.006964038769134627
per_source.912.6.0.log_loss,0.07756097484478494
per_source.912.6.0.brier,0.014866034178052701
per_source.912.9.0.log_loss,0.1127823068223928
