metric,value
event_nll,0.21975173867018408
classification.0.75.n,44385
classification.0.75.sources,30
classification.0.75.prevalence,0.002461127212794187
classification.0.75.log_loss,0.01250773015949849
classification.0.75.brier,0.0023171795903168596
classification.0.75.average_precision,0.10679675103406569
classification.0.75.threshold,0.015646779909729958
classification.0.75.recall,0.759700558264744
classification.0.75.false_positive_rate,0.046733857563258936
classification.0.75.precision,0.03856001795151228
classification.0.75.auroc,0.9605425559964884
classification.3.0.n,44385
classification.3.0.sources,30
classification.3.0.prevalence,0.00884508151496356
classification.3.0.log_loss,0.03959586223501997
classification.3.0.brier,0.008118072749071253
classification.3.0.average_precision,0.14727427105049423
classification.3.0.threshold,0.05046020820736885
classification.3.0.recall,0.6274709268267251
classification.3.0.false_positive_rate,0.05073237022804059
classification.3.0.precision,0.09940295020046763
classification.3.0.auroc,0.9060948472038779
classification.6.0.n,44385
classification.6.0.sources,30
classification.6.0.prevalence,0.01976765853638479
classification.6.0.log_loss,0.08029232726601473
classification.6.0.brier,0.01784015478024311
classification.6.0.average_precision,0.1693486419341955
classification.6.0.threshold,0.0838097333908081
classification.6.0.recall,0.5232337981652823
classification.6.0.false_positive_rate,0.053727122150916656
classification.6.0.precision,0.16415501496358964
classification.6.0.auroc,0.858410666232468
classification.9.0.n,44385
classification.9.0.sources,30
classification.9.0.prevalence,0.031243024276521248
classification.9.0.log_loss,0.12046416566438835
classification.9.0.brier,0.027876988369696744
classification.9.0.average_precision,0.1871197431754752
classification.9.0.threshold,0.11140047013759613
classification.9.0.recall,0.44132532131655045
classification.9.0.false_positive_rate,0.05423617619785699
classification.9.0.precision,0.2078747969842452
classification.9.0.auroc,0.8057249566745647
classification.12.0.n,44385
classification.12.0.sources,30
classification.12.0.prevalence,0.043147138015594416
classification.12.0.log_loss,0.1588169995412564
classification.12.0.brier,0.03817214954357205
classification.12.0.average_precision,0.20245579467788632
classification.12.0.threshold,0.13621026277542114
classification.12.0.recall,0.3932160393167376
classification.12.0.false_positive_rate,0.054104042045527184
classification.12.0.precision,0.24683146227403147
classification.12.0.auroc,0.7706711043517674
timing.0.75.event_windows,68
timing.0.75.missed_windows,13
timing.0.75.detected_timing_mae_ps,0.375
timing.0.75.timed_within_3ps_recall,0.8088235294117647
timing.3.0.event_windows,274
timing.3.0.missed_windows,97
timing.3.0.detected_timing_mae_ps,0.744311737470911
timing.3.0.timed_within_3ps_recall,0.6459854014598541
timing.6.0.event_windows,615
timing.6.0.missed_windows,280
timing.6.0.detected_timing_mae_ps,1.3674914593503356
timing.6.0.timed_within_3ps_recall,0.5073170731707317
timing.9.0.event_windows,974
