metric,value
event_nll,0.2226013617555876
classification.0.75.n,44385
classification.0.75.sources,30
classification.0.75.prevalence,0.002461127212794187
classification.0.75.log_loss,0.011978323385347309
classification.0.75.brier,0.0023597171929658945
classification.0.75.average_precision,0.066318194299746
classification.0.75.threshold,0.010838168673217297
classification.0.75.recall,0.718924075244054
classification.0.75.false_positive_rate,0.04843924226363684
classification.0.75.precision,0.035324119133094994
classification.0.75.auroc,0.9520775374980212
classification.3.0.n,44385
classification.3.0.sources,30
classification.3.0.prevalence,0.00884508151496356
classification.3.0.log_loss,0.039048921924272714
classification.3.0.brier,0.008357511928140621
classification.3.0.average_precision,0.10870748052429417
classification.3.0.threshold,0.04406637325882912
classification.3.0.recall,0.5708135107673715
classification.3.0.false_positive_rate,0.0493053704593862
classification.3.0.precision,0.09363993017534436
classification.3.0.auroc,0.8786312794658175
classification.6.0.n,44385
classification.6.0.sources,30
classification.6.0.prevalence,0.01976765853638479
classification.6.0.log_loss,0.07955875612012858
classification.6.0.brier,0.018137278627820438
classification.6.0.average_precision,0.14284137978763145
classification.6.0.threshold,0.08196654170751572
classification.6.0.recall,0.4619422742926196
classification.6.0.false_positive_rate,0.0514615810116304
classification.6.0.precision,0.15327555126313383
classification.6.0.auroc,0.8262482813943188
classification.9.0.n,44385
classification.9.0.sources,30
classification.9.0.prevalence,0.031243024276521248
classification.9.0.log_loss,0.12161920106767998
classification.9.0.brier,0.02835072874300743
classification.9.0.average_precision,0.15618649496551568
classification.9.0.threshold,0.11143557727336884
classification.9.0.recall,0.3905279225220664
classification.9.0.false_positive_rate,0.05259581744680359
classification.9.0.precision,0.19319923651994028
classification.9.0.auroc,0.7607879653377918
classification.12.0.n,44385
classification.12.0.sources,30
classification.12.0.prevalence,0.043147138015594416
classification.12.0.log_loss,0.16082080520719394
classification.12.0.brier,0.038993548614031204
classification.12.0.average_precision,0.16652223377602418
classification.12.0.threshold,0.14482268691062927
classification.12.0.recall,0.3228791428064907
classification.12.0.false_positive_rate,0.05186497592591643
classification.12.0.precision,0.21918892605088666
classification.12.0.auroc,0.7281245206296055
timing.0.75.event_windows,68
timing.0.75.missed_windows,17
timing.0.75.detected_timing_mae_ps,0.375
timing.0.75.timed_within_3ps_recall,0.75
timing.3.0.event_windows,274
timing.3.0.missed_windows,116
timing.3.0.detected_timing_mae_ps,0.7580570441315653
timing.3.0.timed_within_3ps_recall,0.5766423357664233
timing.6.0.event_windows,615
timing.6.0.missed_windows,330
timing.6.0.detected_timing_mae_ps,1.3902782892094518
timing.6.0.timed_within_3ps_recall,0.4292682926829268
timing.9.0.event_windows,974
timing.9.0.missed_windows,590
timing.9.0.detected_timing_mae_ps,2.0897474282120894
timing.9.0.timed_within_3ps_recall,0.3059548254620123
timing.12.0.event_windows,1349
timing.12.0.missed_windows,905
timing.12.0.detected_timing_mae_ps,2.674046527156189
timing.12.0.timed_within_3ps_recall,0.20904373610081542
per_source.881.temperature_K,520.0
per_source.881.event_nll,0.14154133200645447
per_source.881.0.75.log_loss,0.004290158866553892
per_source.881.0.75.brier,0.0009378319708201293
per_source.881.3.0.log_loss,0.018916434205291502
per_source.881.3.0.brier,0.004448131735823894
per_source.881.6.0.log_loss,0.04393162680823708
per_source.881.6.0.brier,0.009370514461540325
per_source.881.9.0.log_loss,0.07613967957866508
per_source.881.9.0.brier,0.015897128507637335
per_source.881.12.0.log_loss,0.10610044435000307
per_source.881.12.0.brier,0.022812815428534285
per_source.882.temperature_K,520.0
per_source.882.event_nll,0.49539288878440857
per_source.882.0.75.log_loss,0.03642660683280214
per_source.882.0.75.brier,0.008824161560036603
per_source.882.3.0.log_loss,0.09191122326620128
per_source.882.3.0.brier,0.019872571234686377
per_source.882.6.0.log_loss,0.17819666982467058
per_source.882.6.0.brier,0.04396900531046556
per_source.882.9.0.log_loss,0.26596544958881413
per_source.882.9.0.brier,0.06856660739656309
per_source.882.12.0.log_loss,0.3440379611120279
per_source.882.12.0.brier,0.09401987513755528
per_source.883.temperature_K,520.0
per_source.883.event_nll,0.18842937052249908
per_source.883.0.75.log_loss,0.003868254467711545
per_source.883.0.75.brier,0.0007098811412098506
per_source.883.3.0.log_loss,0.030000450873453814
per_source.883.3.0.brier,0.006069172453884106
per_source.883.6.0.log_loss,0.06808432382235478
per_source.883.6.0.brier,0.014704996914246224
per_source.883.9.0.log_loss,0.10604408248193468
per_source.883.9.0.brier,0.02328886411235032
per_source.883.12.0.log_loss,0.13865304918921142
per_source.883.12.0.brier,0.031582880812517394
per_source.908.temperature_K,400.0
per_source.908.event_nll,0.08508716523647308
per_source.908.0.75.log_loss,0.003672537059199059
per_source.908.0.75.brier,0.0004909370062589025
per_source.908.3.0.log_loss,0.015738593909220475
per_source.908.3.0.brier,0.0028125607468939377
per_source.908.6.0.log_loss,0.03064711588269775
per_source.908.6.0.brier,0.0064555233751714515
per_source.908.9.0.log_loss,0.047540857797226874
per_source.908.9.0.brier,0.009828413512233455
per_source.908.12.0.log_loss,0.06395629826664252
per_source.908.12.0.brier,0.013563045960113998
per_source.909.temperature_K,400.0
per_source.909.event_nll,0.13328878581523895
per_source.909.0.75.log_loss,0.0031909979857841385
per_source.909.0.75.brier,0.0005561843056534958
per_source.909.3.0.log_loss,0.017160578119810907
per_source.909.3.0.brier,0.003431676901012827
per_source.909.6.0.log_loss,0.044393362851400275
per_source.909.6.0.brier,0.009220679320633791
per_source.909.9.0.log_loss,0.07043532243561099
per_source.909.9.0.brier,0.015336982884905447
per_source.909.12.0.log_loss,0.09684082884461175
per_source.909.12.0.brier,0.022121625167740775
per_source.910.temperature_K,400.0
per_source.910.event_nll,0.01736348122358322
per_source.910.0.75.log_loss,0.0003778388767184222
per_source.910.0.75.brier,6.462243566223245e-06
per_source.910.3.0.log_loss,0.0020300523435423886
per_source.910.3.0.brier,6.027155455520183e-05
per_source.910.6.0.log_loss,0.005979583839423379
per_source.910.6.0.brier,0.00017344595227470613
per_source.910.9.0.log_loss,0.011214263138545975
per_source.910.9.0.brier,0.00033685004963399307
per_source.910.12.0.log_loss,0.017363480912682177
per_source.910.12.0.brier,0.0005931028068592298
per_source.911.temperature_K,400.0
per_source.911.event_nll,0.13454025983810425
per_source.911.0.75.log_loss,0.0006136599272679389
per_source.911.0.75.brier,8.597703711988581e-06
per_source.911.3.0.log_loss,0.02537747329967382
per_source.911.3.0.brier,0.00502211040094835
per_source.911.6.0.log_loss,0.05138146377479155
per_source.911.6.0.brier,0.010539719870807403
per_source.911.9.0.log_loss,0.07656290079073788
per_source.911.9.0.brier,0.016427442574021477
per_source.911.12.0.log_loss,0.10034363952861267
per_source.911.12.0.brier,0.022161998009974183
per_source.912.temperature_K,400.0
per_source.912.event_nll,0.17826524376869202
per_source.912.0.75.log_loss,0.012720397883481298
per_source.912.0.75.brier,0.002795719356395283
per_source.912.3.0.log_loss,0.02884337089226133
per_source.912.3.0.brier,0.0068542995213327264
per_source.912.6.0.log_loss,0.06840503207080345
per_source.912.6.0.brier,0.014602942110106308
per_source.912.9.0.log_loss,0.10282889766594863
per_source.912.9.0.brier,0.02242683624890285
per_source.912.12.0.log_loss,0.1334114664069854
per_source.912.12.0.brier,0.030230514050318257
per_source.913.temperature_K,400.0
per_source.913.event_nll,0.07562664896249771
per_source.913.0.75.log_loss,0.004659634980722496
per_source.913.0.75.brier,0.0008283512623639594
per_source.913.3.0.log_loss,0.011237533936307323
per_source.913.3.0.brier,0.002297104464607143
per_source.913.6.0.log_loss,0.02625294665077959
per_source.913.6.0.brier,0.005069803653467261
