metric,value
event_nll,0.16623694588367233
classification.0.75.n,44385
classification.0.75.sources,30
classification.0.75.prevalence,0.002461127212794187
classification.0.75.log_loss,0.008931842629402081
classification.0.75.brier,0.0021140829142226964
classification.0.75.average_precision,0.22602281011096567
classification.0.75.threshold,0.004021245986223221
classification.0.75.recall,0.9366295470395483
classification.0.75.false_positive_rate,0.043182123912427976
classification.0.75.precision,0.050795792805314204
classification.0.75.auroc,0.9847528805288713
classification.3.0.n,44385
classification.3.0.sources,30
classification.3.0.prevalence,0.00884508151496356
classification.3.0.log_loss,0.026003143648472733
classification.3.0.brier,0.006751672193113377
classification.3.0.average_precision,0.3787664275935739
classification.3.0.threshold,0.026371683925390244
classification.3.0.recall,0.8254672807599941
classification.3.0.false_positive_rate,0.03942744486034351
classification.3.0.precision,0.15742389955980599
classification.3.0.auroc,0.973769384054816
classification.6.0.n,44385
classification.6.0.sources,30
classification.6.0.prevalence,0.01976765853638479
classification.6.0.log_loss,0.05116672503830372
classification.6.0.brier,0.013681005073813812
classification.6.0.average_precision,0.4776653829300187
classification.6.0.threshold,0.07782566547393799
classification.6.0.recall,0.7627120425428909
classification.6.0.false_positive_rate,0.03864491022167736
classification.6.0.precision,0.28469777825364123
classification.6.0.auroc,0.9608130156955375
classification.9.0.n,44385
classification.9.0.sources,30
classification.9.0.prevalence,0.031243024276521248
classification.9.0.log_loss,0.07877177669972071
classification.9.0.brier,0.02122310201628655
classification.9.0.average_precision,0.4944144271051054
classification.9.0.threshold,0.1397259533405304
classification.9.0.recall,0.6953967107181399
classification.9.0.false_positive_rate,0.03851078083848018
classification.9.0.precision,0.36803094904446215
classification.9.0.auroc,0.9442899758566625
classification.12.0.n,44385
classification.12.0.sources,30
classification.12.0.prevalence,0.043147138015594416
classification.12.0.log_loss,0.10596847858625133
classification.12.0.brier,0.028732486418513982
classification.12.0.average_precision,0.5120111958669598
classification.12.0.threshold,0.19512982666492462
classification.12.0.recall,0.6302499852861265
classification.12.0.false_positive_rate,0.039361244734910726
classification.12.0.precision,0.4192875635373462
classification.12.0.auroc,0.9278746856468573
timing.0.75.event_windows,68
timing.0.75.missed_windows,4
timing.0.75.detected_timing_mae_ps,0.375
timing.0.75.timed_within_3ps_recall,0.9411764705882353
timing.3.0.event_windows,274
timing.3.0.missed_windows,47
timing.3.0.detected_timing_mae_ps,0.7018491934952759
timing.3.0.timed_within_3ps_recall,0.8284671532846716
timing.6.0.event_windows,615
timing.6.0.missed_windows,155
timing.6.0.detected_timing_mae_ps,1.3164585703244824
timing.6.0.timed_within_3ps_recall,0.7219512195121951
timing.9.0.event_windows,974
timing.9.0.missed_windows,311
timing.9.0.detected_timing_mae_ps,1.8473562269273536
timing.9.0.timed_within_3ps_recall,0.5677618069815195
timing.12.0.event_windows,1349
timing.12.0.missed_windows,515
timing.12.0.detected_timing_mae_ps,2.456094642265903
timing.12.0.timed_within_3ps_recall,0.4158636026686434
per_source.881.temperature_K,520.0
per_source.881.event_nll,0.09834986180067062
per_source.881.0.75.log_loss,0.006030324321434136
per_source.881.0.75.brier,0.0013435848409415975
per_source.881.3.0.log_loss,0.010787224577816909
per_source.881.3.0.brier,0.003246316333162148
per_source.881.6.0.log_loss,0.02093392868862613
per_source.881.6.0.brier,0.005390511470225689
per_source.881.9.0.log_loss,0.04025053295755082
per_source.881.9.0.brier,0.010892673535129809
per_source.881.12.0.log_loss,0.0654988947159269
per_source.881.12.0.brier,0.0169906856445487
per_source.882.temperature_K,520.0
per_source.882.event_nll,0.3546912670135498
per_source.882.0.75.log_loss,0.02093188910540614
per_source.882.0.75.brier,0.006563658002423514
per_source.882.3.0.log_loss,0.048778079804460514
per_source.882.3.0.brier,0.013875724875384642
per_source.882.6.0.log_loss,0.09011346642735417
per_source.882.6.0.brier,0.026861755479584526
per_source.882.9.0.log_loss,0.16446610048633745
per_source.882.9.0.brier,0.04425576858752315
per_source.882.12.0.log_loss,0.22982529536382032
per_source.882.12.0.brier,0.0645656804569854
per_source.883.temperature_K,520.0
per_source.883.event_nll,0.1402881145477295
per_source.883.0.75.log_loss,0.0031187292018465718
per_source.883.0.75.brier,0.00047925308081155077
per_source.883.3.0.log_loss,0.02115289170579342
per_source.883.3.0.brier,0.006143301613061124
per_source.883.6.0.log_loss,0.045896888126190735
per_source.883.6.0.brier,0.014357744469457022
per_source.883.9.0.log_loss,0.07613763106615824
per_source.883.9.0.brier,0.022690580335704442
per_source.883.12.0.log_loss,0.09501619014914837
per_source.883.12.0.brier,0.027056168271233604
per_source.908.temperature_K,400.0
per_source.908.event_nll,0.06913953274488449
per_source.908.0.75.log_loss,0.0019838091273774528
per_source.908.0.75.brier,0.0004575552761985276
per_source.908.3.0.log_loss,0.010688329926348614
per_source.908.3.0.brier,0.0027914046071193495
per_source.908.6.0.log_loss,0.023610011309532004
per_source.908.6.0.brier,0.006049608287352405
per_source.908.9.0.log_loss,0.03592475204821382
per_source.908.9.0.brier,0.009339206466763396
per_source.908.12.0.log_loss,0.050057558880581776
per_source.908.12.0.brier,0.012792242286735029
per_source.909.temperature_K,400.0
per_source.909.event_nll,0.09285155683755875
per_source.909.0.75.log_loss,0.001781930828162602
per_source.909.0.75.brier,0.00039983987723755764
per_source.909.3.0.log_loss,0.015469773792491329
per_source.909.3.0.brier,0.0036061822579458386
per_source.909.6.0.log_loss,0.03189873659156516
per_source.909.6.0.brier,0.008907412083738873
per_source.909.9.0.log_loss,0.040030848708559774
per_source.909.9.0.brier,0.011920549351545495
per_source.909.12.0.log_loss,0.05532360923402933
per_source.909.12.0.brier,0.01608597948749227
per_source.910.temperature_K,400.0
per_source.910.event_nll,0.0037985793314874172
