metric,value
event_nll,0.23415352037268394
classification.0.75.n,44385
classification.0.75.sources,30
classification.0.75.prevalence,0.002461127212794187
classification.0.75.log_loss,0.015037102963075387
classification.0.75.brier,0.002449346113935903
classification.0.75.average_precision,0.01937651358521468
classification.0.75.threshold,0.011889959685504436
classification.0.75.recall,0.34947879541262683
classification.0.75.false_positive_rate,0.041302520573568854
classification.0.75.precision,0.02044916074642499
classification.0.75.auroc,0.9217312306313018
classification.3.0.n,44385
classification.3.0.sources,30
classification.3.0.prevalence,0.00884508151496356
classification.3.0.log_loss,0.045576801972211575
classification.3.0.brier,0.008682920972828106
classification.3.0.average_precision,0.04585377160752945
classification.3.0.threshold,0.041650209575891495
classification.3.0.recall,0.2793378733537099
classification.3.0.false_positive_rate,0.042113333947674775
classification.3.0.precision,0.05588501700252294
classification.3.0.auroc,0.8581692906814247
classification.6.0.n,44385
classification.6.0.sources,30
classification.6.0.prevalence,0.01976765853638479
classification.6.0.log_loss,0.0905839998576882
classification.6.0.brier,0.019116156610238556
classification.6.0.average_precision,0.06825386944317235
classification.6.0.threshold,0.07509151101112366
classification.6.0.recall,0.18564254834582933
classification.6.0.false_positive_rate,0.04305476230472156
classification.6.0.precision,0.07999667318831122
classification.6.0.auroc,0.795994433847975
classification.9.0.n,44385
classification.9.0.sources,30
classification.9.0.prevalence,0.031243024276521248
classification.9.0.log_loss,0.13252144619713535
classification.9.0.brier,0.029858841697312125
classification.9.0.average_precision,0.08412345000958088
classification.9.0.threshold,0.09830987453460693
classification.9.0.recall,0.16540141024708363
classification.9.0.false_positive_rate,0.04455617501001115
classification.9.0.precision,0.10692020758924722
classification.9.0.auroc,0.7569956348088049
classification.12.0.n,44385
classification.12.0.sources,30
classification.12.0.prevalence,0.043147138015594416
classification.12.0.log_loss,0.17241216565322826
classification.12.0.brier,0.04084567526020967
classification.12.0.average_precision,0.09457353862865608
classification.12.0.threshold,0.11784891784191132
classification.12.0.recall,0.14485534015948526
classification.12.0.false_positive_rate,0.04696539713572812
classification.12.0.precision,0.12209820565583454
classification.12.0.auroc,0.7184191836700785
timing.0.75.event_windows,68
timing.0.75.missed_windows,45
timing.0.75.detected_timing_mae_ps,0.375
timing.0.75.timed_within_3ps_recall,0.3382352941176471
timing.3.0.event_windows,274
timing.3.0.missed_windows,196
timing.3.0.detected_timing_mae_ps,0.6585067338490997
timing.3.0.timed_within_3ps_recall,0.2846715328467153
timing.6.0.event_windows,615
timing.6.0.missed_windows,499
timing.6.0.detected_timing_mae_ps,1.3524936661179554
timing.6.0.timed_within_3ps_recall,0.17886178861788618
timing.9.0.event_windows,974
timing.9.0.missed_windows,812
timing.9.0.detected_timing_mae_ps,1.999740353446834
timing.9.0.timed_within_3ps_recall,0.13347022587268995
timing.12.0.event_windows,1349
timing.12.0.missed_windows,1149
timing.12.0.detected_timing_mae_ps,2.8054322331303427
timing.12.0.timed_within_3ps_recall,0.08080059303187546
per_source.881.temperature_K,520.0
per_source.881.event_nll,0.16257143020629883
per_source.881.0.75.log_loss,0.008110464941131665
per_source.881.0.75.brier,0.0010086386526283668
per_source.881.3.0.log_loss,0.027123071605286493
per_source.881.3.0.brier,0.004760192183718435
per_source.881.6.0.log_loss,0.05939512110053835
per_source.881.6.0.brier,0.011019698032267504
per_source.881.9.0.log_loss,0.0927445479635193
per_source.881.9.0.brier,0.01832219787327037
per_source.881.12.0.log_loss,0.12496842310268913
per_source.881.12.0.brier,0.025854151134131458
per_source.882.temperature_K,520.0
per_source.882.event_nll,0.47361114621162415
per_source.882.0.75.log_loss,0.04525169193657672
per_source.882.0.75.brier,0.009359365140369176
per_source.882.3.0.log_loss,0.08942620918840277
per_source.882.3.0.brier,0.0201071598043098
per_source.882.6.0.log_loss,0.17756862787101269
per_source.882.6.0.brier,0.04445704678127363
per_source.882.9.0.log_loss,0.2536929057131348
per_source.882.9.0.brier,0.06770256590111286
per_source.882.12.0.log_loss,0.32859325270052475
per_source.882.12.0.brier,0.09202641076545981
per_source.883.temperature_K,520.0
per_source.883.event_nll,0.20599199831485748
per_source.883.0.75.log_loss,0.007303399681067778
per_source.883.0.75.brier,0.000844134548867163
per_source.883.3.0.log_loss,0.03768210501419109
per_source.883.3.0.brier,0.006588224464097873
per_source.883.6.0.log_loss,0.08091818251947311
per_source.883.6.0.brier,0.016195588774995273
per_source.883.9.0.log_loss,0.11991751257063452
per_source.883.9.0.brier,0.025639586239483356
per_source.883.12.0.log_loss,0.15718486505447546
per_source.883.12.0.brier,0.03517262363244917
per_source.908.temperature_K,400.0
per_source.908.event_nll,0.10842205584049225
per_source.908.0.75.log_loss,0.005336170006072709
per_source.908.0.75.brier,0.00046166629272467654
per_source.908.3.0.log_loss,0.02075836726927708
per_source.908.3.0.brier,0.002721368977970293
per_source.908.6.0.log_loss,0.04449244503196822
per_source.908.6.0.brier,0.006790755938014439
per_source.908.9.0.log_loss,0.0647420095167862
per_source.908.9.0.brier,0.010509054866631841
per_source.908.12.0.log_loss,0.08707010582047613
per_source.908.12.0.brier,0.01492189639847515
per_source.909.temperature_K,400.0
per_source.909.event_nll,0.1485428512096405
per_source.909.0.75.log_loss,0.005060846598566205
per_source.909.0.75.brier,0.0005306642838355122
per_source.909.3.0.log_loss,0.02447874837355111
per_source.909.3.0.brier,0.0036646829483430615
per_source.909.6.0.log_loss,0.05439065678665679
per_source.909.6.0.brier,0.009812512522419133
