metric,value
event_nll,0.22468656932736292
classification.0.75.n,44385
classification.0.75.sources,30
classification.0.75.prevalence,0.002461127212794187
classification.0.75.log_loss,0.013500699385651755
classification.0.75.brier,0.0023887761859058216
classification.0.75.average_precision,0.05822569573369031
classification.0.75.threshold,0.020110536366701126
classification.0.75.recall,0.6156784858888853
classification.0.75.false_positive_rate,0.04052809263731454
classification.0.75.precision,0.036126195209695317
classification.0.75.auroc,0.9519127912031725
classification.3.0.n,44385
classification.3.0.sources,30
classification.3.0.prevalence,0.00884508151496356
classification.3.0.log_loss,0.04189249070223633
classification.3.0.brier,0.008379300038727519
classification.3.0.average_precision,0.0956223307395963
classification.3.0.threshold,0.06480878591537476
classification.3.0.recall,0.42876866218016313
classification.3.0.false_positive_rate,0.045868666781971275
classification.3.0.precision,0.07699643160568323
classification.3.0.auroc,0.8992748043685496
classification.6.0.n,44385
classification.6.0.sources,30
classification.6.0.prevalence,0.01976765853638479
classification.6.0.log_loss,0.08408015652566118
classification.6.0.brier,0.01844274709117275
classification.6.0.average_precision,0.11392046506602946
classification.6.0.threshold,0.10415717214345932
classification.6.0.recall,0.3452048948979004
classification.6.0.false_positive_rate,0.05069678484499409
classification.6.0.precision,0.1207372807161529
classification.6.0.auroc,0.8484968176611466
classification.9.0.n,44385
classification.9.0.sources,30
classification.9.0.prevalence,0.031243024276521248
classification.9.0.log_loss,0.12459502285592507
classification.9.0.brier,0.028811914805065113
classification.9.0.average_precision,0.13229972762211298
classification.9.0.threshold,0.1317560374736786
classification.9.0.recall,0.30537266032710725
classification.9.0.false_positive_rate,0.053450761380640706
classification.9.0.precision,0.15558581538523597
classification.9.0.auroc,0.801674768605625
classification.12.0.n,44385
classification.12.0.sources,30
classification.12.0.prevalence,0.043147138015594416
classification.12.0.log_loss,0.1634460892748429
classification.12.0.brier,0.03943312693516075
classification.12.0.average_precision,0.1470798836669294
classification.12.0.threshold,0.1532759815454483
classification.12.0.recall,0.285727697833027
classification.12.0.false_positive_rate,0.054511918374626066
classification.12.0.precision,0.19117185878205417
classification.12.0.auroc,0.7674179389987084
timing.0.75.event_windows,68
timing.0.75.missed_windows,27
timing.0.75.detected_timing_mae_ps,0.375
timing.0.75.timed_within_3ps_recall,0.6029411764705882
timing.3.0.event_windows,274
timing.3.0.missed_windows,156
timing.3.0.detected_timing_mae_ps,0.7351152987112186
timing.3.0.timed_within_3ps_recall,0.4306569343065693
timing.6.0.event_windows,615
timing.6.0.missed_windows,394
timing.6.0.detected_timing_mae_ps,1.4203845962707822
timing.6.0.timed_within_3ps_recall,0.3300813008130081
timing.9.0.event_windows,974
timing.9.0.missed_windows,667
timing.9.0.detected_timing_mae_ps,2.0814484865237404
timing.9.0.timed_within_3ps_recall,0.24537987679671458
timing.12.0.event_windows,1349
timing.12.0.missed_windows,958
timing.12.0.detected_timing_mae_ps,2.7728640112938483
timing.12.0.timed_within_3ps_recall,0.17346182357301704
per_source.881.temperature_K,520.0
per_source.881.event_nll,0.15596112608909607
per_source.881.0.75.log_loss,0.007260680661594494
per_source.881.0.75.brier,0.0010047596542791398
per_source.881.3.0.log_loss,0.02458044404381843
per_source.881.3.0.brier,0.004565005028871245
per_source.881.6.0.log_loss,0.05389974501332616
per_source.881.6.0.brier,0.010462052150524368
per_source.881.9.0.log_loss,0.0872169710745617
per_source.881.9.0.brier,0.017483336042221097
per_source.881.12.0.log_loss,0.1188866717236868
per_source.881.12.0.brier,0.024790726374222038
per_source.882.temperature_K,520.0
per_source.882.event_nll,0.46077263355255127
per_source.882.0.75.log_loss,0.03790641229678175
per_source.882.0.75.brier,0.009033185668825666
per_source.882.3.0.log_loss,0.08281362080655587
per_source.882.3.0.brier,0.01970532261353172
per_source.882.6.0.log_loss,0.16569920539815627
per_source.882.6.0.brier,0.04325477506974628
per_source.882.9.0.log_loss,0.24382552510535377
per_source.882.9.0.brier,0.06618131514728716
per_source.882.12.0.log_loss,0.3189900382693924
per_source.882.12.0.brier,0.09022500908545578
per_source.883.temperature_K,520.0
per_source.883.event_nll,0.19689781963825226
per_source.883.0.75.log_loss,0.0075153881706453455
per_source.883.0.75.brier,0.0008505682071189025
per_source.883.3.0.log_loss,0.035153806220091864
per_source.883.3.0.brier,0.006411115940653547
per_source.883.6.0.log_loss,0.07299715195939349
per_source.883.6.0.brier,0.015409065384065154
per_source.883.9.0.log_loss,0.11203462259505852
per_source.883.9.0.brier,0.024625016836133485
per_source.883.12.0.log_loss,0.14935988690141064
per_source.883.12.0.brier,0.034039129637485066
per_source.908.temperature_K,400.0
per_source.908.event_nll,0.10042043775320053
per_source.908.0.75.log_loss,0.004827174152982568
per_source.908.0.75.brier,0.000460293380171363
per_source.908.3.0.log_loss,0.018464899617058814
per_source.908.3.0.brier,0.002644607446257991
per_source.908.6.0.log_loss,0.03973925901761042
per_source.908.6.0.brier,0.00643885205012368
per_source.908.9.0.log_loss,0.0584367581282561
per_source.908.9.0.brier,0.009970578289823338
per_source.908.12.0.log_loss,0.07937129464050584
per_source.908.12.0.brier,0.014204874920121213
per_source.909.temperature_K,400.0
per_source.909.event_nll,0.13639262318611145
per_source.909.0.75.log_loss,0.004058829709535348
per_source.909.0.75.brier,0.0004932494176220359
per_source.909.3.0.log_loss,0.02195458139352528
per_source.909.3.0.brier,0.0035595564691660326
per_source.909.6.0.log_loss,0.048682112465031645
per_source.909.6.0.brier,0.009267500408335936
per_source.909.9.0.log_loss,0.0731278722168137
per_source.909.9.0.brier,0.015161737563700796
per_source.909.12.0.log_loss,0.09818036809913953
per_source.909.12.0.brier,0.021587598828364488
per_source.910.temperature_K,400.0
per_source.910.event_nll,0.03468680381774902
per_source.910.0.75.log_loss,0.0020186692630271967
per_source.910.0.75.brier,6.395850488306535e-06
per_source.910.3.0.log_loss,0.007335076864200622
per_source.910.3.0.brier,7.711778784076175e-05
per_source.910.6.0.log_loss,0.015418373910634425
per_source.910.6.0.brier,0.0003131221314558652
per_source.910.9.0.log_loss,0.024258678729882032
per_source.910.9.0.brier,0.0007239731035558398
per_source.910.12.0.log_loss,0.03468680391871036
per_source.910.12.0.brier,0.001389496405424063
per_source.911.temperature_K,400.0
per_source.911.event_nll,0.13763675093650818
per_source.911.0.75.log_loss,0.0025877622134951083
per_source.911.0.75.brier,1.6586094661358125e-05
per_source.911.3.0.log_loss,0.026823037780012163
per_source.911.3.0.brier,0.004909789729660791
per_source.911.6.0.log_loss,0.05196138858449548
per_source.911.6.0.brier,0.010549091223925743
per_source.911.9.0.log_loss,0.07819341440099767
per_source.911.9.0.brier,0.01633071428185206
per_source.911.12.0.log_loss,0.10334123705870124
per_source.911.12.0.brier,0.02213814886984023
per_source.912.temperature_K,400.0
per_source.912.event_nll,0.18111766874790192
per_source.912.0.75.log_loss,0.017244149893573094
per_source.912.0.75.brier,0.0030002078064236023
per_source.912.3.0.log_loss,0.037041461519049114
per_source.912.3.0.brier,0.007522065096628667
per_source.912.6.0.log_loss,0.0719827368225208
per_source.912.6.0.brier,0.01550892573306918
per_source.912.9.0.log_loss,0.10346413585103367
per_source.912.9.0.brier,0.023317062730647153
per_source.912.12.0.log_loss,0.13199289637944384
per_source.912.12.0.brier,0.030993915491267215
per_source.913.temperature_K,400.0
per_source.913.event_nll,0.08690866827964783
per_source.913.0.75.log_loss,0.0050633713525065575
per_source.913.0.75.brier,0.000809545096203167
per_source.913.3.0.log_loss,0.015050595577748106
per_source.913.3.0.brier,0.0023069479101581495
per_source.913.6.0.log_loss,0.03256747774833339
per_source.913.6.0.brier,0.005134481831524163
per_source.913.9.0.log_loss,0.0513074927300638
per_source.913.9.0.brier,0.00850707241044342
per_source.913.12.0.log_loss,0.07036956184692755
per_source.913.12.0.brier,0.012042607810521116
per_source.938.temperature_K,450.0
per_source.938.event_nll,0.3029136061668396
per_source.938.0.75.log_loss,0.008178935694670696
per_source.938.0.75.brier,0.0010795589891542678
per_source.938.3.0.log_loss,0.06105021967772591
per_source.938.3.0.brier,0.012063679905507803
per_source.938.6.0.log_loss,0.11662844557656582
per_source.938.6.0.brier,0.026848765068237725
per_source.938.9.0.log_loss,0.1659966177845607
per_source.938.9.0.brier,0.04131160970853192
per_source.938.12.0.log_loss,0.2114165129277438
per_source.938.12.0.brier,0.05548457115738234
per_source.939.temperature_K,450.0
per_source.939.event_nll,0.4118556082248688
per_source.939.0.75.log_loss,0.018316341084102787
per_source.939.0.75.brier,0.0032447413769380895
per_source.939.3.0.log_loss,0.07373977915317059
per_source.939.3.0.brier,0.016869840260451414
per_source.939.6.0.log_loss,0.14916730972790512
per_source.939.6.0.brier,0.03840735806916986
per_source.939.9.0.log_loss,0.22457904602022138
per_source.939.9.0.brier,0.06070408846548202
per_source.939.12.0.log_loss,0.28121478841078446
per_source.939.12.0.brier,0.07938499836254329
per_source.940.temperature_K,450.0
per_source.940.event_nll,0.30114731192588806
per_source.940.0.75.log_loss,0.013002906800184472
per_source.940.0.75.brier,0.0021125454214353345
per_source.940.3.0.log_loss,0.05669624557953799
per_source.940.3.0.brier,0.011682024949292252
per_source.940.6.0.log_loss,0.11709231971979747
per_source.940.6.0.brier,0.027818816150889276
per_source.940.9.0.log_loss,0.16222990960933747
per_source.940.9.0.brier,0.041130811737381805
per_source.940.12.0.log_loss,0.20641673170616986
per_source.940.12.0.brier,0.05486736772590285
per_source.941.temperature_K,450.0
per_source.941.event_nll,0.24492783844470978
per_source.941.0.75.log_loss,0.021779900230792477
per_source.941.0.75.brier,0.004423260021113039
per_source.941.3.0.log_loss,0.05335395478006663
per_source.941.3.0.brier,0.012404904883463751
per_source.941.6.0.log_loss,0.09115626394658564
per_source.941.6.0.brier,0.022219040967731057
per_source.941.9.0.log_loss,0.12348684845889306
per_source.941.9.0.brier,0.030993843293928784
per_source.941.12.0.log_loss,0.16325992331044142
per_source.941.12.0.brier,0.042219104264792646
per_source.942.temperature_K,450.0
per_source.942.event_nll,0.3432077169418335
per_source.942.0.75.log_loss,0.02630570461589637
per_source.942.0.75.brier,0.005795652250759031
per_source.942.3.0.log_loss,0.07184968897498853
per_source.942.3.0.brier,0.016921497459702242
per_source.942.6.0.log_loss,0.12755014433835676
per_source.942.6.0.brier,0.03200353166246164
per_source.942.9.0.log_loss,0.18374143742928456
per_source.942.9.0.brier,0.04838660075726958
per_source.942.12.0.log_loss,0.23587878874852145
per_source.942.12.0.brier,0.06406416470707925
per_source.943.temperature_K,450.0
per_source.943.event_nll,0.3069709241390228
per_source.943.0.75.log_loss,0.017572888625570344
per_source.943.0.75.brier,0.00248615315460105
per_source.943.3.0.log_loss,0.06235380854809349
per_source.943.3.0.brier,0.012287548073283722
per_source.943.6.0.log_loss,0.1253846030530997
per_source.943.6.0.brier,0.028024724965554717
per_source.943.9.0.log_loss,0.1743727638628983
per_source.943.9.0.brier,0.04233156735295738
per_source.943.12.0.log_loss,0.2176977887446505
per_source.943.12.0.brier,0.05574085023687722
per_source.968.temperature_K,500.0
per_source.968.event_nll,0.1207485944032669
per_source.968.0.75.log_loss,0.006123465063388265
per_source.968.0.75.brier,0.0008660227174864503
per_source.968.3.0.log_loss,0.018290852098991624
per_source.968.3.0.brier,0.0027550299337627078
per_source.968.6.0.log_loss,0.04309722996680398
per_source.968.6.0.brier,0.006661929566939413
per_source.968.9.0.log_loss,0.07018280297324411
per_source.968.9.0.brier,0.011571927412670584
per_source.968.12.0.log_loss,0.09765149250293251
per_source.968.12.0.brier,0.016953421112493258
per_source.969.temperature_K,500.0
per_source.969.event_nll,0.19198919832706451
per_source.969.0.75.log_loss,0.002669758490583267
per_source.969.0.75.brier,1.3070067916243864e-05
per_source.969.3.0.log_loss,0.037043754627040584
per_source.969.3.0.brier,0.00706315940743979
per_source.969.6.0.log_loss,0.07357848506779004
per_source.969.6.0.brier,0.014825106878782883
per_source.969.9.0.log_loss,0.10975974778433205
per_source.969.9.0.brier,0.022983243996291855
per_source.969.12.0.log_loss,0.14350091015083802
per_source.969.12.0.brier,0.03149743678165536
per_source.970.temperature_K,500.0
per_source.970.event_nll,0.339912474155426
per_source.970.0.75.log_loss,0.02107205460249475
per_source.970.0.75.brier,0.0037721344631637187
per_source.970.3.0.log_loss,0.059336646824418464
per_source.970.3.0.brier,0.012220000883881336
per_source.970.6.0.log_loss,0.13457334476543845
per_source.970.6.0.brier,0.030971082977829852
per_source.970.9.0.log_loss,0.19216867525028303
per_source.970.9.0.brier,0.048342334481339205
per_source.970.12.0.log_loss,0.24252968043904918
per_source.970.12.0.brier,0.06436525726915972
per_source.971.temperature_K,500.0
per_source.971.event_nll,0.2127181887626648
per_source.971.0.75.log_loss,0.012450251574873984
per_source.971.0.75.brier,0.0010159555301316177
per_source.971.3.0.log_loss,0.04589980772750032
per_source.971.3.0.brier,0.006399504713662147
per_source.971.6.0.log_loss,0.08526835018787685
per_source.971.6.0.brier,0.015061971440081165
per_source.971.9.0.log_loss,0.127140113428351
per_source.971.9.0.brier,0.025953622528806432
per_source.971.12.0.log_loss,0.16710866544776906
per_source.971.12.0.brier,0.03671657170236465
per_source.972.temperature_K,500.0
per_source.972.event_nll,0.15241064131259918
per_source.972.0.75.log_loss,0.0036437174823240504
per_source.972.0.75.brier,4.262728073483955e-05
per_source.972.3.0.log_loss,0.024368434049641424
per_source.972.3.0.brier,0.003055466962728886
per_source.972.6.0.log_loss,0.05619716543215082
per_source.972.6.0.brier,0.009267603116354587
per_source.972.9.0.log_loss,0.08814029975992688
per_source.972.9.0.brier,0.015985024948431275
per_source.972.12.0.log_loss,0.12046603791933534
per_source.972.12.0.brier,0.023614850596444935
per_source.973.temperature_K,500.0
per_source.973.event_nll,0.06577440351247787
per_source.973.0.75.log_loss,0.0022905718045381773
per_source.973.0.75.brier,8.61324203521325e-06
per_source.973.3.0.log_loss,0.01110745927058223
per_source.973.3.0.brier,0.0005335750494590766
per_source.973.6.0.log_loss,0.024923827878843365
per_source.973.6.0.brier,0.0011108341658664055
per_source.973.9.0.log_loss,0.04323759772891512
per_source.973.9.0.brier,0.0027381245039924257
per_source.973.12.0.log_loss,0.06388904693978571
per_source.973.12.0.brier,0.0051498829450656565
per_source.998.temperature_K,510.0
per_source.998.event_nll,0.16778863966464996
per_source.998.0.75.log_loss,0.011033407469621876
per_source.998.0.75.brier,0.0020777467801128212
per_source.998.3.0.log_loss,0.03299877015331701
per_source.998.3.0.brier,0.006302715421867549
per_source.998.6.0.log_loss,0.06366627178054744
per_source.998.6.0.brier,0.011957982482723768
per_source.998.9.0.log_loss,0.09616755530666415
per_source.998.9.0.brier,0.01895242525862407
per_source.998.12.0.log_loss,0.1294319707115946
per_source.998.12.0.brier,0.026896998988573367
per_source.999.temperature_K,510.0
per_source.999.event_nll,0.17541514337062836
per_source.999.0.75.log_loss,0.012256232063434108
per_source.999.0.75.brier,0.0022507751272553694
per_source.999.3.0.log_loss,0.030067836577114995
per_source.999.3.0.brier,0.006169338752125043
per_source.999.6.0.log_loss,0.06290519862383732
per_source.999.6.0.brier,0.013164238470090512
per_source.999.9.0.log_loss,0.09526406565051505
per_source.999.9.0.brier,0.020220575799767312
per_source.999.12.0.log_loss,0.13018771662907275
per_source.999.12.0.brier,0.028254945673280855
per_source.1000.temperature_K,510.0
per_source.1000.event_nll,0.11790107190608978
per_source.1000.0.75.log_loss,0.002560700608221114
per_source.1000.0.75.brier,1.4308756117349255e-05
per_source.1000.3.0.log_loss,0.01748836244680576
per_source.1000.3.0.brier,0.002406530236900809
per_source.1000.6.0.log_loss,0.04182376334259514
per_source.1000.6.0.brier,0.00607584823457947
per_source.1000.9.0.log_loss,0.06911230991741604
per_source.1000.9.0.brier,0.010814762431465412
per_source.1000.12.0.log_loss,0.09747123963237463
per_source.1000.12.0.brier,0.016442157763716318
per_source.1001.temperature_K,510.0
per_source.1001.event_nll,0.29901930689811707
per_source.1001.0.75.log_loss,0.026090744895210686
per_source.1001.0.75.brier,0.005913506523866618
per_source.1001.3.0.log_loss,0.055456893725857145
per_source.1001.3.0.brier,0.012934807320302506
per_source.1001.6.0.log_loss,0.10495705671680025
per_source.1001.6.0.brier,0.025726554346383074
per_source.1001.9.0.log_loss,0.15645709720523432
per_source.1001.9.0.brier,0.03936318360475047
per_source.1001.12.0.log_loss,0.20879381452021326
per_source.1001.12.0.brier,0.05410398837892722
per_source.1002.temperature_K,510.0
per_source.1002.event_nll,0.18500550091266632
per_source.1002.0.75.log_loss,0.007310878559180451
per_source.1002.0.75.brier,0.0011357596114977282
per_source.1002.3.0.log_loss,0.02911257379286577
per_source.1002.3.0.brier,0.00501989750379426
per_source.1002.6.0.log_loss,0.06675475079230005
per_source.1002.6.0.brier,0.013187718093162208
per_source.1002.9.0.log_loss,0.10339309850345577
per_source.1002.9.0.brier,0.021472679065866657
per_source.1002.12.0.log_loss,0.14100111380614705
per_source.1002.12.0.brier,0.030377951620653043
per_source.1003.temperature_K,510.0
per_source.1003.event_nll,0.5586212873458862
per_source.1003.0.75.log_loss,0.04859169819504198
per_source.1003.0.75.brier,0.009319614903716718
per_source.1003.3.0.log_loss,0.11215109669756194
per_source.1003.3.0.brier,0.02352268783095817
per_source.1003.6.0.log_loss,0.211755597599872
per_source.1003.6.0.brier,0.051011179771304475
per_source.1003.9.0.log_loss,0.3090125428330672
per_source.1003.9.0.brier,0.08188902504581086
per_source.1003.12.0.log_loss,0.3940017309679723
per_source.1003.12.0.brier,0.11149772889227819
per_source.1007.temperature_K,520.0
per_source.1007.event_nll,0.05650972202420235
per_source.1007.0.75.log_loss,0.002330331789097864
per_source.1007.0.75.brier,8.262731580774803e-06
per_source.1007.3.0.log_loss,0.009515677186422827
per_source.1007.3.0.brier,0.00012795484129489085
per_source.1007.6.0.log_loss,0.022718785732122656
per_source.1007.6.0.brier,0.0006637920488966598
per_source.1007.9.0.log_loss,0.038896095066713605
per_source.1007.9.0.brier,0.001807000197778892
per_source.1007.12.0.log_loss,0.05650972206111891
per_source.1007.12.0.brier,0.003559245328048244
per_source.1008.temperature_K,520.0
per_source.1008.event_nll,0.32691556215286255
per_source.1008.0.75.log_loss,0.02315149958156535
per_source.1008.0.75.brier,0.004556775567466873
per_source.1008.3.0.log_loss,0.06617204592077053
per_source.1008.3.0.brier,0.014964241839142953
per_source.1008.6.0.log_loss,0.12664100701811232
per_source.1008.6.0.brier,0.029892035940548782
per_source.1008.9.0.log_loss,0.1853291565365658
per_source.1008.9.0.brier,0.0456343831330566
per_source.1008.12.0.log_loss,0.23395410799038463
per_source.1008.12.0.brier,0.06057031610264306
per_source.1009.temperature_K,520.0
per_source.1009.event_nll,0.3680497705936432
per_source.1009.0.75.log_loss,0.029806554624618016
per_source.1009.0.75.brier,0.00585140988429797
per_source.1009.3.0.log_loss,0.0595032894325558
per_source.1009.3.0.brier,0.01397306691003526
per_source.1009.6.0.log_loss,0.12361732358293243
per_source.1009.6.0.brier,0.032044432334824596
per_source.1009.9.0.log_loss,0.18731743373585194
per_source.1009.9.0.brier,0.04946980402208535
per_source.1009.12.0.log_loss,0.2558221358404692
