metric,value
event_nll,0.21563719924602848
classification.0.75.n,44385
classification.0.75.sources,30
classification.0.75.prevalence,0.002461127212794187
classification.0.75.log_loss,0.011654691778027262
classification.0.75.brier,0.002188357552862079
classification.0.75.average_precision,0.19324056117604146
classification.0.75.threshold,0.009602402336895466
classification.0.75.recall,0.794953897235661
classification.0.75.false_positive_rate,0.042649240934524706
classification.0.75.precision,0.043965153401950834
classification.0.75.auroc,0.9343944519437447
classification.3.0.n,44385
classification.3.0.sources,30
classification.3.0.prevalence,0.00884508151496356
classification.3.0.log_loss,0.03632450435067294
classification.3.0.brier,0.007382021937578125
classification.3.0.average_precision,0.2951678747311284
classification.3.0.threshold,0.03425504267215729
classification.3.0.recall,0.7299224923011911
classification.3.0.false_positive_rate,0.04443250417123606
classification.3.0.precision,0.12785685742556938
classification.3.0.auroc,0.900482613011306
classification.6.0.n,44385
classification.6.0.sources,30
classification.6.0.prevalence,0.01976765853638479
classification.6.0.log_loss,0.07532041277391371
classification.6.0.brier,0.015798333756141196
classification.6.0.average_precision,0.33436381939255183
classification.6.0.threshold,0.06833729147911072
classification.6.0.recall,0.5848323936155853
classification.6.0.false_positive_rate,0.0461729140327053
classification.6.0.precision,0.20345958519026006
classification.6.0.auroc,0.8431608325319127
classification.9.0.n,44385
classification.9.0.sources,30
classification.9.0.prevalence,0.031243024276521248
classification.9.0.log_loss,0.11525675068529095
classification.9.0.brier,0.025299062896777337
classification.9.0.average_precision,0.32706983291975555
classification.9.0.threshold,0.09662799537181854
classification.9.0.recall,0.4943730791865014
classification.9.0.false_positive_rate,0.05043861075109541
classification.9.0.precision,0.24018159731121394
classification.9.0.auroc,0.7893011824935485
classification.12.0.n,44385
classification.12.0.sources,30
classification.12.0.prevalence,0.043147138015594416
classification.12.0.log_loss,0.15497169255438262
classification.12.0.brier,0.03568527401983065
classification.12.0.average_precision,0.30975348934816216
classification.12.0.threshold,0.12408836930990219
classification.12.0.recall,0.4132853280964957
classification.12.0.false_positive_rate,0.050791399494807946
classification.12.0.precision,0.26842614681495386
classification.12.0.auroc,0.74663639341812
timing.0.75.event_windows,68
timing.0.75.missed_windows,14
timing.0.75.detected_timing_mae_ps,0.375
timing.0.75.timed_within_3ps_recall,0.7941176470588235
timing.3.0.event_windows,274
timing.3.0.missed_windows,76
timing.3.0.detected_timing_mae_ps,0.7264191860712396
timing.3.0.timed_within_3ps_recall,0.7226277372262774
timing.6.0.event_windows,615
timing.6.0.missed_windows,254
timing.6.0.detected_timing_mae_ps,1.3252764166076458
timing.6.0.timed_within_3ps_recall,0.5544715447154471
timing.9.0.event_windows,974
timing.9.0.missed_windows,489
timing.9.0.detected_timing_mae_ps,1.9024607229716488
timing.9.0.timed_within_3ps_recall,0.3993839835728953
timing.12.0.event_windows,1349
timing.12.0.missed_windows,783
timing.12.0.detected_timing_mae_ps,2.4533383000901337
timing.12.0.timed_within_3ps_recall,0.2876204595997035
per_source.881.temperature_K,520.0
per_source.881.event_nll,0.14558157324790955
per_source.881.0.75.log_loss,0.009813242425853854
per_source.881.0.75.brier,0.001403734445430397
per_source.881.3.0.log_loss,0.02104296578599599
per_source.881.3.0.brier,0.0032992339754517866
per_source.881.6.0.log_loss,0.04528725585666637
per_source.881.6.0.brier,0.007930146181611407
per_source.881.9.0.log_loss,0.07744727627490594
per_source.881.9.0.brier,0.014153386652720283
per_source.881.12.0.log_loss,0.10977254489635643
per_source.881.12.0.brier,0.021156916184616154
per_source.882.temperature_K,520.0
per_source.882.event_nll,0.4294271767139435
per_source.882.0.75.log_loss,0.02706865074352602
per_source.882.0.75.brier,0.007727488703018689
per_source.882.3.0.log_loss,0.06362555359775038
per_source.882.3.0.brier,0.015397989817481047
per_source.882.6.0.log_loss,0.13575733933010575
per_source.882.6.0.brier,0.03324234236942894
per_source.882.9.0.log_loss,0.2109367978363141
per_source.882.9.0.brier,0.054120834252350196
per_source.882.12.0.log_loss,0.2912657827468288
per_source.882.12.0.brier,0.07870123472344609
per_source.883.temperature_K,520.0
per_source.883.event_nll,0.19271676242351532
per_source.883.0.75.log_loss,0.007084233129224062
per_source.883.0.75.brier,0.0012665240776462863
per_source.883.3.0.log_loss,0.03053219548834271
per_source.883.3.0.brier,0.006497015455085383
per_source.883.6.0.log_loss,0.07137120113203639
per_source.883.6.0.brier,0.014927585275014895
per_source.883.9.0.log_loss,0.11228140602666682
per_source.883.9.0.brier,0.02421147996767192
per_source.883.12.0.log_loss,0.14415263999033756
per_source.883.12.0.brier,0.03218665575076255
per_source.908.temperature_K,400.0
per_source.908.event_nll,0.10440284758806229
per_source.908.0.75.log_loss,0.004176493051231041
per_source.908.0.75.brier,0.00041454242620298984
per_source.908.3.0.log_loss,0.019032755775625514
per_source.908.3.0.brier,0.0025717636273038876
per_source.908.6.0.log_loss,0.04150119925834575
per_source.908.6.0.brier,0.006554399918748517
per_source.908.9.0.log_loss,0.061369431486941135
per_source.908.9.0.brier,0.010195894411170994
per_source.908.12.0.log_loss,0.08434020139914819
per_source.908.12.0.brier,0.014685036464658593
per_source.909.temperature_K,400.0
per_source.909.event_nll,0.13930843770503998
per_source.909.0.75.log_loss,0.004940671805633634
per_source.909.0.75.brier,0.0006475103160744306
per_source.909.3.0.log_loss,0.02328749471903628
per_source.909.3.0.brier,0.0036580453171101584
per_source.909.6.0.log_loss,0.05201369647793387
per_source.909.6.0.brier,0.009482939690103019
per_source.909.9.0.log_loss,0.07460020517403304
per_source.909.9.0.brier,0.013966956973444347
per_source.909.12.0.log_loss,0.09828959096101028
per_source.909.12.0.brier,0.01943230738456368
per_source.910.temperature_K,400.0
per_source.910.event_nll,0.04335881024599075
per_source.910.0.75.log_loss,0.0024720031443112786
per_source.910.0.75.brier,9.741190094169725e-06
per_source.910.3.0.log_loss,0.009245064296251637
per_source.910.3.0.brier,0.00012446700722515338
per_source.910.6.0.log_loss,0.01970155132195999
per_source.910.6.0.brier,0.0005211098302215209
per_source.910.9.0.log_loss,0.031074949853949575
per_source.910.9.0.brier,0.001193104865813376
per_source.910.12.0.log_loss,0.04335881055178253
per_source.910.12.0.brier,0.0021639266219292915
per_source.911.temperature_K,400.0
per_source.911.event_nll,0.14154398441314697
per_source.911.0.75.log_loss,0.0035927924880321148
per_source.911.0.75.brier,0.00019763285542670307
per_source.911.3.0.log_loss,0.025874657041465576
per_source.911.3.0.brier,0.003995930656992331
per_source.911.6.0.log_loss,0.05160124021070863
per_source.911.6.0.brier,0.009389204797249414
per_source.911.9.0.log_loss,0.08065399868998646
per_source.911.9.0.brier,0.015610007016257152
per_source.911.12.0.log_loss,0.10737189872923751
per_source.911.12.0.brier,0.021804289209261713
per_source.912.temperature_K,400.0
per_source.912.event_nll,0.1748768538236618
per_source.912.0.75.log_loss,0.013419648605361725
per_source.912.0.75.brier,0.0030486263184671316
per_source.912.3.0.log_loss,0.03074552387807868
per_source.912.3.0.brier,0.006640855588321773
per_source.912.6.0.log_loss,0.06713083464884831
per_source.912.6.0.brier,0.014016793407732505
per_source.912.9.0.log_loss,0.09547172810009326
per_source.912.9.0.brier,0.020115609454000687
per_source.912.12.0.log_loss,0.12613140269129364
per_source.912.12.0.brier,0.027881232344341
per_source.913.temperature_K,400.0
per_source.913.event_nll,0.08886454999446869
per_source.913.0.75.log_loss,0.004854945054765454
per_source.913.0.75.brier,0.0007504654231348573
per_source.913.3.0.log_loss,0.014032867459624308
per_source.913.3.0.brier,0.001639283566250814
per_source.913.6.0.log_loss,0.03223259719163041
per_source.913.6.0.brier,0.00423016152884167
per_source.913.9.0.log_loss,0.05196016613239533
per_source.913.9.0.brier,0.007624381123665104
per_source.913.12.0.log_loss,0.07248051400156799
per_source.913.12.0.brier,0.011401913522287956
per_source.938.temperature_K,450.0
per_source.938.event_nll,0.2958962619304657
per_source.938.0.75.log_loss,0.007784206724769651
per_source.938.0.75.brier,0.0011385888597876125
per_source.938.3.0.log_loss,0.05748142049804344
per_source.938.3.0.brier,0.012158028058510312
per_source.938.6.0.log_loss,0.11157384133406542
