metric,value
event_nll,0.17031763313604276
classification.0.75.n,44385
classification.0.75.sources,30
classification.0.75.prevalence,0.002461127212794187
classification.0.75.log_loss,0.010692773025922583
classification.0.75.brier,0.002212352012130523
classification.0.75.average_precision,0.19403117917099985
classification.0.75.threshold,0.013062938116490841
classification.0.75.recall,0.7340093413374774
classification.0.75.false_positive_rate,0.03476180012517143
classification.0.75.precision,0.049516305497543225
classification.0.75.auroc,0.9508466612852816
classification.3.0.n,44385
classification.3.0.sources,30
classification.3.0.prevalence,0.00884508151496356
classification.3.0.log_loss,0.03085660487237825
classification.3.0.brier,0.0072860442723987106
classification.3.0.average_precision,0.2875973260189566
classification.3.0.threshold,0.054716240614652634
classification.3.0.recall,0.6883851322742013
classification.3.0.false_positive_rate,0.03474844322698041
classification.3.0.precision,0.1502303398784239
classification.3.0.auroc,0.9468652180290394
classification.6.0.n,44385
classification.6.0.sources,30
classification.6.0.prevalence,0.01976765853638479
classification.6.0.log_loss,0.05734915105387998
classification.6.0.brier,0.014882373378709254
classification.6.0.average_precision,0.38548347186051196
classification.6.0.threshold,0.11086831241846085
classification.6.0.recall,0.6828189104965413
classification.6.0.false_positive_rate,0.03647734422025042
classification.6.0.precision,0.2740433280190717
classification.6.0.auroc,0.9430856436029321
classification.9.0.n,44385
classification.9.0.sources,30
classification.9.0.prevalence,0.031243024276521248
classification.9.0.log_loss,0.0837765888466376
classification.9.0.brier,0.022332694737508974
classification.9.0.average_precision,0.42936646576331705
classification.9.0.threshold,0.15908631682395935
classification.9.0.recall,0.6545224284557282
classification.9.0.false_positive_rate,0.03882075730125023
classification.9.0.precision,0.35222644926482155
classification.9.0.auroc,0.9326015427730296
classification.12.0.n,44385
classification.12.0.sources,30
classification.12.0.prevalence,0.043147138015594416
classification.12.0.log_loss,0.11073000709988906
classification.12.0.brier,0.029749616128993312
classification.12.0.average_precision,0.4634352964727652
classification.12.0.threshold,0.19417691230773926
classification.12.0.recall,0.613117730034125
classification.12.0.false_positive_rate,0.04101713359547289
classification.12.0.precision,0.4026425600642772
classification.12.0.auroc,0.9194763004697774
timing.0.75.event_windows,68
timing.0.75.missed_windows,21
timing.0.75.detected_timing_mae_ps,0.375
timing.0.75.timed_within_3ps_recall,0.6911764705882353
timing.3.0.event_windows,274
timing.3.0.missed_windows,92
