metric,value
event_nll,0.2391202975013939
classification.0.75.n,44385
classification.0.75.sources,30
classification.0.75.prevalence,0.002461127212794187
classification.0.75.log_loss,0.015710995605888456
classification.0.75.brier,0.002456620346997975
classification.0.75.average_precision,0.012782159240920129
classification.0.75.threshold,0.010568593628704548
classification.0.75.recall,0.23800189750842674
classification.0.75.false_positive_rate,0.04354107067271811
classification.0.75.precision,0.013306620269414586
classification.0.75.auroc,0.888804730445875
classification.3.0.n,44385
classification.3.0.sources,30
classification.3.0.prevalence,0.00884508151496356
classification.3.0.log_loss,0.047567950718448694
classification.3.0.brier,0.008760862027542976
classification.3.0.average_precision,0.033471160222007704
classification.3.0.threshold,0.03423115983605385
classification.3.0.recall,0.21946895292775892
classification.3.0.false_positive_rate,0.043385774756015676
classification.3.0.precision,0.04319271531036381
classification.3.0.auroc,0.8062589083566197
classification.6.0.n,44385
classification.6.0.sources,30
classification.6.0.prevalence,0.01976765853638479
classification.6.0.log_loss,0.09409888204664571
classification.6.0.brier,0.019349713093168925
classification.6.0.average_precision,0.04995304301413509
classification.6.0.threshold,0.060571201145648956
classification.6.0.recall,0.16529395419977214
classification.6.0.false_positive_rate,0.04326362660336719
classification.6.0.precision,0.07153610204186064
classification.6.0.auroc,0.7275530687347278
classification.9.0.n,44385
classification.9.0.sources,30
classification.9.0.prevalence,0.031243024276521248
classification.9.0.log_loss,0.1369216644550175
classification.9.0.brier,0.030269360146533544
classification.9.0.average_precision,0.062045795355098354
classification.9.0.threshold,0.08191397786140442
classification.9.0.recall,0.1288437436653735
classification.9.0.false_positive_rate,0.04435719082129017
classification.9.0.precision,0.08565408020313417
classification.9.0.auroc,0.6870580499528598
classification.12.0.n,44385
classification.12.0.sources,30
classification.12.0.prevalence,0.043147138015594416
classification.12.0.log_loss,0.17684133992272438
classification.12.0.brier,0.04138092491507832
classification.12.0.average_precision,0.07232037665441994
classification.12.0.threshold,0.10228458791971207
classification.12.0.recall,0.1068476387111522
classification.12.0.false_positive_rate,0.047142991981259603
classification.12.0.precision,0.09272436513478695
classification.12.0.auroc,0.6568358132218527
timing.0.75.event_windows,68
timing.0.75.missed_windows,53
timing.0.75.detected_timing_mae_ps,0.375
timing.0.75.timed_within_3ps_recall,0.22058823529411764
timing.3.0.event_windows,274
timing.3.0.missed_windows,211
timing.3.0.detected_timing_mae_ps,0.6673547536335832
timing.3.0.timed_within_3ps_recall,0.22992700729927007
timing.6.0.event_windows,615
timing.6.0.missed_windows,515
timing.6.0.detected_timing_mae_ps,1.3049848225911833
timing.6.0.timed_within_3ps_recall,0.15284552845528454
timing.9.0.event_windows,974
timing.9.0.missed_windows,849
timing.9.0.detected_timing_mae_ps,2.0050919327876926
timing.9.0.timed_within_3ps_recall,0.10574948665297741
timing.12.0.event_windows,1349
timing.12.0.missed_windows,1208
timing.12.0.detected_timing_mae_ps,2.781524752708804
timing.12.0.timed_within_3ps_recall,0.05930318754633061
