metric,value
event_nll,0.23154281404553528
classification.0.75.n,44385
classification.0.75.sources,30
classification.0.75.prevalence,0.002461127212794187
classification.0.75.log_loss,0.014153726013662705
classification.0.75.brier,0.0024220357667777475
classification.0.75.average_precision,0.04268098501028392
classification.0.75.threshold,0.015872763469815254
classification.0.75.recall,0.3904825748485197
classification.0.75.false_positive_rate,0.046461763811334975
classification.0.75.precision,0.02031407576284659
classification.0.75.auroc,0.8942301191812826
classification.3.0.n,44385
classification.3.0.sources,30
classification.3.0.prevalence,0.00884508151496356
classification.3.0.log_loss,0.04345039794850238
classification.3.0.brier,0.008528030694139566
classification.3.0.average_precision,0.0780653086182915
classification.3.0.threshold,0.04991009458899498
classification.3.0.recall,0.33647891709968425
classification.3.0.false_positive_rate,0.046530525984240484
classification.3.0.precision,0.0606207306779793
classification.3.0.auroc,0.8275025563197359
classification.6.0.n,44385
classification.6.0.sources,30
classification.6.0.prevalence,0.01976765853638479
classification.6.0.log_loss,0.08860706498467119
classification.6.0.brier,0.01889246288267067
classification.6.0.average_precision,0.08789395937745897
classification.6.0.threshold,0.08647039532661438
classification.6.0.recall,0.23641787025626795
classification.6.0.false_positive_rate,0.048844684285898506
classification.6.0.precision,0.0889286289895885
classification.6.0.auroc,0.7530611675508653
classification.9.0.n,44385
classification.9.0.sources,30
classification.9.0.prevalence,0.031243024276521248
classification.9.0.log_loss,0.13073557289627027
classification.9.0.brier,0.02966649564127631
classification.9.0.average_precision,0.09948029368433967
classification.9.0.threshold,0.11169326305389404
classification.9.0.recall,0.2128792133443278
classification.9.0.false_positive_rate,0.054056884454324904
classification.9.0.precision,0.11269240961605528
classification.9.0.auroc,0.7096271623077509
classification.12.0.n,44385
classification.12.0.sources,30
classification.12.0.prevalence,0.043147138015594416
classification.12.0.log_loss,0.169710881354556
classification.12.0.brier,0.04058016948670688
classification.12.0.average_precision,0.11349085968494714
classification.12.0.threshold,0.1369045078754425
classification.12.0.recall,0.20007043882144432
classification.12.0.false_positive_rate,0.059359334095699184
classification.12.0.precision,0.131933144200027
classification.12.0.auroc,0.6856054289127839
timing.0.75.event_windows,68
timing.0.75.missed_windows,43
timing.0.75.detected_timing_mae_ps,0.375
timing.0.75.timed_within_3ps_recall,0.36764705882352944
timing.3.0.event_windows,274
timing.3.0.missed_windows,182
timing.3.0.detected_timing_mae_ps,0.7233992550195723
timing.3.0.timed_within_3ps_recall,0.3357664233576642
timing.6.0.event_windows,615
timing.6.0.missed_windows,467
timing.6.0.detected_timing_mae_ps,1.3547791464119139
timing.6.0.timed_within_3ps_recall,0.22764227642276422
timing.9.0.event_windows,974
timing.9.0.missed_windows,763
timing.9.0.detected_timing_mae_ps,1.9951951924775
timing.9.0.timed_within_3ps_recall,0.175564681724846
timing.12.0.event_windows,1349
timing.12.0.missed_windows,1067
timing.12.0.detected_timing_mae_ps,2.8944706999770657
timing.12.0.timed_within_3ps_recall,0.11860637509266123
per_source.881.temperature_K,520.0
per_source.881.event_nll,0.14795158803462982
per_source.881.0.75.log_loss,0.007506173801030553
per_source.881.0.75.brier,0.0010102468842684348
per_source.881.3.0.log_loss,0.02446767990288416
per_source.881.3.0.brier,0.004787410736605035
per_source.881.6.0.log_loss,0.05309059356263027
per_source.881.6.0.brier,0.010880091474619808
per_source.881.9.0.log_loss,0.08189868192682462
per_source.881.9.0.brier,0.017750284401815065
per_source.881.12.0.log_loss,0.11016431090380206
per_source.881.12.0.brier,0.024579409793451037
per_source.882.temperature_K,520.0
per_source.882.event_nll,0.5101175308227539
per_source.882.0.75.log_loss,0.04594487812723876
per_source.882.0.75.brier,0.00929864353267236
per_source.882.3.0.log_loss,0.0915944058943648
per_source.882.3.0.brier,0.02005018646964838
per_source.882.6.0.log_loss,0.1962287217410799
per_source.882.6.0.brier,0.045325090989344896
per_source.882.9.0.log_loss,0.28491041309984544
per_source.882.9.0.brier,0.0701455391198252
per_source.882.12.0.log_loss,0.36412254514372666
per_source.882.12.0.brier,0.09558706389117377
per_source.883.temperature_K,520.0
per_source.883.event_nll,0.19130349159240723
per_source.883.0.75.log_loss,0.0061825835470083615
per_source.883.0.75.brier,0.0008261670040565427
per_source.883.3.0.log_loss,0.03282332087445681
per_source.883.3.0.brier,0.006230245454185668
per_source.883.6.0.log_loss,0.07188143537624599
per_source.883.6.0.brier,0.01534621190174696
per_source.883.9.0.log_loss,0.10864308007080335
per_source.883.9.0.brier,0.024438533226498138
per_source.883.12.0.log_loss,0.14315488827657838
per_source.883.12.0.brier,0.033441562973157396
per_source.908.temperature_K,400.0
per_source.908.event_nll,0.08674301207065582
per_source.908.0.75.log_loss,0.004088648928517827
per_source.908.0.75.brier,0.00045729697127993576
per_source.908.3.0.log_loss,0.015489235938777171
per_source.908.3.0.brier,0.002661659598173516
per_source.908.6.0.log_loss,0.034189206761113734
per_source.908.6.0.brier,0.006539853335973885
per_source.908.9.0.log_loss,0.048572538689765014
per_source.908.9.0.brier,0.00991029662501645
per_source.908.12.0.log_loss,0.06595830131022154
per_source.908.12.0.brier,0.013730247894433058
per_source.909.temperature_K,400.0
per_source.909.event_nll,0.13775388896465302
per_source.909.0.75.log_loss,0.0029321216044729827
per_source.909.0.75.brier,0.0005184266444382074
per_source.909.3.0.log_loss,0.020370917108088596
per_source.909.3.0.brier,0.003620992731857502
per_source.909.6.0.log_loss,0.04917426134208129
per_source.909.6.0.brier,0.009759519807638246
per_source.909.9.0.log_loss,0.07613366099738227
per_source.909.9.0.brier,0.016221772382510366
per_source.909.12.0.log_loss,0.1011957577178663
per_source.909.12.0.brier,0.023262905197904492
per_source.910.temperature_K,400.0
per_source.910.event_nll,0.017644492909312248
per_source.910.0.75.log_loss,0.0006381230032480473
per_source.910.0.75.brier,2.2384623159674726e-06
per_source.910.3.0.log_loss,0.0028301862910625566
per_source.910.3.0.brier,2.2711732395996792e-05
per_source.910.6.0.log_loss,0.007316220328933809
per_source.910.6.0.brier,9.92305115354349e-05
per_source.910.9.0.log_loss,0.011458495448284945
per_source.910.9.0.brier,0.00020872824621135058
per_source.910.12.0.log_loss,0.017644492557101876
per_source.910.12.0.brier,0.0004302766547167827
per_source.911.temperature_K,400.0
per_source.911.event_nll,0.1321415901184082
per_source.911.0.75.log_loss,0.0007448140151506325
per_source.911.0.75.brier,3.434163468706918e-06
per_source.911.3.0.log_loss,0.027744334405718683
per_source.911.3.0.brier,0.005209823492399147
per_source.911.6.0.log_loss,0.05050111895363997
per_source.911.6.0.brier,0.011022256157676514
per_source.911.9.0.log_loss,0.07549811025476343
per_source.911.9.0.brier,0.016958616866994125
per_source.911.12.0.log_loss,0.09737748813649406
per_source.911.12.0.brier,0.022736796885289134
per_source.912.temperature_K,400.0
per_source.912.event_nll,0.19043925404548645
per_source.912.0.75.log_loss,0.01825043831461839
per_source.912.0.75.brier,0.0030233031299363887
per_source.912.3.0.log_loss,0.03858919423995353
per_source.912.3.0.brier,0.007632020912609934
per_source.912.6.0.log_loss,0.07844238144768137
per_source.912.6.0.brier,0.015844847095718213
per_source.912.9.0.log_loss,0.11255461254949624
per_source.912.9.0.brier,0.02399038976011619
per_source.912.12.0.log_loss,0.14236256524534652
per_source.912.12.0.brier,0.03198235910420762
per_source.913.temperature_K,400.0
per_source.913.event_nll,0.0733543187379837
per_source.913.0.75.log_loss,0.003980011840228842
per_source.913.0.75.brier,0.0008192227838036707
per_source.913.3.0.log_loss,0.012663737655645435
per_source.913.3.0.brier,0.002409575150133885
per_source.913.6.0.log_loss,0.027151442016106933
per_source.913.6.0.brier,0.005213130391460387
per_source.913.9.0.log_loss,0.04192749016164121
per_source.913.9.0.brier,0.008419451322163329
per_source.913.12.0.log_loss,0.05625060986902264
per_source.913.12.0.brier,0.011557180380022469
per_source.938.temperature_K,450.0
per_source.938.event_nll,0.2961604595184326
per_source.938.0.75.log_loss,0.007700805124351542
per_source.938.0.75.brier,0.0011279473153423584
per_source.938.3.0.log_loss,0.05633593464328595
per_source.938.3.0.brier,0.011656010695574813
per_source.938.6.0.log_loss,0.11378240557870732
per_source.938.6.0.brier,0.02619882382336124
per_source.938.9.0.log_loss,0.16320619433485714
per_source.938.9.0.brier,0.040811488115959686
per_source.938.12.0.log_loss,0.20719531039449002
per_source.938.12.0.brier,0.05457926296966944
per_source.939.temperature_K,450.0
per_source.939.event_nll,0.4274331331253052
per_source.939.0.75.log_loss,0.021164561229530008
per_source.939.0.75.brier,0.0032296103578054822
per_source.939.3.0.log_loss,0.08354821097590497
per_source.939.3.0.brier,0.017191362211541383
per_source.939.6.0.log_loss,0.16799784664212036
per_source.939.6.0.brier,0.0398348251927427
per_source.939.9.0.log_loss,0.23932590442402304
per_source.939.9.0.brier,0.06262330662061841
per_source.939.12.0.log_loss,0.2945768612137575
per_source.939.12.0.brier,0.08148532980982451
per_source.940.temperature_K,450.0
per_source.940.event_nll,0.3064219057559967
per_source.940.0.75.log_loss,0.015400646340861416
per_source.940.0.75.brier,0.0022545173291130213
per_source.940.3.0.log_loss,0.059768731999343135
per_source.940.3.0.brier,0.012261850098812237
per_source.940.6.0.log_loss,0.11593189554078807
per_source.940.6.0.brier,0.02778360784002287
per_source.940.9.0.log_loss,0.16715843708759023
per_source.940.9.0.brier,0.042089160418675435
per_source.940.12.0.log_loss,0.20951756471710534
per_source.940.12.0.brier,0.05562412349902955
per_source.941.temperature_K,450.0
per_source.941.event_nll,0.25762009620666504
per_source.941.0.75.log_loss,0.02325182269934411
per_source.941.0.75.brier,0.004481027677099843
per_source.941.3.0.log_loss,0.05777805175049927
per_source.941.3.0.brier,0.012843781620887855
per_source.941.6.0.log_loss,0.09878571285831197
per_source.941.6.0.brier,0.023023993777990234
per_source.941.9.0.log_loss,0.1361659835399903
per_source.941.9.0.brier,0.03289315386178277
per_source.941.12.0.log_loss,0.17661204162508531
per_source.941.12.0.brier,0.04442636206467419
per_source.942.temperature_K,450.0
per_source.942.event_nll,0.35663068294525146
per_source.942.0.75.log_loss,0.027164565621859683
per_source.942.0.75.brier,0.005878243431591896
per_source.942.3.0.log_loss,0.07571119757590289
per_source.942.3.0.brier,0.01708116558811417
per_source.942.6.0.log_loss,0.13891631127836546
per_source.942.6.0.brier,0.03334894129389988
per_source.942.9.0.log_loss,0.20004899470828538
per_source.942.9.0.brier,0.051131453719741385
per_source.942.12.0.log_loss,0.25022391966879454
per_source.942.12.0.brier,0.06766166489856847
per_source.943.temperature_K,450.0
per_source.943.event_nll,0.31233081221580505
per_source.943.0.75.log_loss,0.0197855159599555
per_source.943.0.75.brier,0.002541491538924789
per_source.943.3.0.log_loss,0.06722817879162955
per_source.943.3.0.brier,0.012350378972880152
per_source.943.6.0.log_loss,0.1307496429610069
per_source.943.6.0.brier,0.02797953109055582
per_source.943.9.0.log_loss,0.18037607278125786
per_source.943.9.0.brier,0.04247980917574671
