metric,value
event_nll,0.20595880491724033
classification.0.75.n,44385
classification.0.75.sources,30
classification.0.75.prevalence,0.002461127212794187
classification.0.75.log_loss,0.011198793809236343
classification.0.75.brier,0.0021505825395513696
classification.0.75.average_precision,0.22143969449558534
classification.0.75.threshold,0.010500411503016949
classification.0.75.recall,0.8629018372055001
classification.0.75.false_positive_rate,0.042199352682352705
classification.0.75.precision,0.04802689578572374
classification.0.75.auroc,0.9575469520979977
classification.3.0.n,44385
classification.3.0.sources,30
classification.3.0.prevalence,0.00884508151496356
classification.3.0.log_loss,0.03466814014392004
classification.3.0.brier,0.007243479492265134
classification.3.0.average_precision,0.30930158719941225
classification.3.0.threshold,0.038621533662080765
classification.3.0.recall,0.7503149892182395
classification.3.0.false_positive_rate,0.04477448328981228
classification.3.0.precision,0.13009097681672857
classification.3.0.auroc,0.938888266133267
classification.6.0.n,44385
classification.6.0.sources,30
classification.6.0.prevalence,0.01976765853638479
classification.6.0.log_loss,0.07120170474913341
classification.6.0.brier,0.015509044719456327
classification.6.0.average_precision,0.3496814795967675
classification.6.0.threshold,0.07544498890638351
classification.6.0.recall,0.627154236975795
classification.6.0.false_positive_rate,0.04679819368183798
classification.6.0.precision,0.21275562052252917
classification.6.0.auroc,0.897256046419923
classification.9.0.n,44385
classification.9.0.sources,30
classification.9.0.prevalence,0.031243024276521248
classification.9.0.log_loss,0.1084837250308962
classification.9.0.brier,0.024662234099359623
classification.9.0.average_precision,0.35337532709500413
classification.9.0.threshold,0.1088215708732605
classification.9.0.recall,0.5402632758443879
classification.9.0.false_positive_rate,0.04803268242928144
classification.9.0.precision,0.26618942419413616
classification.9.0.auroc,0.854981008469185
classification.12.0.n,44385
classification.12.0.sources,30
classification.12.0.prevalence,0.043147138015594416
classification.12.0.log_loss,0.14545815922333383
classification.12.0.brier,0.03437241002900747
classification.12.0.average_precision,0.3490989513319004
classification.12.0.threshold,0.13667219877243042
classification.12.0.recall,0.48048070287856115
classification.12.0.false_positive_rate,0.04956061819745527
classification.12.0.precision,0.3041860046674839
classification.12.0.auroc,0.8218077916790423
timing.0.75.event_windows,68
timing.0.75.missed_windows,9
timing.0.75.detected_timing_mae_ps,0.375
timing.0.75.timed_within_3ps_recall,0.8676470588235294
timing.3.0.event_windows,274
timing.3.0.missed_windows,69
timing.3.0.detected_timing_mae_ps,0.7301895900495763
timing.3.0.timed_within_3ps_recall,0.7481751824817519
timing.6.0.event_windows,615
timing.6.0.missed_windows,226
timing.6.0.detected_timing_mae_ps,1.3383045154529496
timing.6.0.timed_within_3ps_recall,0.6016260162601627
timing.9.0.event_windows,974
timing.9.0.missed_windows,441
timing.9.0.detected_timing_mae_ps,1.9370452100769848
timing.9.0.timed_within_3ps_recall,0.4383983572895277
timing.12.0.event_windows,1349
timing.12.0.missed_windows,694
timing.12.0.detected_timing_mae_ps,2.537420658350774
timing.12.0.timed_within_3ps_recall,0.3202372127501853
per_source.881.temperature_K,520.0
per_source.881.event_nll,0.1374116986989975
per_source.881.0.75.log_loss,0.008780414324424338
per_source.881.0.75.brier,0.0013040384530668765
per_source.881.3.0.log_loss,0.020056696471921213
per_source.881.3.0.brier,0.0034589395970750563
per_source.881.6.0.log_loss,0.042508674563242706
per_source.881.6.0.brier,0.00786265914225549
per_source.881.9.0.log_loss,0.07220651961664881
per_source.881.9.0.brier,0.013718757429958551
