metric,value
event_nll,0.23360367215050565
classification.0.75.n,44385
classification.0.75.sources,30
classification.0.75.prevalence,0.002461127212794187
classification.0.75.log_loss,0.014955225448682219
classification.0.75.brier,0.00244088898423946
classification.0.75.average_precision,0.021482883558731673
classification.0.75.threshold,0.01026920322328806
classification.0.75.recall,0.5097910954728234
classification.0.75.false_positive_rate,0.042390503706556316
classification.0.75.precision,0.028815724559533018
classification.0.75.auroc,0.9175908826990067
classification.3.0.n,44385
classification.3.0.sources,30
classification.3.0.prevalence,0.00884508151496356
classification.3.0.log_loss,0.04525750182282149
classification.3.0.brier,0.008639688272907477
classification.3.0.average_precision,0.049417177867891175
classification.3.0.threshold,0.03908352553844452
classification.3.0.recall,0.3166884609644125
classification.3.0.false_positive_rate,0.044002693846598454
classification.3.0.precision,0.06035027649488277
classification.3.0.auroc,0.8670153614267448
classification.6.0.n,44385
classification.6.0.sources,30
classification.6.0.prevalence,0.01976765853638479
classification.6.0.log_loss,0.08987402372758854
classification.6.0.brier,0.01902212388970609
classification.6.0.average_precision,0.07515148357185475
classification.6.0.threshold,0.07258626073598862
classification.6.0.recall,0.19625815774135605
classification.6.0.false_positive_rate,0.0433932175737353
classification.6.0.precision,0.0835842785285743
classification.6.0.auroc,0.8139932589849247
classification.9.0.n,44385
classification.9.0.sources,30
classification.9.0.prevalence,0.031243024276521248
classification.9.0.log_loss,0.13197228135218336
classification.9.0.brier,0.029718933998588395
classification.9.0.average_precision,0.09166442580605982
classification.9.0.threshold,0.09802598506212234
classification.9.0.recall,0.15175838145107814
classification.9.0.false_positive_rate,0.04255469431107618
classification.9.0.precision,0.10314872503915831
classification.9.0.auroc,0.7589490321291336
classification.12.0.n,44385
classification.12.0.sources,30
classification.12.0.prevalence,0.043147138015594416
classification.12.0.log_loss,0.171858263021395
classification.12.0.brier,0.0406687557904519
classification.12.0.average_precision,0.10369883558430223
classification.12.0.threshold,0.11888647079467773
classification.12.0.recall,0.12764501492269484
classification.12.0.false_positive_rate,0.04179944280089308
classification.12.0.precision,0.12103519770458486
classification.12.0.auroc,0.7231568932505182
timing.0.75.event_windows,68
timing.0.75.missed_windows,33
timing.0.75.detected_timing_mae_ps,0.375
timing.0.75.timed_within_3ps_recall,0.5147058823529411
timing.3.0.event_windows,274
timing.3.0.missed_windows,184
timing.3.0.detected_timing_mae_ps,0.6660652241285533
timing.3.0.timed_within_3ps_recall,0.3284671532846715
timing.6.0.event_windows,615
timing.6.0.missed_windows,484
timing.6.0.detected_timing_mae_ps,1.4344562675438135
timing.6.0.timed_within_3ps_recall,0.2
timing.9.0.event_windows,974
timing.9.0.missed_windows,815
timing.9.0.detected_timing_mae_ps,2.0945128692143444
timing.9.0.timed_within_3ps_recall,0.12525667351129363
timing.12.0.event_windows,1349
timing.12.0.missed_windows,1170
timing.12.0.detected_timing_mae_ps,2.739288604348315
timing.12.0.timed_within_3ps_recall,0.07561156412157154
per_source.881.temperature_K,520.0
per_source.881.event_nll,0.16204597055912018
per_source.881.0.75.log_loss,0.007628886527513049
per_source.881.0.75.brier,0.001001491723298495
per_source.881.3.0.log_loss,0.02744914111943773
per_source.881.3.0.brier,0.004823807870865488
per_source.881.6.0.log_loss,0.059279238968585904
per_source.881.6.0.brier,0.011073292084417541
per_source.881.9.0.log_loss,0.09291618774798036
per_source.881.9.0.brier,0.018396383650995843
per_source.881.12.0.log_loss,0.12511401370701905
per_source.881.12.0.brier,0.025908739381687116
per_source.882.temperature_K,520.0
per_source.882.event_nll,0.4844960868358612
per_source.882.0.75.log_loss,0.04584646602962708
per_source.882.0.75.brier,0.00938485722907019
per_source.882.3.0.log_loss,0.09117401659537049
per_source.882.3.0.brier,0.020209207426792105
per_source.882.6.0.log_loss,0.18297906307356118
per_source.882.6.0.brier,0.04495825490249276
per_source.882.9.0.log_loss,0.26315437809001185
