metric,value
event_nll,0.21101989089432147
classification.0.75.n,44385
classification.0.75.sources,30
classification.0.75.prevalence,0.002461127212794187
classification.0.75.log_loss,0.011098949268354053
classification.0.75.brier,0.0022855952618680807
classification.0.75.average_precision,0.16523005269656635
classification.0.75.threshold,0.019009605050086975
classification.0.75.recall,0.795105139396527
classification.0.75.false_positive_rate,0.04573154135119469
classification.0.75.precision,0.04113126926585904
classification.0.75.auroc,0.9582452499203035
classification.3.0.n,44385
classification.3.0.sources,30
classification.3.0.prevalence,0.00884508151496356
classification.3.0.log_loss,0.034769985372427245
classification.3.0.brier,0.00786982479749181
classification.3.0.average_precision,0.2057338726797965
classification.3.0.threshold,0.05636133626103401
classification.3.0.recall,0.6515438772639239
classification.3.0.false_positive_rate,0.04862988695557507
classification.3.0.precision,0.10679520483653948
classification.3.0.auroc,0.9254736760738288
classification.6.0.n,44385
classification.6.0.sources,30
classification.6.0.prevalence,0.01976765853638479
classification.6.0.log_loss,0.07362581820453629
classification.6.0.brier,0.017230980073319753
classification.6.0.average_precision,0.2191701015302368
classification.6.0.threshold,0.09158226102590561
classification.6.0.recall,0.5558959398729931
classification.6.0.false_positive_rate,0.05310850313982625
classification.6.0.precision,0.17429355185733977
classification.6.0.auroc,0.8700531290935783
classification.9.0.n,44385
classification.9.0.sources,30
classification.9.0.prevalence,0.031243024276521248
classification.9.0.log_loss,0.11262863564357332
classification.9.0.brier,0.026900116801160338
classification.9.0.average_precision,0.23217632093166515
classification.9.0.threshold,0.11760958284139633
classification.9.0.recall,0.4986090534159476
classification.9.0.false_positive_rate,0.05827922191588668
classification.9.0.precision,0.216252371289053
classification.9.0.auroc,0.823358715987449
classification.12.0.n,44385
classification.12.0.sources,30
classification.12.0.prevalence,0.043147138015594416
classification.12.0.log_loss,0.15153035540222543
classification.12.0.brier,0.03716548415794801
classification.12.0.average_precision,0.23627763650465175
classification.12.0.threshold,0.14247539639472961
classification.12.0.recall,0.43056425818798116
classification.12.0.false_positive_rate,0.062114099077957105
classification.12.0.precision,0.2381389313146169
classification.12.0.auroc,0.7810111744528632
timing.0.75.event_windows,68
timing.0.75.missed_windows,15
timing.0.75.detected_timing_mae_ps,0.375
timing.0.75.timed_within_3ps_recall,0.7794117647058824
timing.3.0.event_windows,274
timing.3.0.missed_windows,100
timing.3.0.detected_timing_mae_ps,0.7231507000019998
timing.3.0.timed_within_3ps_recall,0.635036496350365
timing.6.0.event_windows,615
timing.6.0.missed_windows,282
timing.6.0.detected_timing_mae_ps,1.3979391151637182
timing.6.0.timed_within_3ps_recall,0.5040650406504065
timing.9.0.event_windows,974
timing.9.0.missed_windows,492
timing.9.0.detected_timing_mae_ps,2.022081141526445
timing.9.0.timed_within_3ps_recall,0.3993839835728953
timing.12.0.event_windows,1349
timing.12.0.missed_windows,765
timing.12.0.detected_timing_mae_ps,2.643361334010249
timing.12.0.timed_within_3ps_recall,0.2765011119347665
per_source.881.temperature_K,520.0
per_source.881.event_nll,0.1377371996641159
per_source.881.0.75.log_loss,0.005229544706674417
per_source.881.0.75.brier,0.000985989206042951
per_source.881.3.0.log_loss,0.018173110724767863
per_source.881.3.0.brier,0.004353539470484344
per_source.881.6.0.log_loss,0.04394758986302168
per_source.881.6.0.brier,0.0097598039868941
per_source.881.9.0.log_loss,0.07354346055398658
per_source.881.9.0.brier,0.016097906852406276
per_source.881.12.0.log_loss,0.10134771529439981
per_source.881.12.0.brier,0.022363093086841573
per_source.882.temperature_K,520.0
per_source.882.event_nll,0.4696744680404663
per_source.882.0.75.log_loss,0.02918332580595826
per_source.882.0.75.brier,0.008091979911958272
per_source.882.3.0.log_loss,0.07633762236697765
per_source.882.3.0.brier,0.018819328722759612
per_source.882.6.0.log_loss,0.1636792270856808
per_source.882.6.0.brier,0.04177628348990802
per_source.882.9.0.log_loss,0.2478826093623566
per_source.882.9.0.brier,0.06526682208288678
per_source.882.12.0.log_loss,0.33621789580747635
per_source.882.12.0.brier,0.09197323782938552
per_source.883.temperature_K,520.0
per_source.883.event_nll,0.17367364466190338
per_source.883.0.75.log_loss,0.0045606560985911974
per_source.883.0.75.brier,0.0007906761754189356
per_source.883.3.0.log_loss,0.026398161733908968
per_source.883.3.0.brier,0.005676313015863616
per_source.883.6.0.log_loss,0.05903079738994924
per_source.883.6.0.brier,0.013471309962636546
per_source.883.9.0.log_loss,0.09419524784223463
per_source.883.9.0.brier,0.022242053470423042
per_source.883.12.0.log_loss,0.12485854600003747
per_source.883.12.0.brier,0.02973474509288163
per_source.908.temperature_K,400.0
per_source.908.event_nll,0.07742207497358322
per_source.908.0.75.log_loss,0.0026291298479793478
per_source.908.0.75.brier,0.00045164332225892164
per_source.908.3.0.log_loss,0.011250639317482918
per_source.908.3.0.brier,0.002532481103443001
per_source.908.6.0.log_loss,0.02743240284552306
