metric,value
event_nll,0.2375279142561083
classification.0.75.n,44385
classification.0.75.sources,30
classification.0.75.prevalence,0.002461127212794187
classification.0.75.log_loss,0.015523905499282667
classification.0.75.brier,0.0024404622731864518
classification.0.75.average_precision,0.01593099694761156
classification.0.75.threshold,0.009339557029306889
classification.0.75.recall,0.3716738266748881
classification.0.75.false_positive_rate,0.04159253500746834
classification.0.75.precision,0.02157147916601049
classification.0.75.auroc,0.8738768769475509
classification.3.0.n,44385
classification.3.0.sources,30
classification.3.0.prevalence,0.00884508151496356
classification.3.0.log_loss,0.04662354039862317
classification.3.0.brier,0.008659109444735923
classification.3.0.average_precision,0.040556307385345616
classification.3.0.threshold,0.032771483063697815
classification.3.0.recall,0.23313325891033626
classification.3.0.false_positive_rate,0.03958038235433087
classification.3.0.precision,0.04993858460701126
classification.3.0.auroc,0.8468597409502137
classification.6.0.n,44385
classification.6.0.sources,30
classification.6.0.prevalence,0.01976765853638479
classification.6.0.log_loss,0.09254813204445672
classification.6.0.brier,0.019133015229193792
classification.6.0.average_precision,0.061670953986318944
classification.6.0.threshold,0.059298861771821976
classification.6.0.recall,0.13937011268366195
classification.6.0.false_positive_rate,0.039328137138852914
classification.6.0.precision,0.06669826714693855
classification.6.0.auroc,0.7801736871282099
classification.9.0.n,44385
classification.9.0.sources,30
classification.9.0.prevalence,0.031243024276521248
classification.9.0.log_loss,0.1353599435124413
classification.9.0.brier,0.02996373138276636
classification.9.0.average_precision,0.07645975345444156
classification.9.0.threshold,0.07923739403486252
classification.9.0.recall,0.10129661965515747
classification.9.0.false_positive_rate,0.037628979278923336
classification.9.0.precision,0.07988290300940812
classification.9.0.auroc,0.7296307927818521
classification.12.0.n,44385
classification.12.0.sources,30
classification.12.0.prevalence,0.043147138015594416
classification.12.0.log_loss,0.17527799876967226
classification.12.0.brier,0.04100479480491313
classification.12.0.average_precision,0.08972255404868981
classification.12.0.threshold,0.09731791913509369
classification.12.0.recall,0.0739355726583053
classification.12.0.false_positive_rate,0.03792414357941302
classification.12.0.precision,0.08080737922118117
classification.12.0.auroc,0.7002654075495252
timing.0.75.event_windows,68
timing.0.75.missed_windows,44
timing.0.75.detected_timing_mae_ps,0.375
timing.0.75.timed_within_3ps_recall,0.35294117647058826
timing.3.0.event_windows,274
