metric,value
event_nll,0.21505457678750406
classification.0.75.n,44385
classification.0.75.sources,30
classification.0.75.prevalence,0.002461127212794187
classification.0.75.log_loss,0.011666806685731331
classification.0.75.brier,0.002191599423153476
classification.0.75.average_precision,0.19792348235741672
classification.0.75.threshold,0.00903499685227871
classification.0.75.recall,0.7915035085512783
classification.0.75.false_positive_rate,0.04342041496718055
classification.0.75.precision,0.04303854245543673
classification.0.75.auroc,0.9337784416604105
classification.3.0.n,44385
classification.3.0.sources,30
classification.3.0.prevalence,0.00884508151496356
classification.3.0.log_loss,0.03617117523398396
classification.3.0.brier,0.007385285312064786
classification.3.0.average_precision,0.294769872607051
classification.3.0.threshold,0.03425018489360809
classification.3.0.recall,0.7414268440004949
classification.3.0.false_positive_rate,0.04383948940995024
classification.3.0.precision,0.13113416057314817
classification.3.0.auroc,0.906764825807422
classification.6.0.n,44385
classification.6.0.sources,30
classification.6.0.prevalence,0.01976765853638479
classification.6.0.log_loss,0.07491843694294834
classification.6.0.brier,0.01576360014221007
classification.6.0.average_precision,0.3373922996363653
classification.6.0.threshold,0.06740093976259232
classification.6.0.recall,0.5914971211273431
classification.6.0.false_positive_rate,0.04694781391160513
classification.6.0.precision,0.20260009454792807
classification.6.0.auroc,0.8483739878316372
classification.9.0.n,44385
classification.9.0.sources,30
classification.9.0.prevalence,0.031243024276521248
classification.9.0.log_loss,0.11481616105679088
classification.9.0.brier,0.02524480918722525
classification.9.0.average_precision,0.3305124378259274
classification.9.0.threshold,0.09525186568498611
classification.9.0.recall,0.5011509182449297
classification.9.0.false_positive_rate,0.05013485971773751
classification.9.0.precision,0.24378723171319294
classification.9.0.auroc,0.7918254166451794
classification.12.0.n,44385
classification.12.0.sources,30
classification.12.0.prevalence,0.043147138015594416
classification.12.0.log_loss,0.15443212361169134
classification.12.0.brier,0.03558206830030839
classification.12.0.average_precision,0.31374942787562254
classification.12.0.threshold,0.12267491221427917
classification.12.0.recall,0.4218436340308611
classification.12.0.false_positive_rate,0.04901168399959482
classification.12.0.precision,0.27959779495969667
classification.12.0.auroc,0.7474067764901668
timing.0.75.event_windows,68
timing.0.75.missed_windows,14
timing.0.75.detected_timing_mae_ps,0.375
timing.0.75.timed_within_3ps_recall,0.7941176470588235
timing.3.0.event_windows,274
timing.3.0.missed_windows,73
timing.3.0.detected_timing_mae_ps,0.7266277803089989
timing.3.0.timed_within_3ps_recall,0.7335766423357665
timing.6.0.event_windows,615
timing.6.0.missed_windows,249
timing.6.0.detected_timing_mae_ps,1.3356712109529552
timing.6.0.timed_within_3ps_recall,0.5609756097560976
timing.9.0.event_windows,974
timing.9.0.missed_windows,481
timing.9.0.detected_timing_mae_ps,1.9348660970857805
timing.9.0.timed_within_3ps_recall,0.4055441478439425
timing.12.0.event_windows,1349
timing.12.0.missed_windows,774
timing.12.0.detected_timing_mae_ps,2.4663824589260837
timing.12.0.timed_within_3ps_recall,0.2883617494440326
per_source.881.temperature_K,520.0
per_source.881.event_nll,0.14493870735168457
per_source.881.0.75.log_loss,0.009661718777361706
per_source.881.0.75.brier,0.0013597377627628364
per_source.881.3.0.log_loss,0.021254640198531623
per_source.881.3.0.brier,0.0033881303554869563
per_source.881.6.0.log_loss,0.04544214297931284
per_source.881.6.0.brier,0.007997101669545845
per_source.881.9.0.log_loss,0.077413358985583
per_source.881.9.0.brier,0.014185683397693424
per_source.881.12.0.log_loss,0.10949884884605225
per_source.881.12.0.brier,0.021161647545133014
per_source.882.temperature_K,520.0
per_source.882.event_nll,0.4349719285964966
per_source.882.0.75.log_loss,0.027388461880090625
per_source.882.0.75.brier,0.007794382804357094
per_source.882.3.0.log_loss,0.0639220134682853
per_source.882.3.0.brier,0.01563517364019666
per_source.882.6.0.log_loss,0.13726132008643516
per_source.882.6.0.brier,0.03366763068607581
per_source.882.9.0.log_loss,0.215410733798319
per_source.882.9.0.brier,0.055009289714246644
per_source.882.12.0.log_loss,0.2973587980420822
per_source.882.12.0.brier,0.07987377006439603
per_source.883.temperature_K,520.0
per_source.883.event_nll,0.19097772240638733
per_source.883.0.75.log_loss,0.007170602328541911
per_source.883.0.75.brier,0.0013083522646394725
per_source.883.3.0.log_loss,0.030694367959246786
per_source.883.3.0.brier,0.00667397135558609
per_source.883.6.0.log_loss,0.07104414901260354
per_source.883.6.0.brier,0.01505282253891938
per_source.883.9.0.log_loss,0.1111753857556886
per_source.883.9.0.brier,0.024220918262764634
per_source.883.12.0.log_loss,0.1418310163100741
per_source.883.12.0.brier,0.031952788730838226
per_source.908.temperature_K,400.0
per_source.908.event_nll,0.1040104553103447
per_source.908.0.75.log_loss,0.004101972263215452
per_source.908.0.75.brier,0.0004188133999348685
per_source.908.3.0.log_loss,0.018822405325370852
per_source.908.3.0.brier,0.0025550359981932167
per_source.908.6.0.log_loss,0.04124994747989081
per_source.908.6.0.brier,0.006508833111747663
per_source.908.9.0.log_loss,0.061272805029573066
per_source.908.9.0.brier,0.010141990570990545
per_source.908.12.0.log_loss,0.08438834237307001
per_source.908.12.0.brier,0.01462942943568034
per_source.909.temperature_K,400.0
per_source.909.event_nll,0.1398293823003769
per_source.909.0.75.log_loss,0.004898433793304053
per_source.909.0.75.brier,0.0006369325789030517
per_source.909.3.0.log_loss,0.02318041211280268
per_source.909.3.0.brier,0.003612737014709743
per_source.909.6.0.log_loss,0.05202046969681633
per_source.909.6.0.brier,0.00947490582087393
per_source.909.9.0.log_loss,0.07493693885011983
per_source.909.9.0.brier,0.014041402693636488
per_source.909.12.0.log_loss,0.09950374641226589
per_source.909.12.0.brier,0.019602874124722707
per_source.910.temperature_K,400.0
per_source.910.event_nll,0.04610196128487587
per_source.910.0.75.log_loss,0.002438880369509827
per_source.910.0.75.brier,9.016955074014812e-06
per_source.910.3.0.log_loss,0.009347063725085024
per_source.910.3.0.brier,0.0001245077024313566
per_source.910.6.0.log_loss,0.02049024188291551
per_source.910.6.0.brier,0.0005537150231526738
per_source.910.9.0.log_loss,0.03273247684255984
per_source.910.9.0.brier,0.0013011099234722294
per_source.910.12.0.log_loss,0.04610196397614752
per_source.910.12.0.brier,0.002407781013622573
per_source.911.temperature_K,400.0
per_source.911.event_nll,0.14304885268211365
per_source.911.0.75.log_loss,0.003463183527076094
per_source.911.0.75.brier,0.0001650869477129882
per_source.911.3.0.log_loss,0.025691581123098283
per_source.911.3.0.brier,0.003935808682374233
per_source.911.6.0.log_loss,0.05229933278274294
per_source.911.6.0.brier,0.009386511412938676
per_source.911.9.0.log_loss,0.08200245827738968
per_source.911.9.0.brier,0.015673434813452757
per_source.911.12.0.log_loss,0.10939728467364135
per_source.911.12.0.brier,0.021956133401673093
per_source.912.temperature_K,400.0
per_source.912.event_nll,0.17601396143436432
per_source.912.0.75.log_loss,0.013090926392657382
per_source.912.0.75.brier,0.003011844455791846
per_source.912.3.0.log_loss,0.03049599219195744
per_source.912.3.0.brier,0.00652314155795107
per_source.912.6.0.log_loss,0.06732286295798055
per_source.912.6.0.brier,0.013849412919015537
per_source.912.9.0.log_loss,0.09592732373966456
per_source.912.9.0.brier,0.0200150739852408
per_source.912.12.0.log_loss,0.12711620518518452
per_source.912.12.0.brier,0.02784281077786215
per_source.913.temperature_K,400.0
per_source.913.event_nll,0.0900709480047226
per_source.913.0.75.log_loss,0.004885736258884341
per_source.913.0.75.brier,0.0007669603246485009
per_source.913.3.0.log_loss,0.01387838797905892
per_source.913.3.0.brier,0.0016211849089155838
per_source.913.6.0.log_loss,0.03253373380271972
