metric,value
event_nll,0.20190669800212807
classification.0.75.n,44385
classification.0.75.sources,30
classification.0.75.prevalence,0.002461127212794187
classification.0.75.log_loss,0.010218895876759695
classification.0.75.brier,0.002224744075029427
classification.0.75.average_precision,0.23612150183237685
classification.0.75.threshold,0.012706696055829525
classification.0.75.recall,0.8265053105356971
classification.0.75.false_positive_rate,0.04776628256070171
classification.0.75.precision,0.040942384915962776
classification.0.75.auroc,0.9762983876658605
classification.3.0.n,44385
classification.3.0.sources,30
classification.3.0.prevalence,0.00884508151496356
classification.3.0.log_loss,0.03250427914116313
classification.3.0.brier,0.007777686454362289
classification.3.0.average_precision,0.21536732995718105
classification.3.0.threshold,0.044811591506004333
classification.3.0.recall,0.7303190017055878
classification.3.0.false_positive_rate,0.052250449057251874
classification.3.0.precision,0.11090043965107364
classification.3.0.auroc,0.9411794402384044
classification.6.0.n,44385
classification.6.0.sources,30
classification.6.0.prevalence,0.01976765853638479
classification.6.0.log_loss,0.0678947289962862
classification.6.0.brier,0.01661161228727659
classification.6.0.average_precision,0.2604778286804961
classification.6.0.threshold,0.07911282777786255
classification.6.0.recall,0.6514537629004072
classification.6.0.false_positive_rate,0.05413509005388209
classification.6.0.precision,0.19528650066469982
classification.6.0.auroc,0.9007557743758026
classification.9.0.n,44385
classification.9.0.sources,30
classification.9.0.prevalence,0.031243024276521248
classification.9.0.log_loss,0.10514896339469856
classification.9.0.brier,0.02578317801000131
classification.9.0.average_precision,0.2810185925654138
classification.9.0.threshold,0.10871346294879913
classification.9.0.recall,0.5768523785628319
classification.9.0.false_positive_rate,0.05900348950107967
classification.9.0.precision,0.23971769669637114
classification.9.0.auroc,0.8562463800821082
classification.12.0.n,44385
classification.12.0.sources,30
classification.12.0.prevalence,0.043147138015594416
classification.12.0.log_loss,0.14295105540655934
classification.12.0.brier,0.03553056419185678
classification.12.0.average_precision,0.28734605392405255
classification.12.0.threshold,0.13631370663642883
classification.12.0.recall,0.509956279817232
classification.12.0.false_positive_rate,0.06274643447039079
classification.12.0.precision,0.26819293070332373
classification.12.0.auroc,0.8156746153944564
timing.0.75.event_windows,68
timing.0.75.missed_windows,12
timing.0.75.detected_timing_mae_ps,0.375
timing.0.75.timed_within_3ps_recall,0.8235294117647058
timing.3.0.event_windows,274
timing.3.0.missed_windows,76
timing.3.0.detected_timing_mae_ps,0.6878457350331211
timing.3.0.timed_within_3ps_recall,0.7226277372262774
timing.6.0.event_windows,615
timing.6.0.missed_windows,220
timing.6.0.detected_timing_mae_ps,1.4014653880063586
timing.6.0.timed_within_3ps_recall,0.6113821138211382
timing.9.0.event_windows,974
timing.9.0.missed_windows,417
timing.9.0.detected_timing_mae_ps,2.0038423265428587
timing.9.0.timed_within_3ps_recall,0.446611909650924
timing.12.0.event_windows,1349
timing.12.0.missed_windows,659
timing.12.0.detected_timing_mae_ps,2.6073736776074825
timing.12.0.timed_within_3ps_recall,0.3217197924388436
per_source.881.temperature_K,520.0
per_source.881.event_nll,0.1350664496421814
per_source.881.0.75.log_loss,0.005055486509607422
per_source.881.0.75.brier,0.001002694243709214
per_source.881.3.0.log_loss,0.017304190032310676
per_source.881.3.0.brier,0.004496731870207721
per_source.881.6.0.log_loss,0.04131452349043249
per_source.881.6.0.brier,0.00978612056027869
per_source.881.9.0.log_loss,0.07034664231639022
per_source.881.9.0.brier,0.0161224330085094
per_source.881.12.0.log_loss,0.09993683425396649
per_source.881.12.0.brier,0.022393853291955826
per_source.882.temperature_K,520.0
per_source.882.event_nll,0.4807964563369751
per_source.882.0.75.log_loss,0.025947669559250614
per_source.882.0.75.brier,0.007065825862114174
per_source.882.3.0.log_loss,0.07851337410075522
per_source.882.3.0.brier,0.020022647526083726
per_source.882.6.0.log_loss,0.17130907679498592
per_source.882.6.0.brier,0.046365386508665826
per_source.882.9.0.log_loss,0.25797996746206303
per_source.882.9.0.brier,0.07074982315655676
per_source.882.12.0.log_loss,0.3497875463365078
per_source.882.12.0.brier,0.09890149918931394
per_source.883.temperature_K,520.0
per_source.883.event_nll,0.16214951872825623
per_source.883.0.75.log_loss,0.004380599631311339
per_source.883.0.75.brier,0.0008151587107595471
per_source.883.3.0.log_loss,0.022555092822985606
per_source.883.3.0.brier,0.005134963759297413
per_source.883.6.0.log_loss,0.05144286575313658
per_source.883.6.0.brier,0.0119420331667561
per_source.883.9.0.log_loss,0.08441174102163317
per_source.883.9.0.brier,0.020257571226905913
per_source.883.12.0.log_loss,0.11536729033856755
per_source.883.12.0.brier,0.027855976209172892
