metric,value
event_nll,0.21344877045605684
classification.0.75.n,44385
classification.0.75.sources,30
classification.0.75.prevalence,0.002461127212794187
classification.0.75.log_loss,0.011321063058127384
classification.0.75.brier,0.002318154931120863
classification.0.75.average_precision,0.14095460555157613
classification.0.75.threshold,0.01829657331109047
classification.0.75.recall,0.747288176484051
classification.0.75.false_positive_rate,0.04402651459488427
classification.0.75.precision,0.040194024135620565
classification.0.75.auroc,0.9661335833613671
classification.3.0.n,44385
classification.3.0.sources,30
classification.3.0.prevalence,0.00884508151496356
classification.3.0.log_loss,0.036034446996204575
classification.3.0.brier,0.00797910486817198
classification.3.0.average_precision,0.18344523116189299
classification.3.0.threshold,0.059802066534757614
classification.3.0.recall,0.6077371206918641
classification.3.0.false_positive_rate,0.04515281458291546
classification.3.0.precision,0.10723320029941097
classification.3.0.auroc,0.9189726053736357
classification.6.0.n,44385
classification.6.0.sources,30
classification.6.0.prevalence,0.01976765853638479
classification.6.0.log_loss,0.07476689937850473
classification.6.0.brier,0.017318455191450356
classification.6.0.average_precision,0.21690617074826674
classification.6.0.threshold,0.09815533459186554
classification.6.0.recall,0.5125627561716531
classification.6.0.false_positive_rate,0.049273120273424426
classification.6.0.precision,0.17340313269153212
classification.6.0.auroc,0.8647839505951395
classification.9.0.n,44385
classification.9.0.sources,30
classification.9.0.prevalence,0.031243024276521248
classification.9.0.log_loss,0.11489138791642836
classification.9.0.brier,0.02719906921638934
classification.9.0.average_precision,0.2296463226231788
classification.9.0.threshold,0.1268528252840042
classification.9.0.recall,0.44732318616480105
classification.9.0.false_positive_rate,0.051856717039201194
classification.9.0.precision,0.21764883539704974
classification.9.0.auroc,0.8123972351416109
classification.12.0.n,44385
classification.12.0.sources,30
classification.12.0.prevalence,0.043147138015594416
classification.12.0.log_loss,0.15347029244643245
classification.12.0.brier,0.03752573139921049
classification.12.0.average_precision,0.22937923729116638
classification.12.0.threshold,0.15230506658554077
classification.12.0.recall,0.387981030505376
classification.12.0.false_positive_rate,0.05385981669850356
classification.12.0.precision,0.2451846078182893
classification.12.0.auroc,0.7738495250343025
timing.0.75.event_windows,68
timing.0.75.missed_windows,20
timing.0.75.detected_timing_mae_ps,0.375
timing.0.75.timed_within_3ps_recall,0.7058823529411765
timing.3.0.event_windows,274
timing.3.0.missed_windows,118
timing.3.0.detected_timing_mae_ps,0.7559334048585793
timing.3.0.timed_within_3ps_recall,0.5693430656934306
timing.6.0.event_windows,615
