metric,value
event_nll,0.20561284742564995
classification.0.75.n,44385
classification.0.75.sources,30
classification.0.75.prevalence,0.002461127212794187
classification.0.75.log_loss,0.010826074393513432
classification.0.75.brier,0.0022946379340368396
classification.0.75.average_precision,0.13971191156361257
classification.0.75.threshold,0.021097121760249138
classification.0.75.recall,0.8362937720705195
classification.0.75.false_positive_rate,0.04692748668983319
classification.0.75.precision,0.042116148937372554
classification.0.75.auroc,0.9648455750556232
classification.3.0.n,44385
classification.3.0.sources,30
classification.3.0.prevalence,0.00884508151496356
classification.3.0.log_loss,0.034217007585014184
classification.3.0.brier,0.007971627597788097
classification.3.0.average_precision,0.1685864418682733
classification.3.0.threshold,0.05815676227211952
classification.3.0.recall,0.6895319949355561
classification.3.0.false_positive_rate,0.05236343791713136
classification.3.0.precision,0.10515596581089709
classification.3.0.auroc,0.9356929177778098
classification.6.0.n,44385
classification.6.0.sources,30
classification.6.0.prevalence,0.01976765853638479
classification.6.0.log_loss,0.07040336550965304
classification.6.0.brier,0.017218276240614852
classification.6.0.average_precision,0.21130848492096285
classification.6.0.threshold,0.09255383908748627
classification.6.0.recall,0.6398632886442673
classification.6.0.false_positive_rate,0.055559733018125335
classification.6.0.precision,0.18847549239616715
classification.6.0.auroc,0.8996580867064755
classification.9.0.n,44385
classification.9.0.sources,30
classification.9.0.prevalence,0.031243024276521248
classification.9.0.log_loss,0.10876470035592706
classification.9.0.brier,0.02690759659958572
classification.9.0.average_precision,0.22818644138331723
classification.9.0.threshold,0.12711191177368164
classification.9.0.recall,0.5482086934654569
classification.9.0.false_positive_rate,0.05862566124617684
classification.9.0.precision,0.23170048654198672
classification.9.0.auroc,0.8531036593879856
classification.12.0.n,44385
classification.12.0.sources,30
classification.12.0.prevalence,0.043147138015594416
classification.12.0.log_loss,0.1465337738821963
classification.12.0.brier,0.03687523402488413
classification.12.0.average_precision,0.2421253744038816
classification.12.0.threshold,0.1569254845380783
classification.12.0.recall,0.47942964242115393
classification.12.0.false_positive_rate,0.0603493281389812
classification.12.0.precision,0.2637464748382063
classification.12.0.auroc,0.814118492537341
timing.0.75.event_windows,68
timing.0.75.missed_windows,8
timing.0.75.detected_timing_mae_ps,0.375
timing.0.75.timed_within_3ps_recall,0.8823529411764706
timing.3.0.event_windows,274
timing.3.0.missed_windows,83
timing.3.0.detected_timing_mae_ps,0.7044285895915158
timing.3.0.timed_within_3ps_recall,0.6970802919708029
timing.6.0.event_windows,615
timing.6.0.missed_windows,214
timing.6.0.detected_timing_mae_ps,1.386687323778167
timing.6.0.timed_within_3ps_recall,0.6113821138211382
timing.9.0.event_windows,974
timing.9.0.missed_windows,431
timing.9.0.detected_timing_mae_ps,1.9611734221887658
timing.9.0.timed_within_3ps_recall,0.45585215605749485
timing.12.0.event_windows,1349
timing.12.0.missed_windows,688
timing.12.0.detected_timing_mae_ps,2.6228093929941036
timing.12.0.timed_within_3ps_recall,0.3157894736842105
per_source.881.temperature_K,520.0
per_source.881.event_nll,0.13121484220027924
per_source.881.0.75.log_loss,0.003909901076112004
per_source.881.0.75.brier,0.0009420383753010256
per_source.881.3.0.log_loss,0.015445979670451405
per_source.881.3.0.brier,0.004240951036161361
per_source.881.6.0.log_loss,0.03728556660307873
per_source.881.6.0.brier,0.009108556690817666
per_source.881.9.0.log_loss,0.0676458594506647
per_source.881.9.0.brier,0.015277590511869674
per_source.881.12.0.log_loss,0.09683154992812312
per_source.881.12.0.brier,0.021781077921571756
per_source.882.temperature_K,520.0
per_source.882.event_nll,0.46557292342185974
per_source.882.0.75.log_loss,0.0315962170771556
per_source.882.0.75.brier,0.00836560880340085
per_source.882.3.0.log_loss,0.07557201720632643
per_source.882.3.0.brier,0.019329851710147148
per_source.882.6.0.log_loss,0.1627036802102725
per_source.882.6.0.brier,0.04388663285010756
per_source.882.9.0.log_loss,0.245966725834577
