metric,value
mace-epi-direct--z+all--linear.event_nll_gain,0.028117720782756806
mace-epi-direct--z+all--linear.event_nll_gain_ci95.lower,0.022433599593738713
mace-epi-direct--z+all--linear.event_nll_gain_ci95.upper,0.03378621053881943
mace-epi-direct--z+all--linear.0.75.log_loss.gain,0.0032913748105835574
mace-epi-direct--z+all--linear.0.75.log_loss.ci95.lower,0.001709801465480431
mace-epi-direct--z+all--linear.0.75.log_loss.ci95.upper,0.004828420623763738
mace-epi-direct--z+all--linear.0.75.brier.gain,0.0002932439783930907
mace-epi-direct--z+all--linear.0.75.brier.ci95.lower,9.773727331852041e-05
mace-epi-direct--z+all--linear.0.75.brier.ci95.upper,0.00048321583170204675
mace-epi-direct--z+all--linear.0.75.ap_gain,0.19622769463118434
mace-epi-direct--z+all--linear.3.0.log_loss.gain,0.010018222805921989
mace-epi-direct--z+all--linear.3.0.log_loss.ci95.lower,0.007454005756771184
mace-epi-direct--z+all--linear.3.0.log_loss.ci95.upper,0.012612775378191058
mace-epi-direct--z+all--linear.3.0.brier.gain,0.0013686986507918974
mace-epi-direct--z+all--linear.3.0.brier.ci95.lower,0.000905028165353931
mace-epi-direct--z+all--linear.3.0.brier.ci95.upper,0.0018521857641954419
mace-epi-direct--z+all--linear.3.0.ap_gain,0.2579254087931111
mace-epi-direct--z+all--linear.6.0.log_loss.gain,0.018329747651492576
mace-epi-direct--z+all--linear.6.0.log_loss.ci95.lower,0.013907731690474554
mace-epi-direct--z+all--linear.6.0.log_loss.ci95.upper,0.022626608742329815
mace-epi-direct--z+all--linear.6.0.brier.gain,0.00345754771759895
mace-epi-direct--z+all--linear.6.0.brier.ci95.lower,0.0024398528397767977
mace-epi-direct--z+all--linear.6.0.brier.ci95.upper,0.004496256753263563
mace-epi-direct--z+all--linear.6.0.ap_gain,0.27411468215636126
mace-epi-direct--z+all--linear.9.0.log_loss.gain,0.023974059853291416
mace-epi-direct--z+all--linear.9.0.log_loss.ci95.lower,0.01858523015000131
mace-epi-direct--z+all--linear.9.0.log_loss.ci95.upper,0.029387734445833088
mace-epi-direct--z+all--linear.9.0.brier.gain,0.005029743736763819
mace-epi-direct--z+all--linear.9.0.brier.ci95.lower,0.003710160100523076
mace-epi-direct--z+all--linear.9.0.brier.ci95.upper,0.006316707260461921
mace-epi-direct--z+all--linear.9.0.ap_gain,0.2645304733014673
mace-epi-direct--z+all--linear.12.0.log_loss.gain,0.02714947340957925
mace-epi-direct--z+all--linear.12.0.log_loss.ci95.lower,0.02160927242080391
mace-epi-direct--z+all--linear.12.0.log_loss.ci95.upper,0.03262386911221814
mace-epi-direct--z+all--linear.12.0.brier.gain,0.006302876030267227
mace-epi-direct--z+all--linear.12.0.brier.ci95.lower,0.004777239792181578
mace-epi-direct--z+all--linear.12.0.brier.ci95.upper,0.007816232570795403
mace-epi-direct--z+all--linear.12.0.ap_gain,0.248947052606973
mace-epi-direct--z+all--mlp.event_nll_gain,0.04818793969849745
mace-epi-direct--z+all--mlp.event_nll_gain_ci95.lower,0.04077906428836286
mace-epi-direct--z+all--mlp.event_nll_gain_ci95.upper,0.05666897393607845
mace-epi-direct--z+all--mlp.0.75.log_loss.gain,0.002570694115925676
mace-epi-direct--z+all--mlp.0.75.log_loss.ci95.lower,0.0015151100813247708
mace-epi-direct--z+all--mlp.0.75.log_loss.ci95.upper,0.003606462404060553
mace-epi-direct--z+all--mlp.0.75.brier.gain,0.00020275880738895846
mace-epi-direct--z+all--mlp.0.75.brier.ci95.lower,6.272726994779963e-05
mace-epi-direct--z+all--mlp.0.75.brier.ci95.upper,0.0003351168589125873
mace-epi-direct--z+all--mlp.0.75.ap_gain,0.14888540880669854
mace-epi-direct--z+all--mlp.3.0.log_loss.gain,0.011016693252707165
mace-epi-direct--z+all--mlp.3.0.log_loss.ci95.lower,0.008301554553146831
mace-epi-direct--z+all--mlp.3.0.log_loss.ci95.upper,0.013900332410804121
mace-epi-direct--z+all--mlp.3.0.brier.gain,0.0013738863388757724
mace-epi-direct--z+all--mlp.3.0.brier.ci95.lower,0.0009156513462678477
mace-epi-direct--z+all--mlp.3.0.brier.ci95.upper,0.0018477992880981977
mace-epi-direct--z+all--mlp.3.0.ap_gain,0.25163326943431863
