metric,value
experiments.front-control.average_precision12,0.6660076141571069
experiments.front-control.integrated_brier12,0.012268341680564947
experiments.front-control.restricted_time_mae12,0.22392313682165063
experiments.front-control.recall12,0.7447409689488831
experiments.front-control.realized_fpr12,0.03140050412198873
experiments.front-control.timing12.event_windows,226
experiments.front-control.timing12.missed_windows,71
experiments.front-control.timing12.detected_timing_mae_ps,2.40981780940748
experiments.front-control.timing12.timed_within_3ps_recall,0.4247787610619469
experiments.front-control.brier96,0.11148551131544891
experiments.front-control.short_event_nll,0.13824696584583676
experiments.front-quench-control.average_precision12,0.663045108465691
experiments.front-quench-control.integrated_brier12,0.012328408932752739
experiments.front-quench-control.restricted_time_mae12,0.2284788688059286
experiments.front-quench-control.recall12,0.7289811278279965
experiments.front-quench-control.realized_fpr12,0.030138978907674422
experiments.front-quench-control.timing12.event_windows,226
experiments.front-quench-control.timing12.missed_windows,73
experiments.front-quench-control.timing12.detected_timing_mae_ps,2.406248804212892
experiments.front-quench-control.timing12.timed_within_3ps_recall,0.42920353982300885
experiments.front-quench-control.brier96,0.11248346109444805
experiments.front-quench-control.short_event_nll,0.13820147741871872
experiments.front-r12.average_precision12,0.6838719295160897
experiments.front-r12.integrated_brier12,0.011957350605124378
experiments.front-r12.restricted_time_mae12,0.22048427776225948
experiments.front-r12.recall12,0.7788777755015975
experiments.front-r12.realized_fpr12,0.0314936641622343
experiments.front-r12.timing12.event_windows,226
experiments.front-r12.timing12.missed_windows,60
experiments.front-r12.timing12.detected_timing_mae_ps,2.354834761582022
experiments.front-r12.timing12.timed_within_3ps_recall,0.4823008849557522
experiments.front-r12.brier96,0.11160653407696308
experiments.front-r12.short_event_nll,0.13455827166042547
experiments.front-r20.average_precision12,0.6686030933509791
experiments.front-r20.integrated_brier12,0.01226175439417735
experiments.front-r20.restricted_time_mae12,0.2241608959767559
experiments.front-r20.recall12,0.771416289024313
experiments.front-r20.realized_fpr12,0.029256085955103296
experiments.front-r20.timing12.event_windows,226
experiments.front-r20.timing12.missed_windows,63
experiments.front-r20.timing12.detected_timing_mae_ps,2.34793756919432
experiments.front-r20.timing12.timed_within_3ps_recall,0.4690265486725664
experiments.front-r20.brier96,0.11199569475351734
experiments.front-r20.short_event_nll,0.1359253007451945
experiments.front-r25.average_precision12,0.685030936258492
experiments.front-r25.integrated_brier12,0.012077457120854281
experiments.front-r25.restricted_time_mae12,0.2148947361018312
experiments.front-r25.recall12,0.7718339643761385
experiments.front-r25.realized_fpr12,0.0320665485354468
experiments.front-r25.timing12.event_windows,226
experiments.front-r25.timing12.missed_windows,58
experiments.front-r25.timing12.detected_timing_mae_ps,2.348759310744954
experiments.front-r25.timing12.timed_within_3ps_recall,0.48672566371681414
experiments.front-r25.brier96,0.10667583160770301
experiments.front-r25.short_event_nll,0.1355286132615612
experiments.quench-front25.average_precision12,0.6770874393553046
experiments.quench-front25.integrated_brier12,0.0122818478260176
experiments.quench-front25.restricted_time_mae12,0.2208821795063235
experiments.quench-front25.recall12,0.7759021428416853
experiments.quench-front25.realized_fpr12,0.03283695720149786
experiments.quench-front25.timing12.event_windows,226
experiments.quench-front25.timing12.missed_windows,59
experiments.quench-front25.timing12.detected_timing_mae_ps,2.4021689547362284
experiments.quench-front25.timing12.timed_within_3ps_recall,0.4690265486725664
experiments.quench-front25.brier96,0.11115144803760099
experiments.quench-front25.short_event_nll,0.13769824761491636
experiments.front25-repeat.average_precision12,0.6787062230938826
experiments.front25-repeat.integrated_brier12,0.012215796740581816
experiments.front25-repeat.restricted_time_mae12,0.22017519473608888
experiments.front25-repeat.recall12,0.7770830040623008
experiments.front25-repeat.realized_fpr12,0.029259766726965963
experiments.front25-repeat.timing12.event_windows,226
experiments.front25-repeat.timing12.missed_windows,58
experiments.front25-repeat.timing12.detected_timing_mae_ps,2.351169276375243
experiments.front25-repeat.timing12.timed_within_3ps_recall,0.4778761061946903
experiments.front25-repeat.brier96,0.10314171281135891
experiments.front25-repeat.short_event_nll,0.1347865505807209
experiments.front25-rates.average_precision12,0.6941516830244527
experiments.front25-rates.integrated_brier12,0.011945628360766979
experiments.front25-rates.restricted_time_mae12,0.22863910249207575
experiments.front25-rates.recall12,0.8013380821141308
experiments.front25-rates.realized_fpr12,0.029882990773799738
experiments.front25-rates.timing12.event_windows,226
experiments.front25-rates.timing12.missed_windows,53
experiments.front25-rates.timing12.detected_timing_mae_ps,2.3460162475816744
experiments.front25-rates.timing12.timed_within_3ps_recall,0.504424778761062
experiments.front25-rates.brier96,0.10208195872926056
