metric,value
classification.0.75.n,7654
classification.0.75.sources,30
classification.0.75.prevalence,0.0032733140733111933
classification.0.75.log_loss,0.00859754334915628
classification.0.75.brier,0.0024781769710962302
classification.0.75.average_precision,0.44145437189692877
classification.0.75.threshold,0.006627335678786041
classification.0.75.recall,0.935548358816174
classification.0.75.false_positive_rate,0.032727760120979665
classification.0.75.precision,0.08582085902089387
classification.0.75.auroc,0.9955730055489629
classification.0.75.f1,0.15721947050493457
classification.0.75.balanced_accuracy,0.9514102993475971
classification.0.75.horizon_ps,0.75
classification.0.75.ece_10bin,0.0017325894767919274
classification.3.0.n,7654
classification.3.0.sources,30
classification.3.0.prevalence,0.008337284960097939
classification.3.0.log_loss,0.023079250246782753
classification.3.0.brier,0.0060496963523145484
classification.3.0.average_precision,0.4058796658980154
classification.3.0.threshold,0.03612406551837921
classification.3.0.recall,0.8415014186774679
classification.3.0.false_positive_rate,0.03229695759662594
classification.3.0.precision,0.179692714265559
classification.3.0.auroc,0.9824232391873862
classification.3.0.f1,0.2961467738650021
classification.3.0.balanced_accuracy,0.9046022305404209
classification.3.0.horizon_ps,3.0
classification.3.0.ece_10bin,0.002383822803654957
classification.9.0.n,7654
classification.9.0.sources,30
classification.9.0.prevalence,0.030881559809039054
classification.9.0.log_loss,0.0604779885682886
classification.9.0.brier,0.01747551557207458
classification.9.0.average_precision,0.6367008918460652
classification.9.0.threshold,0.11428954452276228
classification.9.0.recall,0.7634214054606633
classification.9.0.false_positive_rate,0.030567334968946362
classification.9.0.precision,0.4431594310540225
classification.9.0.auroc,0.9780680835180615
classification.9.0.f1,0.5607869534471791
classification.9.0.balanced_accuracy,0.8664270352458585
classification.9.0.horizon_ps,9.0
classification.9.0.ece_10bin,0.006113939517083967
classification.24.0.n,7654
classification.24.0.sources,30
classification.24.0.prevalence,0.09157684598841144
classification.24.0.log_loss,0.1610493746335114
classification.24.0.brier,0.04620006815723107
classification.24.0.average_precision,0.6977158923653919
classification.24.0.threshold,0.37985867261886597
classification.24.0.recall,0.6163810380448403
classification.24.0.false_positive_rate,0.029917310773115834
classification.24.0.precision,0.6750019154712628
classification.24.0.auroc,0.9417345613778603
classification.24.0.f1,0.6443609623429096
classification.24.0.balanced_accuracy,0.7932318636358624
classification.24.0.horizon_ps,24.0
classification.24.0.ece_10bin,0.02145978624549983
classification.48.0.n,7654
classification.48.0.sources,30
classification.48.0.prevalence,0.18734792593553434
classification.48.0.log_loss,0.3646565384035664
classification.48.0.brier,0.10210161644626851
classification.48.0.average_precision,0.654233718496099
classification.48.0.threshold,0.6325937509536743
classification.48.0.recall,0.49491380302792737
classification.48.0.false_positive_rate,0.0339646838600446
classification.48.0.precision,0.7706043309218679
classification.48.0.auroc,0.8390318233787861
classification.48.0.f1,0.6027297591635506
classification.48.0.balanced_accuracy,0.7304745595839414
classification.48.0.horizon_ps,48.0
classification.48.0.ece_10bin,0.054438955968359515
classification.96.0.n,7654
classification.96.0.sources,30
classification.96.0.prevalence,0.3730829459729325
classification.96.0.log_loss,0.7462511387830985
classification.96.0.brier,0.24258333579576483
classification.96.0.average_precision,0.637687887233475
classification.96.0.threshold,0.9215684533119202
classification.96.0.recall,0.2996300480391859
classification.96.0.false_positive_rate,0.05279343249447755
classification.96.0.precision,0.7715613086989608
classification.96.0.auroc,0.7119377566807358
classification.96.0.f1,0.43163707499398635
classification.96.0.balanced_accuracy,0.6234183077723541
classification.96.0.horizon_ps,96.0
classification.96.0.ece_10bin,0.179612617754848
timing.0.75.horizon_ps,0.75
timing.0.75.true_events,11
timing.0.75.missed_windows,1
timing.0.75.detected_window_timing_mae_ps,0.375
timing.0.75.detected_window_timing_bias_ps,-0.375
timing.0.75.timed_within_3ps_recall,0.9090909090909091
timing.0.75.alarm_episodes,161
timing.0.75.false_alarm_episodes,152
timing.0.75.observable_event_centers,11
timing.0.75.detected_event_centers,9
