metric,value
classification.0.75.n,7654
classification.0.75.sources,30
classification.0.75.prevalence,0.0032733140733111933
classification.0.75.log_loss,0.008760151916972148
classification.0.75.brier,0.0025781233954363693
classification.0.75.average_precision,0.3972094064150882
classification.0.75.threshold,0.004653948359191417
classification.0.75.recall,0.935548358816174
classification.0.75.false_positive_rate,0.03446382443367459
classification.0.75.precision,0.08185161249354336
classification.0.75.auroc,0.9952909472615192
classification.0.75.f1,0.15053301335602373
classification.0.75.balanced_accuracy,0.9505422671912497
classification.0.75.horizon_ps,0.75
classification.0.75.ece_10bin,0.0016659033749680504
classification.3.0.n,7654
classification.3.0.sources,30
classification.3.0.prevalence,0.008337284960097939
classification.3.0.log_loss,0.02377430433026948
classification.3.0.brier,0.006238566073224019
classification.3.0.average_precision,0.3730418597942275
classification.3.0.threshold,0.03293016925454141
classification.3.0.recall,0.8415014186774679
classification.3.0.false_positive_rate,0.030605099661219284
classification.3.0.precision,0.18776105760971068
classification.3.0.auroc,0.9814651545372504
classification.3.0.f1,0.3070182776329422
classification.3.0.balanced_accuracy,0.9054481595081242
classification.3.0.horizon_ps,3.0
classification.3.0.ece_10bin,0.0016707319702016841
classification.9.0.n,7654
classification.9.0.sources,30
classification.9.0.prevalence,0.030881559809039054
classification.9.0.log_loss,0.06292814341950431
classification.9.0.brier,0.017991107556297695
classification.9.0.average_precision,0.6234210064616157
classification.9.0.threshold,0.11098996549844743
classification.9.0.recall,0.7456059009671542
classification.9.0.false_positive_rate,0.0326820444495348
classification.9.0.precision,0.4209545142756579
classification.9.0.auroc,0.9759209026058745
classification.9.0.f1,0.5381052979024039
classification.9.0.balanced_accuracy,0.8564619282588097
classification.9.0.horizon_ps,9.0
classification.9.0.ece_10bin,0.00685063177337955
classification.24.0.n,7654
classification.24.0.sources,30
classification.24.0.prevalence,0.09157684598841144
classification.24.0.log_loss,0.15814678936674445
classification.24.0.brier,0.04471058450789705
classification.24.0.average_precision,0.7030959195708024
classification.24.0.threshold,0.37725102901458746
classification.24.0.recall,0.6446388598611115
classification.24.0.false_positive_rate,0.028732687435083407
classification.24.0.precision,0.69341274379214
classification.24.0.auroc,0.9461954700803761
classification.24.0.f1,0.668136863108858
classification.24.0.balanced_accuracy,0.8079530862130142
classification.24.0.horizon_ps,24.0
classification.24.0.ece_10bin,0.02249507655700206
classification.48.0.n,7654
classification.48.0.sources,30
classification.48.0.prevalence,0.18734792593553434
classification.48.0.log_loss,0.35896178721631067
classification.48.0.brier,0.09724686051166286
classification.48.0.average_precision,0.6785641482421473
classification.48.0.threshold,0.5610174536705017
classification.48.0.recall,0.5244230614167595
classification.48.0.false_positive_rate,0.03530248264893244
classification.48.0.precision,0.773995268582711
classification.48.0.auroc,0.8568445133412823
classification.48.0.f1,0.6252237185721151
classification.48.0.balanced_accuracy,0.7445602893839135
classification.48.0.horizon_ps,48.0
classification.48.0.ece_10bin,0.055901266588281345
classification.96.0.n,7654
classification.96.0.sources,30
classification.96.0.prevalence,0.3730829459729325
classification.96.0.log_loss,0.7152680799879061
classification.96.0.brier,0.2268366883758088
classification.96.0.average_precision,0.6593363204313634
classification.96.0.threshold,0.9182307124137878
classification.96.0.recall,0.30478489622745314
classification.96.0.false_positive_rate,0.045089508206436396
classification.96.0.precision,0.8009022847780284
classification.96.0.auroc,0.7293251964218499
classification.96.0.f1,0.4415406526327292
classification.96.0.balanced_accuracy,0.6298476940105083
classification.96.0.horizon_ps,96.0
classification.96.0.ece_10bin,0.16682225015837077
timing.0.75.horizon_ps,0.75
timing.0.75.true_events,11
timing.0.75.missed_windows,1
timing.0.75.detected_window_timing_mae_ps,0.375
timing.0.75.detected_window_timing_bias_ps,-0.375
timing.0.75.timed_within_3ps_recall,0.9090909090909091
timing.0.75.alarm_episodes,163
timing.0.75.false_alarm_episodes,154
timing.0.75.observable_event_centers,11
timing.0.75.detected_event_centers,9
