metric,value
classification.0.75.n,7654
classification.0.75.sources,30
classification.0.75.prevalence,0.0032733140733111933
classification.0.75.log_loss,0.008916628869908972
classification.0.75.brier,0.002594295548473131
classification.0.75.average_precision,0.39659812583936765
classification.0.75.threshold,0.006264972500503061
classification.0.75.recall,0.935548358816174
classification.0.75.false_positive_rate,0.035078921504154856
classification.0.75.precision,0.08053195476322579
classification.0.75.auroc,0.9955656769622125
classification.0.75.f1,0.14829839158202884
classification.0.75.balanced_accuracy,0.9502347186560095
classification.0.75.horizon_ps,0.75
classification.0.75.ece_10bin,0.0022464608939379623
classification.3.0.n,7654
classification.3.0.sources,30
classification.3.0.prevalence,0.008337284960097939
classification.3.0.log_loss,0.023172335336947358
classification.3.0.brier,0.0061517409285479566
classification.3.0.average_precision,0.43081076028226023
classification.3.0.threshold,0.03699760138988495
classification.3.0.recall,0.8415014186774679
classification.3.0.false_positive_rate,0.0347314361224349
classification.3.0.precision,0.16922877717764856
classification.3.0.auroc,0.9828988815391007
classification.3.0.f1,0.2817888624680164
classification.3.0.balanced_accuracy,0.9033849912775164
classification.3.0.horizon_ps,3.0
classification.3.0.ece_10bin,0.0025937723067678267
classification.9.0.n,7654
classification.9.0.sources,30
classification.9.0.prevalence,0.030881559809039054
classification.9.0.log_loss,0.05917706645707311
classification.9.0.brier,0.017610423650589888
classification.9.0.average_precision,0.6585273105715227
classification.9.0.threshold,0.16019360721111298
classification.9.0.recall,0.7571417501617743
classification.9.0.false_positive_rate,0.03102407016144986
classification.9.0.precision,0.437468982294254
classification.9.0.auroc,0.9788117334437425
classification.9.0.f1,0.5545338274582321
classification.9.0.balanced_accuracy,0.8630588400001622
classification.9.0.horizon_ps,9.0
classification.9.0.ece_10bin,0.0059021854362769095
classification.24.0.n,7654
classification.24.0.sources,30
classification.24.0.prevalence,0.09157684598841144
classification.24.0.log_loss,0.14582152027063805
classification.24.0.brier,0.04237968644654815
classification.24.0.average_precision,0.7316407536596385
classification.24.0.threshold,0.47915875911712646
classification.24.0.recall,0.6308929424943404
classification.24.0.false_positive_rate,0.02711211529182148
classification.24.0.precision,0.7011172265464365
classification.24.0.auroc,0.9539108691336566
classification.24.0.f1,0.6641539537312817
classification.24.0.balanced_accuracy,0.8018904136012595
classification.24.0.horizon_ps,24.0
classification.24.0.ece_10bin,0.015354718210733725
classification.48.0.n,7654
classification.48.0.sources,30
classification.48.0.prevalence,0.18734792593553434
classification.48.0.log_loss,0.3342000264129594
classification.48.0.brier,0.09503866184226413
classification.48.0.average_precision,0.698010610330372
classification.48.0.threshold,0.59757399559021
classification.48.0.recall,0.540385262509249
classification.48.0.false_positive_rate,0.04247331527210312
classification.48.0.precision,0.7457496839045669
classification.48.0.auroc,0.8690604871639536
classification.48.0.f1,0.6266716254412319
classification.48.0.balanced_accuracy,0.7489559736185729
classification.48.0.horizon_ps,48.0
classification.48.0.ece_10bin,0.04753441554413614
classification.96.0.n,7654
classification.96.0.sources,30
classification.96.0.prevalence,0.3730829459729325
classification.96.0.log_loss,0.6759422964104305
classification.96.0.brier,0.22012090072708543
classification.96.0.average_precision,0.6731663973525344
classification.96.0.threshold,0.9094703197479248
classification.96.0.recall,0.3242347185326588
classification.96.0.false_positive_rate,0.053093207746810575
classification.96.0.precision,0.7842157683372535
classification.96.0.auroc,0.7427931110194899
classification.96.0.f1,0.45878455001399293
classification.96.0.balanced_accuracy,0.635570755392924
classification.96.0.horizon_ps,96.0
classification.96.0.ece_10bin,0.14901938914765792
timing.0.75.horizon_ps,0.75
timing.0.75.true_events,11
timing.0.75.missed_windows,1
timing.0.75.detected_window_timing_mae_ps,0.375
timing.0.75.detected_window_timing_bias_ps,-0.375
timing.0.75.timed_within_3ps_recall,0.9090909090909091
timing.0.75.alarm_episodes,164
timing.0.75.false_alarm_episodes,155
timing.0.75.observable_event_centers,11
timing.0.75.detected_event_centers,9
