metric,value
classification.0.75.n,7654
classification.0.75.sources,30
classification.0.75.prevalence,0.0032733140733111933
classification.0.75.log_loss,0.009759222258762464
classification.0.75.brier,0.002727536113710009
classification.0.75.average_precision,0.3851557244742286
classification.0.75.threshold,0.009595376439392567
classification.0.75.recall,0.935548358816174
classification.0.75.false_positive_rate,0.029609926764135243
classification.0.75.precision,0.09400800966256413
classification.0.75.auroc,0.9944318920422405
classification.0.75.f1,0.17084841947088242
classification.0.75.balanced_accuracy,0.9529692160260194
classification.0.75.horizon_ps,0.75
classification.0.75.ece_10bin,0.001954752811788224
classification.3.0.n,7654
classification.3.0.sources,30
classification.3.0.prevalence,0.008337284960097939
classification.3.0.log_loss,0.024137817641213043
classification.3.0.brier,0.0062489843120461155
classification.3.0.average_precision,0.35904232208244563
classification.3.0.threshold,0.04157504066824914
classification.3.0.recall,0.7908925057892263
classification.3.0.false_positive_rate,0.030824159023712796
classification.3.0.precision,0.1774409888164547
classification.3.0.auroc,0.9798392804193705
classification.3.0.f1,0.2898520996258857
classification.3.0.balanced_accuracy,0.8800341733827568
classification.3.0.horizon_ps,3.0
classification.3.0.ece_10bin,0.003039343529163788
classification.9.0.n,7654
classification.9.0.sources,30
classification.9.0.prevalence,0.030881559809039054
classification.9.0.log_loss,0.0637157392050649
classification.9.0.brier,0.018130450991415883
classification.9.0.average_precision,0.6057683909428352
classification.9.0.threshold,0.11345286667346954
classification.9.0.recall,0.7232915096428494
classification.9.0.false_positive_rate,0.02924421107467135
classification.9.0.precision,0.44075539184365964
classification.9.0.auroc,0.9757656101645631
classification.9.0.f1,0.5477350308526566
classification.9.0.balanced_accuracy,0.847023649284089
classification.9.0.horizon_ps,9.0
classification.9.0.ece_10bin,0.006419776518529958
classification.24.0.n,7654
classification.24.0.sources,30
classification.24.0.prevalence,0.09157684598841144
classification.24.0.log_loss,0.16515721423427304
classification.24.0.brier,0.04749304327096611
classification.24.0.average_precision,0.6852036462784903
classification.24.0.threshold,0.30971562862396246
classification.24.0.recall,0.6201416506606807
classification.24.0.false_positive_rate,0.029889125351445778
classification.24.0.precision,0.6765411510813155
classification.24.0.auroc,0.9375891484650396
classification.24.0.f1,0.6471148466036694
classification.24.0.balanced_accuracy,0.7951262626546176
classification.24.0.horizon_ps,24.0
classification.24.0.ece_10bin,0.022955744855169873
classification.48.0.n,7654
classification.48.0.sources,30
classification.48.0.prevalence,0.18734792593553434
classification.48.0.log_loss,0.34932933979289504
classification.48.0.brier,0.10049667766320117
classification.48.0.average_precision,0.653756998847292
classification.48.0.threshold,0.3929895162582398
classification.48.0.recall,0.5009182128430446
classification.48.0.false_positive_rate,0.03564745844047326
classification.48.0.precision,0.7641249987074826
classification.48.0.auroc,0.8383069192425696
classification.48.0.f1,0.6051400066755078
classification.48.0.balanced_accuracy,0.7326353772012857
classification.48.0.horizon_ps,48.0
classification.48.0.ece_10bin,0.046445077751477645
classification.96.0.n,7654
classification.96.0.sources,30
classification.96.0.prevalence,0.3730829459729325
classification.96.0.log_loss,0.612775283113919
classification.96.0.brier,0.20588110539997725
classification.96.0.average_precision,0.6480934667481685
classification.96.0.threshold,0.6895458102226258
classification.96.0.recall,0.34318786777040977
classification.96.0.false_positive_rate,0.05645312595585981
classification.96.0.precision,0.7834445887004257
classification.96.0.auroc,0.7152347037060396
classification.96.0.f1,0.47729616942617303
classification.96.0.balanced_accuracy,0.6433673709072749
classification.96.0.horizon_ps,96.0
classification.96.0.ece_10bin,0.10315384145045396
timing.0.75.horizon_ps,0.75
timing.0.75.true_events,11
timing.0.75.missed_windows,1
timing.0.75.detected_window_timing_mae_ps,0.375
timing.0.75.detected_window_timing_bias_ps,-0.375
timing.0.75.timed_within_3ps_recall,0.9090909090909091
timing.0.75.alarm_episodes,148
timing.0.75.false_alarm_episodes,138
timing.0.75.observable_event_centers,11
timing.0.75.detected_event_centers,10
